,Pair,adr_num_per_stock,stock_num_per_adr
0,ATHE_ATH,0.016666666666666666,60.0
1,GENE_GTG,0.0016666666666666668,600.0
2,IMMP_IMM,0.1,10.0
3,IMRN_IMC,0.025,40.0
4,JHX_JHX,1.0,1.0
5,KZIA_KZA,0.1,10.0
6,MESO_MSB,0.2,5.0
7,PLL_PLL,0.01,100.0
8,WBK_WBC,1.0,1.0
9,CAJ_7751,1.0,1.0
10,HMC_7267,1.0,1.0
11,IX_8591,0.2,5.0
12,MFG_8411,5.0,0.2
13,MUFG_8306,1.0,1.0
14,NMR_8604,1.0,1.0
15,SMFG_8316,5.0,0.2
16,SONY_6758,1.0,1.0
17,TAK_4502,2.0,0.5
18,TM_7203,0.5,2.0
19,ACH_2600,0.04,25.0
20,BGNE_6160,0.07692307692307693,13.0
21,CEA_670,0.02,50.0
22,HNP_902,0.025,40.0
23,LFC_2628,0.2,5.0
24,PTR_857,0.01,100.0
25,SHI_338,0.01,100.0
26,SNP_386,0.01,100.0
27,ZNH_1055,0.02,50.0
