,date,open,high,low,close,volume,average,barCount
5,2019-04-23 19:57:00,0.70859,0.7087,0.70853,0.7086,-1,-1.0,-1
6,2019-04-23 19:58:00,0.70845,0.70859,0.70838,0.70848,-1,-1.0,-1
7,2019-04-23 19:59:00,0.70849,0.70861,0.70838,0.70851,-1,-1.0,-1
8,2019-04-23 20:00:00,0.70846,0.70853,0.70837,0.70848,-1,-1.0,-1
9,2019-04-23 20:01:00,0.70831,0.70841,0.70822,0.70833,-1,-1.0,-1
0,2019-04-24 09:27:00,0.70307,0.70315,0.70301,0.70309,-1,-1.0,-1
1,2019-04-24 09:28:00,0.70297,0.70306,0.70292,0.70299,-1,-1.0,-1
2,2019-04-24 09:29:00,0.70289,0.70299,0.70285,0.7029,-1,-1.0,-1
3,2019-04-24 09:30:00,0.70293,0.70299,0.70286,0.70295,-1,-1.0,-1
4,2019-04-24 09:31:00,0.70296,0.703,0.70295,0.70298,-1,-1.0,-1
15,2019-04-24 19:57:00,0.7033,0.70355,0.70307,0.70332,-1,-1.0,-1
16,2019-04-24 19:58:00,0.70306,0.7032,0.70296,0.70308,-1,-1.0,-1
17,2019-04-24 19:59:00,0.70304,0.70315,0.70296,0.70307,-1,-1.0,-1
18,2019-04-24 20:00:00,0.70302,0.70318,0.70281,0.70304,-1,-1.0,-1
19,2019-04-24 20:01:00,0.7029,0.70298,0.7028,0.70292,-1,-1.0,-1
10,2019-04-25 09:27:00,0.70187,0.70195,0.7018,0.70189,-1,-1.0,-1
11,2019-04-25 09:28:00,0.70192,0.70198,0.70191,0.70195,-1,-1.0,-1
12,2019-04-25 09:29:00,0.70193,0.70197,0.70191,0.70195,-1,-1.0,-1
13,2019-04-25 09:30:00,0.70193,0.70198,0.70193,0.70195,-1,-1.0,-1
14,2019-04-25 09:31:00,0.70198,0.70208,0.70193,0.70199,-1,-1.0,-1
25,2019-04-25 19:57:00,0.70129,0.70134,0.70123,0.70131,-1,-1.0,-1
26,2019-04-25 19:58:00,0.70121,0.7013,0.70119,0.70123,-1,-1.0,-1
27,2019-04-25 19:59:00,0.70124,0.70131,0.70118,0.70126,-1,-1.0,-1
28,2019-04-25 20:00:00,0.70117,0.7013,0.70108,0.70119,-1,-1.0,-1
29,2019-04-25 20:01:00,0.70125,0.70132,0.7012,0.70127,-1,-1.0,-1
20,2019-04-26 09:27:00,0.70212,0.70222,0.70205,0.70213,-1,-1.0,-1
21,2019-04-26 09:28:00,0.7021,0.70219,0.70207,0.70212,-1,-1.0,-1
22,2019-04-26 09:29:00,0.70212,0.70219,0.70207,0.70213,-1,-1.0,-1
23,2019-04-26 09:30:00,0.7021,0.70215,0.70208,0.70212,-1,-1.0,-1
24,2019-04-26 09:31:00,0.7021,0.70219,0.70207,0.70213,-1,-1.0,-1
35,2019-04-26 19:57:00,0.70465,0.70477,0.70453,0.70467,-1,-1.0,-1
36,2019-04-26 19:58:00,0.70477,0.70491,0.70461,0.70479,-1,-1.0,-1
37,2019-04-26 19:59:00,0.70472,0.70486,0.70459,0.70474,-1,-1.0,-1
38,2019-04-26 20:00:00,0.70468,0.70478,0.70461,0.7047,-1,-1.0,-1
39,2019-04-26 20:01:00,0.70507,0.70528,0.70474,0.70509,-1,-1.0,-1
30,2019-04-27 02:25:00,0.70429,0.70446,0.70425,0.70441,-1,-1.0,-1
45,2019-04-27 02:25:00,0.70429,0.70446,0.70425,0.70441,-1,-1.0,-1
46,2019-04-27 02:26:00,0.70407,0.70487,0.70378,0.70449,-1,-1.0,-1
31,2019-04-27 02:26:00,0.70407,0.70487,0.70378,0.70449,-1,-1.0,-1
47,2019-04-27 02:27:00,0.70376,0.70447,0.70372,0.70441,-1,-1.0,-1
32,2019-04-27 02:27:00,0.70376,0.70447,0.70372,0.70441,-1,-1.0,-1
48,2019-04-27 02:28:00,0.70365,0.70438,0.7035,0.7042,-1,-1.0,-1
33,2019-04-27 02:28:00,0.70365,0.70438,0.7035,0.7042,-1,-1.0,-1
49,2019-04-27 02:29:00,0.70356,0.70504,0.70339,0.70419,-1,-1.0,-1
34,2019-04-27 02:29:00,0.70356,0.70504,0.70339,0.70419,-1,-1.0,-1
40,2019-04-29 09:27:00,0.70554,0.70559,0.70551,0.70556,-1,-1.0,-1
41,2019-04-29 09:28:00,0.7056,0.70565,0.70552,0.70563,-1,-1.0,-1
42,2019-04-29 09:29:00,0.70559,0.70565,0.70555,0.70562,-1,-1.0,-1
43,2019-04-29 09:30:00,0.70559,0.70563,0.70558,0.70562,-1,-1.0,-1
