,date,open,high,low,close,volume,average,barCount
5,2021-02-11 20:27:00,7.75263,7.75264,7.75262,7.75264,-1,-1.0,-1
6,2021-02-11 20:28:00,7.75262,7.75264,7.7526,7.75264,-1,-1.0,-1
7,2021-02-11 20:29:00,7.75261,7.75264,7.75261,7.75264,-1,-1.0,-1
8,2021-02-11 20:30:00,7.75261,7.75264,7.75261,7.75264,-1,-1.0,-1
9,2021-02-11 20:31:00,7.75261,7.75265,7.75261,7.75264,-1,-1.0,-1
0,2021-02-12 09:27:00,7.7531,7.75313,7.7531,7.75313,-1,-1.0,-1
1,2021-02-12 09:28:00,7.7531,7.75313,7.7531,7.75313,-1,-1.0,-1
2,2021-02-12 09:29:00,7.7531,7.75313,7.7531,7.75313,-1,-1.0,-1
3,2021-02-12 09:30:00,7.7531,7.75313,7.7531,7.75313,-1,-1.0,-1
4,2021-02-12 09:31:00,7.7531,7.75313,7.75309,7.75313,-1,-1.0,-1
15,2021-02-12 20:27:00,7.75295,7.75299,7.75295,7.75297,-1,-1.0,-1
16,2021-02-12 20:28:00,7.75295,7.75297,7.75295,7.75297,-1,-1.0,-1
17,2021-02-12 20:29:00,7.75295,7.75299,7.75294,7.75297,-1,-1.0,-1
18,2021-02-12 20:30:00,7.75294,7.75298,7.75293,7.75298,-1,-1.0,-1
19,2021-02-12 20:31:00,7.75293,7.75298,7.75293,7.75297,-1,-1.0,-1
25,2021-02-13 03:25:00,7.75275,7.75284,7.75275,7.75283,-1,-1.0,-1
10,2021-02-13 03:25:00,7.75275,7.75284,7.75275,7.75283,-1,-1.0,-1
11,2021-02-13 03:26:00,7.75276,7.75284,7.75275,7.75283,-1,-1.0,-1
26,2021-02-13 03:26:00,7.75276,7.75284,7.75275,7.75283,-1,-1.0,-1
12,2021-02-13 03:27:00,7.75275,7.75284,7.75275,7.75283,-1,-1.0,-1
27,2021-02-13 03:27:00,7.75275,7.75284,7.75275,7.75283,-1,-1.0,-1
28,2021-02-13 03:28:00,7.75269,7.75284,7.75269,7.75284,-1,-1.0,-1
13,2021-02-13 03:28:00,7.75269,7.75284,7.75269,7.75284,-1,-1.0,-1
29,2021-02-13 03:29:00,7.75269,7.75288,7.75264,7.75285,-1,-1.0,-1
14,2021-02-13 03:29:00,7.75269,7.75288,7.75264,7.75285,-1,-1.0,-1
20,2021-02-15 09:27:00,7.75269,7.75271,7.75269,7.75271,-1,-1.0,-1
21,2021-02-15 09:28:00,7.75269,7.75271,7.75269,7.75271,-1,-1.0,-1
22,2021-02-15 09:29:00,7.75268,7.75271,7.75265,7.75271,-1,-1.0,-1
23,2021-02-15 09:30:00,7.75265,7.7527,7.75258,7.75267,-1,-1.0,-1
24,2021-02-15 09:31:00,7.75263,7.75269,7.75258,7.75266,-1,-1.0,-1
35,2021-02-15 20:27:00,7.75274,7.75276,7.75274,7.75276,-1,-1.0,-1
36,2021-02-15 20:28:00,7.75274,7.75276,7.75274,7.75276,-1,-1.0,-1
37,2021-02-15 20:29:00,7.75274,7.75276,7.75274,7.75276,-1,-1.0,-1
38,2021-02-15 20:30:00,7.75274,7.75276,7.75274,7.75276,-1,-1.0,-1
39,2021-02-15 20:31:00,7.75274,7.75277,7.75274,7.75277,-1,-1.0,-1
30,2021-02-16 09:27:00,7.75233,7.75237,7.75232,7.75237,-1,-1.0,-1
31,2021-02-16 09:28:00,7.75234,7.75237,7.75233,7.75236,-1,-1.0,-1
32,2021-02-16 09:29:00,7.75234,7.75236,7.75234,7.75236,-1,-1.0,-1
33,2021-02-16 09:30:00,7.75234,7.75236,7.75234,7.75236,-1,-1.0,-1
34,2021-02-16 09:31:00,7.75234,7.75236,7.75234,7.75236,-1,-1.0,-1
45,2021-02-16 20:27:00,7.75281,7.75283,7.75279,7.75283,-1,-1.0,-1
46,2021-02-16 20:28:00,7.75285,7.75296,7.75279,7.75287,-1,-1.0,-1
47,2021-02-16 20:29:00,7.75293,7.75297,7.75292,7.75296,-1,-1.0,-1
48,2021-02-16 20:30:00,7.75289,7.75297,7.75281,7.75293,-1,-1.0,-1
49,2021-02-16 20:31:00,7.75283,7.75287,7.75281,7.75285,-1,-1.0,-1
40,2021-02-17 09:27:00,7.7527,7.75273,7.7527,7.75273,-1,-1.0,-1
41,2021-02-17 09:28:00,7.75269,7.75274,7.75268,7.75271,-1,-1.0,-1
42,2021-02-17 09:29:00,7.75268,7.75271,7.75268,7.75271,-1,-1.0,-1
43,2021-02-17 09:30:00,7.75268,7.75271,7.75268,7.75271,-1,-1.0,-1
44,2021-02-17 09:31:00,7.75268,7.75271,7.75268,7.75271,-1,-1.0,-1
55,2021-02-17 20:27:00,7.75232,7.75236,7.75232,7.75234,-1,-1.0,-1
56,2021-02-17 20:28:00,7.75234,7.75236,7.75232,7.75236,-1,-1.0,-1
57,2021-02-17 20:29:00,7.75234,7.75236,7.75234,7.75236,-1,-1.0,-1
58,2021-02-17 20:30:00,7.75234,7.75236,7.75234,7.75236,-1,-1.0,-1
59,2021-02-17 20:31:00,7.75234,7.75236,7.75233,7.75236,-1,-1.0,-1
50,2021-02-18 09:27:00,7.75246,7.75252,7.75246,7.75249,-1,-1.0,-1
51,2021-02-18 09:28:00,7.75246,7.75251,7.75246,7.7525,-1,-1.0,-1
52,2021-02-18 09:29:00,7.75245,7.75249,7.7524,7.75247,-1,-1.0,-1
53,2021-02-18 09:30:00,7.75246,7.75252,7.7524,7.75248,-1,-1.0,-1
54,2021-02-18 09:31:00,7.7525,7.75256,7.75246,7.75252,-1,-1.0,-1
65,2021-02-18 20:27:00,7.75277,7.7528,7.75276,7.75279,-1,-1.0,-1
66,2021-02-18 20:28:00,7.75276,7.7528,7.75273,7.75279,-1,-1.0,-1
