,date,open,high,low,close,volume,average,barCount
5,2018-07-27 19:57:00,111.01,111.02,111.002,111.012,-1,-1.0,-1
6,2018-07-27 19:58:00,111.007,111.016,111.0,111.009,-1,-1.0,-1
7,2018-07-27 19:59:00,110.996,111.008,110.981,110.998,-1,-1.0,-1
8,2018-07-27 20:00:00,110.987,110.996,110.976,110.989,-1,-1.0,-1
9,2018-07-27 20:01:00,111.002,111.015,110.989,111.004,-1,-1.0,-1
0,2018-07-28 02:25:00,110.997,111.011,110.99,111.002,-1,-1.0,-1
15,2018-07-28 02:25:00,110.997,111.011,110.99,111.002,-1,-1.0,-1
1,2018-07-28 02:26:00,110.999,111.008,110.99,111.004,-1,-1.0,-1
16,2018-07-28 02:26:00,110.999,111.008,110.99,111.004,-1,-1.0,-1
17,2018-07-28 02:27:00,110.995,111.05,110.983,111.007,-1,-1.0,-1
2,2018-07-28 02:27:00,110.995,111.05,110.983,111.007,-1,-1.0,-1
18,2018-07-28 02:28:00,110.99,111.05,110.973,111.045,-1,-1.0,-1
3,2018-07-28 02:28:00,110.99,111.05,110.973,111.045,-1,-1.0,-1
4,2018-07-28 02:29:00,111.007,111.05,110.977,111.044,-1,-1.0,-1
19,2018-07-28 02:29:00,111.007,111.05,110.977,111.044,-1,-1.0,-1
10,2018-07-30 09:27:00,111.115,111.121,111.113,111.117,-1,-1.0,-1
11,2018-07-30 09:28:00,111.115,111.119,111.11,111.117,-1,-1.0,-1
12,2018-07-30 09:29:00,111.116,111.119,111.114,111.118,-1,-1.0,-1
13,2018-07-30 09:30:00,111.125,111.131,111.117,111.127,-1,-1.0,-1
14,2018-07-30 09:31:00,111.124,111.129,111.122,111.126,-1,-1.0,-1
25,2018-07-30 19:57:00,110.968,110.983,110.955,110.97,-1,-1.0,-1
26,2018-07-30 19:58:00,110.966,110.984,110.959,110.967,-1,-1.0,-1
27,2018-07-30 19:59:00,110.963,110.972,110.958,110.965,-1,-1.0,-1
28,2018-07-30 20:00:00,110.956,110.965,110.95,110.958,-1,-1.0,-1
29,2018-07-30 20:01:00,110.958,110.965,110.952,110.959,-1,-1.0,-1
20,2018-07-31 09:27:00,110.939,110.956,110.931,110.943,-1,-1.0,-1
21,2018-07-31 09:28:00,110.9,110.952,110.79,110.907,-1,-1.0,-1
22,2018-07-31 09:29:00,110.864,110.892,110.833,110.871,-1,-1.0,-1
23,2018-07-31 09:30:00,110.864,110.887,110.836,110.872,-1,-1.0,-1
24,2018-07-31 09:31:00,110.861,110.885,110.835,110.867,-1,-1.0,-1
35,2018-07-31 19:57:00,111.856,111.87,111.84,111.857,-1,-1.0,-1
36,2018-07-31 19:58:00,111.847,111.854,111.842,111.848,-1,-1.0,-1
37,2018-07-31 19:59:00,111.85,111.866,111.835,111.851,-1,-1.0,-1
38,2018-07-31 20:00:00,111.841,111.851,111.832,111.842,-1,-1.0,-1
39,2018-07-31 20:01:00,111.849,111.857,111.841,111.85,-1,-1.0,-1
