,date,open,high,low,close,volume,average,barCount
0,2015-04-23,58.47,58.99,58.37,58.91,207,58.722,118
1,2015-04-24,58.99,59.13,58.86,59.06,247,59.007,163
2,2015-04-27,59.21,59.48,59.09,59.25,3393,59.32,1432
3,2015-04-28,59.13,59.54,59.08,59.52,112,59.3975,56
4,2015-04-29,59.13,59.45,58.92,59.24,308,59.2415,266
5,2015-04-30,59.04,59.05,58.55,58.71,136,58.823,58
6,2015-05-01,58.9,59.17,58.84,59.04,268,59.0255,29
7,2015-05-04,59.13,59.4,59.1,59.38,496,59.273,268
8,2015-05-05,59.11,59.11,58.54,58.54,63,58.776,35
9,2015-05-06,58.76,58.77,58.16,58.36,83,58.4065,53
10,2015-05-07,58.4,58.69,58.3,58.62,277,58.424,61
11,2015-05-08,59.09,59.78,59.09,59.72,309,59.7055,81
12,2015-05-11,59.48,59.6,59.31,59.37,56,59.4975,35
13,2015-05-12,59.3,59.36,59.08,59.29,155,59.269,47
14,2015-05-13,59.69,59.75,59.42,59.55,21215,59.5825,2261
15,2015-05-14,59.96,60.15,59.85,60.11,350,60.0135,207
16,2015-05-15,60.11,60.16,59.95,60.03,500,60.066,136
17,2015-05-18,59.9,60.03,59.84,59.95,267,59.936,114
18,2015-05-19,59.89,60.19,59.89,60.02,279,60.056,125
19,2015-05-20,60.11,60.19,59.87,59.97,357,60.0645,161
20,2015-05-21,59.94,60.19,59.94,60.07,761,60.1455,193
21,2015-05-22,60.03,60.13,59.91,59.96,147,60.072,97
22,2015-05-26,59.71,59.71,59.05,59.18,309,59.253,140
23,2015-05-27,59.3,59.71,59.27,59.65,154,59.592,53
24,2015-05-28,59.4,59.56,59.14,59.53,204,59.33,69
25,2015-05-29,59.32,59.44,58.9,59.0,251,59.1225,138
26,2015-06-01,59.16,59.16,58.74,58.86,722,58.9015,169
27,2015-06-02,59.0,59.28,58.93,59.05,2389,59.0785,690
28,2015-06-03,59.22,59.7,59.22,59.41,2021,59.444,154
29,2015-06-04,59.18,59.5,58.88,59.01,781,58.9905,85
30,2015-06-05,58.57,58.98,58.44,58.685,376,58.5905,125
31,2015-06-08,58.74,58.9,58.43,58.55,1485,58.599,716
32,2015-06-09,58.41,58.63,58.15,58.45,263,58.486,89
33,2015-06-10,58.87,59.52,58.87,59.35,472,59.4165,112
34,2015-06-11,59.52,59.74,59.34,59.63,217,59.557,70
35,2015-06-12,59.25,59.39,59.11,59.36,167,59.304,82
36,2015-06-15,58.81,58.97,58.59,58.93,195,58.816,73
37,2015-06-16,58.79,59.12,58.75,59.09,1393,58.917,267
38,2015-06-17,59.16,59.29,58.71,59.01,200,58.9455,60
