,date,open,high,low,close,volume,average,barCount
0,2015-04-23,58.38,59.11,58.38,58.95,928,59.027,126
1,2015-04-24,59.46,59.71,59.4,59.66,715,59.54,233
2,2015-04-27,59.95,60.48,59.94,60.11,112,60.232,45
3,2015-04-28,60.14,60.42,60.1,60.39,77,60.279,38
4,2015-04-29,59.88,60.15,59.53,59.92,247,59.9455,82
5,2015-04-30,59.44,59.55,59.19,59.33,1113,59.3345,355
6,2015-05-01,59.92,60.32,59.91,60.3,569,60.0665,161
7,2015-05-04,60.46,60.69,60.39,60.53,967,60.5525,311
8,2015-05-05,60.35,60.49,59.72,59.81,380,60.0205,155
9,2015-05-06,60.13,60.14,59.6,59.8,231,59.843,110
10,2015-05-07,59.3,59.61,59.29,59.58,224,59.4265,86
11,2015-05-08,60.6,60.92,60.55,60.71,194,60.7105,68
12,2015-05-11,60.7,60.75,60.34,60.45,294,60.6505,140
13,2015-05-12,60.24,60.57,60.24,60.39,120,60.441,58
14,2015-05-13,60.68,60.88,60.48,60.54,115,60.6635,43
15,2015-05-14,61.01,61.11,60.9,61.03,164,61.0295,57
16,2015-05-15,60.76,61.12,60.69,61.03,1235,60.9775,523
17,2015-05-18,60.81,60.92,60.63,60.81,538,60.82,217
18,2015-05-19,60.37,60.37,60.12,60.14,192,60.2115,81
19,2015-05-20,60.18,60.31,60.02,60.055,236,60.1005,75
20,2015-05-21,60.14,60.41,60.14,60.37,63,60.3575,22
21,2015-05-22,60.1,60.22,60.0,60.03,79,60.1085,27
22,2015-05-26,59.73,59.73,58.9,59.06,556,59.22,206
23,2015-05-27,59.13,59.6,58.93,59.6,112,59.268,56
24,2015-05-28,59.24,59.47,58.89,59.47,81,59.1625,52
25,2015-05-29,59.12,59.28,58.88,58.97,53,58.9955,32
26,2015-06-01,59.05,59.05,58.44,58.68,166,58.6335,84
27,2015-06-02,58.83,59.43,58.83,59.15,375,59.1635,202
28,2015-06-03,59.48,59.74,59.32,59.37,72,59.503,51
29,2015-06-04,58.86,58.86,58.31,58.42,430,58.4185,111
30,2015-06-05,57.9,58.08,57.67,57.84,296,57.8895,106
31,2015-06-08,57.86,57.97,57.64,57.83,130,57.8425,54
32,2015-06-09,57.71,57.88,57.6,57.6,164,57.723,63
33,2015-06-10,58.21,58.86,58.21,58.67,212,58.638,111
34,2015-06-11,58.8,58.8,58.55,58.69,49,58.7215,24
35,2015-06-12,58.26,58.37,58.01,58.26,184,58.1625,92
36,2015-06-15,57.68,57.99,57.52,57.84,210,57.8235,89
37,2015-06-16,57.6,57.98,57.6,57.82,170,57.791,88
38,2015-06-17,57.85,58.1,57.43,58.02,282,57.7685,190
39,2015-06-18,58.33,58.89,58.33,58.69,639,58.668,252
40,2015-06-19,58.52,58.7,58.31,58.31,150,58.4795,92
41,2015-06-22,58.89,58.97,58.76,58.83,138,58.848,72
42,2015-06-23,58.9,59.06,58.79,58.85,783,58.9525,171
43,2015-06-24,57.6,57.72,57.29,57.43,97,57.466,32
44,2015-06-25,57.49,57.49,57.07,57.11,140,57.2365,96
45,2015-06-26,57.08,57.28,56.79,56.99,145,56.894,35
46,2015-06-29,56.26,56.41,55.6,55.6,120,55.9965,85
47,2015-06-30,56.07,56.07,55.33,55.42,585,55.5035,166
48,2015-07-01,55.71,55.84,55.15,55.17,207,55.4535,77
49,2015-07-02,55.49,55.6,55.16,55.37,360,55.268,151
50,2015-07-06,54.74,54.93,54.22,54.41,148,54.599,77
51,2015-07-07,53.97,54.09,53.11,53.95,124,53.629,58
52,2015-07-08,53.42,53.42,52.58,52.67,184,52.913,76
53,2015-07-09,53.27,53.92,53.09,53.14,137,53.397,54
54,2015-07-10,54.11,54.47,54.11,54.43,110,54.338,65
55,2015-07-13,54.62,54.79,54.39,54.76,198,54.688,45
56,2015-07-14,54.9,55.06,54.87,55.025,75,55.001,62
57,2015-07-15,54.93,55.02,54.55,54.69,182,54.7935,122
58,2015-07-16,54.98,54.98,54.73,54.74,120,54.8045,59
59,2015-07-17,54.39,54.47,54.26,54.42,121,54.3945,65
60,2015-07-20,54.29,54.29,53.92,53.92,2289,54.053,624
61,2015-07-21,53.87,54.27,53.62,53.74,1101,53.904,570
62,2015-07-22,53.21,53.31,52.98,53.075,107,53.1425,51
63,2015-07-23,53.11,53.11,52.41,52.435,115,52.572,38
64,2015-07-24,52.26,52.26,51.28,51.42,753,51.615,181
65,2015-07-27,51.17,51.31,50.81,50.86,1273,51.0485,425
66,2015-07-28,51.13,51.82,51.01,51.68,187,51.523,57
67,2015-07-29,51.53,51.94,51.49,51.84,370,51.821,187
68,2015-07-30,51.85,51.92,51.7,51.91,251,51.801,125
69,2015-07-31,52.31,52.38,52.02,52.07,116,52.2205,56
70,2015-08-03,51.8,51.8,51.44,51.53,614,51.7755,30
71,2015-08-04,51.71,52.0,51.67,51.78,228,51.8095,71
72,2015-08-05,52.66,52.75,52.18,52.22,298,52.564,117
73,2015-08-06,52.14,52.21,51.91,52.07,709,52.08,186
74,2015-08-07,51.99,52.06,51.78,51.82,144,51.882,63
75,2015-08-10,51.95,52.98,51.87,52.98,589,52.7665,313
76,2015-08-11,52.09,52.1,51.53,51.73,248,51.6915,78
77,2015-08-12,51.21,51.61,50.95,51.56,337,51.243,138
78,2015-08-13,51.4,51.43,51.21,51.27,110,51.3385,40
79,2015-08-14,51.27,51.4,51.16,51.29,287,51.2555,113
80,2015-08-17,50.99,51.44,50.91,51.36,239,51.23,106
81,2015-08-18,51.1,51.13,50.89,50.96,163,51.04,41
82,2015-08-19,50.25,50.38,49.97,50.21,265,50.1555,79
83,2015-08-20,50.06,50.06,49.31,49.31,295,49.7035,91
84,2015-08-21,49.21,49.26,48.12,48.16,898,48.572,261
85,2015-08-24,47.2,47.55,45.08,46.24,1873,46.6685,312
86,2015-08-25,47.45,47.72,46.02,46.02,432,47.103,227
87,2015-08-26,46.94,47.1,46.1,46.78,1219,46.344,204
88,2015-08-27,47.25,48.47,47.25,48.28,2261,47.997,313
89,2015-08-28,48.17,48.8,48.17,48.64,228,48.56,146
90,2015-08-31,48.33,48.58,47.88,48.42,508,48.282,212
91,2015-09-01,47.45,47.46,46.45,46.66,251,46.883,114
92,2015-09-02,47.23,47.26,46.6,47.2,222,47.031,106
93,2015-09-03,47.29,47.96,47.29,47.38,253,47.5375,59
94,2015-09-04,46.51,46.62,46.14,46.475,472,46.34,334
95,2015-09-08,47.46,47.93,47.41,47.88,349,47.644,237
96,2015-09-09,48.49,48.59,47.55,47.64,157,48.03,89
97,2015-09-10,47.58,48.08,47.46,47.79,132,47.849,68
98,2015-09-11,47.64,47.73,47.43,47.65,612,47.5945,126
99,2015-09-14,47.62,47.62,47.22,47.33,199,47.3305,54
100,2015-09-15,47.2,47.66,47.2,47.57,70,47.553,33
101,2015-09-16,47.75,48.4,47.75,48.39,77,48.2895,38
102,2015-09-17,48.25,48.5,48.14,48.31,65,48.321,41
103,2015-09-18,47.24,47.56,46.99,47.05,111,47.2215,38
104,2015-09-21,47.1,47.12,46.78,46.82,115,46.9215,51
105,2015-09-22,45.84,45.84,45.25,45.49,1326,45.63,394
106,2015-09-23,45.6,45.6,44.91,44.92,264,45.303,111
107,2015-09-24,44.46,44.93,44.13,44.92,294,44.514,147
108,2015-09-25,45.27,45.29,44.63,44.86,108,45.0155,76
109,2015-09-28,44.23,44.23,43.28,43.3,283,43.741,65
110,2015-09-29,43.56,43.75,43.33,43.51,598,43.543,182
111,2015-09-30,44.09,44.57,43.97,44.44,2106,44.305,623
112,2015-10-01,44.73,44.74,44.24,44.69,184,44.6065,66
113,2015-10-02,44.5,45.88,44.5,45.88,91,44.9995,47
114,2015-10-05,46.38,47.03,46.38,47.03,141,46.8525,70
115,2015-10-06,47.08,47.65,47.08,47.5,470,47.428,124
116,2015-10-07,48.42,48.78,48.19,48.72,514,48.5325,208
117,2015-10-08,48.51,49.42,48.51,49.26,477,49.0405,83
118,2015-10-09,49.81,50.11,49.74,49.89,165,49.92,71
119,2015-10-12,49.74,49.74,49.31,49.33,428,49.396,253
120,2015-10-13,48.61,49.16,48.61,48.8,449,48.9405,223
121,2015-10-14,48.79,49.24,48.75,49.18,396,48.85,106
122,2015-10-15,49.32,49.65,49.15,49.62,92,49.4495,43
123,2015-10-16,49.44,49.44,49.08,49.27,100,49.235,58
124,2015-10-19,48.65,48.77,48.54,48.61,56,48.648,20
125,2015-10-20,48.41,48.84,48.41,48.56,79,48.6425,46
126,2015-10-21,49.02,49.02,48.55,48.56,110,48.7565,45
127,2015-10-22,49.18,49.68,49.18,49.56,97,49.538,36
128,2015-10-23,49.99,50.19,49.86,50.06,68,50.0285,31
129,2015-10-26,50.08,50.14,49.71,49.71,195,49.8885,62
130,2015-10-27,49.14,49.2,48.82,48.98,323,48.995,112
131,2015-10-28,49.09,49.64,48.85,49.34,86,49.422,39
132,2015-10-29,48.77,49.1,48.77,48.93,48,48.899,18
133,2015-10-30,49.0,49.25,48.95,48.95,42,49.044,17
134,2015-11-02,49.06,49.48,49.05,49.38,62,49.2995,28
135,2015-11-03,49.29,49.97,49.29,49.82,149,49.752,72
136,2015-11-04,49.88,49.88,49.35,49.45,201,49.514,71
137,2015-11-05,49.29,49.29,48.78,49.04,100,48.988,54
138,2015-11-06,48.64,48.73,48.32,48.66,204,48.523,71
139,2015-11-09,48.5,48.5,47.88,48.21,277,48.1585,100
140,2015-11-10,47.8,47.94,47.65,47.82,222,47.8135,121
141,2015-11-11,48.11,48.17,47.69,47.88,183,47.9525,89
142,2015-11-12,47.24,47.32,46.96,46.96,112,47.1645,56
143,2015-11-13,46.99,47.21,46.7,47.03,315,47.043,152
144,2015-11-16,47.15,47.6,47.03,47.6,176,47.3315,81
145,2015-11-17,47.6,47.81,47.42,47.53,473,47.608,300
146,2015-11-18,47.59,48.08,47.59,48.05,262,47.8055,177
147,2015-11-19,48.28,48.56,48.28,48.39,94,48.4375,55
148,2015-11-20,48.31,48.38,48.1,48.16,82,48.255,49
149,2015-11-23,48.12,48.32,47.88,47.91,149,48.063,76
150,2015-11-24,47.74,48.29,47.71,48.19,152,48.0945,50
151,2015-11-25,48.21,48.31,48.03,48.03,315,48.1395,141
152,2015-11-27,47.83,47.85,47.72,47.78,32,47.8055,15
153,2015-11-30,47.71,47.94,47.52,47.76,256,47.8405,126
154,2015-12-01,47.82,48.07,47.71,48.06,118,47.891,53
155,2015-12-02,47.63,47.73,47.15,47.27,292,47.4425,123
156,2015-12-03,47.38,47.39,46.7,46.93,146,46.954,69
157,2015-12-04,46.83,47.57,46.83,47.54,186,47.3555,123
158,2015-12-07,47.17,47.17,46.6,46.72,154,46.7005,64
159,2015-12-08,45.7,45.83,45.46,45.65,361,45.6585,140
160,2015-12-09,46.11,46.86,45.98,46.27,489,46.1905,80
161,2015-12-10,46.41,46.58,46.19,46.22,429,46.359,167
162,2015-12-11,45.39,45.59,45.12,45.12,129,45.3375,53
163,2015-12-14,45.16,45.17,44.46,44.7,257,44.7255,117
