,date,open,high,low,close,volume,average,barCount
0,2016-03-24,3.4,3.4,3.01,3.05,543,3.151305,188
1,2016-03-28,3.04,3.05,2.9,2.99,487,2.96591,149
2,2016-03-29,3.0,3.05,2.8,2.84,316,2.90285,125
3,2016-03-30,3.04,3.04,2.8001,2.94,147,2.84446,69
4,2016-03-31,2.9,3.0032,2.78,2.84,300,2.82655,153
5,2016-04-01,2.79,2.855,2.79,2.83,131,2.81324,63
6,2016-04-04,2.83,2.89,2.79,2.86,106,2.85553,53
7,2016-04-05,2.8729,2.88,2.8,2.8711,153,2.84335,54
8,2016-04-06,2.9,3.17,2.87,3.16,612,3.02126,206
9,2016-04-07,3.16,3.1999,2.88,3.14,255,3.055815,90
10,2016-04-08,3.1735,3.1824,3.11,3.14,110,3.14548,39
11,2016-04-11,3.16,3.43,3.16,3.37,490,3.38014,129
12,2016-04-12,3.33,3.41,3.16,3.4099,190,3.37255,67
13,2016-04-13,3.37,3.42,3.32,3.42,178,3.388515,79
14,2016-04-14,3.42,3.43,3.42,3.4299,134,3.426195,49
15,2016-04-15,3.436,3.69,3.436,3.6,1012,3.571585,305
16,2016-04-18,3.5815,3.7299,3.56,3.63,297,3.63025,82
17,2016-04-19,3.7,3.73,3.55,3.55,103,3.638135,63
18,2016-04-20,3.6732,3.68,3.62,3.65,211,3.646505,81
19,2016-04-21,3.7055,3.72,3.5977,3.72,105,3.68561,50
20,2016-04-22,3.7299,3.86,3.67,3.84,187,3.81353,81
21,2016-04-25,3.86,3.93,3.85,3.9,217,3.878095,65
22,2016-04-26,3.9,4.04,3.88,4.01,239,3.986905,101
23,2016-04-27,3.9655,4.0356,3.9655,3.981,149,3.99069,45
24,2016-04-28,3.95,4.059,3.95,3.99,114,3.99671,46
25,2016-04-29,3.95,4.0,3.67,3.67,272,3.92671,77
26,2016-05-02,3.82,3.9899,3.8,3.8501,79,3.848975,36
27,2016-05-03,3.81,3.85,3.7001,3.755,89,3.760105,50
28,2016-05-04,3.7501,3.801,3.71,3.72,58,3.74106,37
29,2016-05-05,3.77,3.95,3.6601,3.67,73,3.70862,46
30,2016-05-06,3.68,3.76,3.6701,3.73,35,3.70412,21
31,2016-05-09,3.7,3.7,3.6,3.6489,236,3.640265,91
32,2016-05-10,3.68,3.68,3.64,3.64,45,3.649955,13
33,2016-05-11,3.7151,3.7151,3.617,3.63,38,3.643485,17
34,2016-05-12,3.61,3.69,3.61,3.64,40,3.636865,15
35,2016-05-13,3.65,3.67,3.65,3.66,49,3.652415,13
36,2016-05-16,3.66,3.68,3.65,3.67,40,3.663135,18
37,2016-05-17,3.69,3.7499,3.6501,3.6501,25,3.699485,11
38,2016-05-18,3.61,3.7,3.61,3.65,81,3.66248,36
