(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 0.8, -0.2, 3.3), Return: 1.48%, Hit Ratio: 88.89%, Max Drawdown: 0.83%
(100, 0.8, -0.2, 3.3): Return: 1.48%, Hit Ratio: 88.89%, Max Drawdown: 0.83%
(100, 0.8, -0.2, 3.4): Return: 1.48%, Hit Ratio: 88.89%, Max Drawdown: 0.83%
(100, 0.8, -0.2, 3.5): Return: 1.48%, Hit Ratio: 88.89%, Max Drawdown: 0.83%
(100, 0.8, -0.2, 3.6): Return: 1.48%, Hit Ratio: 88.89%, Max Drawdown: 0.83%
(100, 0.8, -0.2, 3.7): Return: 1.48%, Hit Ratio: 88.89%, Max Drawdown: 0.83%
(90, 0.8, -0.1, 3.7): Return: 1.47%, Hit Ratio: 92.31%, Max Drawdown: 0.55%
(100, 0.9, -0.2, 3.3): Return: 1.47%, Hit Ratio: 87.88%, Max Drawdown: 0.83%
(100, 0.9, -0.2, 3.4): Return: 1.47%, Hit Ratio: 87.88%, Max Drawdown: 0.83%
(100, 0.9, -0.2, 3.5): Return: 1.47%, Hit Ratio: 87.88%, Max Drawdown: 0.83%
(100, 0.9, -0.2, 3.6): Return: 1.47%, Hit Ratio: 87.88%, Max Drawdown: 0.83%
(100, 0.9, -0.2, 3.7): Return: 1.47%, Hit Ratio: 87.88%, Max Drawdown: 0.83%
(100, 1.0, -0.2, 3.3): Return: 1.47%, Hit Ratio: 93.33%, Max Drawdown: 0.8%
(100, 1.0, -0.2, 3.4): Return: 1.47%, Hit Ratio: 93.33%, Max Drawdown: 0.8%
(100, 1.0, -0.2, 3.5): Return: 1.47%, Hit Ratio: 93.33%, Max Drawdown: 0.8%
(100, 1.0, -0.2, 3.6): Return: 1.47%, Hit Ratio: 93.33%, Max Drawdown: 0.8%
(100, 1.0, -0.2, 3.7): Return: 1.47%, Hit Ratio: 93.33%, Max Drawdown: 0.8%
(100, 1.1, -0.2, 3.3): Return: 1.47%, Hit Ratio: 92.86%, Max Drawdown: 0.8%
(100, 1.1, -0.2, 3.4): Return: 1.47%, Hit Ratio: 92.86%, Max Drawdown: 0.8%
(100, 1.1, -0.2, 3.5): Return: 1.47%, Hit Ratio: 92.86%, Max Drawdown: 0.8%
(100, 1.1, -0.2, 3.6): Return: 1.47%, Hit Ratio: 92.86%, Max Drawdown: 0.8%
(100, 1.1, -0.2, 3.7): Return: 1.47%, Hit Ratio: 92.86%, Max Drawdown: 0.8%
(100, 1.2, -0.2, 3.3): Return: 1.47%, Hit Ratio: 96.3%, Max Drawdown: 0.8%
(100, 1.2, -0.2, 3.4): Return: 1.47%, Hit Ratio: 96.3%, Max Drawdown: 0.8%
(100, 1.2, -0.2, 3.5): Return: 1.47%, Hit Ratio: 96.3%, Max Drawdown: 0.8%
(100, 1.2, -0.2, 3.6): Return: 1.47%, Hit Ratio: 96.3%, Max Drawdown: 0.8%
(100, 1.2, -0.2, 3.7): Return: 1.47%, Hit Ratio: 96.3%, Max Drawdown: 0.8%
(90, 0.9, -0.1, 3.7): Return: 1.46%, Hit Ratio: 91.43%, Max Drawdown: 0.55%
(90, 1.0, -0.1, 3.7): Return: 1.45%, Hit Ratio: 90.91%, Max Drawdown: 0.55%
(90, 1.1, -0.1, 3.7): Return: 1.45%, Hit Ratio: 93.55%, Max Drawdown: 0.55%
(90, 1.2, -0.1, 3.7): Return: 1.45%, Hit Ratio: 93.33%, Max Drawdown: 0.55%
(90, 0.8, -0.1, 3.3): Return: 1.41%, Hit Ratio: 92.11%, Max Drawdown: 0.55%
(90, 0.8, -0.1, 3.4): Return: 1.41%, Hit Ratio: 92.11%, Max Drawdown: 0.55%
(90, 0.8, -0.1, 3.5): Return: 1.41%, Hit Ratio: 92.11%, Max Drawdown: 0.55%
(90, 0.8, -0.1, 3.6): Return: 1.41%, Hit Ratio: 92.11%, Max Drawdown: 0.55%
(90, 0.9, -0.1, 3.3): Return: 1.4%, Hit Ratio: 91.18%, Max Drawdown: 0.55%
(90, 0.9, -0.1, 3.4): Return: 1.4%, Hit Ratio: 91.18%, Max Drawdown: 0.55%
(90, 0.9, -0.1, 3.5): Return: 1.4%, Hit Ratio: 91.18%, Max Drawdown: 0.55%
(90, 0.9, -0.1, 3.6): Return: 1.4%, Hit Ratio: 91.18%, Max Drawdown: 0.55%
(90, 1.0, -0.1, 3.3): Return: 1.39%, Hit Ratio: 90.62%, Max Drawdown: 0.55%
(90, 1.0, -0.1, 3.4): Return: 1.39%, Hit Ratio: 90.62%, Max Drawdown: 0.55%
(90, 1.0, -0.1, 3.5): Return: 1.39%, Hit Ratio: 90.62%, Max Drawdown: 0.55%
(90, 1.0, -0.1, 3.6): Return: 1.39%, Hit Ratio: 90.62%, Max Drawdown: 0.55%
(90, 1.1, -0.1, 3.3): Return: 1.39%, Hit Ratio: 93.33%, Max Drawdown: 0.55%
(90, 1.1, -0.1, 3.4): Return: 1.39%, Hit Ratio: 93.33%, Max Drawdown: 0.55%
(90, 1.1, -0.1, 3.5): Return: 1.39%, Hit Ratio: 93.33%, Max Drawdown: 0.55%
(90, 1.1, -0.1, 3.6): Return: 1.39%, Hit Ratio: 93.33%, Max Drawdown: 0.55%
