(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 1.0, 0.1, 3.1), Return: 0.33%, Hit Ratio: 84.31%, Max Drawdown: 0.09%
(30, 1.0, 0.1, 3.1): Return: 0.33%, Hit Ratio: 84.31%, Max Drawdown: 0.09%
(30, 1.0, 0.1, 3.2): Return: 0.33%, Hit Ratio: 84.31%, Max Drawdown: 0.09%
(35, 0.8, 0.2, 3.1): Return: 0.32%, Hit Ratio: 82.54%, Max Drawdown: 0.09%
(35, 0.8, 0.2, 3.2): Return: 0.32%, Hit Ratio: 82.54%, Max Drawdown: 0.09%
(30, 0.8, 0.1, 3.0): Return: 0.32%, Hit Ratio: 80.36%, Max Drawdown: 0.09%
(30, 0.8, 0.1, 3.1): Return: 0.32%, Hit Ratio: 80.7%, Max Drawdown: 0.09%
(30, 0.8, 0.1, 3.2): Return: 0.32%, Hit Ratio: 80.7%, Max Drawdown: 0.09%
(30, 0.9, 0.1, 3.0): Return: 0.32%, Hit Ratio: 80.77%, Max Drawdown: 0.09%
(30, 0.9, 0.1, 3.1): Return: 0.32%, Hit Ratio: 81.13%, Max Drawdown: 0.09%
(30, 0.9, 0.1, 3.2): Return: 0.32%, Hit Ratio: 81.13%, Max Drawdown: 0.09%
(30, 1.0, 0.1, 2.8): Return: 0.32%, Hit Ratio: 81.63%, Max Drawdown: 0.09%
(30, 1.0, 0.1, 2.9): Return: 0.32%, Hit Ratio: 83.33%, Max Drawdown: 0.09%
(30, 1.0, 0.1, 3.0): Return: 0.32%, Hit Ratio: 84.0%, Max Drawdown: 0.09%
(30, 1.1, 0.1, 2.9): Return: 0.32%, Hit Ratio: 86.05%, Max Drawdown: 0.09%
(30, 1.1, 0.1, 3.0): Return: 0.32%, Hit Ratio: 86.67%, Max Drawdown: 0.09%
(30, 1.1, 0.1, 3.1): Return: 0.32%, Hit Ratio: 86.96%, Max Drawdown: 0.09%
(30, 1.1, 0.1, 3.2): Return: 0.32%, Hit Ratio: 86.96%, Max Drawdown: 0.09%
(35, 0.8, 0.2, 3.1): Return: 0.32%, Hit Ratio: 82.54%, Max Drawdown: 0.09%
(35, 0.8, 0.2, 3.2): Return: 0.32%, Hit Ratio: 82.54%, Max Drawdown: 0.09%
(35, 0.8, 0.0, 2.8): Return: 0.31%, Hit Ratio: 82.46%, Max Drawdown: 0.09%
(35, 0.8, 0.0, 2.9): Return: 0.31%, Hit Ratio: 82.46%, Max Drawdown: 0.09%
(35, 0.8, 0.0, 3.1): Return: 0.31%, Hit Ratio: 84.21%, Max Drawdown: 0.09%
(35, 0.8, 0.0, 3.2): Return: 0.31%, Hit Ratio: 84.21%, Max Drawdown: 0.09%
(35, 0.8, 0.1, 2.8): Return: 0.31%, Hit Ratio: 81.03%, Max Drawdown: 0.09%
(35, 0.8, 0.1, 2.9): Return: 0.31%, Hit Ratio: 81.03%, Max Drawdown: 0.09%
(35, 0.8, 0.1, 3.0): Return: 0.31%, Hit Ratio: 81.03%, Max Drawdown: 0.09%
(35, 0.8, 0.1, 3.1): Return: 0.31%, Hit Ratio: 82.76%, Max Drawdown: 0.09%
(35, 0.8, 0.1, 3.2): Return: 0.31%, Hit Ratio: 82.76%, Max Drawdown: 0.09%
