(Lookback, Entry, Exit, Stop-loss)
Best HPs: (90, 0.8, -0.7, 2.3), Return: 0.48%, Hit Ratio: 90.32%, Max Drawdown: 0.12%
(90, 0.8, -0.7, 2.3): Return: 0.48%, Hit Ratio: 90.32%, Max Drawdown: 0.12%
(90, 0.8, -0.7, 2.4): Return: 0.48%, Hit Ratio: 90.32%, Max Drawdown: 0.12%
(90, 0.8, -0.7, 2.5): Return: 0.46%, Hit Ratio: 93.33%, Max Drawdown: 0.12%
(90, 0.8, -0.6, 2.3): Return: 0.46%, Hit Ratio: 90.32%, Max Drawdown: 0.12%
(90, 0.8, -0.6, 2.4): Return: 0.46%, Hit Ratio: 90.32%, Max Drawdown: 0.12%
(90, 0.8, -0.5, 2.3): Return: 0.46%, Hit Ratio: 90.32%, Max Drawdown: 0.12%
(90, 0.8, -0.5, 2.4): Return: 0.46%, Hit Ratio: 90.32%, Max Drawdown: 0.12%
(90, 0.9, -0.7, 2.3): Return: 0.46%, Hit Ratio: 89.29%, Max Drawdown: 0.12%
(90, 0.9, -0.7, 2.4): Return: 0.46%, Hit Ratio: 89.29%, Max Drawdown: 0.12%
(100, 0.8, -0.7, 2.3): Return: 0.46%, Hit Ratio: 83.87%, Max Drawdown: 0.12%
(100, 0.8, -0.6, 2.3): Return: 0.46%, Hit Ratio: 87.88%, Max Drawdown: 0.12%
(90, 0.8, -0.4, 2.5): Return: 0.45%, Hit Ratio: 88.24%, Max Drawdown: 0.12%
(105, 0.8, -0.6, 2.3): Return: 0.45%, Hit Ratio: 90.62%, Max Drawdown: 0.12%
(105, 0.8, -0.6, 2.4): Return: 0.45%, Hit Ratio: 90.62%, Max Drawdown: 0.12%
(105, 0.8, -0.6, 2.5): Return: 0.45%, Hit Ratio: 90.62%, Max Drawdown: 0.12%
(100, 0.8, -0.6, 2.4): Return: 0.45%, Hit Ratio: 93.55%, Max Drawdown: 0.12%
(100, 0.8, -0.6, 2.5): Return: 0.45%, Hit Ratio: 93.55%, Max Drawdown: 0.12%
(105, 0.8, -0.6, 2.3): Return: 0.45%, Hit Ratio: 90.62%, Max Drawdown: 0.12%
(105, 0.8, -0.6, 2.4): Return: 0.45%, Hit Ratio: 90.62%, Max Drawdown: 0.12%
(105, 0.8, -0.6, 2.5): Return: 0.45%, Hit Ratio: 90.62%, Max Drawdown: 0.12%
(90, 0.8, -0.6, 2.5): Return: 0.44%, Hit Ratio: 93.33%, Max Drawdown: 0.12%
(90, 0.8, -0.5, 2.5): Return: 0.44%, Hit Ratio: 93.33%, Max Drawdown: 0.12%
(90, 0.8, -0.4, 2.3): Return: 0.44%, Hit Ratio: 85.71%, Max Drawdown: 0.12%
(90, 0.8, -0.4, 2.4): Return: 0.44%, Hit Ratio: 85.71%, Max Drawdown: 0.12%
(90, 0.9, -0.7, 2.5): Return: 0.44%, Hit Ratio: 92.59%, Max Drawdown: 0.12%
(90, 0.9, -0.6, 2.3): Return: 0.44%, Hit Ratio: 89.29%, Max Drawdown: 0.12%
(90, 0.9, -0.6, 2.4): Return: 0.44%, Hit Ratio: 89.29%, Max Drawdown: 0.12%
(90, 0.9, -0.5, 2.3): Return: 0.44%, Hit Ratio: 89.29%, Max Drawdown: 0.12%
(90, 0.9, -0.5, 2.4): Return: 0.44%, Hit Ratio: 89.29%, Max Drawdown: 0.12%
(105, 0.8, -0.7, 2.3): Return: 0.44%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(105, 0.8, -0.7, 2.4): Return: 0.44%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(105, 0.8, -0.7, 2.5): Return: 0.44%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(100, 0.8, -0.7, 2.4): Return: 0.44%, Hit Ratio: 89.66%, Max Drawdown: 0.12%
(100, 0.8, -0.7, 2.5): Return: 0.44%, Hit Ratio: 89.66%, Max Drawdown: 0.12%
(100, 0.8, -0.5, 2.3): Return: 0.44%, Hit Ratio: 85.71%, Max Drawdown: 0.12%
(100, 0.8, -0.5, 2.4): Return: 0.44%, Hit Ratio: 87.88%, Max Drawdown: 0.12%
(100, 0.8, -0.5, 2.5): Return: 0.44%, Hit Ratio: 87.88%, Max Drawdown: 0.12%
(100, 0.8, -0.4, 2.4): Return: 0.44%, Hit Ratio: 88.57%, Max Drawdown: 0.12%
(100, 0.8, -0.4, 2.5): Return: 0.44%, Hit Ratio: 88.57%, Max Drawdown: 0.12%
(100, 0.9, -0.6, 2.3): Return: 0.44%, Hit Ratio: 88.89%, Max Drawdown: 0.12%
(100, 1.0, -0.6, 2.3): Return: 0.44%, Hit Ratio: 89.29%, Max Drawdown: 0.12%
(105, 0.8, -0.7, 2.3): Return: 0.44%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(105, 0.8, -0.7, 2.4): Return: 0.44%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(105, 0.8, -0.7, 2.5): Return: 0.44%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(110, 0.8, -0.6, 2.3): Return: 0.44%, Hit Ratio: 84.38%, Max Drawdown: 0.12%
(110, 0.8, -0.6, 2.4): Return: 0.44%, Hit Ratio: 84.38%, Max Drawdown: 0.12%
(110, 0.8, -0.6, 2.5): Return: 0.44%, Hit Ratio: 84.38%, Max Drawdown: 0.12%
(110, 0.8, -0.6, 2.6): Return: 0.44%, Hit Ratio: 84.38%, Max Drawdown: 0.12%
(90, 0.9, -0.6, 2.5): Return: 0.43%, Hit Ratio: 92.59%, Max Drawdown: 0.12%
(90, 0.9, -0.4, 2.3): Return: 0.43%, Hit Ratio: 84.38%, Max Drawdown: 0.12%
(90, 0.9, -0.4, 2.4): Return: 0.43%, Hit Ratio: 84.38%, Max Drawdown: 0.12%
(90, 0.9, -0.4, 2.5): Return: 0.43%, Hit Ratio: 87.1%, Max Drawdown: 0.12%
(105, 0.8, -0.5, 2.3): Return: 0.43%, Hit Ratio: 87.88%, Max Drawdown: 0.12%
(105, 0.8, -0.5, 2.4): Return: 0.43%, Hit Ratio: 87.88%, Max Drawdown: 0.12%
(105, 0.8, -0.5, 2.5): Return: 0.43%, Hit Ratio: 87.88%, Max Drawdown: 0.12%
(105, 0.8, -0.4, 2.3): Return: 0.43%, Hit Ratio: 88.24%, Max Drawdown: 0.12%
(105, 0.8, -0.4, 2.4): Return: 0.43%, Hit Ratio: 88.24%, Max Drawdown: 0.12%
(105, 0.8, -0.4, 2.5): Return: 0.43%, Hit Ratio: 88.24%, Max Drawdown: 0.12%
(105, 0.8, -0.3, 2.3): Return: 0.43%, Hit Ratio: 88.57%, Max Drawdown: 0.12%
(105, 0.8, -0.3, 2.4): Return: 0.43%, Hit Ratio: 88.57%, Max Drawdown: 0.12%
(105, 0.8, -0.3, 2.5): Return: 0.43%, Hit Ratio: 88.57%, Max Drawdown: 0.12%
(105, 0.9, -0.7, 2.3): Return: 0.43%, Hit Ratio: 88.0%, Max Drawdown: 0.12%
(105, 0.9, -0.7, 2.4): Return: 0.43%, Hit Ratio: 88.0%, Max Drawdown: 0.12%
(105, 0.9, -0.7, 2.5): Return: 0.43%, Hit Ratio: 88.0%, Max Drawdown: 0.12%
(105, 0.9, -0.6, 2.3): Return: 0.43%, Hit Ratio: 92.59%, Max Drawdown: 0.12%
(105, 0.9, -0.6, 2.4): Return: 0.43%, Hit Ratio: 92.59%, Max Drawdown: 0.12%
(105, 0.9, -0.6, 2.5): Return: 0.43%, Hit Ratio: 92.59%, Max Drawdown: 0.12%
(100, 0.8, -0.4, 2.3): Return: 0.43%, Hit Ratio: 83.78%, Max Drawdown: 0.12%
(100, 0.9, -0.7, 2.3): Return: 0.43%, Hit Ratio: 84.62%, Max Drawdown: 0.12%
(100, 0.9, -0.6, 2.4): Return: 0.43%, Hit Ratio: 96.0%, Max Drawdown: 0.12%
(100, 0.9, -0.6, 2.5): Return: 0.43%, Hit Ratio: 96.0%, Max Drawdown: 0.12%
(100, 1.0, -0.7, 2.3): Return: 0.43%, Hit Ratio: 85.19%, Max Drawdown: 0.12%
(100, 1.0, -0.6, 2.4): Return: 0.43%, Hit Ratio: 96.15%, Max Drawdown: 0.12%
(100, 1.0, -0.6, 2.5): Return: 0.43%, Hit Ratio: 96.15%, Max Drawdown: 0.12%
(105, 0.8, -0.5, 2.3): Return: 0.43%, Hit Ratio: 87.88%, Max Drawdown: 0.12%
(105, 0.8, -0.5, 2.4): Return: 0.43%, Hit Ratio: 87.88%, Max Drawdown: 0.12%
(105, 0.8, -0.5, 2.5): Return: 0.43%, Hit Ratio: 87.88%, Max Drawdown: 0.12%
(105, 0.8, -0.4, 2.3): Return: 0.43%, Hit Ratio: 88.24%, Max Drawdown: 0.12%
(105, 0.8, -0.4, 2.4): Return: 0.43%, Hit Ratio: 88.24%, Max Drawdown: 0.12%
(105, 0.8, -0.4, 2.5): Return: 0.43%, Hit Ratio: 88.24%, Max Drawdown: 0.12%
(105, 0.8, -0.3, 2.3): Return: 0.43%, Hit Ratio: 88.57%, Max Drawdown: 0.12%
(105, 0.8, -0.3, 2.4): Return: 0.43%, Hit Ratio: 88.57%, Max Drawdown: 0.12%
(105, 0.8, -0.3, 2.5): Return: 0.43%, Hit Ratio: 88.57%, Max Drawdown: 0.12%
(105, 0.9, -0.7, 2.3): Return: 0.43%, Hit Ratio: 88.0%, Max Drawdown: 0.12%
(105, 0.9, -0.7, 2.4): Return: 0.43%, Hit Ratio: 88.0%, Max Drawdown: 0.12%
(105, 0.9, -0.7, 2.5): Return: 0.43%, Hit Ratio: 88.0%, Max Drawdown: 0.12%
(105, 0.9, -0.6, 2.3): Return: 0.43%, Hit Ratio: 92.59%, Max Drawdown: 0.12%
(105, 0.9, -0.6, 2.4): Return: 0.43%, Hit Ratio: 92.59%, Max Drawdown: 0.12%
(105, 0.9, -0.6, 2.5): Return: 0.43%, Hit Ratio: 92.59%, Max Drawdown: 0.12%
(110, 0.8, -0.7, 2.3): Return: 0.43%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(110, 0.8, -0.7, 2.4): Return: 0.43%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(110, 0.8, -0.7, 2.5): Return: 0.43%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(110, 0.8, -0.7, 2.6): Return: 0.43%, Hit Ratio: 86.21%, Max Drawdown: 0.12%
(110, 0.8, -0.5, 2.3): Return: 0.43%, Hit Ratio: 84.85%, Max Drawdown: 0.12%
(110, 0.8, -0.5, 2.4): Return: 0.43%, Hit Ratio: 84.85%, Max Drawdown: 0.12%
(110, 0.8, -0.5, 2.5): Return: 0.43%, Hit Ratio: 84.85%, Max Drawdown: 0.12%
(110, 0.8, -0.5, 2.6): Return: 0.43%, Hit Ratio: 84.85%, Max Drawdown: 0.12%
(110, 0.9, -0.6, 2.3): Return: 0.43%, Hit Ratio: 85.71%, Max Drawdown: 0.12%
(110, 0.9, -0.6, 2.4): Return: 0.43%, Hit Ratio: 85.71%, Max Drawdown: 0.12%
