(Lookback, Entry, Exit, Stop-loss)
Best HPs: (90, 0.8, -0.7, 2.4), Return: 0.56%, Hit Ratio: 87.5%, Max Drawdown: 0.04%
(90, 0.8, -0.7, 2.4): Return: 0.56%, Hit Ratio: 87.5%, Max Drawdown: 0.04%
(90, 0.8, -0.7, 2.5): Return: 0.56%, Hit Ratio: 87.5%, Max Drawdown: 0.04%
(110, 0.8, -0.7, 2.4): Return: 0.56%, Hit Ratio: 86.49%, Max Drawdown: 0.03%
(110, 0.8, -0.7, 2.5): Return: 0.56%, Hit Ratio: 86.49%, Max Drawdown: 0.03%
(110, 0.8, -0.7, 2.6): Return: 0.56%, Hit Ratio: 86.49%, Max Drawdown: 0.03%
(110, 0.8, -0.6, 2.4): Return: 0.56%, Hit Ratio: 84.62%, Max Drawdown: 0.03%
(110, 0.8, -0.6, 2.5): Return: 0.56%, Hit Ratio: 84.62%, Max Drawdown: 0.03%
(110, 0.8, -0.6, 2.6): Return: 0.56%, Hit Ratio: 84.62%, Max Drawdown: 0.03%
(90, 0.8, -0.7, 2.3): Return: 0.55%, Hit Ratio: 85.0%, Max Drawdown: 0.04%
(90, 0.9, -0.7, 2.4): Return: 0.55%, Hit Ratio: 83.78%, Max Drawdown: 0.04%
(90, 0.9, -0.7, 2.5): Return: 0.55%, Hit Ratio: 83.78%, Max Drawdown: 0.04%
(105, 0.8, -0.7, 2.4): Return: 0.55%, Hit Ratio: 81.58%, Max Drawdown: 0.03%
(105, 0.8, -0.7, 2.5): Return: 0.55%, Hit Ratio: 84.21%, Max Drawdown: 0.03%
(105, 0.8, -0.6, 2.3): Return: 0.55%, Hit Ratio: 80.0%, Max Drawdown: 0.03%
(105, 0.8, -0.6, 2.4): Return: 0.55%, Hit Ratio: 80.0%, Max Drawdown: 0.03%
(105, 0.8, -0.6, 2.5): Return: 0.55%, Hit Ratio: 82.5%, Max Drawdown: 0.03%
(105, 0.9, -0.7, 2.4): Return: 0.55%, Hit Ratio: 83.33%, Max Drawdown: 0.03%
(105, 0.9, -0.7, 2.5): Return: 0.55%, Hit Ratio: 86.11%, Max Drawdown: 0.03%
(105, 0.9, -0.6, 2.4): Return: 0.55%, Hit Ratio: 81.58%, Max Drawdown: 0.03%
(105, 0.9, -0.6, 2.5): Return: 0.55%, Hit Ratio: 84.21%, Max Drawdown: 0.03%
(100, 0.8, -0.7, 2.3): Return: 0.55%, Hit Ratio: 82.05%, Max Drawdown: 0.03%
(100, 0.8, -0.7, 2.4): Return: 0.55%, Hit Ratio: 86.84%, Max Drawdown: 0.03%
(100, 0.8, -0.7, 2.5): Return: 0.55%, Hit Ratio: 86.84%, Max Drawdown: 0.03%
(100, 0.8, -0.6, 2.3): Return: 0.55%, Hit Ratio: 82.5%, Max Drawdown: 0.03%
(100, 0.8, -0.6, 2.4): Return: 0.55%, Hit Ratio: 87.18%, Max Drawdown: 0.03%
(100, 0.8, -0.6, 2.5): Return: 0.55%, Hit Ratio: 87.18%, Max Drawdown: 0.03%
(100, 1.0, -0.7, 2.5): Return: 0.55%, Hit Ratio: 85.29%, Max Drawdown: 0.02%
(100, 1.0, -0.6, 2.4): Return: 0.55%, Hit Ratio: 85.71%, Max Drawdown: 0.02%
(100, 1.0, -0.6, 2.5): Return: 0.55%, Hit Ratio: 85.71%, Max Drawdown: 0.02%
(105, 0.8, -0.7, 2.4): Return: 0.55%, Hit Ratio: 81.58%, Max Drawdown: 0.03%
(105, 0.8, -0.7, 2.5): Return: 0.55%, Hit Ratio: 84.21%, Max Drawdown: 0.03%
(105, 0.8, -0.6, 2.3): Return: 0.55%, Hit Ratio: 80.0%, Max Drawdown: 0.03%
(105, 0.8, -0.6, 2.4): Return: 0.55%, Hit Ratio: 80.0%, Max Drawdown: 0.03%
(105, 0.8, -0.6, 2.5): Return: 0.55%, Hit Ratio: 82.5%, Max Drawdown: 0.03%
(105, 0.9, -0.7, 2.4): Return: 0.55%, Hit Ratio: 83.33%, Max Drawdown: 0.03%
(105, 0.9, -0.7, 2.5): Return: 0.55%, Hit Ratio: 86.11%, Max Drawdown: 0.03%
(105, 0.9, -0.6, 2.4): Return: 0.55%, Hit Ratio: 81.58%, Max Drawdown: 0.03%
(105, 0.9, -0.6, 2.5): Return: 0.55%, Hit Ratio: 84.21%, Max Drawdown: 0.03%
(110, 0.8, -0.7, 2.3): Return: 0.55%, Hit Ratio: 83.78%, Max Drawdown: 0.03%
(110, 0.8, -0.6, 2.3): Return: 0.55%, Hit Ratio: 82.05%, Max Drawdown: 0.03%
(110, 0.9, -0.7, 2.4): Return: 0.55%, Hit Ratio: 88.57%, Max Drawdown: 0.03%
(110, 0.9, -0.7, 2.5): Return: 0.55%, Hit Ratio: 88.57%, Max Drawdown: 0.03%
(110, 0.9, -0.7, 2.6): Return: 0.55%, Hit Ratio: 88.57%, Max Drawdown: 0.03%
(110, 0.9, -0.6, 2.4): Return: 0.55%, Hit Ratio: 86.49%, Max Drawdown: 0.03%
(110, 0.9, -0.6, 2.5): Return: 0.55%, Hit Ratio: 86.49%, Max Drawdown: 0.03%
(110, 0.9, -0.6, 2.6): Return: 0.55%, Hit Ratio: 86.49%, Max Drawdown: 0.03%
(90, 0.9, -0.7, 2.3): Return: 0.54%, Hit Ratio: 81.08%, Max Drawdown: 0.04%
(90, 0.9, -0.4, 2.4): Return: 0.54%, Hit Ratio: 87.5%, Max Drawdown: 0.03%
(90, 0.9, -0.4, 2.5): Return: 0.54%, Hit Ratio: 87.5%, Max Drawdown: 0.03%
(105, 0.8, -0.7, 2.3): Return: 0.54%, Hit Ratio: 81.58%, Max Drawdown: 0.03%
(105, 0.9, -0.7, 2.3): Return: 0.54%, Hit Ratio: 82.86%, Max Drawdown: 0.03%
(105, 0.9, -0.6, 2.3): Return: 0.54%, Hit Ratio: 81.08%, Max Drawdown: 0.03%
(105, 1.0, -0.7, 2.4): Return: 0.54%, Hit Ratio: 78.79%, Max Drawdown: 0.02%
(105, 1.0, -0.7, 2.5): Return: 0.54%, Hit Ratio: 81.82%, Max Drawdown: 0.02%
(105, 1.0, -0.6, 2.4): Return: 0.54%, Hit Ratio: 77.14%, Max Drawdown: 0.02%
(105, 1.0, -0.6, 2.5): Return: 0.54%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
