,date,open,high,low,close,volume,average,barCount
0,2021-01-22 09:30:00,1.73,1.74,1.7223,1.7223,48,1.72723,7
1,2021-01-22 09:31:00,1.73,1.73,1.721,1.73,32,1.72683,9
2,2021-01-22 09:32:00,1.73,1.73,1.73,1.73,0,1.73,0
3,2021-01-22 09:33:00,1.73,1.73,1.73,1.73,0,1.73,0
4,2021-01-22 09:34:00,1.73,1.73,1.73,1.73,0,1.73,0
5,2021-01-22 09:35:00,1.7292,1.73,1.7292,1.73,40,1.72995,5
6,2021-01-22 09:36:00,1.74,1.7512,1.74,1.7512,56,1.74976,8
7,2021-01-22 09:37:00,1.76,1.77,1.759,1.77,123,1.76588,11
8,2021-01-22 09:38:00,1.77,1.79,1.7699,1.7899,88,1.78066,16
9,2021-01-22 09:39:00,1.79,1.82,1.79,1.82,440,1.8025,76
10,2021-01-22 09:40:00,1.8295,1.85,1.8285,1.85,246,1.84495,74
11,2021-01-22 09:41:00,1.8417,1.8417,1.82,1.83,164,1.83287,11
12,2021-01-22 09:42:00,1.82,1.8399,1.81,1.81,93,1.82725,17
13,2021-01-22 09:43:00,1.81,1.82,1.81,1.81,30,1.81358,6
14,2021-01-22 09:44:00,1.815,1.82,1.81,1.8199,58,1.81845,7
15,2021-01-22 09:45:00,1.839,1.84,1.82,1.82,33,1.82629,12
16,2021-01-22 09:46:00,1.8143,1.84,1.8143,1.84,26,1.83337,12
17,2021-01-22 09:47:00,1.83,1.84,1.8227,1.83,109,1.83777,11
18,2021-01-22 09:48:00,1.83,1.83,1.82,1.8201,73,1.8211,9
19,2021-01-22 09:49:00,1.82,1.82,1.82,1.82,17,1.82,5
20,2021-01-22 09:50:00,1.82,1.84,1.81,1.81,31,1.8297,19
21,2021-01-22 09:51:00,1.81,1.8299,1.81,1.8299,59,1.82843,3
22,2021-01-22 09:52:00,1.8102,1.8102,1.81,1.81,10,1.81004,2
23,2021-01-22 09:53:00,1.83,1.83,1.83,1.83,10,1.83,3
24,2021-01-22 09:54:00,1.82,1.83,1.8191,1.8191,112,1.82097,14
25,2021-01-22 09:55:00,1.82,1.8399,1.82,1.8399,129,1.83042,33
26,2021-01-22 09:56:00,1.83,1.83,1.8294,1.8294,52,1.82996,7
27,2021-01-22 09:57:00,1.8354,1.8354,1.8354,1.8354,2,1.8354,1
28,2021-01-22 09:58:00,1.84,1.84,1.82,1.84,25,1.824,12
29,2021-01-22 09:59:00,1.84,1.84,1.82,1.82,4,1.825,3
30,2021-01-22 10:00:00,1.82,1.83,1.82,1.83,11,1.82553,6
31,2021-01-22 10:01:00,1.823,1.83,1.823,1.83,33,1.82979,2
32,2021-01-22 10:02:00,1.835,1.84,1.83,1.83,18,1.83826,7
33,2021-01-22 10:03:00,1.835,1.85,1.83,1.85,63,1.83463,20
34,2021-01-22 10:04:00,1.8441,1.85,1.8441,1.85,176,1.84983,37
35,2021-01-22 10:05:00,1.84,1.85,1.84,1.85,42,1.84033,7
36,2021-01-22 10:06:00,1.8498,1.85,1.8404,1.8404,117,1.84375,10
37,2021-01-22 10:07:00,1.8463,1.8599,1.8463,1.85,147,1.85018,25
38,2021-01-22 10:08:00,1.85,1.85,1.85,1.85,1,1.85,1
39,2021-01-22 10:09:00,1.86,1.86,1.8585,1.8585,54,1.85985,12
40,2021-01-22 10:10:00,1.855,1.87,1.85,1.87,86,1.86284,41
41,2021-01-22 10:11:00,1.875,1.88,1.87,1.8795,156,1.87981,27
42,2021-01-22 10:12:00,1.88,1.88,1.875,1.8799,116,1.87934,34
