(Lookback, Entry, Exit, Stop-loss)
Best HPs: (40, 0.8, -0.1, 3.6), Return: 4.18%, Hit Ratio: 73.85%, Max Drawdown: 1.95%
(40, 0.8, -0.1, 3.6): Return: 4.18%, Hit Ratio: 73.85%, Max Drawdown: 1.95%
(40, 0.8, -0.1, 3.7): Return: 4.18%, Hit Ratio: 73.85%, Max Drawdown: 1.95%
(40, 0.8, -0.1, 3.3): Return: 4.15%, Hit Ratio: 70.77%, Max Drawdown: 1.95%
(40, 0.8, -0.1, 3.4): Return: 4.15%, Hit Ratio: 70.77%, Max Drawdown: 1.95%
(40, 0.8, -0.1, 3.5): Return: 4.15%, Hit Ratio: 73.44%, Max Drawdown: 1.95%
(35, 0.8, -0.1, 3.6): Return: 3.86%, Hit Ratio: 71.01%, Max Drawdown: 0.25%
(35, 0.8, -0.1, 3.7): Return: 3.86%, Hit Ratio: 71.01%, Max Drawdown: 0.25%
(35, 0.8, -0.1, 3.6): Return: 3.86%, Hit Ratio: 71.01%, Max Drawdown: 0.25%
(35, 0.8, -0.1, 3.7): Return: 3.86%, Hit Ratio: 71.01%, Max Drawdown: 0.25%
(35, 0.8, -0.1, 3.4): Return: 3.84%, Hit Ratio: 70.59%, Max Drawdown: 0.25%
(35, 0.8, -0.1, 3.5): Return: 3.84%, Hit Ratio: 70.59%, Max Drawdown: 0.25%
(35, 0.8, -0.1, 3.4): Return: 3.84%, Hit Ratio: 70.59%, Max Drawdown: 0.25%
(35, 0.8, -0.1, 3.5): Return: 3.84%, Hit Ratio: 70.59%, Max Drawdown: 0.25%
(35, 0.8, -0.1, 3.3): Return: 3.83%, Hit Ratio: 68.12%, Max Drawdown: 0.25%
(35, 0.8, -0.1, 3.3): Return: 3.83%, Hit Ratio: 68.12%, Max Drawdown: 0.25%
(20, 0.8, 0.0, 3.3): Return: 3.66%, Hit Ratio: 64.04%, Max Drawdown: 0.25%
(20, 0.8, 0.0, 3.4): Return: 3.65%, Hit Ratio: 63.74%, Max Drawdown: 0.25%
(20, 0.8, 0.0, 3.5): Return: 3.65%, Hit Ratio: 63.74%, Max Drawdown: 0.25%
(20, 0.8, 0.0, 3.6): Return: 3.65%, Hit Ratio: 63.74%, Max Drawdown: 0.25%
(20, 0.8, 0.0, 3.7): Return: 3.65%, Hit Ratio: 63.74%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.6): Return: 3.63%, Hit Ratio: 64.79%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.7): Return: 3.63%, Hit Ratio: 64.79%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.6): Return: 3.63%, Hit Ratio: 64.79%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.7): Return: 3.63%, Hit Ratio: 64.79%, Max Drawdown: 0.25%
(20, 0.8, -0.1, 3.3): Return: 3.6%, Hit Ratio: 67.86%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.3): Return: 3.6%, Hit Ratio: 61.97%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.4): Return: 3.6%, Hit Ratio: 64.29%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.5): Return: 3.6%, Hit Ratio: 64.29%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.3): Return: 3.6%, Hit Ratio: 61.97%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.4): Return: 3.6%, Hit Ratio: 64.29%, Max Drawdown: 0.25%
(35, 0.8, 0.0, 3.5): Return: 3.6%, Hit Ratio: 64.29%, Max Drawdown: 0.25%
(20, 0.8, -0.1, 3.4): Return: 3.59%, Hit Ratio: 67.44%, Max Drawdown: 0.25%
(20, 0.8, -0.1, 3.5): Return: 3.59%, Hit Ratio: 67.44%, Max Drawdown: 0.25%
(20, 0.8, -0.1, 3.6): Return: 3.59%, Hit Ratio: 67.44%, Max Drawdown: 0.25%
(20, 0.8, -0.1, 3.7): Return: 3.59%, Hit Ratio: 67.44%, Max Drawdown: 0.25%
(40, 0.9, -0.1, 3.6): Return: 3.58%, Hit Ratio: 71.93%, Max Drawdown: 0.25%
(40, 0.9, -0.1, 3.7): Return: 3.58%, Hit Ratio: 71.93%, Max Drawdown: 0.25%
(20, 0.9, 0.0, 3.3): Return: 3.56%, Hit Ratio: 64.29%, Max Drawdown: 0.17%
(40, 0.9, -0.1, 3.3): Return: 3.56%, Hit Ratio: 69.64%, Max Drawdown: 0.25%
(40, 0.9, -0.1, 3.4): Return: 3.56%, Hit Ratio: 69.64%, Max Drawdown: 0.25%
(40, 0.9, -0.1, 3.5): Return: 3.56%, Hit Ratio: 71.43%, Max Drawdown: 0.25%
