(Lookback, Entry, Exit, Stop-loss)
Best HPs: (40, 0.8, -0.1, 3.1), Return: 2.52%, Hit Ratio: 73.91%, Max Drawdown: 1.23%
(40, 0.8, -0.1, 3.1): Return: 2.52%, Hit Ratio: 73.91%, Max Drawdown: 1.23%
(40, 0.8, -0.1, 3.2): Return: 2.52%, Hit Ratio: 73.53%, Max Drawdown: 1.23%
(35, 0.8, -0.1, 3.1): Return: 2.32%, Hit Ratio: 70.67%, Max Drawdown: 0.29%
(35, 0.8, -0.1, 3.2): Return: 2.32%, Hit Ratio: 70.67%, Max Drawdown: 0.29%
(35, 0.8, -0.1, 3.1): Return: 2.32%, Hit Ratio: 70.67%, Max Drawdown: 0.29%
(35, 0.8, -0.1, 3.2): Return: 2.32%, Hit Ratio: 70.67%, Max Drawdown: 0.29%
(35, 0.8, 0.0, 3.1): Return: 2.26%, Hit Ratio: 65.38%, Max Drawdown: 0.29%
(35, 0.8, 0.0, 3.2): Return: 2.26%, Hit Ratio: 65.38%, Max Drawdown: 0.29%
(35, 0.8, 0.0, 3.1): Return: 2.26%, Hit Ratio: 65.38%, Max Drawdown: 0.29%
(35, 0.8, 0.0, 3.2): Return: 2.26%, Hit Ratio: 65.38%, Max Drawdown: 0.29%
(35, 0.8, -0.1, 3.0): Return: 2.22%, Hit Ratio: 70.27%, Max Drawdown: 0.39%
(35, 0.8, -0.1, 3.0): Return: 2.22%, Hit Ratio: 70.27%, Max Drawdown: 0.39%
(35, 0.8, 0.1, 3.1): Return: 2.21%, Hit Ratio: 65.0%, Max Drawdown: 0.29%
(35, 0.8, 0.1, 3.2): Return: 2.21%, Hit Ratio: 65.0%, Max Drawdown: 0.29%
(35, 0.8, 0.1, 3.1): Return: 2.21%, Hit Ratio: 65.0%, Max Drawdown: 0.29%
(35, 0.8, 0.1, 3.2): Return: 2.21%, Hit Ratio: 65.0%, Max Drawdown: 0.29%
(35, 0.8, 0.0, 3.0): Return: 2.16%, Hit Ratio: 64.94%, Max Drawdown: 0.39%
(35, 0.8, 0.0, 3.0): Return: 2.16%, Hit Ratio: 64.94%, Max Drawdown: 0.39%
(40, 0.9, -0.1, 3.1): Return: 2.16%, Hit Ratio: 71.67%, Max Drawdown: 0.41%
(40, 0.9, -0.1, 3.2): Return: 2.16%, Hit Ratio: 71.19%, Max Drawdown: 0.41%
(20, 0.8, 0.0, 2.9): Return: 2.14%, Hit Ratio: 65.26%, Max Drawdown: 0.26%
(20, 0.8, 0.0, 3.0): Return: 2.14%, Hit Ratio: 65.26%, Max Drawdown: 0.26%
(35, 0.8, 0.2, 3.1): Return: 2.13%, Hit Ratio: 67.07%, Max Drawdown: 0.29%
(35, 0.8, 0.2, 3.2): Return: 2.13%, Hit Ratio: 67.07%, Max Drawdown: 0.29%
(35, 0.8, 0.2, 3.1): Return: 2.13%, Hit Ratio: 67.07%, Max Drawdown: 0.29%
(35, 0.8, 0.2, 3.2): Return: 2.13%, Hit Ratio: 67.07%, Max Drawdown: 0.29%
(20, 0.8, -0.1, 2.9): Return: 2.11%, Hit Ratio: 68.89%, Max Drawdown: 0.26%
(20, 0.8, -0.1, 3.0): Return: 2.11%, Hit Ratio: 68.89%, Max Drawdown: 0.26%
(20, 0.8, 0.1, 2.9): Return: 2.11%, Hit Ratio: 67.35%, Max Drawdown: 0.26%
(20, 0.8, 0.1, 3.0): Return: 2.11%, Hit Ratio: 67.35%, Max Drawdown: 0.26%
(35, 0.8, 0.1, 3.0): Return: 2.11%, Hit Ratio: 64.56%, Max Drawdown: 0.39%
(35, 0.8, 0.1, 3.0): Return: 2.11%, Hit Ratio: 64.56%, Max Drawdown: 0.39%
(40, 0.9, 0.0, 3.1): Return: 2.1%, Hit Ratio: 68.85%, Max Drawdown: 0.41%
(40, 0.9, 0.0, 3.2): Return: 2.1%, Hit Ratio: 68.33%, Max Drawdown: 0.41%
(30, 1.2, -0.1, 3.0): Return: 2.07%, Hit Ratio: 72.09%, Max Drawdown: 0.17%
(30, 1.2, -0.1, 3.1): Return: 2.07%, Hit Ratio: 72.09%, Max Drawdown: 0.17%
(30, 1.2, 0.0, 3.0): Return: 2.06%, Hit Ratio: 70.45%, Max Drawdown: 0.17%
(30, 1.2, 0.0, 3.1): Return: 2.06%, Hit Ratio: 70.45%, Max Drawdown: 0.17%
(40, 0.9, 0.1, 3.1): Return: 2.06%, Hit Ratio: 65.08%, Max Drawdown: 0.41%
(40, 0.9, 0.1, 3.2): Return: 2.06%, Hit Ratio: 64.52%, Max Drawdown: 0.41%
(20, 0.8, 0.0, 2.8): Return: 2.04%, Hit Ratio: 65.96%, Max Drawdown: 0.26%
(20, 0.8, 0.2, 2.9): Return: 2.04%, Hit Ratio: 64.36%, Max Drawdown: 0.26%
(20, 0.8, 0.2, 3.0): Return: 2.04%, Hit Ratio: 64.36%, Max Drawdown: 0.26%
(30, 1.0, -0.1, 3.0): Return: 2.04%, Hit Ratio: 72.88%, Max Drawdown: 0.26%
(30, 1.0, -0.1, 3.1): Return: 2.04%, Hit Ratio: 72.88%, Max Drawdown: 0.26%
(20, 0.9, 0.0, 2.9): Return: 2.03%, Hit Ratio: 63.95%, Max Drawdown: 0.26%
(20, 0.9, 0.0, 3.0): Return: 2.03%, Hit Ratio: 63.95%, Max Drawdown: 0.26%
(30, 1.0, 0.0, 3.0): Return: 2.03%, Hit Ratio: 73.77%, Max Drawdown: 0.26%
(30, 1.0, 0.0, 3.1): Return: 2.03%, Hit Ratio: 73.77%, Max Drawdown: 0.26%
(20, 0.8, -0.1, 2.8): Return: 2.02%, Hit Ratio: 68.89%, Max Drawdown: 0.26%
(20, 0.8, 0.1, 2.8): Return: 2.02%, Hit Ratio: 68.04%, Max Drawdown: 0.26%
(35, 0.8, 0.2, 3.0): Return: 2.02%, Hit Ratio: 66.67%, Max Drawdown: 0.39%
(30, 1.2, 0.2, 3.0): Return: 2.02%, Hit Ratio: 67.39%, Max Drawdown: 0.17%
(30, 1.2, 0.2, 3.1): Return: 2.02%, Hit Ratio: 67.39%, Max Drawdown: 0.17%
(35, 0.8, 0.2, 3.0): Return: 2.02%, Hit Ratio: 66.67%, Max Drawdown: 0.39%
(30, 1.2, 0.1, 3.0): Return: 2.01%, Hit Ratio: 64.44%, Max Drawdown: 0.17%
