The return of ADR_underlying pairs trading for GENE_GTG from Australia is 2729.256769448188%
Hyperparameters: Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 2.5
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 2170.1541619808395%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 2170.1541619808395%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 2170.1541619808395%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 2023.575922562501%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3	Return: 2023.575922562501%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 2023.575922562501%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 1360.7411715361302%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 1360.7411715361302%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 1360.7411715361302%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 1154.7071654485005%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 1154.7071654485005%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 1154.7071654485005%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 751.8850974528401%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 751.8850974528401%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 751.8850974528401%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 488.25166914333033%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 488.25166914333033%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 488.25166914333033%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 649.93355303417%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 649.93355303417%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 649.93355303417%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 398.59593404536025%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3	Return: 398.59593404536025%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 398.59593404536025%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 354.7358851010901%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 354.7358851010901%
