(Lookback, Entry, Exit, Stop-loss)
Best HPs: (105, 0.9, 0.4, 3.5), Return: 5.61%, Hit Ratio: 71.43%, Max Drawdown: 0.52%
(105, 0.9, 0.4, 3.5): Return: 5.61%, Hit Ratio: 71.43%, Max Drawdown: 0.52%
(105, 0.9, 0.4, 3.6): Return: 5.61%, Hit Ratio: 71.43%, Max Drawdown: 0.52%
(105, 0.9, 0.4, 3.7): Return: 5.61%, Hit Ratio: 71.43%, Max Drawdown: 0.52%
(100, 0.9, 0.4, 3.5): Return: 5.61%, Hit Ratio: 71.79%, Max Drawdown: 0.52%
(100, 0.9, 0.4, 3.6): Return: 5.61%, Hit Ratio: 71.79%, Max Drawdown: 0.52%
(100, 0.9, 0.4, 3.7): Return: 5.61%, Hit Ratio: 71.79%, Max Drawdown: 0.52%
(100, 1.0, 0.4, 3.5): Return: 5.61%, Hit Ratio: 72.6%, Max Drawdown: 0.52%
(100, 1.0, 0.4, 3.6): Return: 5.61%, Hit Ratio: 72.6%, Max Drawdown: 0.52%
(100, 1.0, 0.4, 3.7): Return: 5.61%, Hit Ratio: 72.6%, Max Drawdown: 0.52%
(105, 0.9, 0.4, 3.5): Return: 5.61%, Hit Ratio: 71.43%, Max Drawdown: 0.52%
(105, 0.9, 0.4, 3.6): Return: 5.61%, Hit Ratio: 71.43%, Max Drawdown: 0.52%
(105, 0.9, 0.4, 3.7): Return: 5.61%, Hit Ratio: 71.43%, Max Drawdown: 0.52%
(105, 0.9, 0.5, 3.5): Return: 5.6%, Hit Ratio: 71.79%, Max Drawdown: 0.52%
(105, 0.9, 0.5, 3.6): Return: 5.6%, Hit Ratio: 71.79%, Max Drawdown: 0.52%
(105, 0.9, 0.5, 3.7): Return: 5.6%, Hit Ratio: 71.79%, Max Drawdown: 0.52%
(105, 0.9, 0.5, 3.5): Return: 5.6%, Hit Ratio: 71.79%, Max Drawdown: 0.52%
(105, 0.9, 0.5, 3.6): Return: 5.6%, Hit Ratio: 71.79%, Max Drawdown: 0.52%
