(Lookback, Entry, Exit, Stop-loss)
Best HPs: (40, 0.8, -0.1, 3.6), Return: 4.32%, Hit Ratio: 75.0%, Max Drawdown: 1.91%
(40, 0.8, -0.1, 3.6): Return: 4.32%, Hit Ratio: 75.0%, Max Drawdown: 1.91%
(40, 0.8, -0.1, 3.7): Return: 4.32%, Hit Ratio: 75.0%, Max Drawdown: 1.91%
(40, 0.8, -0.1, 3.3): Return: 4.29%, Hit Ratio: 72.06%, Max Drawdown: 1.91%
(40, 0.8, -0.1, 3.4): Return: 4.29%, Hit Ratio: 72.06%, Max Drawdown: 1.91%
(40, 0.8, -0.1, 3.5): Return: 4.29%, Hit Ratio: 72.06%, Max Drawdown: 1.91%
(35, 0.8, -0.1, 3.7): Return: 3.84%, Hit Ratio: 71.23%, Max Drawdown: 0.23%
(35, 0.8, -0.1, 3.7): Return: 3.84%, Hit Ratio: 71.23%, Max Drawdown: 0.23%
(35, 0.8, -0.1, 3.3): Return: 3.82%, Hit Ratio: 69.86%, Max Drawdown: 0.23%
(35, 0.8, -0.1, 3.4): Return: 3.82%, Hit Ratio: 70.83%, Max Drawdown: 0.23%
(35, 0.8, -0.1, 3.5): Return: 3.82%, Hit Ratio: 70.83%, Max Drawdown: 0.23%
(35, 0.8, -0.1, 3.6): Return: 3.82%, Hit Ratio: 70.83%, Max Drawdown: 0.23%
(35, 0.8, -0.1, 3.3): Return: 3.82%, Hit Ratio: 69.86%, Max Drawdown: 0.23%
(35, 0.8, -0.1, 3.4): Return: 3.82%, Hit Ratio: 70.83%, Max Drawdown: 0.23%
(35, 0.8, -0.1, 3.5): Return: 3.82%, Hit Ratio: 70.83%, Max Drawdown: 0.23%
(35, 0.8, -0.1, 3.6): Return: 3.82%, Hit Ratio: 70.83%, Max Drawdown: 0.23%
(40, 0.9, -0.1, 3.6): Return: 3.65%, Hit Ratio: 72.88%, Max Drawdown: 0.23%
(40, 0.9, -0.1, 3.7): Return: 3.65%, Hit Ratio: 72.88%, Max Drawdown: 0.23%
(35, 0.8, 0.0, 3.7): Return: 3.62%, Hit Ratio: 65.79%, Max Drawdown: 0.23%
(35, 0.8, 0.0, 3.7): Return: 3.62%, Hit Ratio: 65.79%, Max Drawdown: 0.23%
(40, 0.9, -0.1, 3.3): Return: 3.62%, Hit Ratio: 69.49%, Max Drawdown: 0.23%
(40, 0.9, -0.1, 3.4): Return: 3.62%, Hit Ratio: 69.49%, Max Drawdown: 0.23%
(40, 0.9, -0.1, 3.5): Return: 3.62%, Hit Ratio: 69.49%, Max Drawdown: 0.23%
(35, 0.8, 0.0, 3.3): Return: 3.6%, Hit Ratio: 64.47%, Max Drawdown: 0.23%
(35, 0.8, 0.0, 3.4): Return: 3.6%, Hit Ratio: 65.33%, Max Drawdown: 0.23%
(35, 0.8, 0.0, 3.5): Return: 3.6%, Hit Ratio: 65.33%, Max Drawdown: 0.23%
(35, 0.8, 0.0, 3.6): Return: 3.6%, Hit Ratio: 65.33%, Max Drawdown: 0.23%
(35, 0.8, 0.0, 3.3): Return: 3.6%, Hit Ratio: 64.47%, Max Drawdown: 0.23%
(35, 0.8, 0.0, 3.4): Return: 3.6%, Hit Ratio: 65.33%, Max Drawdown: 0.23%
(35, 0.8, 0.0, 3.5): Return: 3.6%, Hit Ratio: 65.33%, Max Drawdown: 0.23%
