(Lookback, Entry, Exit, Stop-loss)
Best HPs: (110, 0.9, 0.6, 3.6), Return: 6.05%, Hit Ratio: 73.17%, Max Drawdown: 0.51%
(110, 0.9, 0.6, 3.6): Return: 6.05%, Hit Ratio: 73.17%, Max Drawdown: 0.51%
(110, 0.9, 0.6, 3.7): Return: 6.05%, Hit Ratio: 73.17%, Max Drawdown: 0.51%
(105, 0.9, 0.6, 3.5): Return: 5.98%, Hit Ratio: 72.94%, Max Drawdown: 0.51%
(105, 0.9, 0.6, 3.6): Return: 5.98%, Hit Ratio: 72.94%, Max Drawdown: 0.51%
(105, 0.9, 0.6, 3.7): Return: 5.98%, Hit Ratio: 72.94%, Max Drawdown: 0.51%
(105, 0.9, 0.6, 3.5): Return: 5.98%, Hit Ratio: 72.94%, Max Drawdown: 0.51%
(105, 0.9, 0.6, 3.6): Return: 5.98%, Hit Ratio: 72.94%, Max Drawdown: 0.51%
(105, 0.9, 0.6, 3.7): Return: 5.98%, Hit Ratio: 72.94%, Max Drawdown: 0.51%
(110, 0.8, 0.6, 3.6): Return: 5.98%, Hit Ratio: 71.43%, Max Drawdown: 0.51%
(110, 0.8, 0.6, 3.7): Return: 5.98%, Hit Ratio: 71.43%, Max Drawdown: 0.51%
(105, 0.8, 0.6, 3.5): Return: 5.97%, Hit Ratio: 70.97%, Max Drawdown: 0.51%
(105, 0.8, 0.6, 3.6): Return: 5.97%, Hit Ratio: 70.97%, Max Drawdown: 0.51%
(105, 0.8, 0.6, 3.7): Return: 5.97%, Hit Ratio: 70.97%, Max Drawdown: 0.51%
(100, 0.9, 0.4, 3.5): Return: 5.97%, Hit Ratio: 74.36%, Max Drawdown: 0.51%
(100, 0.9, 0.4, 3.6): Return: 5.97%, Hit Ratio: 74.36%, Max Drawdown: 0.51%
(100, 0.9, 0.4, 3.7): Return: 5.97%, Hit Ratio: 74.36%, Max Drawdown: 0.51%
(105, 0.8, 0.6, 3.5): Return: 5.97%, Hit Ratio: 70.97%, Max Drawdown: 0.51%
(105, 0.8, 0.6, 3.6): Return: 5.97%, Hit Ratio: 70.97%, Max Drawdown: 0.51%
(105, 0.8, 0.6, 3.7): Return: 5.97%, Hit Ratio: 70.97%, Max Drawdown: 0.51%
(105, 1.0, 0.4, 3.5): Return: 5.96%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(105, 1.0, 0.4, 3.6): Return: 5.96%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(105, 1.0, 0.4, 3.7): Return: 5.96%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(100, 1.0, 0.4, 3.5): Return: 5.96%, Hit Ratio: 74.67%, Max Drawdown: 0.51%
(100, 1.0, 0.4, 3.6): Return: 5.96%, Hit Ratio: 74.67%, Max Drawdown: 0.51%
(100, 1.0, 0.4, 3.7): Return: 5.96%, Hit Ratio: 74.67%, Max Drawdown: 0.51%
(105, 1.0, 0.4, 3.5): Return: 5.96%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(105, 1.0, 0.4, 3.6): Return: 5.96%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(105, 1.0, 0.4, 3.7): Return: 5.96%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(110, 0.9, 0.5, 3.6): Return: 5.96%, Hit Ratio: 73.75%, Max Drawdown: 0.51%
(110, 0.9, 0.5, 3.7): Return: 5.96%, Hit Ratio: 73.75%, Max Drawdown: 0.51%
(100, 0.9, 0.5, 3.5): Return: 5.95%, Hit Ratio: 75.0%, Max Drawdown: 0.51%
(100, 0.9, 0.5, 3.6): Return: 5.95%, Hit Ratio: 75.0%, Max Drawdown: 0.51%
(100, 0.9, 0.5, 3.7): Return: 5.95%, Hit Ratio: 75.0%, Max Drawdown: 0.51%
(90, 1.0, 0.5, 3.5): Return: 5.94%, Hit Ratio: 74.68%, Max Drawdown: 0.51%
(90, 1.0, 0.5, 3.6): Return: 5.94%, Hit Ratio: 74.68%, Max Drawdown: 0.51%
(90, 1.0, 0.5, 3.7): Return: 5.94%, Hit Ratio: 74.68%, Max Drawdown: 0.51%
(105, 1.0, 0.5, 3.5): Return: 5.94%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(105, 1.0, 0.5, 3.6): Return: 5.94%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(105, 1.0, 0.5, 3.7): Return: 5.94%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(100, 0.9, 0.6, 3.5): Return: 5.94%, Hit Ratio: 72.84%, Max Drawdown: 0.51%
(100, 0.9, 0.6, 3.6): Return: 5.94%, Hit Ratio: 72.84%, Max Drawdown: 0.51%
(100, 0.9, 0.6, 3.7): Return: 5.94%, Hit Ratio: 72.84%, Max Drawdown: 0.51%
(105, 1.0, 0.5, 3.5): Return: 5.94%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(105, 1.0, 0.5, 3.6): Return: 5.94%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(105, 1.0, 0.5, 3.7): Return: 5.94%, Hit Ratio: 75.68%, Max Drawdown: 0.51%
(100, 1.0, 0.5, 3.5): Return: 5.93%, Hit Ratio: 75.0%, Max Drawdown: 0.51%
(100, 1.0, 0.5, 3.6): Return: 5.93%, Hit Ratio: 75.0%, Max Drawdown: 0.51%
(100, 1.0, 0.5, 3.7): Return: 5.93%, Hit Ratio: 75.0%, Max Drawdown: 0.51%
(100, 1.0, 0.6, 3.5): Return: 5.92%, Hit Ratio: 72.73%, Max Drawdown: 0.51%
(100, 1.0, 0.6, 3.6): Return: 5.92%, Hit Ratio: 72.73%, Max Drawdown: 0.51%
(100, 1.0, 0.6, 3.7): Return: 5.92%, Hit Ratio: 72.73%, Max Drawdown: 0.51%
(110, 0.9, 0.6, 3.3): Return: 5.92%, Hit Ratio: 73.17%, Max Drawdown: 0.51%
(110, 0.9, 0.6, 3.4): Return: 5.92%, Hit Ratio: 73.17%, Max Drawdown: 0.51%
