(Lookback, Entry, Exit, Stop-loss)
Best HPs: (90, 1.3, 0.5, 3.5), Return: 2.04%, Hit Ratio: 80.39%, Max Drawdown: 0.07%
(90, 1.3, 0.5, 3.5): Return: 2.04%, Hit Ratio: 80.39%, Max Drawdown: 0.07%
(90, 1.3, 0.5, 3.6): Return: 2.04%, Hit Ratio: 80.39%, Max Drawdown: 0.07%
(90, 1.3, 0.5, 3.7): Return: 2.04%, Hit Ratio: 80.39%, Max Drawdown: 0.07%
(90, 1.5, 0.5, 3.5): Return: 2.04%, Hit Ratio: 82.98%, Max Drawdown: 0.07%
(90, 1.5, 0.5, 3.6): Return: 2.04%, Hit Ratio: 82.98%, Max Drawdown: 0.07%
(90, 1.5, 0.5, 3.7): Return: 2.04%, Hit Ratio: 82.98%, Max Drawdown: 0.07%
(105, 1.4, 0.4, 3.7): Return: 2.04%, Hit Ratio: 84.09%, Max Drawdown: 0.07%
(100, 1.5, 0.5, 3.7): Return: 2.04%, Hit Ratio: 84.09%, Max Drawdown: 0.07%
(105, 1.4, 0.4, 3.7): Return: 2.04%, Hit Ratio: 84.09%, Max Drawdown: 0.07%
(105, 1.3, 0.4, 3.7): Return: 2.03%, Hit Ratio: 81.63%, Max Drawdown: 0.07%
(105, 1.4, 0.5, 3.7): Return: 2.03%, Hit Ratio: 82.61%, Max Drawdown: 0.07%
(105, 1.3, 0.4, 3.7): Return: 2.03%, Hit Ratio: 81.63%, Max Drawdown: 0.07%
(105, 1.4, 0.5, 3.7): Return: 2.03%, Hit Ratio: 82.61%, Max Drawdown: 0.07%
(100, 1.5, 0.4, 3.7): Return: 2.02%, Hit Ratio: 83.72%, Max Drawdown: 0.09%
(100, 1.5, 0.6, 3.7): Return: 2.02%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(105, 1.4, 0.4, 3.5): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(105, 1.4, 0.4, 3.6): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(105, 1.4, 0.6, 3.7): Return: 2.01%, Hit Ratio: 80.43%, Max Drawdown: 0.07%
(100, 1.4, 0.5, 3.7): Return: 2.01%, Hit Ratio: 80.85%, Max Drawdown: 0.07%
(100, 1.5, 0.5, 3.4): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(100, 1.5, 0.5, 3.5): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(100, 1.5, 0.5, 3.6): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(105, 1.4, 0.4, 3.5): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(105, 1.4, 0.4, 3.6): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(105, 1.4, 0.6, 3.7): Return: 2.01%, Hit Ratio: 80.43%, Max Drawdown: 0.07%
(110, 1.4, 0.4, 3.5): Return: 2.01%, Hit Ratio: 79.55%, Max Drawdown: 0.07%
(110, 1.4, 0.4, 3.6): Return: 2.01%, Hit Ratio: 79.55%, Max Drawdown: 0.07%
(110, 1.4, 0.4, 3.7): Return: 2.01%, Hit Ratio: 79.55%, Max Drawdown: 0.07%
(110, 1.4, 0.5, 3.5): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(110, 1.4, 0.5, 3.6): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(110, 1.4, 0.5, 3.7): Return: 2.01%, Hit Ratio: 81.82%, Max Drawdown: 0.07%
(90, 1.3, 0.4, 3.5): Return: 2.0%, Hit Ratio: 80.39%, Max Drawdown: 0.09%
(90, 1.3, 0.4, 3.6): Return: 2.0%, Hit Ratio: 80.39%, Max Drawdown: 0.09%
(90, 1.3, 0.4, 3.7): Return: 2.0%, Hit Ratio: 80.39%, Max Drawdown: 0.09%
(90, 1.4, 0.5, 3.5): Return: 2.0%, Hit Ratio: 81.63%, Max Drawdown: 0.07%
(90, 1.4, 0.5, 3.6): Return: 2.0%, Hit Ratio: 81.63%, Max Drawdown: 0.07%
(90, 1.4, 0.5, 3.7): Return: 2.0%, Hit Ratio: 81.63%, Max Drawdown: 0.07%
(90, 1.5, 0.4, 3.5): Return: 2.0%, Hit Ratio: 82.98%, Max Drawdown: 0.09%
(90, 1.5, 0.4, 3.6): Return: 2.0%, Hit Ratio: 82.98%, Max Drawdown: 0.09%
(90, 1.5, 0.4, 3.7): Return: 2.0%, Hit Ratio: 82.98%, Max Drawdown: 0.09%
(105, 1.3, 0.4, 3.5): Return: 2.0%, Hit Ratio: 79.59%, Max Drawdown: 0.07%
(105, 1.3, 0.4, 3.6): Return: 2.0%, Hit Ratio: 79.59%, Max Drawdown: 0.07%
(105, 1.3, 0.4, 3.5): Return: 2.0%, Hit Ratio: 79.59%, Max Drawdown: 0.07%
(105, 1.3, 0.4, 3.6): Return: 2.0%, Hit Ratio: 79.59%, Max Drawdown: 0.07%
(110, 1.3, 0.4, 3.5): Return: 2.0%, Hit Ratio: 78.43%, Max Drawdown: 0.07%
(110, 1.3, 0.4, 3.6): Return: 2.0%, Hit Ratio: 78.43%, Max Drawdown: 0.07%
(110, 1.3, 0.4, 3.7): Return: 2.0%, Hit Ratio: 78.43%, Max Drawdown: 0.07%
(110, 1.3, 0.5, 3.5): Return: 2.0%, Hit Ratio: 80.39%, Max Drawdown: 0.07%
(110, 1.3, 0.5, 3.6): Return: 2.0%, Hit Ratio: 80.39%, Max Drawdown: 0.07%
(110, 1.3, 0.5, 3.7): Return: 2.0%, Hit Ratio: 80.39%, Max Drawdown: 0.07%
(105, 1.4, 0.5, 3.5): Return: 1.99%, Hit Ratio: 80.43%, Max Drawdown: 0.07%
(105, 1.4, 0.5, 3.6): Return: 1.99%, Hit Ratio: 80.43%, Max Drawdown: 0.07%
(100, 1.3, 0.5, 3.7): Return: 1.99%, Hit Ratio: 81.63%, Max Drawdown: 0.07%
(100, 1.5, 0.4, 3.4): Return: 1.99%, Hit Ratio: 81.4%, Max Drawdown: 0.09%
(100, 1.5, 0.4, 3.5): Return: 1.99%, Hit Ratio: 81.4%, Max Drawdown: 0.09%
(100, 1.5, 0.4, 3.6): Return: 1.99%, Hit Ratio: 81.4%, Max Drawdown: 0.09%
(100, 1.5, 0.6, 3.4): Return: 1.99%, Hit Ratio: 79.55%, Max Drawdown: 0.07%
(100, 1.5, 0.6, 3.5): Return: 1.99%, Hit Ratio: 79.55%, Max Drawdown: 0.07%
(100, 1.5, 0.6, 3.6): Return: 1.99%, Hit Ratio: 79.55%, Max Drawdown: 0.07%
(105, 1.4, 0.5, 3.5): Return: 1.99%, Hit Ratio: 80.43%, Max Drawdown: 0.07%
(105, 1.4, 0.5, 3.6): Return: 1.99%, Hit Ratio: 80.43%, Max Drawdown: 0.07%
