(Lookback, Entry, Exit, Stop-loss)
Best HPs: (110, 0.8, 0.3, 3.5), Return: 2.1%, Hit Ratio: 81.48%, Max Drawdown: 0.66%
(110, 0.8, 0.3, 3.5): Return: 2.1%, Hit Ratio: 81.48%, Max Drawdown: 0.66%
(110, 0.8, 0.3, 3.6): Return: 2.1%, Hit Ratio: 81.48%, Max Drawdown: 0.66%
(110, 0.8, 0.3, 3.7): Return: 2.1%, Hit Ratio: 81.48%, Max Drawdown: 0.66%
(105, 0.8, 0.3, 3.5): Return: 2.09%, Hit Ratio: 82.46%, Max Drawdown: 0.66%
(105, 0.8, 0.3, 3.6): Return: 2.09%, Hit Ratio: 82.46%, Max Drawdown: 0.66%
(105, 0.8, 0.3, 3.7): Return: 2.09%, Hit Ratio: 82.46%, Max Drawdown: 0.66%
(100, 0.8, 0.5, 3.5): Return: 2.09%, Hit Ratio: 86.21%, Max Drawdown: 0.66%
(100, 0.8, 0.5, 3.6): Return: 2.09%, Hit Ratio: 86.21%, Max Drawdown: 0.66%
(100, 0.8, 0.5, 3.7): Return: 2.09%, Hit Ratio: 86.21%, Max Drawdown: 0.66%
(105, 0.8, 0.3, 3.5): Return: 2.09%, Hit Ratio: 82.46%, Max Drawdown: 0.66%
(105, 0.8, 0.3, 3.6): Return: 2.09%, Hit Ratio: 82.46%, Max Drawdown: 0.66%
(105, 0.8, 0.3, 3.7): Return: 2.09%, Hit Ratio: 82.46%, Max Drawdown: 0.66%
(100, 0.8, 0.3, 3.5): Return: 2.07%, Hit Ratio: 84.48%, Max Drawdown: 0.66%
(100, 0.8, 0.3, 3.6): Return: 2.07%, Hit Ratio: 84.48%, Max Drawdown: 0.66%
(100, 0.8, 0.3, 3.7): Return: 2.07%, Hit Ratio: 84.48%, Max Drawdown: 0.66%
(100, 0.8, 0.4, 3.5): Return: 2.07%, Hit Ratio: 86.21%, Max Drawdown: 0.66%
