(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (105, 0.8, 0.3, 3.5), Return: 4.45%, Hit Ratio: 78.95%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.5): Return: 4.45%, Hit Ratio: 78.95%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.6): Return: 4.45%, Hit Ratio: 78.95%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.7): Return: 4.45%, Hit Ratio: 78.95%, Max Drawdown: 0.17%
(100, 0.9, 0.3, 3.5): Return: 4.45%, Hit Ratio: 80.28%, Max Drawdown: 0.17%
(100, 0.9, 0.3, 3.6): Return: 4.45%, Hit Ratio: 80.28%, Max Drawdown: 0.17%
(100, 0.9, 0.3, 3.7): Return: 4.45%, Hit Ratio: 80.28%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.5): Return: 4.45%, Hit Ratio: 78.95%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.6): Return: 4.45%, Hit Ratio: 78.95%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.7): Return: 4.45%, Hit Ratio: 78.95%, Max Drawdown: 0.17%
(110, 0.8, 0.3, 3.5): Return: 4.45%, Hit Ratio: 77.03%, Max Drawdown: 0.17%
(110, 0.8, 0.3, 3.6): Return: 4.45%, Hit Ratio: 77.03%, Max Drawdown: 0.17%
(110, 0.8, 0.3, 3.7): Return: 4.45%, Hit Ratio: 77.03%, Max Drawdown: 0.17%
(110, 0.9, 0.3, 3.5): Return: 4.44%, Hit Ratio: 77.14%, Max Drawdown: 0.17%
(110, 0.9, 0.3, 3.6): Return: 4.44%, Hit Ratio: 77.14%, Max Drawdown: 0.17%
(110, 0.9, 0.3, 3.7): Return: 4.44%, Hit Ratio: 77.14%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.4): Return: 4.43%, Hit Ratio: 79.22%, Max Drawdown: 0.17%
(105, 0.9, 0.3, 3.5): Return: 4.43%, Hit Ratio: 78.87%, Max Drawdown: 0.17%
(105, 0.9, 0.3, 3.6): Return: 4.43%, Hit Ratio: 78.87%, Max Drawdown: 0.17%
(105, 0.9, 0.3, 3.7): Return: 4.43%, Hit Ratio: 78.87%, Max Drawdown: 0.17%
(100, 0.9, 0.3, 3.3): Return: 4.43%, Hit Ratio: 78.87%, Max Drawdown: 0.17%
(100, 0.9, 0.3, 3.4): Return: 4.43%, Hit Ratio: 80.56%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.4): Return: 4.43%, Hit Ratio: 79.22%, Max Drawdown: 0.17%
(105, 0.9, 0.3, 3.5): Return: 4.43%, Hit Ratio: 78.87%, Max Drawdown: 0.17%
(105, 0.9, 0.3, 3.6): Return: 4.43%, Hit Ratio: 78.87%, Max Drawdown: 0.17%
(105, 0.9, 0.3, 3.7): Return: 4.43%, Hit Ratio: 78.87%, Max Drawdown: 0.17%
(110, 0.8, 0.3, 3.3): Return: 4.43%, Hit Ratio: 77.33%, Max Drawdown: 0.17%
(110, 0.8, 0.3, 3.4): Return: 4.43%, Hit Ratio: 77.33%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.3): Return: 4.42%, Hit Ratio: 77.92%, Max Drawdown: 0.17%
(105, 0.8, 0.3, 3.3): Return: 4.42%, Hit Ratio: 77.92%, Max Drawdown: 0.17%
(110, 0.9, 0.3, 3.3): Return: 4.42%, Hit Ratio: 77.46%, Max Drawdown: 0.17%
(110, 0.9, 0.3, 3.4): Return: 4.42%, Hit Ratio: 77.46%, Max Drawdown: 0.17%
(90, 0.8, 0.3, 3.6): Return: 4.41%, Hit Ratio: 78.21%, Max Drawdown: 0.1%
(90, 0.8, 0.3, 3.7): Return: 4.41%, Hit Ratio: 78.21%, Max Drawdown: 0.1%
(105, 0.9, 0.3, 3.4): Return: 4.41%, Hit Ratio: 79.17%, Max Drawdown: 0.17%
(105, 0.9, 0.3, 3.4): Return: 4.41%, Hit Ratio: 79.17%, Max Drawdown: 0.17%
(105, 0.9, 0.3, 3.3): Return: 4.4%, Hit Ratio: 77.78%, Max Drawdown: 0.17%
(105, 0.9, 0.3, 3.3): Return: 4.4%, Hit Ratio: 77.78%, Max Drawdown: 0.17%
