(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 0.8, -0.5, 2.8), Return: 2.81%, Hit Ratio: 83.67%, Max Drawdown: 3.73%
(50, 0.8, -0.5, 2.8): Return: 2.81%, Hit Ratio: 83.67%, Max Drawdown: 3.73%
(50, 0.8, -0.5, 2.9): Return: 2.81%, Hit Ratio: 83.67%, Max Drawdown: 3.73%
(50, 0.8, -0.5, 3.0): Return: 2.81%, Hit Ratio: 83.67%, Max Drawdown: 3.73%
(50, 0.8, -0.5, 3.1): Return: 2.81%, Hit Ratio: 83.67%, Max Drawdown: 3.73%
(50, 0.8, -0.5, 3.2): Return: 2.81%, Hit Ratio: 83.67%, Max Drawdown: 3.73%
(50, 0.8, -0.4, 2.8): Return: 2.79%, Hit Ratio: 84.0%, Max Drawdown: 3.73%
(50, 0.8, -0.4, 2.9): Return: 2.79%, Hit Ratio: 82.0%, Max Drawdown: 3.73%
(50, 0.8, -0.4, 3.0): Return: 2.79%, Hit Ratio: 82.0%, Max Drawdown: 3.73%
(50, 0.8, -0.4, 3.1): Return: 2.79%, Hit Ratio: 82.0%, Max Drawdown: 3.73%
(50, 0.8, -0.4, 3.2): Return: 2.79%, Hit Ratio: 82.0%, Max Drawdown: 3.73%
(70, 0.8, -0.7, 2.8): Return: 2.79%, Hit Ratio: 77.27%, Max Drawdown: 3.73%
(70, 0.8, -0.6, 2.8): Return: 2.79%, Hit Ratio: 77.27%, Max Drawdown: 3.73%
(70, 0.8, -0.5, 2.8): Return: 2.79%, Hit Ratio: 82.22%, Max Drawdown: 3.73%
(65, 0.8, -0.7, 2.9): Return: 2.78%, Hit Ratio: 77.27%, Max Drawdown: 3.73%
(65, 0.8, -0.7, 3.0): Return: 2.78%, Hit Ratio: 77.27%, Max Drawdown: 3.73%
(65, 0.8, -0.7, 3.1): Return: 2.78%, Hit Ratio: 77.27%, Max Drawdown: 3.73%
(65, 0.8, -0.7, 3.2): Return: 2.78%, Hit Ratio: 77.27%, Max Drawdown: 3.73%
(65, 0.8, -0.6, 2.9): Return: 2.78%, Hit Ratio: 77.78%, Max Drawdown: 3.73%
(65, 0.8, -0.6, 3.0): Return: 2.78%, Hit Ratio: 77.78%, Max Drawdown: 3.73%
(65, 0.8, -0.6, 3.1): Return: 2.78%, Hit Ratio: 77.78%, Max Drawdown: 3.73%
(65, 0.8, -0.6, 3.2): Return: 2.78%, Hit Ratio: 77.78%, Max Drawdown: 3.73%
(60, 0.8, -0.7, 2.9): Return: 2.78%, Hit Ratio: 77.27%, Max Drawdown: 3.73%
