(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (60, 1, 1, 0, -0.5, 2.5, 2.5), Return: 5.75%, Hit Ratio: 80.7%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 2.5, 2.5): Return: -3.08%, Hit Ratio: 80.0%, Max Drawdown: 5.27%
(30, 1, 1, -0.5, -0.5, 2.5, 3): Return: -3.08%, Hit Ratio: 81.67%, Max Drawdown: 5.27%
(30, 1, 1, -0.5, -0.5, 2.5, 3.5): Return: -3.14%, Hit Ratio: 81.36%, Max Drawdown: 5.27%
(30, 1, 1, -0.5, -0.5, 3, 2.5): Return: -3.08%, Hit Ratio: 81.36%, Max Drawdown: 5.27%
(30, 1, 1, -0.5, -0.5, 3, 3): Return: -3.08%, Hit Ratio: 83.05%, Max Drawdown: 5.27%
(30, 1, 1, -0.5, -0.5, 3, 3.5): Return: -3.14%, Hit Ratio: 84.48%, Max Drawdown: 5.27%
(30, 1, 1, -0.5, -0.5, 3.5, 2.5): Return: -3.08%, Hit Ratio: 81.36%, Max Drawdown: 5.27%
(30, 1, 1, -0.5, -0.5, 3.5, 3): Return: -3.08%, Hit Ratio: 83.05%, Max Drawdown: 5.27%
(30, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: -3.14%, Hit Ratio: 84.48%, Max Drawdown: 5.27%
(30, 1, 1, -0.5, 0, 2.5, 2.5): Return: 2.31%, Hit Ratio: 76.47%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 2.5, 3): Return: 2.31%, Hit Ratio: 78.26%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 2.5, 3.5): Return: 2.25%, Hit Ratio: 78.26%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 3, 2.5): Return: 2.31%, Hit Ratio: 77.61%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 3, 3): Return: 2.31%, Hit Ratio: 79.41%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 3, 3.5): Return: 2.25%, Hit Ratio: 80.88%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 3.5, 2.5): Return: 2.31%, Hit Ratio: 77.61%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 3.5, 3): Return: 2.31%, Hit Ratio: 79.41%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 3.5, 3.5): Return: 2.25%, Hit Ratio: 80.88%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0.5, 2.5, 2.5): Return: -1.14%, Hit Ratio: 73.75%, Max Drawdown: 1.73%
(30, 1, 1, -0.5, 0.5, 2.5, 3): Return: -1.14%, Hit Ratio: 75.31%, Max Drawdown: 1.73%
(30, 1, 1, -0.5, 0.5, 2.5, 3.5): Return: -1.07%, Hit Ratio: 76.54%, Max Drawdown: 1.65%
(30, 1, 1, -0.5, 0.5, 3, 2.5): Return: -1.15%, Hit Ratio: 73.42%, Max Drawdown: 1.73%
(30, 1, 1, -0.5, 0.5, 3, 3): Return: -1.15%, Hit Ratio: 75.0%, Max Drawdown: 1.73%
(30, 1, 1, -0.5, 0.5, 3, 3.5): Return: -1.08%, Hit Ratio: 77.5%, Max Drawdown: 1.65%
(30, 1, 1, -0.5, 0.5, 3.5, 2.5): Return: -1.15%, Hit Ratio: 73.42%, Max Drawdown: 1.73%
(30, 1, 1, -0.5, 0.5, 3.5, 3): Return: -1.15%, Hit Ratio: 75.0%, Max Drawdown: 1.73%
(30, 1, 1, -0.5, 0.5, 3.5, 3.5): Return: -1.08%, Hit Ratio: 77.5%, Max Drawdown: 1.65%
