(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (60, 1, 1, 0, -0.5, 3, 2.5), Return: 5.76%, Hit Ratio: 80.77%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 2.5, 2.5): Return: 3.22%, Hit Ratio: 80.36%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 2.5, 3): Return: 3.17%, Hit Ratio: 80.0%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 2.5, 3.5): Return: 3.17%, Hit Ratio: 83.33%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 3, 2.5): Return: 3.22%, Hit Ratio: 81.82%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 3, 3): Return: 3.17%, Hit Ratio: 81.48%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 3, 3.5): Return: 3.17%, Hit Ratio: 86.79%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 3.5, 2.5): Return: 3.22%, Hit Ratio: 81.82%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 3.5, 3): Return: 3.17%, Hit Ratio: 81.48%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: 3.17%, Hit Ratio: 86.79%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, 0, 2.5, 2.5): Return: 3.21%, Hit Ratio: 74.6%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 2.5, 3): Return: 3.16%, Hit Ratio: 74.6%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 2.5, 3.5): Return: 3.16%, Hit Ratio: 77.78%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3, 2.5): Return: 3.21%, Hit Ratio: 75.81%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3, 3): Return: 3.16%, Hit Ratio: 75.81%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3, 3.5): Return: 3.16%, Hit Ratio: 80.65%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3.5, 2.5): Return: 3.21%, Hit Ratio: 75.81%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3.5, 3): Return: 3.16%, Hit Ratio: 75.81%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3.5, 3.5): Return: 3.16%, Hit Ratio: 80.65%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0.5, 2.5, 2.5): Return: 2.96%, Hit Ratio: 68.06%, Max Drawdown: 0.19%
(30, 1, 1, -0.5, 0.5, 2.5, 3): Return: 3.03%, Hit Ratio: 68.06%, Max Drawdown: 0.08%
(30, 1, 1, -0.5, 0.5, 2.5, 3.5): Return: 3.04%, Hit Ratio: 70.83%, Max Drawdown: 0.08%
(30, 1, 1, -0.5, 0.5, 3, 2.5): Return: 2.96%, Hit Ratio: 69.01%, Max Drawdown: 0.19%
(30, 1, 1, -0.5, 0.5, 3, 3): Return: 3.03%, Hit Ratio: 69.01%, Max Drawdown: 0.08%
(30, 1, 1, -0.5, 0.5, 3, 3.5): Return: 3.04%, Hit Ratio: 73.24%, Max Drawdown: 0.08%
(30, 1, 1, -0.5, 0.5, 3.5, 2.5): Return: 2.95%, Hit Ratio: 67.61%, Max Drawdown: 0.19%
(30, 1, 1, -0.5, 0.5, 3.5, 3): Return: 3.03%, Hit Ratio: 67.61%, Max Drawdown: 0.08%
(30, 1, 1, -0.5, 0.5, 3.5, 3.5): Return: 3.04%, Hit Ratio: 71.83%, Max Drawdown: 0.08%
(30, 1, 1, 0, -0.5, 2.5, 2.5): Return: 3.27%, Hit Ratio: 80.65%, Max Drawdown: 0.05%
(30, 1, 1, 0, -0.5, 2.5, 3): Return: 3.22%, Hit Ratio: 78.69%, Max Drawdown: 0.05%
(30, 1, 1, 0, -0.5, 2.5, 3.5): Return: 3.22%, Hit Ratio: 81.67%, Max Drawdown: 0.05%
(30, 1, 1, 0, -0.5, 3, 2.5): Return: 3.27%, Hit Ratio: 81.97%, Max Drawdown: 0.05%
(30, 1, 1, 0, -0.5, 3, 3): Return: 3.21%, Hit Ratio: 80.0%, Max Drawdown: 0.05%
(30, 1, 1, 0, -0.5, 3, 3.5): Return: 3.22%, Hit Ratio: 84.75%, Max Drawdown: 0.05%
(30, 1, 1, 0, -0.5, 3.5, 2.5): Return: 3.27%, Hit Ratio: 81.97%, Max Drawdown: 0.05%
(30, 1, 1, 0, -0.5, 3.5, 3): Return: 3.21%, Hit Ratio: 80.0%, Max Drawdown: 0.05%
(30, 1, 1, 0, -0.5, 3.5, 3.5): Return: 3.22%, Hit Ratio: 84.75%, Max Drawdown: 0.05%
(30, 1, 1, 0, 0, 2.5, 2.5): Return: 3.25%, Hit Ratio: 75.38%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0, 2.5, 3): Return: 3.19%, Hit Ratio: 75.38%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0, 2.5, 3.5): Return: 3.2%, Hit Ratio: 78.46%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0, 3, 2.5): Return: 3.24%, Hit Ratio: 76.56%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0, 3, 3): Return: 3.19%, Hit Ratio: 76.56%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0, 3, 3.5): Return: 3.2%, Hit Ratio: 81.25%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0, 3.5, 2.5): Return: 3.24%, Hit Ratio: 76.56%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0, 3.5, 3): Return: 3.19%, Hit Ratio: 76.56%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0, 3.5, 3.5): Return: 3.2%, Hit Ratio: 81.25%, Max Drawdown: 0.04%
(30, 1, 1, 0, 0.5, 2.5, 2.5): Return: 2.98%, Hit Ratio: 71.62%, Max Drawdown: 0.19%
(30, 1, 1, 0, 0.5, 2.5, 3): Return: 3.06%, Hit Ratio: 71.62%, Max Drawdown: 0.08%
(30, 1, 1, 0, 0.5, 2.5, 3.5): Return: 3.07%, Hit Ratio: 74.32%, Max Drawdown: 0.08%
(30, 1, 1, 0, 0.5, 3, 2.5): Return: 2.98%, Hit Ratio: 72.6%, Max Drawdown: 0.19%
(30, 1, 1, 0, 0.5, 3, 3): Return: 3.06%, Hit Ratio: 72.6%, Max Drawdown: 0.08%
