(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 1, 0, 2.5), Return: 0.14%, Hit Ratio: 80.65%, Max Drawdown: 0.02%
(30, 1, 0, 2.5): Return: 0.14%, Hit Ratio: 80.65%, Max Drawdown: 0.02%
(30, 1, 0, 3): Return: 0.14%, Hit Ratio: 83.87%, Max Drawdown: 0.02%
(30, 1, 0, 3.5): Return: 0.14%, Hit Ratio: 83.87%, Max Drawdown: 0.02%
(30, 1, -0.5, 2.5): Return: 0.11%, Hit Ratio: 72.41%, Max Drawdown: 0.02%
(30, 1, -0.5, 3): Return: 0.11%, Hit Ratio: 75.86%, Max Drawdown: 0.02%
(30, 1, -0.5, 3.5): Return: 0.11%, Hit Ratio: 75.86%, Max Drawdown: 0.02%
(60, 1, 0, 2.5): Return: 0.1%, Hit Ratio: 88.46%, Max Drawdown: 0.02%
(60, 1, 0, 3): Return: 0.09%, Hit Ratio: 88.0%, Max Drawdown: 0.02%
(60, 1, 0, 3.5): Return: 0.09%, Hit Ratio: 92.0%, Max Drawdown: 0.02%
(60, 1.5, 0, 2.5): Return: 0.08%, Hit Ratio: 86.67%, Max Drawdown: 0.01%
(60, 1.5, 0, 3): Return: 0.07%, Hit Ratio: 86.67%, Max Drawdown: 0.01%
(60, 1.5, 0, 3.5): Return: 0.07%, Hit Ratio: 93.33%, Max Drawdown: 0.01%
(60, 1, -0.5, 2.5): Return: 0.06%, Hit Ratio: 78.26%, Max Drawdown: 0.03%
(30, 1, 0.5, 2.5): Return: 0.05%, Hit Ratio: 72.5%, Max Drawdown: 0.05%
(30, 1, 0.5, 3): Return: 0.05%, Hit Ratio: 75.0%, Max Drawdown: 0.05%
(30, 1, 0.5, 3.5): Return: 0.05%, Hit Ratio: 75.0%, Max Drawdown: 0.05%
(60, 1, -0.5, 3): Return: 0.05%, Hit Ratio: 77.27%, Max Drawdown: 0.03%
(60, 1, -0.5, 3.5): Return: 0.05%, Hit Ratio: 81.82%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 2.5): Return: 0.05%, Hit Ratio: 73.33%, Max Drawdown: 0.02%
(60, 1.5, -0.5, 3): Return: 0.05%, Hit Ratio: 71.43%, Max Drawdown: 0.02%
(60, 1.5, -0.5, 3.5): Return: 0.05%, Hit Ratio: 78.57%, Max Drawdown: 0.02%
(30, 1.5, -0.5, 3): Return: 0.04%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(30, 1.5, -0.5, 3.5): Return: 0.04%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(30, 1.5, 0, 2.5): Return: 0.04%, Hit Ratio: 80.0%, Max Drawdown: 0.01%
(30, 1.5, 0, 3): Return: 0.04%, Hit Ratio: 86.67%, Max Drawdown: 0.01%
(30, 1.5, 0, 3.5): Return: 0.04%, Hit Ratio: 86.67%, Max Drawdown: 0.01%
(100, 1, 0, 2.5): Return: 0.04%, Hit Ratio: 75.0%, Max Drawdown: 0.01%
(100, 1, 0, 3): Return: 0.04%, Hit Ratio: 80.0%, Max Drawdown: 0.01%
(100, 1, 0, 3.5): Return: 0.04%, Hit Ratio: 80.0%, Max Drawdown: 0.01%
(100, 1.5, 0, 2.5): Return: 0.04%, Hit Ratio: 88.89%, Max Drawdown: 0.01%
(100, 1.5, 0, 3): Return: 0.04%, Hit Ratio: 100.0%, Max Drawdown: 0.01%
(100, 1.5, 0, 3.5): Return: 0.04%, Hit Ratio: 100.0%, Max Drawdown: 0.01%
(100, 1.5, 0.5, 2.5): Return: 0.04%, Hit Ratio: 72.73%, Max Drawdown: 0.01%
