(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 0.9, -0.2, 2.3), Return: 1.28%, Hit Ratio: 75.93%, Max Drawdown: 0.02%
(30, 0.9, -0.2, 2.3): Return: 1.28%, Hit Ratio: 75.93%, Max Drawdown: 0.02%
(30, 0.9, -0.2, 2.5): Return: 1.28%, Hit Ratio: 79.63%, Max Drawdown: 0.02%
(40, 0.8, 0.0, 2.3): Return: 1.28%, Hit Ratio: 79.03%, Max Drawdown: 0.02%
(40, 0.8, 0.0, 2.6): Return: 1.28%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.3): Return: 1.27%, Hit Ratio: 78.18%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.3): Return: 1.27%, Hit Ratio: 80.33%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.4): Return: 1.27%, Hit Ratio: 83.05%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.5): Return: 1.27%, Hit Ratio: 83.33%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.6): Return: 1.27%, Hit Ratio: 84.75%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.7): Return: 1.27%, Hit Ratio: 84.75%, Max Drawdown: 0.02%
(35, 0.8, 0.1, 2.3): Return: 1.27%, Hit Ratio: 74.63%, Max Drawdown: 0.05%
(35, 0.8, 0.1, 2.4): Return: 1.27%, Hit Ratio: 76.92%, Max Drawdown: 0.05%
(35, 0.9, -0.2, 2.3): Return: 1.27%, Hit Ratio: 78.43%, Max Drawdown: 0.02%
(35, 0.9, -0.2, 2.4): Return: 1.27%, Hit Ratio: 81.63%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.3): Return: 1.27%, Hit Ratio: 76.12%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.5): Return: 1.27%, Hit Ratio: 79.1%, Max Drawdown: 0.02%
(30, 0.9, -0.2, 2.4): Return: 1.27%, Hit Ratio: 79.25%, Max Drawdown: 0.02%
(30, 0.9, -0.2, 2.6): Return: 1.27%, Hit Ratio: 80.77%, Max Drawdown: 0.02%
(30, 0.9, -0.2, 2.7): Return: 1.27%, Hit Ratio: 80.77%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.3): Return: 1.27%, Hit Ratio: 80.7%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.4): Return: 1.27%, Hit Ratio: 83.93%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.5): Return: 1.27%, Hit Ratio: 84.21%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.6): Return: 1.27%, Hit Ratio: 85.45%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.7): Return: 1.27%, Hit Ratio: 85.45%, Max Drawdown: 0.02%
(30, 1.0, -0.2, 2.3): Return: 1.27%, Hit Ratio: 76.0%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.3): Return: 1.27%, Hit Ratio: 78.18%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.3): Return: 1.27%, Hit Ratio: 80.33%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.4): Return: 1.27%, Hit Ratio: 83.05%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.5): Return: 1.27%, Hit Ratio: 83.33%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.6): Return: 1.27%, Hit Ratio: 84.75%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.7): Return: 1.27%, Hit Ratio: 84.75%, Max Drawdown: 0.02%
(35, 0.8, 0.1, 2.3): Return: 1.27%, Hit Ratio: 74.63%, Max Drawdown: 0.05%
(35, 0.8, 0.1, 2.4): Return: 1.27%, Hit Ratio: 76.92%, Max Drawdown: 0.05%
(35, 0.9, -0.2, 2.3): Return: 1.27%, Hit Ratio: 78.43%, Max Drawdown: 0.02%
(35, 0.9, -0.2, 2.4): Return: 1.27%, Hit Ratio: 81.63%, Max Drawdown: 0.02%
(40, 0.8, 0.0, 2.4): Return: 1.27%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(40, 0.8, 0.0, 2.5): Return: 1.27%, Hit Ratio: 78.33%, Max Drawdown: 0.02%
(40, 0.8, 0.0, 2.7): Return: 1.27%, Hit Ratio: 81.36%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.4): Return: 1.26%, Hit Ratio: 81.13%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.5): Return: 1.26%, Hit Ratio: 81.48%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.6): Return: 1.26%, Hit Ratio: 83.02%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.7): Return: 1.26%, Hit Ratio: 83.02%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.3): Return: 1.26%, Hit Ratio: 81.03%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.4): Return: 1.26%, Hit Ratio: 83.93%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.5): Return: 1.26%, Hit Ratio: 84.21%, Max Drawdown: 0.02%
(35, 0.8, 0.1, 2.5): Return: 1.26%, Hit Ratio: 77.27%, Max Drawdown: 0.05%
(35, 0.8, 0.1, 2.6): Return: 1.26%, Hit Ratio: 78.46%, Max Drawdown: 0.05%
(35, 0.8, 0.1, 2.7): Return: 1.26%, Hit Ratio: 78.46%, Max Drawdown: 0.05%
(35, 0.9, -0.2, 2.5): Return: 1.26%, Hit Ratio: 82.0%, Max Drawdown: 0.02%
(35, 0.9, -0.2, 2.6): Return: 1.26%, Hit Ratio: 83.67%, Max Drawdown: 0.02%
(35, 0.9, -0.2, 2.7): Return: 1.26%, Hit Ratio: 83.67%, Max Drawdown: 0.02%
(30, 0.8, -0.2, 2.3): Return: 1.26%, Hit Ratio: 75.86%, Max Drawdown: 0.02%
(30, 0.8, 0.0, 2.3): Return: 1.26%, Hit Ratio: 76.56%, Max Drawdown: 0.02%
(30, 0.8, 0.0, 2.4): Return: 1.26%, Hit Ratio: 79.37%, Max Drawdown: 0.02%
(30, 0.8, 0.0, 2.5): Return: 1.26%, Hit Ratio: 79.69%, Max Drawdown: 0.02%
(30, 0.8, 0.0, 2.6): Return: 1.26%, Hit Ratio: 80.65%, Max Drawdown: 0.02%
(30, 0.8, 0.0, 2.7): Return: 1.26%, Hit Ratio: 80.65%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.4): Return: 1.26%, Hit Ratio: 78.79%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.6): Return: 1.26%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.7): Return: 1.26%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(30, 0.9, 0.0, 2.3): Return: 1.26%, Hit Ratio: 76.27%, Max Drawdown: 0.02%
(30, 0.9, 0.0, 2.4): Return: 1.26%, Hit Ratio: 79.31%, Max Drawdown: 0.02%
(30, 0.9, 0.0, 2.5): Return: 1.26%, Hit Ratio: 79.66%, Max Drawdown: 0.02%
(30, 0.9, 0.0, 2.6): Return: 1.26%, Hit Ratio: 80.7%, Max Drawdown: 0.02%
(30, 0.9, 0.0, 2.7): Return: 1.26%, Hit Ratio: 80.7%, Max Drawdown: 0.02%
(30, 1.0, -0.2, 2.4): Return: 1.26%, Hit Ratio: 79.59%, Max Drawdown: 0.02%
(30, 1.0, -0.2, 2.5): Return: 1.26%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(30, 1.0, -0.2, 2.6): Return: 1.26%, Hit Ratio: 81.25%, Max Drawdown: 0.02%
(30, 1.0, -0.2, 2.7): Return: 1.26%, Hit Ratio: 81.25%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.4): Return: 1.26%, Hit Ratio: 81.13%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.5): Return: 1.26%, Hit Ratio: 81.48%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.6): Return: 1.26%, Hit Ratio: 83.02%, Max Drawdown: 0.02%
(35, 0.8, -0.2, 2.7): Return: 1.26%, Hit Ratio: 83.02%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.3): Return: 1.26%, Hit Ratio: 81.03%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.4): Return: 1.26%, Hit Ratio: 83.93%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.5): Return: 1.26%, Hit Ratio: 84.21%, Max Drawdown: 0.02%
(35, 0.8, 0.1, 2.5): Return: 1.26%, Hit Ratio: 77.27%, Max Drawdown: 0.05%
(35, 0.8, 0.1, 2.6): Return: 1.26%, Hit Ratio: 78.46%, Max Drawdown: 0.05%
(35, 0.8, 0.1, 2.7): Return: 1.26%, Hit Ratio: 78.46%, Max Drawdown: 0.05%
(35, 0.9, -0.2, 2.5): Return: 1.26%, Hit Ratio: 82.0%, Max Drawdown: 0.02%
(35, 0.9, -0.2, 2.6): Return: 1.26%, Hit Ratio: 83.67%, Max Drawdown: 0.02%
(35, 0.9, -0.2, 2.7): Return: 1.26%, Hit Ratio: 83.67%, Max Drawdown: 0.02%
(40, 0.8, -0.2, 2.3): Return: 1.26%, Hit Ratio: 80.7%, Max Drawdown: 0.02%
(40, 0.8, -0.2, 2.4): Return: 1.26%, Hit Ratio: 81.82%, Max Drawdown: 0.02%
(40, 0.8, -0.2, 2.5): Return: 1.26%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(40, 0.8, -0.2, 2.6): Return: 1.26%, Hit Ratio: 81.82%, Max Drawdown: 0.02%
(40, 0.8, -0.2, 2.7): Return: 1.26%, Hit Ratio: 83.33%, Max Drawdown: 0.02%
