(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 1, -0.5, 2.5), Return: 0.19%, Hit Ratio: 75.76%, Max Drawdown: 0.02%
(30, 1, -0.5, 2.5): Return: 0.19%, Hit Ratio: 75.76%, Max Drawdown: 0.02%
(30, 1, -0.5, 3): Return: 0.19%, Hit Ratio: 76.47%, Max Drawdown: 0.02%
(30, 1, -0.5, 3.5): Return: 0.19%, Hit Ratio: 76.47%, Max Drawdown: 0.02%
(30, 1, 0, 3): Return: 0.19%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(30, 1, 0, 3.5): Return: 0.19%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(30, 1, 0, 2.5): Return: 0.18%, Hit Ratio: 79.41%, Max Drawdown: 0.02%
(60, 1, 0, 2.5): Return: 0.11%, Hit Ratio: 84.38%, Max Drawdown: 0.02%
(30, 1, 0.5, 2.5): Return: 0.1%, Hit Ratio: 74.42%, Max Drawdown: 0.05%
(30, 1, 0.5, 3): Return: 0.1%, Hit Ratio: 75.0%, Max Drawdown: 0.05%
(30, 1, 0.5, 3.5): Return: 0.1%, Hit Ratio: 75.0%, Max Drawdown: 0.05%
(60, 1, 0, 3): Return: 0.1%, Hit Ratio: 83.87%, Max Drawdown: 0.02%
(60, 1, 0, 3.5): Return: 0.1%, Hit Ratio: 87.1%, Max Drawdown: 0.02%
(60, 1, -0.5, 2.5): Return: 0.07%, Hit Ratio: 80.77%, Max Drawdown: 0.03%
(30, 1.5, -0.5, 2.5): Return: 0.06%, Hit Ratio: 76.47%, Max Drawdown: 0.02%
(30, 1.5, -0.5, 3): Return: 0.06%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(30, 1.5, -0.5, 3.5): Return: 0.06%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(60, 1, -0.5, 3): Return: 0.06%, Hit Ratio: 80.0%, Max Drawdown: 0.03%
(60, 1, -0.5, 3.5): Return: 0.06%, Hit Ratio: 84.0%, Max Drawdown: 0.03%
(60, 1.5, 0, 2.5): Return: 0.06%, Hit Ratio: 76.19%, Max Drawdown: 0.01%
(60, 1.5, 0, 3): Return: 0.06%, Hit Ratio: 76.19%, Max Drawdown: 0.01%
(60, 1.5, 0, 3.5): Return: 0.06%, Hit Ratio: 80.95%, Max Drawdown: 0.01%
(30, 1.5, 0, 2.5): Return: 0.05%, Hit Ratio: 77.78%, Max Drawdown: 0.01%
(30, 1.5, 0, 3): Return: 0.05%, Hit Ratio: 78.95%, Max Drawdown: 0.01%
(30, 1.5, 0, 3.5): Return: 0.05%, Hit Ratio: 78.95%, Max Drawdown: 0.01%
(60, 1.5, -0.5, 2.5): Return: 0.05%, Hit Ratio: 73.68%, Max Drawdown: 0.02%
(60, 1.5, -0.5, 3): Return: 0.05%, Hit Ratio: 72.22%, Max Drawdown: 0.02%
(60, 1.5, -0.5, 3.5): Return: 0.05%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(100, 1, 0, 2.5): Return: 0.04%, Hit Ratio: 77.78%, Max Drawdown: 0.01%
(100, 1, 0, 3): Return: 0.04%, Hit Ratio: 81.48%, Max Drawdown: 0.01%
(100, 1, 0, 3.5): Return: 0.04%, Hit Ratio: 81.48%, Max Drawdown: 0.01%
(60, 1, 0.5, 2.5): Return: 0.03%, Hit Ratio: 73.68%, Max Drawdown: 0.06%
(60, 1, 0.5, 3): Return: 0.03%, Hit Ratio: 72.97%, Max Drawdown: 0.06%
(60, 1, 0.5, 3.5): Return: 0.03%, Hit Ratio: 75.68%, Max Drawdown: 0.06%
(100, 1, -0.5, 2.5): Return: 0.03%, Hit Ratio: 78.26%, Max Drawdown: 0.02%
(100, 1, -0.5, 3): Return: 0.03%, Hit Ratio: 82.61%, Max Drawdown: 0.02%
(100, 1, -0.5, 3.5): Return: 0.03%, Hit Ratio: 82.61%, Max Drawdown: 0.02%
(100, 1, 0.5, 2.5): Return: 0.03%, Hit Ratio: 66.67%, Max Drawdown: 0.01%
(100, 1, 0.5, 3): Return: 0.03%, Hit Ratio: 72.73%, Max Drawdown: 0.01%
(100, 1, 0.5, 3.5): Return: 0.03%, Hit Ratio: 72.73%, Max Drawdown: 0.01%
(100, 1.5, 0, 2.5): Return: 0.03%, Hit Ratio: 83.33%, Max Drawdown: 0.01%
(100, 1.5, 0, 3): Return: 0.03%, Hit Ratio: 91.67%, Max Drawdown: 0.01%
(100, 1.5, 0, 3.5): Return: 0.03%, Hit Ratio: 91.67%, Max Drawdown: 0.01%
(30, 2, -0.5, 2.5): Return: 0.02%, Hit Ratio: 71.43%, Max Drawdown: 0.01%
(30, 2, -0.5, 3): Return: 0.02%, Hit Ratio: 75.0%, Max Drawdown: 0.01%
(30, 2, -0.5, 3.5): Return: 0.02%, Hit Ratio: 75.0%, Max Drawdown: 0.01%
(30, 2, 0, 2.5): Return: 0.02%, Hit Ratio: 71.43%, Max Drawdown: 0.01%
(30, 2, 0, 3): Return: 0.02%, Hit Ratio: 75.0%, Max Drawdown: 0.01%
(30, 2, 0, 3.5): Return: 0.02%, Hit Ratio: 75.0%, Max Drawdown: 0.01%
(60, 2, -0.5, 2.5): Return: 0.02%, Hit Ratio: 75.0%, Max Drawdown: 0.0%
(100, 1.5, -0.5, 2.5): Return: 0.02%, Hit Ratio: 72.73%, Max Drawdown: 0.01%
(100, 1.5, -0.5, 3): Return: 0.02%, Hit Ratio: 81.82%, Max Drawdown: 0.01%
(100, 1.5, -0.5, 3.5): Return: 0.02%, Hit Ratio: 81.82%, Max Drawdown: 0.01%
(100, 1.5, 0.5, 2.5): Return: 0.02%, Hit Ratio: 64.29%, Max Drawdown: 0.01%
(100, 1.5, 0.5, 3): Return: 0.02%, Hit Ratio: 78.57%, Max Drawdown: 0.01%
(100, 1.5, 0.5, 3.5): Return: 0.02%, Hit Ratio: 78.57%, Max Drawdown: 0.01%
(30, 2, 0.5, 2.5): Return: 0.01%, Hit Ratio: 57.14%, Max Drawdown: 0.01%
(30, 2, 0.5, 3): Return: 0.01%, Hit Ratio: 62.5%, Max Drawdown: 0.01%
(30, 2, 0.5, 3.5): Return: 0.01%, Hit Ratio: 62.5%, Max Drawdown: 0.01%
(60, 2, -0.5, 3): Return: 0.01%, Hit Ratio: 75.0%, Max Drawdown: 0.0%
(60, 2, -0.5, 3.5): Return: 0.01%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(60, 2, 0, 2.5): Return: 0.01%, Hit Ratio: 75.0%, Max Drawdown: 0.0%
(60, 2, 0, 3): Return: 0.01%, Hit Ratio: 75.0%, Max Drawdown: 0.0%
(60, 2, 0, 3.5): Return: 0.01%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(60, 2, 0.5, 2.5): Return: 0.01%, Hit Ratio: 75.0%, Max Drawdown: 0.0%
(60, 2, 0.5, 3.5): Return: 0.01%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(100, 2, 0, 2.5): Return: 0.01%, Hit Ratio: 75.0%, Max Drawdown: 0.0%
(100, 2, 0, 3): Return: 0.01%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(100, 2, 0, 3.5): Return: 0.01%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(100, 2, 0.5, 2.5): Return: 0.01%, Hit Ratio: 75.0%, Max Drawdown: 0.0%
(100, 2, 0.5, 3): Return: 0.01%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(100, 2, 0.5, 3.5): Return: 0.01%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
(60, 1.5, 0.5, 2.5): Return: -0.0%, Hit Ratio: 60.87%, Max Drawdown: 0.05%
(60, 2, 0.5, 3): Return: 0.0%, Hit Ratio: 75.0%, Max Drawdown: 0.0%
(100, 2, -0.5, 2.5): Return: -0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.01%
(100, 2, -0.5, 3): Return: -0.0%, Hit Ratio: 80.0%, Max Drawdown: 0.01%
(100, 2, -0.5, 3.5): Return: -0.0%, Hit Ratio: 80.0%, Max Drawdown: 0.01%
