,date,open,high,low,close,volume,average,barCount
0,2015-04-09,11.98,11.98,11.98,11.98,0,11.978,0
1,2015-04-10,12.175,12.22,12.125,12.22,65,12.1838,13
2,2015-04-13,12.025,12.025,11.95,11.95,10,11.989,2
3,2015-04-14,12.19,12.275,12.145,12.265,715,12.2344,51
4,2015-04-15,12.36,12.44,12.31,12.41,180,12.3706,17
5,2015-04-16,12.39,12.435,12.38,12.43,8335,12.3875,10
6,2015-04-17,12.26,12.275,12.215,12.27,175,12.2449,19
7,2015-04-20,12.115,12.12,12.08,12.11,30,12.0983,6
8,2015-04-21,12.1,12.1,12.1,12.1,15,12.098,1
9,2015-04-22,12.01,12.02,12.01,12.02,15,12.0187,3
10,2015-04-23,12.17,12.23,12.17,12.23,40,12.1913,3
11,2015-04-24,12.39,12.44,12.39,12.395,35,12.4043,5
12,2015-04-27,12.34,12.385,12.3,12.31,105,12.3371,12
13,2015-04-28,12.01,12.06,12.0,12.06,15,12.024,3
14,2015-04-29,11.485,11.5,11.44,11.465,40,11.4753,8
15,2015-04-30,11.475,11.55,11.45,11.55,40,11.476,7
16,2015-05-01,11.63,11.69,11.595,11.69,80,11.6343,8
17,2015-05-04,11.835,11.94,11.835,11.93,65,11.8957,13
18,2015-05-05,11.73,11.73,11.61,11.645,70,11.6444,11
19,2015-05-06,11.94,11.96,11.85,11.85,35,11.9414,7
20,2015-05-07,11.66,11.69,11.595,11.675,100,11.6425,13
21,2015-05-08,11.93,12.0,11.93,12.0,10,11.928,1
22,2015-05-11,11.6,11.63,11.59,11.63,55,11.6205,7
23,2015-05-12,12.02,12.15,12.02,12.135,60,12.075,6
24,2015-05-13,12.305,12.315,12.29,12.315,90,12.3033,18
25,2015-05-14,12.505,12.535,12.465,12.52,110,12.5063,11
26,2015-05-15,12.54,12.65,12.52,12.65,120,12.5842,21
27,2015-05-18,12.155,12.205,12.155,12.16,140,12.1743,16
28,2015-05-19,11.91,11.91,11.91,11.91,5,11.912,1
29,2015-05-20,12.055,12.07,11.98,12.06,145,12.0564,21
30,2015-05-21,13.35,13.36,13.26,13.35,740,13.3237,80
31,2015-05-22,13.18,13.225,13.18,13.195,170,13.2164,24
32,2015-05-26,13.425,13.425,13.34,13.355,105,13.3552,16
33,2015-05-27,13.62,13.645,13.62,13.625,35,13.6301,4
34,2015-05-28,13.33,13.36,13.295,13.36,35,13.3349,7
35,2015-05-29,13.455,13.505,13.455,13.5,252,13.4842,23
36,2015-06-01,13.645,13.645,13.54,13.6,87,13.5882,10
37,2015-06-02,13.265,13.425,13.26,13.405,131,13.3173,14
38,2015-06-03,13.19,13.3,13.185,13.21,307,13.2173,44
39,2015-06-04,12.91,12.915,12.76,12.795,229,12.786,24
40,2015-06-05,12.83,12.83,12.73,12.79,350,12.8101,21
41,2015-06-08,12.815,12.89,12.79,12.89,397,12.839,63
42,2015-06-09,12.45,12.48,12.445,12.48,151,12.4564,19
43,2015-06-10,12.78,12.94,12.78,12.94,106,12.839,9
44,2015-06-11,13.095,13.19,13.08,13.175,116,13.1364,20
45,2015-06-12,13.37,13.395,13.34,13.34,70,13.3544,9
46,2015-06-15,13.4,13.46,13.4,13.435,83,13.4245,9
47,2015-06-16,13.565,13.69,13.565,13.69,172,13.6223,30
48,2015-06-17,13.41,13.65,13.39,13.585,123,13.4733,23
49,2015-06-18,13.77,13.85,13.77,13.825,78,13.82,14
50,2015-06-19,13.85,13.935,13.85,13.895,104,13.8837,13
51,2015-06-22,13.9,13.95,13.825,13.86,131,13.8908,23
52,2015-06-23,13.96,14.07,13.935,14.045,130,14.0247,16
53,2015-06-24,14.03,14.03,13.945,13.975,19,13.9978,3
54,2015-06-25,13.575,13.6,13.52,13.52,71,13.5729,11
55,2015-06-26,13.66,13.73,13.64,13.73,36,13.6541,4
56,2015-06-29,13.325,13.405,13.23,13.24,172,13.321,17
57,2015-06-30,13.345,13.355,13.195,13.26,321,13.282,53
58,2015-07-01,13.73,13.765,13.68,13.75,82,13.7152,14
59,2015-07-02,13.975,13.975,13.89,13.945,74,13.927,10
60,2015-07-06,13.725,13.725,13.48,13.535,199,13.5586,34
61,2015-07-07,13.33,13.52,13.145,13.47,216,13.292,32
62,2015-07-08,13.03,13.03,12.89,12.89,50,12.9557,8
63,2015-07-09,13.225,13.225,13.1,13.115,99,13.1281,11
64,2015-07-10,13.345,13.37,13.32,13.37,51,13.3401,7
65,2015-07-13,13.575,13.63,13.53,13.63,105,13.566,13
66,2015-07-14,13.595,13.635,13.54,13.635,33,13.5862,6
67,2015-07-15,13.94,13.94,13.55,13.83,163,13.8161,21
68,2015-07-16,14.01,14.01,13.96,13.96,76,13.9913,11
69,2015-07-17,13.895,13.905,13.895,13.905,10,13.896,2
70,2015-07-20,14.07,14.15,14.07,14.15,17,14.1222,3
71,2015-07-21,14.09,14.155,14.09,14.11,88,14.1254,12
72,2015-07-22,13.645,13.785,13.63,13.63,52,13.6742,8
73,2015-07-23,13.695,13.695,13.685,13.685,19,13.6912,2
74,2015-07-24,13.425,13.44,13.36,13.385,30,13.4217,4
75,2015-07-27,13.41,13.44,13.38,13.44,75,13.4127,14
76,2015-07-28,13.56,13.71,13.495,13.655,385,13.6282,23
77,2015-07-29,13.87,13.92,13.835,13.905,93,13.8795,14
78,2015-07-30,13.635,13.655,13.61,13.655,20,13.6341,4
79,2015-07-31,14.03,14.03,13.89,13.92,141,13.9613,14
80,2015-08-03,14.035,14.105,14.02,14.07,105,14.0512,11
81,2015-08-04,14.4,14.44,14.33,14.35,145,14.3861,16
82,2015-08-05,13.955,13.955,13.9,13.91,31,13.9211,6
83,2015-08-06,13.66,13.675,13.56,13.675,25,13.6384,4
84,2015-08-07,13.4,13.49,13.4,13.49,52,13.4307,7
85,2015-08-10,13.59,13.75,13.59,13.745,46,13.6968,8
86,2015-08-11,13.25,13.305,13.215,13.27,412,13.2525,33
87,2015-08-12,13.345,13.51,13.345,13.51,85,13.3651,12
