(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 1.5, -0.5, 3), Return: 0.04%, Hit Ratio: 32.26%, Max Drawdown: 0.03%
(100, 1.5, -0.5, 3): Return: 0.04%, Hit Ratio: 32.26%, Max Drawdown: 0.03%
(100, 1.5, -0.5, 3.5): Return: 0.04%, Hit Ratio: 35.48%, Max Drawdown: 0.03%
(100, 2, -0.5, 3.5): Return: 0.03%, Hit Ratio: 44.44%, Max Drawdown: 0.03%
(30, 1.5, 0, 3): Return: 0.02%, Hit Ratio: 33.33%, Max Drawdown: 0.02%
(30, 1.5, 0, 3.5): Return: 0.02%, Hit Ratio: 33.33%, Max Drawdown: 0.02%
(30, 1.5, 0.5, 3): Return: 0.02%, Hit Ratio: 35.0%, Max Drawdown: 0.02%
(30, 1.5, 0.5, 3.5): Return: 0.02%, Hit Ratio: 35.0%, Max Drawdown: 0.02%
(100, 1.5, -0.5, 2.5): Return: 0.02%, Hit Ratio: 33.33%, Max Drawdown: 0.03%
(100, 2, -0.5, 3): Return: 0.02%, Hit Ratio: 38.89%, Max Drawdown: 0.03%
(30, 1, 0, 3): Return: 0.01%, Hit Ratio: 37.04%, Max Drawdown: 0.03%
(30, 1, 0, 3.5): Return: 0.01%, Hit Ratio: 37.04%, Max Drawdown: 0.03%
(30, 1.5, 0, 2.5): Return: 0.01%, Hit Ratio: 33.33%, Max Drawdown: 0.02%
(30, 1.5, 0.5, 2.5): Return: 0.01%, Hit Ratio: 35.14%, Max Drawdown: 0.02%
(60, 2, 0, 2.5): Return: 0.01%, Hit Ratio: 25.0%, Max Drawdown: 0.02%
(60, 2, 0, 3): Return: 0.01%, Hit Ratio: 21.43%, Max Drawdown: 0.02%
(60, 2, 0, 3.5): Return: 0.01%, Hit Ratio: 29.41%, Max Drawdown: 0.02%
(60, 2, 0.5, 2.5): Return: 0.01%, Hit Ratio: 25.0%, Max Drawdown: 0.02%
(60, 2, 0.5, 3): Return: 0.01%, Hit Ratio: 21.43%, Max Drawdown: 0.02%
(60, 2, 0.5, 3.5): Return: 0.01%, Hit Ratio: 23.53%, Max Drawdown: 0.02%
(100, 1, -0.5, 3): Return: 0.01%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(100, 1, -0.5, 3.5): Return: 0.01%, Hit Ratio: 39.29%, Max Drawdown: 0.03%
(100, 2, -0.5, 2.5): Return: 0.01%, Hit Ratio: 42.86%, Max Drawdown: 0.03%
(30, 1, 0, 2.5): Return: 0.0%, Hit Ratio: 36.25%, Max Drawdown: 0.03%
(30, 1, 0.5, 3): Return: -0.0%, Hit Ratio: 37.21%, Max Drawdown: 0.03%
(30, 1, 0.5, 3.5): Return: -0.0%, Hit Ratio: 37.21%, Max Drawdown: 0.03%
(30, 2, -0.5, 2.5): Return: -0.0%, Hit Ratio: 33.33%, Max Drawdown: 0.01%
(30, 2, -0.5, 3): Return: 0.0%, Hit Ratio: 37.5%, Max Drawdown: 0.01%
(30, 2, -0.5, 3.5): Return: 0.0%, Hit Ratio: 37.5%, Max Drawdown: 0.01%
(30, 2, 0, 3): Return: -0.0%, Hit Ratio: 25.0%, Max Drawdown: 0.01%
(30, 2, 0, 3.5): Return: -0.0%, Hit Ratio: 25.0%, Max Drawdown: 0.01%
(30, 2, 0.5, 3): Return: -0.0%, Hit Ratio: 25.0%, Max Drawdown: 0.01%
(30, 2, 0.5, 3.5): Return: -0.0%, Hit Ratio: 25.0%, Max Drawdown: 0.01%
