(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (100, 1, 1, 0, -0.5, 3, 2.5), Return: 0.05%, Hit Ratio: 46.61%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 2.5, 2.5): Return: -0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 2.5, 3): Return: 0.0%, Hit Ratio: 50.82%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 2.5, 3.5): Return: 0.0%, Hit Ratio: 50.82%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 3, 2.5): Return: -0.02%, Hit Ratio: 50.81%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 3, 3): Return: 0.0%, Hit Ratio: 52.0%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 3, 3.5): Return: 0.0%, Hit Ratio: 52.0%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 3.5, 2.5): Return: -0.02%, Hit Ratio: 51.2%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 3.5, 3): Return: 0.0%, Hit Ratio: 52.38%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: 0.0%, Hit Ratio: 52.38%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 2.5, 2.5): Return: 0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 2.5, 3): Return: 0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 2.5, 3.5): Return: 0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3, 2.5): Return: 0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3, 3): Return: 0.0%, Hit Ratio: 50.37%, Max Drawdown: 0.04%
