(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (100, 1, 1, 0, -0.5, 3, 2.5), Return: 0.08%, Hit Ratio: 46.15%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 3, 2.5): Return: 0.08%, Hit Ratio: 46.15%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 3.5, 2.5): Return: 0.08%, Hit Ratio: 46.61%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 2.5, 2.5): Return: 0.08%, Hit Ratio: 45.9%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 3, 2.5): Return: 0.08%, Hit Ratio: 44.72%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 3.5, 2.5): Return: 0.08%, Hit Ratio: 45.16%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 3.5, 3): Return: 0.08%, Hit Ratio: 45.6%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 3.5, 3.5): Return: 0.08%, Hit Ratio: 45.6%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 2.5, 2.5): Return: 0.08%, Hit Ratio: 47.75%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 2.5, 3): Return: 0.08%, Hit Ratio: 48.21%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 3, 2.5): Return: 0.08%, Hit Ratio: 47.32%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 3.5, 2.5): Return: 0.08%, Hit Ratio: 47.37%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 2.5, 2.5): Return: 0.08%, Hit Ratio: 47.01%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 2.5, 2.5): Return: 0.07%, Hit Ratio: 49.53%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 3, 2.5): Return: 0.07%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 50.46%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 2.5, 2.5): Return: 0.07%, Hit Ratio: 46.55%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 2.5, 3): Return: 0.07%, Hit Ratio: 47.01%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 3, 3): Return: 0.07%, Hit Ratio: 46.61%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 3, 3.5): Return: 0.07%, Hit Ratio: 46.15%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 3.5, 3): Return: 0.07%, Hit Ratio: 47.06%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 3.5, 3.5): Return: 0.07%, Hit Ratio: 46.61%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 2.5, 3): Return: 0.07%, Hit Ratio: 46.34%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: 0.07%, Hit Ratio: 46.34%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 3, 3): Return: 0.07%, Hit Ratio: 45.16%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 3, 3.5): Return: 0.07%, Hit Ratio: 45.16%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, 0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 45.24%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, -0.5, 2.5, 2.5): Return: 0.07%, Hit Ratio: 50.49%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 2.5, 3.5): Return: 0.07%, Hit Ratio: 48.21%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 3, 3): Return: 0.07%, Hit Ratio: 47.79%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 3, 3.5): Return: 0.07%, Hit Ratio: 47.79%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 3.5, 3): Return: 0.07%, Hit Ratio: 47.83%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, -0.5, 3.5, 3.5): Return: 0.07%, Hit Ratio: 47.83%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 2.5, 3): Return: 0.07%, Hit Ratio: 47.46%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 2.5, 3.5): Return: 0.07%, Hit Ratio: 47.46%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 3, 2.5): Return: 0.07%, Hit Ratio: 45.76%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 3, 3): Return: 0.07%, Hit Ratio: 46.22%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 3, 3.5): Return: 0.07%, Hit Ratio: 46.22%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 45.83%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 3.5, 3): Return: 0.07%, Hit Ratio: 46.28%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, -0.5, 3.5, 3.5): Return: 0.07%, Hit Ratio: 46.28%, Max Drawdown: 0.03%
(100, 1, 1.5, 0.5, 0.5, 2.5, 2.5): Return: 0.07%, Hit Ratio: 48.31%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3, 2.5): Return: 0.07%, Hit Ratio: 47.06%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 47.11%, Max Drawdown: 0.04%
(100, 1, 2, 0, -0.5, 2.5, 2.5): Return: 0.07%, Hit Ratio: 46.79%, Max Drawdown: 0.02%
(100, 1, 2, 0, -0.5, 2.5, 3): Return: 0.07%, Hit Ratio: 47.27%, Max Drawdown: 0.02%
(100, 1, 2, 0, -0.5, 3, 2.5): Return: 0.07%, Hit Ratio: 46.36%, Max Drawdown: 0.02%
(100, 1, 2, 0, -0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 46.43%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0.5, 2.5, 2.5): Return: 0.07%, Hit Ratio: 46.02%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, -0.5, 2.5, 2.5): Return: 0.07%, Hit Ratio: 46.09%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0.5, 2.5, 2.5): Return: 0.07%, Hit Ratio: 48.28%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0.5, 2.5, 3): Return: 0.07%, Hit Ratio: 48.72%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0.5, 2.5, 3.5): Return: 0.07%, Hit Ratio: 49.15%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0.5, 3, 2.5): Return: 0.07%, Hit Ratio: 47.01%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 47.06%, Max Drawdown: 0.01%
(60, 1.5, 1, 0, 0.5, 2.5, 2.5): Return: 0.06%, Hit Ratio: 48.57%, Max Drawdown: 0.03%
(60, 1.5, 1, 0, 0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 49.3%, Max Drawdown: 0.03%
(60, 1.5, 1, 0, 0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 50.68%, Max Drawdown: 0.03%
(60, 1.5, 1, 0, 0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 45.95%, Max Drawdown: 0.03%
(60, 1.5, 1, 0, 0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 48.05%, Max Drawdown: 0.03%
(60, 1.5, 1, 0, 0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 44.74%, Max Drawdown: 0.03%
(60, 1.5, 1, 0, 0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 45.45%, Max Drawdown: 0.03%
(60, 1.5, 1, 0, 0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 46.84%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 3, 3): Return: 0.06%, Hit Ratio: 50.46%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, -0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 50.91%, Max Drawdown: 0.03%
(100, 1, 1, 0, -0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 46.55%, Max Drawdown: 0.03%
(100, 1, 1, 0, 0, 3, 2.5): Return: 0.06%, Hit Ratio: 41.88%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0, 3.5, 2.5): Return: 0.06%, Hit Ratio: 42.37%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 2.5, 2.5): Return: 0.06%, Hit Ratio: 42.98%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 43.44%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 41.8%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 3, 3): Return: 0.06%, Hit Ratio: 42.28%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 42.28%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 42.74%, Max Drawdown: 0.04%
(100, 1, 1, 0, 0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 42.74%, Max Drawdown: 0.04%
(100, 1, 1, 0.5, 0, 3, 2.5): Return: 0.06%, Hit Ratio: 42.28%, Max Drawdown: 0.04%
