(Lookback, Entry, Exit, Stop-loss)
Best HPs: (110, 1.9, -0.5, 3.5), Return: 0.23%, Hit Ratio: 67.86%, Max Drawdown: 0.06%
(110, 1.9, -0.5, 3.5): Return: 0.23%, Hit Ratio: 67.86%, Max Drawdown: 0.06%
(110, 1.9, -0.4, 3.5): Return: 0.23%, Hit Ratio: 64.29%, Max Drawdown: 0.06%
(110, 1.9, -0.3, 3.5): Return: 0.23%, Hit Ratio: 64.29%, Max Drawdown: 0.06%
(100, 1.8, -0.5, 3.4): Return: 0.22%, Hit Ratio: 61.76%, Max Drawdown: 0.06%
(100, 1.8, -0.5, 3.5): Return: 0.22%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(100, 1.8, -0.4, 3.4): Return: 0.22%, Hit Ratio: 55.88%, Max Drawdown: 0.06%
(100, 1.8, -0.3, 3.4): Return: 0.22%, Hit Ratio: 55.88%, Max Drawdown: 0.06%
(110, 1.9, -0.5, 3.3): Return: 0.22%, Hit Ratio: 65.38%, Max Drawdown: 0.06%
(110, 1.9, -0.5, 3.4): Return: 0.22%, Hit Ratio: 62.96%, Max Drawdown: 0.06%
(110, 1.9, -0.5, 3.6): Return: 0.22%, Hit Ratio: 65.52%, Max Drawdown: 0.07%
(110, 1.9, -0.4, 3.3): Return: 0.22%, Hit Ratio: 61.54%, Max Drawdown: 0.06%
(110, 1.9, -0.4, 3.4): Return: 0.22%, Hit Ratio: 59.26%, Max Drawdown: 0.06%
(110, 1.9, -0.4, 3.6): Return: 0.22%, Hit Ratio: 62.07%, Max Drawdown: 0.07%
(110, 1.9, -0.3, 3.3): Return: 0.22%, Hit Ratio: 61.54%, Max Drawdown: 0.06%
(110, 1.9, -0.3, 3.4): Return: 0.22%, Hit Ratio: 59.26%, Max Drawdown: 0.06%
(110, 1.9, -0.3, 3.6): Return: 0.22%, Hit Ratio: 62.07%, Max Drawdown: 0.07%
(90, 2.1, -0.4, 3.4): Return: 0.21%, Hit Ratio: 68.42%, Max Drawdown: 0.07%
(90, 2.1, -0.4, 3.5): Return: 0.21%, Hit Ratio: 65.0%, Max Drawdown: 0.07%
(105, 2.1, -0.5, 3.6): Return: 0.21%, Hit Ratio: 60.87%, Max Drawdown: 0.07%
(105, 2.1, -0.5, 3.7): Return: 0.21%, Hit Ratio: 60.87%, Max Drawdown: 0.07%
(105, 2.1, -0.3, 3.6): Return: 0.21%, Hit Ratio: 60.87%, Max Drawdown: 0.07%
(105, 2.1, -0.3, 3.7): Return: 0.21%, Hit Ratio: 60.87%, Max Drawdown: 0.07%
(100, 1.8, -0.5, 3.3): Return: 0.21%, Hit Ratio: 57.58%, Max Drawdown: 0.06%
(100, 1.8, -0.4, 3.3): Return: 0.21%, Hit Ratio: 51.52%, Max Drawdown: 0.06%
(100, 1.8, -0.4, 3.5): Return: 0.21%, Hit Ratio: 54.29%, Max Drawdown: 0.07%
(100, 1.8, -0.3, 3.3): Return: 0.21%, Hit Ratio: 51.52%, Max Drawdown: 0.06%
(100, 1.8, -0.3, 3.5): Return: 0.21%, Hit Ratio: 54.29%, Max Drawdown: 0.07%
(100, 2.1, -0.5, 3.6): Return: 0.21%, Hit Ratio: 65.22%, Max Drawdown: 0.07%
