(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 1.8, 0.5, 2.9), Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.5, 2.9): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.5, 3.0): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.5, 3.1): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.5, 3.2): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.6, 2.9): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.6, 3.0): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.6, 3.1): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.6, 3.2): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.7, 2.9): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.7, 3.0): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.7, 3.1): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.8, 0.7, 3.2): Return: 0.11%, Hit Ratio: 44.12%, Max Drawdown: 0.03%
(30, 1.9, 0.5, 2.9): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.5, 3.0): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.5, 3.1): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.5, 3.2): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.6, 2.9): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.6, 3.0): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.6, 3.1): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.6, 3.2): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.7, 2.9): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.7, 3.0): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.7, 3.1): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 1.9, 0.7, 3.2): Return: 0.11%, Hit Ratio: 37.5%, Max Drawdown: 0.03%
(30, 2.0, 0.5, 2.9): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.5, 3.0): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.5, 3.1): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.5, 3.2): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.6, 2.9): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.6, 3.0): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.6, 3.1): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.6, 3.2): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.7, 2.9): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.7, 3.0): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.7, 3.1): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 2.0, 0.7, 3.2): Return: 0.11%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(40, 1.8, 0.7, 3.2): Return: 0.11%, Hit Ratio: 45.16%, Max Drawdown: 0.03%
(40, 2.0, 0.3, 3.2): Return: 0.11%, Hit Ratio: 40.91%, Max Drawdown: 0.03%
(40, 2.0, 0.4, 3.2): Return: 0.11%, Hit Ratio: 40.91%, Max Drawdown: 0.03%
(40, 2.0, 0.5, 3.2): Return: 0.11%, Hit Ratio: 40.91%, Max Drawdown: 0.03%
(40, 2.0, 0.6, 3.2): Return: 0.11%, Hit Ratio: 40.91%, Max Drawdown: 0.03%
(20, 1.9, 0.3, 2.8): Return: 0.1%, Hit Ratio: 38.46%, Max Drawdown: 0.03%
(20, 1.9, 0.3, 2.9): Return: 0.1%, Hit Ratio: 38.46%, Max Drawdown: 0.03%
(20, 1.9, 0.4, 2.8): Return: 0.1%, Hit Ratio: 38.46%, Max Drawdown: 0.03%
(20, 1.9, 0.4, 2.9): Return: 0.1%, Hit Ratio: 38.46%, Max Drawdown: 0.03%
(20, 1.9, 0.5, 2.8): Return: 0.1%, Hit Ratio: 42.31%, Max Drawdown: 0.03%
(20, 1.9, 0.5, 2.9): Return: 0.1%, Hit Ratio: 42.31%, Max Drawdown: 0.03%
(20, 1.9, 0.6, 2.8): Return: 0.1%, Hit Ratio: 42.31%, Max Drawdown: 0.03%
(20, 1.9, 0.6, 2.9): Return: 0.1%, Hit Ratio: 42.31%, Max Drawdown: 0.03%
(20, 1.9, 0.7, 2.8): Return: 0.1%, Hit Ratio: 42.31%, Max Drawdown: 0.03%
(20, 1.9, 0.7, 2.9): Return: 0.1%, Hit Ratio: 42.31%, Max Drawdown: 0.03%
(35, 1.8, 0.7, 3.1): Return: 0.1%, Hit Ratio: 40.0%, Max Drawdown: 0.03%
(35, 1.8, 0.7, 3.2): Return: 0.1%, Hit Ratio: 40.0%, Max Drawdown: 0.03%
(35, 1.9, 0.4, 3.1): Return: 0.1%, Hit Ratio: 39.29%, Max Drawdown: 0.03%
(35, 1.9, 0.4, 3.2): Return: 0.1%, Hit Ratio: 39.29%, Max Drawdown: 0.03%
(35, 1.9, 0.5, 3.1): Return: 0.1%, Hit Ratio: 39.29%, Max Drawdown: 0.03%
(35, 1.9, 0.5, 3.2): Return: 0.1%, Hit Ratio: 39.29%, Max Drawdown: 0.03%
(35, 1.9, 0.6, 3.1): Return: 0.1%, Hit Ratio: 39.29%, Max Drawdown: 0.03%
(35, 1.9, 0.6, 3.2): Return: 0.1%, Hit Ratio: 39.29%, Max Drawdown: 0.03%
(35, 1.9, 0.7, 3.1): Return: 0.1%, Hit Ratio: 39.29%, Max Drawdown: 0.03%
(35, 1.9, 0.7, 3.2): Return: 0.1%, Hit Ratio: 39.29%, Max Drawdown: 0.03%
(30, 1.8, 0.4, 2.9): Return: 0.1%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
(30, 1.8, 0.4, 3.0): Return: 0.1%, Hit Ratio: 41.18%, Max Drawdown: 0.03%
