(Lookback, Entry, Exit, Stop-loss)
Best HPs: (65, 0.9, 0.7, 2.8), Return: 0.33%, Hit Ratio: 49.68%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 2.8): Return: 0.33%, Hit Ratio: 49.68%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 2.9): Return: 0.33%, Hit Ratio: 49.68%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 3.0): Return: 0.33%, Hit Ratio: 49.68%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 3.1): Return: 0.33%, Hit Ratio: 49.03%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 2.8): Return: 0.33%, Hit Ratio: 49.68%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 2.9): Return: 0.33%, Hit Ratio: 49.68%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 3.0): Return: 0.33%, Hit Ratio: 49.68%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 3.1): Return: 0.33%, Hit Ratio: 49.03%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 2.8): Return: 0.32%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 2.9): Return: 0.32%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 3.0): Return: 0.32%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 3.1): Return: 0.32%, Hit Ratio: 49.67%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 3.2): Return: 0.32%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 3.2): Return: 0.32%, Hit Ratio: 49.68%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 2.8): Return: 0.32%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 2.9): Return: 0.32%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 3.0): Return: 0.32%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 3.1): Return: 0.32%, Hit Ratio: 49.67%, Max Drawdown: 0.09%
(65, 0.9, 0.6, 3.2): Return: 0.32%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(65, 0.9, 0.7, 3.2): Return: 0.32%, Hit Ratio: 49.68%, Max Drawdown: 0.09%
(70, 0.9, 0.6, 2.8): Return: 0.31%, Hit Ratio: 50.99%, Max Drawdown: 0.09%
(70, 0.9, 0.6, 2.9): Return: 0.31%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(70, 0.9, 0.6, 3.0): Return: 0.31%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(70, 0.9, 0.6, 3.1): Return: 0.31%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(70, 0.9, 0.6, 3.2): Return: 0.31%, Hit Ratio: 49.67%, Max Drawdown: 0.09%
(70, 0.9, 0.7, 2.8): Return: 0.31%, Hit Ratio: 50.33%, Max Drawdown: 0.09%
(70, 0.9, 0.7, 2.9): Return: 0.31%, Hit Ratio: 49.67%, Max Drawdown: 0.09%
(70, 0.9, 0.7, 3.0): Return: 0.31%, Hit Ratio: 49.67%, Max Drawdown: 0.09%
(70, 0.9, 0.7, 3.1): Return: 0.31%, Hit Ratio: 49.67%, Max Drawdown: 0.09%
(70, 0.9, 0.7, 3.2): Return: 0.31%, Hit Ratio: 49.02%, Max Drawdown: 0.09%
(50, 0.8, 0.6, 2.8): Return: 0.3%, Hit Ratio: 48.55%, Max Drawdown: 0.09%
(50, 0.8, 0.6, 2.9): Return: 0.3%, Hit Ratio: 48.55%, Max Drawdown: 0.09%
(50, 0.8, 0.6, 3.1): Return: 0.3%, Hit Ratio: 49.13%, Max Drawdown: 0.09%
