,date,open,high,low,close,volume,average,barCount
0,2015-12-15 18:04:00,15.16,15.28,15.16,15.16,7927,15.1646,24
1,2015-12-15 18:05:00,15.16,15.23,15.16,15.2,3387,15.2031,21
2,2015-12-15 18:06:00,15.185,15.21,15.185,15.21,1455,15.2011,29
3,2015-12-15 18:07:00,15.21,15.23,15.21,15.23,2771,15.2181,31
4,2015-12-15 18:08:00,15.22,15.22,15.15,15.16,6213,15.2011,42
5,2015-12-15 18:09:00,15.15,15.155,15.15,15.15,345,15.153,8
6,2015-12-15 18:10:00,15.15,15.16,15.11,15.13,5338,15.1436,59
7,2015-12-15 18:11:00,15.11,15.2,15.11,15.16,12167,15.166,72
8,2015-12-15 18:12:00,15.16,15.16,15.16,15.16,0,15.16,0
9,2015-12-15 18:13:00,15.13,15.18,15.13,15.16,5719,15.1652,53
10,2015-12-15 18:14:00,15.16,15.2,15.16,15.19,3674,15.1767,32
11,2015-12-15 18:15:00,15.195,15.21,15.1,15.12,17684,15.1539,140
12,2015-12-15 18:16:00,15.11,15.17,15.07,15.09,28385,15.1055,149
13,2015-12-15 18:17:00,15.09,15.09,15.04,15.05,10675,15.0654,59
14,2015-12-15 18:18:00,15.04,15.1,15.04,15.09,5225,15.0769,26
15,2015-12-15 18:19:00,15.1,15.1,15.1,15.1,998,15.1,13
16,2015-12-15 18:20:00,15.1,15.14,15.1,15.11,13211,15.1228,93
17,2015-12-15 18:21:00,15.12,15.17,15.12,15.15,14999,15.1554,64
18,2015-12-15 18:22:00,15.15,15.15,15.14,15.14,1768,15.1469,19
19,2015-12-15 18:23:00,15.135,15.14,15.13,15.13,1347,15.1367,28
20,2015-12-15 18:24:00,15.15,15.22,15.14,15.16,24828,15.1832,113
21,2015-12-15 18:25:00,15.16,15.16,15.15,15.15,622,15.1584,9
22,2015-12-15 18:26:00,15.16,15.205,15.16,15.2,7372,15.189,39
23,2015-12-15 18:27:00,15.19,15.2,15.155,15.19,17378,15.1747,67
24,2015-12-15 18:28:00,15.2,15.23,15.2,15.23,1302,15.2119,12
25,2015-12-15 18:29:00,15.23,15.23,15.19,15.19,5574,15.2139,37
26,2015-12-15 18:30:00,15.18,15.21,15.18,15.21,2125,15.1915,30
27,2015-12-15 18:31:00,15.22,15.25,15.21,15.25,2113,15.2267,20
28,2015-12-15 18:32:00,15.24,15.24,15.21,15.21,5810,15.2289,46
29,2015-12-15 18:33:00,15.21,15.235,15.21,15.23,4174,15.2276,42
