(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (90, 0.9, -0.6, 3.4), Return: 1.9%, Hit Ratio: 73.44%, Max Drawdown: 0.04%
(90, 0.9, -0.6, 3.4): Return: 1.9%, Hit Ratio: 73.44%, Max Drawdown: 0.04%
(90, 0.9, -0.6, 3.5): Return: 1.9%, Hit Ratio: 73.44%, Max Drawdown: 0.04%
(90, 0.9, -0.6, 3.6): Return: 1.9%, Hit Ratio: 73.44%, Max Drawdown: 0.04%
(90, 0.9, -0.6, 3.7): Return: 1.9%, Hit Ratio: 73.44%, Max Drawdown: 0.04%
(90, 0.9, -0.6, 3.3): Return: 1.89%, Hit Ratio: 72.31%, Max Drawdown: 0.04%
(100, 0.9, -0.6, 3.5): Return: 1.89%, Hit Ratio: 73.77%, Max Drawdown: 0.04%
(100, 0.9, -0.6, 3.6): Return: 1.89%, Hit Ratio: 73.77%, Max Drawdown: 0.04%
(100, 0.9, -0.6, 3.7): Return: 1.89%, Hit Ratio: 73.77%, Max Drawdown: 0.04%
(90, 0.8, -0.6, 3.4): Return: 1.88%, Hit Ratio: 75.34%, Max Drawdown: 0.04%
(90, 0.8, -0.6, 3.5): Return: 1.88%, Hit Ratio: 75.34%, Max Drawdown: 0.04%
(90, 0.8, -0.6, 3.6): Return: 1.88%, Hit Ratio: 75.34%, Max Drawdown: 0.04%
(90, 0.8, -0.6, 3.7): Return: 1.88%, Hit Ratio: 75.34%, Max Drawdown: 0.04%
(100, 0.9, -0.6, 3.3): Return: 1.88%, Hit Ratio: 72.58%, Max Drawdown: 0.04%
(100, 0.9, -0.6, 3.4): Return: 1.88%, Hit Ratio: 72.58%, Max Drawdown: 0.04%
(90, 0.8, -0.6, 3.3): Return: 1.87%, Hit Ratio: 74.32%, Max Drawdown: 0.04%
(100, 0.8, -0.6, 3.5): Return: 1.87%, Hit Ratio: 75.0%, Max Drawdown: 0.04%
(100, 0.8, -0.6, 3.6): Return: 1.87%, Hit Ratio: 75.0%, Max Drawdown: 0.04%
