(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 0.8, -0.7, 3.3), Return: 1.98%, Hit Ratio: 84.72%, Max Drawdown: 0.1%
(60, 0.8, -0.7, 3.3): Return: 1.98%, Hit Ratio: 84.72%, Max Drawdown: 0.1%
(60, 0.8, -0.7, 3.4): Return: 1.98%, Hit Ratio: 84.72%, Max Drawdown: 0.1%
(60, 0.8, -0.7, 3.5): Return: 1.98%, Hit Ratio: 84.72%, Max Drawdown: 0.1%
(60, 0.8, -0.7, 3.6): Return: 1.97%, Hit Ratio: 85.92%, Max Drawdown: 0.1%
(60, 0.8, -0.7, 3.7): Return: 1.97%, Hit Ratio: 85.92%, Max Drawdown: 0.1%
(50, 0.8, -0.7, 3.4): Return: 1.96%, Hit Ratio: 83.78%, Max Drawdown: 0.1%
(50, 0.8, -0.7, 3.5): Return: 1.96%, Hit Ratio: 83.78%, Max Drawdown: 0.1%
(50, 0.8, -0.7, 3.6): Return: 1.96%, Hit Ratio: 83.78%, Max Drawdown: 0.1%
(50, 0.8, -0.7, 3.7): Return: 1.96%, Hit Ratio: 83.78%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.3): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.4): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.5): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.6): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.7): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.3): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.4): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.5): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.6): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(65, 0.8, -0.7, 3.7): Return: 1.94%, Hit Ratio: 82.35%, Max Drawdown: 0.1%
(70, 0.8, -0.7, 3.3): Return: 1.93%, Hit Ratio: 84.06%, Max Drawdown: 0.1%
(70, 0.8, -0.7, 3.4): Return: 1.93%, Hit Ratio: 84.06%, Max Drawdown: 0.1%
(70, 0.8, -0.7, 3.5): Return: 1.93%, Hit Ratio: 84.06%, Max Drawdown: 0.1%
(70, 0.8, -0.7, 3.6): Return: 1.93%, Hit Ratio: 84.06%, Max Drawdown: 0.1%
(70, 0.8, -0.7, 3.7): Return: 1.93%, Hit Ratio: 84.06%, Max Drawdown: 0.1%
(70, 0.9, -0.7, 3.3): Return: 1.93%, Hit Ratio: 82.81%, Max Drawdown: 0.1%
(70, 0.9, -0.7, 3.4): Return: 1.93%, Hit Ratio: 82.81%, Max Drawdown: 0.1%
(70, 0.9, -0.7, 3.5): Return: 1.93%, Hit Ratio: 82.81%, Max Drawdown: 0.1%
(70, 0.9, -0.7, 3.6): Return: 1.93%, Hit Ratio: 82.81%, Max Drawdown: 0.1%
(70, 0.9, -0.7, 3.7): Return: 1.93%, Hit Ratio: 82.81%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.3): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.4): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.5): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.6): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.7): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.3): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.4): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.5): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.6): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(65, 0.9, -0.7, 3.7): Return: 1.91%, Hit Ratio: 84.38%, Max Drawdown: 0.1%
(60, 0.9, -0.7, 3.3): Return: 1.9%, Hit Ratio: 83.58%, Max Drawdown: 0.1%
(60, 0.9, -0.7, 3.4): Return: 1.9%, Hit Ratio: 83.58%, Max Drawdown: 0.1%
(60, 0.9, -0.7, 3.5): Return: 1.9%, Hit Ratio: 83.58%, Max Drawdown: 0.1%
(60, 0.9, -0.7, 3.6): Return: 1.9%, Hit Ratio: 84.85%, Max Drawdown: 0.1%
(60, 0.9, -0.7, 3.7): Return: 1.9%, Hit Ratio: 84.85%, Max Drawdown: 0.1%
(50, 0.8, -0.6, 3.4): Return: 1.88%, Hit Ratio: 84.62%, Max Drawdown: 0.1%
(50, 0.8, -0.6, 3.5): Return: 1.88%, Hit Ratio: 84.62%, Max Drawdown: 0.1%
(50, 0.8, -0.6, 3.6): Return: 1.88%, Hit Ratio: 84.62%, Max Drawdown: 0.1%
(50, 0.8, -0.6, 3.7): Return: 1.88%, Hit Ratio: 84.62%, Max Drawdown: 0.1%
(60, 0.8, -0.6, 3.3): Return: 1.84%, Hit Ratio: 82.67%, Max Drawdown: 0.1%
(60, 0.8, -0.6, 3.4): Return: 1.84%, Hit Ratio: 82.67%, Max Drawdown: 0.1%
(60, 0.8, -0.6, 3.5): Return: 1.84%, Hit Ratio: 82.67%, Max Drawdown: 0.1%
(60, 0.8, -0.6, 3.6): Return: 1.84%, Hit Ratio: 83.78%, Max Drawdown: 0.1%
(60, 0.8, -0.6, 3.7): Return: 1.84%, Hit Ratio: 83.78%, Max Drawdown: 0.1%
(50, 0.8, -0.4, 3.4): Return: 1.79%, Hit Ratio: 82.56%, Max Drawdown: 0.1%
(50, 0.8, -0.4, 3.5): Return: 1.79%, Hit Ratio: 82.56%, Max Drawdown: 0.1%
(50, 0.8, -0.4, 3.6): Return: 1.79%, Hit Ratio: 82.56%, Max Drawdown: 0.1%
(50, 0.8, -0.4, 3.7): Return: 1.79%, Hit Ratio: 82.56%, Max Drawdown: 0.1%
(60, 0.8, -0.5, 3.3): Return: 1.79%, Hit Ratio: 80.0%, Max Drawdown: 0.1%
(60, 0.8, -0.5, 3.4): Return: 1.79%, Hit Ratio: 80.0%, Max Drawdown: 0.1%
(60, 0.8, -0.5, 3.5): Return: 1.79%, Hit Ratio: 80.0%, Max Drawdown: 0.1%
(60, 0.8, -0.5, 3.6): Return: 1.79%, Hit Ratio: 81.01%, Max Drawdown: 0.1%
(60, 0.8, -0.5, 3.7): Return: 1.79%, Hit Ratio: 81.01%, Max Drawdown: 0.1%
(60, 0.8, -0.4, 3.3): Return: 1.79%, Hit Ratio: 80.72%, Max Drawdown: 0.1%
(60, 0.8, -0.4, 3.4): Return: 1.79%, Hit Ratio: 80.72%, Max Drawdown: 0.1%
(60, 0.8, -0.4, 3.5): Return: 1.79%, Hit Ratio: 80.72%, Max Drawdown: 0.1%
(60, 0.8, -0.4, 3.6): Return: 1.79%, Hit Ratio: 81.71%, Max Drawdown: 0.1%
(60, 0.8, -0.4, 3.7): Return: 1.79%, Hit Ratio: 81.71%, Max Drawdown: 0.1%
(50, 0.8, -0.5, 3.4): Return: 1.78%, Hit Ratio: 82.5%, Max Drawdown: 0.1%
(50, 0.8, -0.5, 3.5): Return: 1.78%, Hit Ratio: 82.5%, Max Drawdown: 0.1%
(50, 0.8, -0.5, 3.6): Return: 1.78%, Hit Ratio: 82.5%, Max Drawdown: 0.1%
(50, 0.8, -0.5, 3.7): Return: 1.78%, Hit Ratio: 82.5%, Max Drawdown: 0.1%
(50, 0.8, -0.3, 3.4): Return: 1.77%, Hit Ratio: 79.78%, Max Drawdown: 0.1%
(50, 0.8, -0.3, 3.5): Return: 1.77%, Hit Ratio: 79.78%, Max Drawdown: 0.1%
(50, 0.8, -0.3, 3.6): Return: 1.77%, Hit Ratio: 79.78%, Max Drawdown: 0.1%
(50, 0.8, -0.3, 3.7): Return: 1.77%, Hit Ratio: 79.78%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.3): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.4): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.5): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.6): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.7): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(60, 0.8, -0.3, 3.3): Return: 1.77%, Hit Ratio: 78.82%, Max Drawdown: 0.1%
(60, 0.8, -0.3, 3.4): Return: 1.77%, Hit Ratio: 78.82%, Max Drawdown: 0.1%
(60, 0.8, -0.3, 3.5): Return: 1.77%, Hit Ratio: 78.82%, Max Drawdown: 0.1%
(60, 0.8, -0.3, 3.6): Return: 1.77%, Hit Ratio: 79.76%, Max Drawdown: 0.1%
(60, 0.8, -0.3, 3.7): Return: 1.77%, Hit Ratio: 79.76%, Max Drawdown: 0.1%
(60, 0.9, -0.6, 3.3): Return: 1.77%, Hit Ratio: 81.43%, Max Drawdown: 0.1%
(60, 0.9, -0.6, 3.4): Return: 1.77%, Hit Ratio: 81.43%, Max Drawdown: 0.1%
(60, 0.9, -0.6, 3.5): Return: 1.77%, Hit Ratio: 81.43%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.3): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.4): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.5): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.6): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(65, 0.8, -0.5, 3.7): Return: 1.77%, Hit Ratio: 76.32%, Max Drawdown: 0.1%
(65, 0.8, -0.6, 3.3): Return: 1.76%, Hit Ratio: 77.78%, Max Drawdown: 0.1%
(65, 0.8, -0.6, 3.4): Return: 1.76%, Hit Ratio: 77.78%, Max Drawdown: 0.1%
(65, 0.8, -0.6, 3.5): Return: 1.76%, Hit Ratio: 77.78%, Max Drawdown: 0.1%
(65, 0.8, -0.6, 3.6): Return: 1.76%, Hit Ratio: 77.78%, Max Drawdown: 0.1%
(65, 0.8, -0.6, 3.7): Return: 1.76%, Hit Ratio: 77.78%, Max Drawdown: 0.1%
(65, 0.8, -0.4, 3.3): Return: 1.76%, Hit Ratio: 74.36%, Max Drawdown: 0.1%
(65, 0.8, -0.4, 3.4): Return: 1.76%, Hit Ratio: 74.36%, Max Drawdown: 0.1%
