(Lookback, Entry, Exit, Stop-loss)
Best HPs: (65, 0.8, -0.1, 3.0), Return: 1.93%, Hit Ratio: 75.27%, Max Drawdown: 0.07%
(65, 0.8, -0.1, 3.0): Return: 1.93%, Hit Ratio: 75.27%, Max Drawdown: 0.07%
(65, 0.8, -0.1, 3.1): Return: 1.93%, Hit Ratio: 75.27%, Max Drawdown: 0.07%
(65, 0.8, -0.1, 3.2): Return: 1.93%, Hit Ratio: 75.27%, Max Drawdown: 0.07%
(65, 0.8, -0.1, 3.0): Return: 1.93%, Hit Ratio: 75.27%, Max Drawdown: 0.07%
(65, 0.8, -0.1, 3.1): Return: 1.93%, Hit Ratio: 75.27%, Max Drawdown: 0.07%
(65, 0.8, -0.1, 3.2): Return: 1.93%, Hit Ratio: 75.27%, Max Drawdown: 0.07%
(70, 0.8, -0.1, 3.1): Return: 1.93%, Hit Ratio: 75.0%, Max Drawdown: 0.07%
(70, 0.8, -0.1, 3.2): Return: 1.93%, Hit Ratio: 75.0%, Max Drawdown: 0.07%
(65, 0.8, 0.0, 3.0): Return: 1.92%, Hit Ratio: 73.96%, Max Drawdown: 0.07%
(65, 0.8, 0.0, 3.1): Return: 1.92%, Hit Ratio: 73.96%, Max Drawdown: 0.07%
(65, 0.8, 0.0, 3.2): Return: 1.92%, Hit Ratio: 73.96%, Max Drawdown: 0.07%
(65, 0.8, 0.2, 3.0): Return: 1.92%, Hit Ratio: 68.93%, Max Drawdown: 0.07%
(65, 0.8, 0.2, 3.1): Return: 1.92%, Hit Ratio: 68.93%, Max Drawdown: 0.07%
(65, 0.8, 0.2, 3.2): Return: 1.92%, Hit Ratio: 68.93%, Max Drawdown: 0.07%
(65, 0.8, 0.0, 3.0): Return: 1.92%, Hit Ratio: 73.96%, Max Drawdown: 0.07%
(65, 0.8, 0.0, 3.1): Return: 1.92%, Hit Ratio: 73.96%, Max Drawdown: 0.07%
(65, 0.8, 0.0, 3.2): Return: 1.92%, Hit Ratio: 73.96%, Max Drawdown: 0.07%
(65, 0.8, 0.2, 3.0): Return: 1.92%, Hit Ratio: 68.93%, Max Drawdown: 0.07%
(65, 0.8, 0.2, 3.1): Return: 1.92%, Hit Ratio: 68.93%, Max Drawdown: 0.07%
(65, 0.8, 0.2, 3.2): Return: 1.92%, Hit Ratio: 68.93%, Max Drawdown: 0.07%
(70, 0.8, 0.0, 3.1): Return: 1.92%, Hit Ratio: 73.12%, Max Drawdown: 0.07%
(70, 0.8, 0.0, 3.2): Return: 1.92%, Hit Ratio: 73.12%, Max Drawdown: 0.07%
(65, 0.8, -0.2, 3.0): Return: 1.91%, Hit Ratio: 79.31%, Max Drawdown: 0.08%
(65, 0.8, -0.2, 3.1): Return: 1.91%, Hit Ratio: 79.31%, Max Drawdown: 0.08%
(65, 0.8, -0.2, 3.2): Return: 1.91%, Hit Ratio: 79.31%, Max Drawdown: 0.08%
(65, 0.8, 0.1, 3.0): Return: 1.91%, Hit Ratio: 71.0%, Max Drawdown: 0.07%
(65, 0.8, 0.1, 3.1): Return: 1.91%, Hit Ratio: 71.0%, Max Drawdown: 0.07%
(65, 0.8, 0.1, 3.2): Return: 1.91%, Hit Ratio: 71.0%, Max Drawdown: 0.07%
(65, 0.8, -0.2, 3.0): Return: 1.91%, Hit Ratio: 79.31%, Max Drawdown: 0.08%
(65, 0.8, -0.2, 3.1): Return: 1.91%, Hit Ratio: 79.31%, Max Drawdown: 0.08%
(65, 0.8, -0.2, 3.2): Return: 1.91%, Hit Ratio: 79.31%, Max Drawdown: 0.08%
(65, 0.8, 0.1, 3.0): Return: 1.91%, Hit Ratio: 71.0%, Max Drawdown: 0.07%
(65, 0.8, 0.1, 3.1): Return: 1.91%, Hit Ratio: 71.0%, Max Drawdown: 0.07%
(65, 0.8, 0.1, 3.2): Return: 1.91%, Hit Ratio: 71.0%, Max Drawdown: 0.07%
(70, 0.8, 0.1, 3.1): Return: 1.91%, Hit Ratio: 69.47%, Max Drawdown: 0.07%
(70, 0.8, 0.1, 3.2): Return: 1.91%, Hit Ratio: 69.47%, Max Drawdown: 0.07%
(70, 0.8, 0.2, 3.1): Return: 1.91%, Hit Ratio: 67.35%, Max Drawdown: 0.07%
(70, 0.8, 0.2, 3.2): Return: 1.91%, Hit Ratio: 67.35%, Max Drawdown: 0.07%
(70, 0.8, -0.2, 3.1): Return: 1.9%, Hit Ratio: 76.19%, Max Drawdown: 0.08%
