(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 0.8, -0.2, 3.0), Return: 0.8%, Hit Ratio: 74.12%, Max Drawdown: 0.02%
(20, 0.8, -0.2, 3.0): Return: 0.8%, Hit Ratio: 74.12%, Max Drawdown: 0.02%
(20, 0.8, -0.2, 3.1): Return: 0.8%, Hit Ratio: 74.12%, Max Drawdown: 0.02%
(20, 0.8, -0.2, 3.2): Return: 0.8%, Hit Ratio: 74.12%, Max Drawdown: 0.02%
(20, 0.9, -0.2, 3.0): Return: 0.8%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(20, 0.9, -0.2, 3.1): Return: 0.8%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(20, 0.9, -0.2, 3.2): Return: 0.8%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(20, 0.8, -0.2, 2.8): Return: 0.79%, Hit Ratio: 74.12%, Max Drawdown: 0.02%
(20, 0.8, -0.2, 2.9): Return: 0.79%, Hit Ratio: 74.12%, Max Drawdown: 0.02%
(20, 0.9, -0.2, 2.8): Return: 0.79%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(20, 0.9, -0.2, 2.9): Return: 0.79%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(20, 1.0, -0.2, 3.0): Return: 0.79%, Hit Ratio: 76.92%, Max Drawdown: 0.02%
(20, 1.0, -0.2, 3.1): Return: 0.79%, Hit Ratio: 76.92%, Max Drawdown: 0.02%
(20, 1.0, -0.2, 3.2): Return: 0.79%, Hit Ratio: 76.92%, Max Drawdown: 0.02%
(20, 1.1, -0.2, 3.0): Return: 0.79%, Hit Ratio: 79.17%, Max Drawdown: 0.02%
(20, 1.1, -0.2, 3.1): Return: 0.79%, Hit Ratio: 79.17%, Max Drawdown: 0.02%
(20, 1.1, -0.2, 3.2): Return: 0.79%, Hit Ratio: 79.17%, Max Drawdown: 0.02%
(20, 1.0, -0.2, 2.8): Return: 0.78%, Hit Ratio: 76.92%, Max Drawdown: 0.02%
(20, 1.0, -0.2, 2.9): Return: 0.78%, Hit Ratio: 76.92%, Max Drawdown: 0.02%
(20, 1.1, -0.2, 2.8): Return: 0.78%, Hit Ratio: 79.17%, Max Drawdown: 0.02%
(20, 1.1, -0.2, 2.9): Return: 0.78%, Hit Ratio: 79.17%, Max Drawdown: 0.02%
(20, 0.8, 0.0, 3.0): Return: 0.77%, Hit Ratio: 73.63%, Max Drawdown: 0.02%
(20, 0.8, 0.0, 3.1): Return: 0.77%, Hit Ratio: 73.63%, Max Drawdown: 0.02%
(20, 0.8, 0.0, 3.2): Return: 0.77%, Hit Ratio: 73.63%, Max Drawdown: 0.02%
(20, 0.8, 0.2, 3.0): Return: 0.77%, Hit Ratio: 72.45%, Max Drawdown: 0.02%
(20, 0.8, 0.2, 3.1): Return: 0.77%, Hit Ratio: 72.45%, Max Drawdown: 0.02%
(20, 0.8, 0.2, 3.2): Return: 0.77%, Hit Ratio: 72.45%, Max Drawdown: 0.02%
(20, 0.9, 0.0, 3.0): Return: 0.77%, Hit Ratio: 77.91%, Max Drawdown: 0.02%
(20, 0.9, 0.0, 3.1): Return: 0.77%, Hit Ratio: 77.91%, Max Drawdown: 0.02%
(20, 0.9, 0.0, 3.2): Return: 0.77%, Hit Ratio: 77.91%, Max Drawdown: 0.02%
(20, 0.9, 0.2, 3.0): Return: 0.77%, Hit Ratio: 75.82%, Max Drawdown: 0.02%
(20, 0.9, 0.2, 3.1): Return: 0.77%, Hit Ratio: 75.82%, Max Drawdown: 0.02%
(20, 0.9, 0.2, 3.2): Return: 0.77%, Hit Ratio: 75.82%, Max Drawdown: 0.02%
(20, 0.8, 0.1, 3.0): Return: 0.76%, Hit Ratio: 72.63%, Max Drawdown: 0.02%
(20, 0.8, 0.1, 3.1): Return: 0.76%, Hit Ratio: 72.63%, Max Drawdown: 0.02%
(20, 0.8, 0.1, 3.2): Return: 0.76%, Hit Ratio: 72.63%, Max Drawdown: 0.02%
(20, 0.8, 0.2, 2.8): Return: 0.76%, Hit Ratio: 72.45%, Max Drawdown: 0.02%
(20, 0.8, 0.2, 2.9): Return: 0.76%, Hit Ratio: 72.45%, Max Drawdown: 0.02%
(20, 0.9, 0.1, 3.0): Return: 0.76%, Hit Ratio: 76.14%, Max Drawdown: 0.02%
(20, 0.9, 0.1, 3.1): Return: 0.76%, Hit Ratio: 76.14%, Max Drawdown: 0.02%
(20, 0.9, 0.1, 3.2): Return: 0.76%, Hit Ratio: 76.14%, Max Drawdown: 0.02%
(20, 1.0, 0.0, 3.0): Return: 0.76%, Hit Ratio: 77.11%, Max Drawdown: 0.02%
(20, 1.0, 0.0, 3.1): Return: 0.76%, Hit Ratio: 77.11%, Max Drawdown: 0.02%
(20, 1.0, 0.0, 3.2): Return: 0.76%, Hit Ratio: 77.11%, Max Drawdown: 0.02%
(20, 1.0, 0.1, 3.0): Return: 0.76%, Hit Ratio: 77.65%, Max Drawdown: 0.02%
(20, 1.0, 0.1, 3.1): Return: 0.76%, Hit Ratio: 77.65%, Max Drawdown: 0.02%
(20, 1.0, 0.1, 3.2): Return: 0.76%, Hit Ratio: 77.65%, Max Drawdown: 0.02%
(20, 1.0, 0.2, 3.0): Return: 0.76%, Hit Ratio: 77.27%, Max Drawdown: 0.02%
(20, 1.0, 0.2, 3.1): Return: 0.76%, Hit Ratio: 77.27%, Max Drawdown: 0.02%
(20, 1.0, 0.2, 3.2): Return: 0.76%, Hit Ratio: 77.27%, Max Drawdown: 0.02%
(20, 1.1, 0.0, 3.0): Return: 0.76%, Hit Ratio: 78.95%, Max Drawdown: 0.02%
(20, 1.1, 0.0, 3.1): Return: 0.76%, Hit Ratio: 78.95%, Max Drawdown: 0.02%
(20, 1.1, 0.0, 3.2): Return: 0.76%, Hit Ratio: 78.95%, Max Drawdown: 0.02%
(20, 1.1, 0.2, 3.0): Return: 0.76%, Hit Ratio: 79.01%, Max Drawdown: 0.02%
(20, 1.1, 0.2, 3.1): Return: 0.76%, Hit Ratio: 79.01%, Max Drawdown: 0.02%
(20, 1.1, 0.2, 3.2): Return: 0.76%, Hit Ratio: 79.01%, Max Drawdown: 0.02%
(30, 0.8, 0.2, 3.0): Return: 0.76%, Hit Ratio: 73.33%, Max Drawdown: 0.02%
(30, 0.8, 0.2, 3.1): Return: 0.76%, Hit Ratio: 73.33%, Max Drawdown: 0.02%
(30, 0.8, 0.2, 3.2): Return: 0.76%, Hit Ratio: 73.33%, Max Drawdown: 0.02%
(20, 0.8, -0.1, 3.0): Return: 0.75%, Hit Ratio: 72.41%, Max Drawdown: 0.02%
(20, 0.8, -0.1, 3.1): Return: 0.75%, Hit Ratio: 72.41%, Max Drawdown: 0.02%
(20, 0.8, -0.1, 3.2): Return: 0.75%, Hit Ratio: 72.41%, Max Drawdown: 0.02%
(20, 0.8, 0.0, 2.8): Return: 0.75%, Hit Ratio: 73.63%, Max Drawdown: 0.02%
(20, 0.8, 0.0, 2.9): Return: 0.75%, Hit Ratio: 73.63%, Max Drawdown: 0.02%
(20, 0.8, 0.1, 2.8): Return: 0.75%, Hit Ratio: 72.63%, Max Drawdown: 0.02%
(20, 0.8, 0.1, 2.9): Return: 0.75%, Hit Ratio: 72.63%, Max Drawdown: 0.02%
(20, 0.9, -0.1, 3.0): Return: 0.75%, Hit Ratio: 75.9%, Max Drawdown: 0.02%
(20, 0.9, -0.1, 3.1): Return: 0.75%, Hit Ratio: 75.9%, Max Drawdown: 0.02%
(20, 0.9, -0.1, 3.2): Return: 0.75%, Hit Ratio: 75.9%, Max Drawdown: 0.02%
(20, 0.9, 0.0, 2.8): Return: 0.75%, Hit Ratio: 77.91%, Max Drawdown: 0.02%
(20, 0.9, 0.0, 2.9): Return: 0.75%, Hit Ratio: 77.91%, Max Drawdown: 0.02%
(20, 0.9, 0.2, 2.8): Return: 0.75%, Hit Ratio: 75.82%, Max Drawdown: 0.02%
(20, 0.9, 0.2, 2.9): Return: 0.75%, Hit Ratio: 75.82%, Max Drawdown: 0.02%
(20, 1.0, 0.2, 2.8): Return: 0.75%, Hit Ratio: 77.27%, Max Drawdown: 0.02%
(20, 1.0, 0.2, 2.9): Return: 0.75%, Hit Ratio: 77.27%, Max Drawdown: 0.02%
(20, 1.1, 0.1, 3.0): Return: 0.75%, Hit Ratio: 79.49%, Max Drawdown: 0.02%
(20, 1.1, 0.1, 3.1): Return: 0.75%, Hit Ratio: 79.49%, Max Drawdown: 0.02%
(20, 1.1, 0.1, 3.2): Return: 0.75%, Hit Ratio: 79.49%, Max Drawdown: 0.02%
(20, 1.1, 0.2, 2.8): Return: 0.75%, Hit Ratio: 79.01%, Max Drawdown: 0.02%
(20, 1.1, 0.2, 2.9): Return: 0.75%, Hit Ratio: 79.01%, Max Drawdown: 0.02%
(30, 0.8, 0.2, 2.9): Return: 0.75%, Hit Ratio: 73.33%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 3.0): Return: 0.75%, Hit Ratio: 76.62%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 3.1): Return: 0.75%, Hit Ratio: 76.62%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 3.2): Return: 0.75%, Hit Ratio: 76.62%, Max Drawdown: 0.02%
(20, 0.8, -0.1, 2.8): Return: 0.74%, Hit Ratio: 72.41%, Max Drawdown: 0.02%
(20, 0.8, -0.1, 2.9): Return: 0.74%, Hit Ratio: 72.41%, Max Drawdown: 0.02%
(20, 0.9, -0.1, 2.8): Return: 0.74%, Hit Ratio: 75.9%, Max Drawdown: 0.02%
(20, 0.9, -0.1, 2.9): Return: 0.74%, Hit Ratio: 75.9%, Max Drawdown: 0.02%
(20, 0.9, 0.1, 2.8): Return: 0.74%, Hit Ratio: 76.14%, Max Drawdown: 0.02%
(20, 0.9, 0.1, 2.9): Return: 0.74%, Hit Ratio: 76.14%, Max Drawdown: 0.02%
(20, 1.0, -0.1, 3.0): Return: 0.74%, Hit Ratio: 75.0%, Max Drawdown: 0.02%
(20, 1.0, -0.1, 3.1): Return: 0.74%, Hit Ratio: 75.0%, Max Drawdown: 0.02%
(20, 1.0, -0.1, 3.2): Return: 0.74%, Hit Ratio: 75.0%, Max Drawdown: 0.02%
(20, 1.0, 0.0, 2.8): Return: 0.74%, Hit Ratio: 77.11%, Max Drawdown: 0.02%
(20, 1.0, 0.0, 2.9): Return: 0.74%, Hit Ratio: 77.11%, Max Drawdown: 0.02%
(20, 1.0, 0.1, 2.8): Return: 0.74%, Hit Ratio: 77.65%, Max Drawdown: 0.02%
(20, 1.0, 0.1, 2.9): Return: 0.74%, Hit Ratio: 77.65%, Max Drawdown: 0.02%
(20, 1.1, -0.1, 3.0): Return: 0.74%, Hit Ratio: 77.03%, Max Drawdown: 0.02%
(20, 1.1, -0.1, 3.1): Return: 0.74%, Hit Ratio: 77.03%, Max Drawdown: 0.02%
(20, 1.1, -0.1, 3.2): Return: 0.74%, Hit Ratio: 77.03%, Max Drawdown: 0.02%
(20, 1.1, 0.0, 2.8): Return: 0.74%, Hit Ratio: 78.95%, Max Drawdown: 0.02%
(20, 1.1, 0.0, 2.9): Return: 0.74%, Hit Ratio: 78.95%, Max Drawdown: 0.02%
(20, 1.1, 0.1, 2.8): Return: 0.74%, Hit Ratio: 79.49%, Max Drawdown: 0.02%
(20, 1.1, 0.1, 2.9): Return: 0.74%, Hit Ratio: 79.49%, Max Drawdown: 0.02%
(20, 1.2, -0.2, 3.0): Return: 0.74%, Hit Ratio: 78.79%, Max Drawdown: 0.02%
(20, 1.2, -0.2, 3.1): Return: 0.74%, Hit Ratio: 78.79%, Max Drawdown: 0.02%
(20, 1.2, -0.2, 3.2): Return: 0.74%, Hit Ratio: 78.79%, Max Drawdown: 0.02%
(35, 0.8, 0.2, 3.2): Return: 0.74%, Hit Ratio: 71.43%, Max Drawdown: 0.02%
(30, 0.8, 0.2, 2.8): Return: 0.74%, Hit Ratio: 72.53%, Max Drawdown: 0.02%
(30, 0.9, -0.2, 3.0): Return: 0.74%, Hit Ratio: 74.32%, Max Drawdown: 0.02%
(30, 0.9, -0.2, 3.1): Return: 0.74%, Hit Ratio: 74.32%, Max Drawdown: 0.02%
(30, 0.9, -0.2, 3.2): Return: 0.74%, Hit Ratio: 74.32%, Max Drawdown: 0.02%
(30, 0.9, 0.0, 3.0): Return: 0.74%, Hit Ratio: 75.64%, Max Drawdown: 0.02%
(30, 0.9, 0.0, 3.1): Return: 0.74%, Hit Ratio: 75.64%, Max Drawdown: 0.02%
(30, 0.9, 0.0, 3.2): Return: 0.74%, Hit Ratio: 75.64%, Max Drawdown: 0.02%
(30, 0.9, 0.1, 3.0): Return: 0.74%, Hit Ratio: 71.6%, Max Drawdown: 0.02%
(30, 0.9, 0.1, 3.1): Return: 0.74%, Hit Ratio: 71.6%, Max Drawdown: 0.02%
(30, 0.9, 0.1, 3.2): Return: 0.74%, Hit Ratio: 71.6%, Max Drawdown: 0.02%
(30, 1.0, -0.2, 3.0): Return: 0.74%, Hit Ratio: 79.45%, Max Drawdown: 0.02%
(30, 1.0, -0.2, 3.1): Return: 0.74%, Hit Ratio: 79.45%, Max Drawdown: 0.02%
(30, 1.0, -0.2, 3.2): Return: 0.74%, Hit Ratio: 79.45%, Max Drawdown: 0.02%
(30, 1.0, -0.1, 3.0): Return: 0.74%, Hit Ratio: 81.08%, Max Drawdown: 0.02%
(30, 1.0, -0.1, 3.1): Return: 0.74%, Hit Ratio: 81.08%, Max Drawdown: 0.02%
(30, 1.0, -0.1, 3.2): Return: 0.74%, Hit Ratio: 81.08%, Max Drawdown: 0.02%
(30, 1.0, 0.0, 3.0): Return: 0.74%, Hit Ratio: 78.67%, Max Drawdown: 0.02%
(30, 1.0, 0.0, 3.1): Return: 0.74%, Hit Ratio: 78.67%, Max Drawdown: 0.02%
(30, 1.0, 0.0, 3.2): Return: 0.74%, Hit Ratio: 78.67%, Max Drawdown: 0.02%
