(Lookback, Entry, Exit, Stop-loss)
Best HPs: (90, 0.8, -0.7, 3.4), Return: 2.12%, Hit Ratio: 77.42%, Max Drawdown: 0.17%
(90, 0.8, -0.7, 3.4): Return: 2.12%, Hit Ratio: 77.42%, Max Drawdown: 0.17%
(90, 0.8, -0.7, 3.5): Return: 2.12%, Hit Ratio: 77.42%, Max Drawdown: 0.17%
(90, 0.8, -0.7, 3.6): Return: 2.12%, Hit Ratio: 77.42%, Max Drawdown: 0.17%
(90, 0.8, -0.7, 3.7): Return: 2.12%, Hit Ratio: 77.42%, Max Drawdown: 0.17%
(90, 0.9, -0.7, 3.4): Return: 2.12%, Hit Ratio: 78.33%, Max Drawdown: 0.17%
(90, 0.9, -0.7, 3.5): Return: 2.12%, Hit Ratio: 78.33%, Max Drawdown: 0.17%
(90, 0.9, -0.7, 3.6): Return: 2.12%, Hit Ratio: 78.33%, Max Drawdown: 0.17%
(90, 0.9, -0.7, 3.7): Return: 2.12%, Hit Ratio: 78.33%, Max Drawdown: 0.17%
(90, 0.8, -0.7, 3.3): Return: 2.1%, Hit Ratio: 75.0%, Max Drawdown: 0.17%
(90, 0.9, -0.7, 3.3): Return: 2.1%, Hit Ratio: 75.81%, Max Drawdown: 0.17%
(100, 0.8, -0.5, 3.4): Return: 1.8%, Hit Ratio: 77.94%, Max Drawdown: 0.11%
(100, 0.9, -0.5, 3.4): Return: 1.8%, Hit Ratio: 76.92%, Max Drawdown: 0.11%
(110, 0.9, -0.5, 3.4): Return: 1.8%, Hit Ratio: 79.03%, Max Drawdown: 0.11%
(105, 0.8, -0.5, 3.3): Return: 1.79%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.8, -0.5, 3.4): Return: 1.79%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.9, -0.5, 3.3): Return: 1.79%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(105, 0.9, -0.5, 3.4): Return: 1.79%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(105, 0.8, -0.5, 3.3): Return: 1.79%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.8, -0.5, 3.4): Return: 1.79%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.9, -0.5, 3.3): Return: 1.79%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(105, 0.9, -0.5, 3.4): Return: 1.79%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(110, 0.8, -0.5, 3.4): Return: 1.79%, Hit Ratio: 75.0%, Max Drawdown: 0.11%
(100, 0.8, -0.5, 3.3): Return: 1.78%, Hit Ratio: 77.14%, Max Drawdown: 0.13%
(100, 0.9, -0.5, 3.3): Return: 1.78%, Hit Ratio: 76.12%, Max Drawdown: 0.13%
(110, 1.0, -0.5, 3.4): Return: 1.77%, Hit Ratio: 76.79%, Max Drawdown: 0.1%
(105, 0.8, -0.5, 3.5): Return: 1.76%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.9, -0.5, 3.5): Return: 1.76%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(105, 0.8, -0.5, 3.5): Return: 1.76%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.9, -0.5, 3.5): Return: 1.76%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(110, 0.8, -0.5, 3.5): Return: 1.76%, Hit Ratio: 75.0%, Max Drawdown: 0.11%
(110, 0.9, -0.5, 3.5): Return: 1.76%, Hit Ratio: 79.03%, Max Drawdown: 0.11%
(105, 0.9, -0.4, 3.3): Return: 1.75%, Hit Ratio: 76.12%, Max Drawdown: 0.1%
(105, 0.9, -0.4, 3.4): Return: 1.75%, Hit Ratio: 76.12%, Max Drawdown: 0.1%
(100, 0.8, -0.4, 3.4): Return: 1.75%, Hit Ratio: 78.87%, Max Drawdown: 0.11%
(100, 0.9, -0.4, 3.4): Return: 1.75%, Hit Ratio: 77.94%, Max Drawdown: 0.11%
(105, 0.9, -0.4, 3.3): Return: 1.75%, Hit Ratio: 76.12%, Max Drawdown: 0.1%
(105, 0.9, -0.4, 3.4): Return: 1.75%, Hit Ratio: 76.12%, Max Drawdown: 0.1%
(105, 0.8, -0.4, 3.3): Return: 1.74%, Hit Ratio: 76.06%, Max Drawdown: 0.11%
(105, 0.8, -0.4, 3.4): Return: 1.74%, Hit Ratio: 76.06%, Max Drawdown: 0.11%
(105, 0.8, -0.4, 3.3): Return: 1.74%, Hit Ratio: 76.06%, Max Drawdown: 0.11%
(105, 0.8, -0.4, 3.4): Return: 1.74%, Hit Ratio: 76.06%, Max Drawdown: 0.11%
(110, 0.8, -0.4, 3.4): Return: 1.74%, Hit Ratio: 74.29%, Max Drawdown: 0.11%
(110, 0.9, -0.4, 3.4): Return: 1.74%, Hit Ratio: 76.47%, Max Drawdown: 0.11%
(100, 0.8, -0.4, 3.3): Return: 1.73%, Hit Ratio: 78.08%, Max Drawdown: 0.13%
(100, 0.9, -0.4, 3.3): Return: 1.73%, Hit Ratio: 77.14%, Max Drawdown: 0.13%
(110, 1.0, -0.5, 3.5): Return: 1.73%, Hit Ratio: 76.79%, Max Drawdown: 0.1%
(90, 0.8, -0.6, 3.4): Return: 1.72%, Hit Ratio: 76.12%, Max Drawdown: 0.11%
(90, 0.8, -0.6, 3.5): Return: 1.72%, Hit Ratio: 76.12%, Max Drawdown: 0.11%
(90, 0.8, -0.6, 3.6): Return: 1.72%, Hit Ratio: 76.12%, Max Drawdown: 0.11%
(90, 0.8, -0.6, 3.7): Return: 1.72%, Hit Ratio: 76.12%, Max Drawdown: 0.11%
(90, 0.9, -0.6, 3.4): Return: 1.72%, Hit Ratio: 76.92%, Max Drawdown: 0.11%
(90, 0.9, -0.6, 3.5): Return: 1.72%, Hit Ratio: 76.92%, Max Drawdown: 0.11%
(90, 0.9, -0.6, 3.6): Return: 1.72%, Hit Ratio: 76.92%, Max Drawdown: 0.11%
(90, 0.9, -0.6, 3.7): Return: 1.72%, Hit Ratio: 76.92%, Max Drawdown: 0.11%
(100, 0.8, -0.5, 3.5): Return: 1.72%, Hit Ratio: 77.94%, Max Drawdown: 0.11%
(100, 0.8, -0.5, 3.6): Return: 1.72%, Hit Ratio: 77.94%, Max Drawdown: 0.11%
(100, 0.8, -0.5, 3.7): Return: 1.72%, Hit Ratio: 77.94%, Max Drawdown: 0.11%
(100, 0.9, -0.5, 3.5): Return: 1.72%, Hit Ratio: 76.92%, Max Drawdown: 0.11%
(100, 0.9, -0.5, 3.6): Return: 1.72%, Hit Ratio: 76.92%, Max Drawdown: 0.11%
(100, 0.9, -0.5, 3.7): Return: 1.72%, Hit Ratio: 76.92%, Max Drawdown: 0.11%
(105, 0.8, -0.7, 3.6): Return: 1.71%, Hit Ratio: 77.05%, Max Drawdown: 0.11%
(105, 0.8, -0.7, 3.7): Return: 1.71%, Hit Ratio: 77.05%, Max Drawdown: 0.11%
(105, 0.8, -0.6, 3.6): Return: 1.71%, Hit Ratio: 74.19%, Max Drawdown: 0.11%
(105, 0.8, -0.6, 3.7): Return: 1.71%, Hit Ratio: 74.19%, Max Drawdown: 0.11%
(105, 0.8, -0.5, 3.6): Return: 1.71%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.8, -0.5, 3.7): Return: 1.71%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.8, -0.4, 3.5): Return: 1.71%, Hit Ratio: 76.06%, Max Drawdown: 0.11%
(105, 0.9, -0.7, 3.6): Return: 1.71%, Hit Ratio: 75.44%, Max Drawdown: 0.1%
(105, 0.9, -0.7, 3.7): Return: 1.71%, Hit Ratio: 75.44%, Max Drawdown: 0.1%
(105, 0.9, -0.6, 3.6): Return: 1.71%, Hit Ratio: 74.14%, Max Drawdown: 0.1%
(105, 0.9, -0.6, 3.7): Return: 1.71%, Hit Ratio: 74.14%, Max Drawdown: 0.1%
(105, 0.9, -0.5, 3.6): Return: 1.71%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(105, 0.9, -0.5, 3.7): Return: 1.71%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(105, 0.9, -0.4, 3.5): Return: 1.71%, Hit Ratio: 76.12%, Max Drawdown: 0.1%
(100, 0.8, -0.7, 3.5): Return: 1.71%, Hit Ratio: 78.33%, Max Drawdown: 0.11%
(100, 0.8, -0.7, 3.6): Return: 1.71%, Hit Ratio: 78.33%, Max Drawdown: 0.11%
(100, 0.8, -0.7, 3.7): Return: 1.71%, Hit Ratio: 78.33%, Max Drawdown: 0.11%
(100, 0.8, -0.6, 3.5): Return: 1.71%, Hit Ratio: 76.19%, Max Drawdown: 0.11%
(100, 0.8, -0.6, 3.6): Return: 1.71%, Hit Ratio: 76.19%, Max Drawdown: 0.11%
(100, 0.8, -0.6, 3.7): Return: 1.71%, Hit Ratio: 76.19%, Max Drawdown: 0.11%
(100, 0.9, -0.7, 3.5): Return: 1.71%, Hit Ratio: 77.19%, Max Drawdown: 0.11%
(100, 0.9, -0.7, 3.6): Return: 1.71%, Hit Ratio: 77.19%, Max Drawdown: 0.11%
(100, 0.9, -0.7, 3.7): Return: 1.71%, Hit Ratio: 77.19%, Max Drawdown: 0.11%
(100, 0.9, -0.6, 3.5): Return: 1.71%, Hit Ratio: 75.0%, Max Drawdown: 0.11%
(100, 0.9, -0.6, 3.6): Return: 1.71%, Hit Ratio: 75.0%, Max Drawdown: 0.11%
(100, 0.9, -0.6, 3.7): Return: 1.71%, Hit Ratio: 75.0%, Max Drawdown: 0.11%
(100, 1.0, -0.5, 3.4): Return: 1.71%, Hit Ratio: 74.58%, Max Drawdown: 0.1%
(105, 0.8, -0.7, 3.6): Return: 1.71%, Hit Ratio: 77.05%, Max Drawdown: 0.11%
(105, 0.8, -0.7, 3.7): Return: 1.71%, Hit Ratio: 77.05%, Max Drawdown: 0.11%
(105, 0.8, -0.6, 3.6): Return: 1.71%, Hit Ratio: 74.19%, Max Drawdown: 0.11%
(105, 0.8, -0.6, 3.7): Return: 1.71%, Hit Ratio: 74.19%, Max Drawdown: 0.11%
(105, 0.8, -0.5, 3.6): Return: 1.71%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.8, -0.5, 3.7): Return: 1.71%, Hit Ratio: 75.76%, Max Drawdown: 0.11%
(105, 0.8, -0.4, 3.5): Return: 1.71%, Hit Ratio: 76.06%, Max Drawdown: 0.11%
(105, 0.9, -0.7, 3.6): Return: 1.71%, Hit Ratio: 75.44%, Max Drawdown: 0.1%
(105, 0.9, -0.7, 3.7): Return: 1.71%, Hit Ratio: 75.44%, Max Drawdown: 0.1%
(105, 0.9, -0.6, 3.6): Return: 1.71%, Hit Ratio: 74.14%, Max Drawdown: 0.1%
(105, 0.9, -0.6, 3.7): Return: 1.71%, Hit Ratio: 74.14%, Max Drawdown: 0.1%
(105, 0.9, -0.5, 3.6): Return: 1.71%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(105, 0.9, -0.5, 3.7): Return: 1.71%, Hit Ratio: 75.81%, Max Drawdown: 0.1%
(105, 0.9, -0.4, 3.5): Return: 1.71%, Hit Ratio: 76.12%, Max Drawdown: 0.1%
(110, 0.8, -0.7, 3.6): Return: 1.71%, Hit Ratio: 74.58%, Max Drawdown: 0.11%
(110, 0.8, -0.7, 3.7): Return: 1.71%, Hit Ratio: 74.58%, Max Drawdown: 0.11%
(110, 0.8, -0.6, 3.6): Return: 1.71%, Hit Ratio: 73.77%, Max Drawdown: 0.11%
(110, 0.8, -0.6, 3.7): Return: 1.71%, Hit Ratio: 73.77%, Max Drawdown: 0.11%
