(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 1.0, -0.4, 2.5), Return: 2.09%, Hit Ratio: 70.83%, Max Drawdown: 3.42%
(100, 1.0, -0.4, 2.5): Return: 2.09%, Hit Ratio: 70.83%, Max Drawdown: 3.42%
(100, 1.0, -0.4, 2.6): Return: 2.09%, Hit Ratio: 71.43%, Max Drawdown: 3.42%
(100, 1.0, -0.3, 2.6): Return: 2.09%, Hit Ratio: 72.55%, Max Drawdown: 3.42%
(90, 0.9, -0.5, 2.4): Return: 2.08%, Hit Ratio: 71.15%, Max Drawdown: 3.42%
(90, 0.9, -0.5, 2.5): Return: 2.08%, Hit Ratio: 72.55%, Max Drawdown: 3.42%
(90, 0.9, -0.4, 2.4): Return: 2.08%, Hit Ratio: 71.43%, Max Drawdown: 3.42%
(90, 0.9, -0.4, 2.5): Return: 2.08%, Hit Ratio: 72.73%, Max Drawdown: 3.42%
(90, 1.2, -0.5, 2.5): Return: 2.08%, Hit Ratio: 77.5%, Max Drawdown: 3.41%
(100, 1.0, -0.3, 2.5): Return: 2.08%, Hit Ratio: 72.0%, Max Drawdown: 3.42%
(100, 1.2, -0.6, 2.6): Return: 2.08%, Hit Ratio: 76.47%, Max Drawdown: 3.41%
(110, 1.0, -0.4, 2.6): Return: 2.08%, Hit Ratio: 73.33%, Max Drawdown: 0.82%
(110, 1.0, -0.4, 2.7): Return: 2.08%, Hit Ratio: 73.33%, Max Drawdown: 0.82%
(90, 1.0, -0.5, 2.4): Return: 2.07%, Hit Ratio: 68.75%, Max Drawdown: 3.42%
(90, 1.0, -0.5, 2.5): Return: 2.07%, Hit Ratio: 70.21%, Max Drawdown: 3.42%
(90, 1.0, -0.4, 2.4): Return: 2.07%, Hit Ratio: 70.59%, Max Drawdown: 3.42%
(90, 1.0, -0.4, 2.5): Return: 2.07%, Hit Ratio: 72.0%, Max Drawdown: 3.42%
(90, 1.1, -0.5, 2.4): Return: 2.07%, Hit Ratio: 73.17%, Max Drawdown: 3.41%
(90, 1.1, -0.5, 2.5): Return: 2.07%, Hit Ratio: 75.61%, Max Drawdown: 3.41%
(90, 1.2, -0.7, 2.4): Return: 2.07%, Hit Ratio: 68.57%, Max Drawdown: 3.41%
(90, 1.2, -0.7, 2.5): Return: 2.07%, Hit Ratio: 71.43%, Max Drawdown: 3.41%
(90, 1.2, -0.5, 2.4): Return: 2.07%, Hit Ratio: 75.0%, Max Drawdown: 3.41%
(100, 1.0, -0.5, 2.6): Return: 2.07%, Hit Ratio: 69.57%, Max Drawdown: 3.42%
(100, 1.2, -0.6, 2.5): Return: 2.07%, Hit Ratio: 75.76%, Max Drawdown: 3.41%
