The return of ADR_underlying pairs trading for MESO_MSB from Australia is 594.1012677435%
Hyperparameters: Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 594.1012677435%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 594.1012677435%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 594.1012677435%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 563.7793493902501%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3	Return: 563.7793493902501%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 563.7793493902501%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 555.0114585872509%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 555.0114585872509%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 555.0114585872509%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 369.86167410350026%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 369.86167410350026%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 369.86167410350026%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 291.2429029027503%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 291.2429029027503%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 291.2429029027503%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 301.89135281824974%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 301.89135281824974%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 301.89135281824974%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 251.76907154925%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 251.76907154925%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 251.76907154925%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 196.11292055675003%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3	Return: 196.11292055675003%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 196.11292055675003%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 193.7153731312498%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 193.7153731312498%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 193.7153731312498%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 441.16570168525004%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 441.16570168525004%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 441.16570168525004%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 473.9419201442503%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3	Return: 473.9419201442503%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 473.9419201442503%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 434.96748330499963%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 434.96748330499963%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 434.96748330499963%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 354.67527520999977%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 354.67527520999977%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 354.67527520999977%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 369.8237038547499%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 369.8237038547499%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 369.8237038547499%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 324.53541731949963%
