(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 0.9, -0.1, 3.7), Return: 3.57%, Hit Ratio: 78.49%, Max Drawdown: 2.6%
(20, 0.9, -0.1, 3.7): Return: 3.57%, Hit Ratio: 78.49%, Max Drawdown: 2.6%
(20, 0.9, -0.2, 3.7): Return: 3.55%, Hit Ratio: 79.12%, Max Drawdown: 2.6%
(20, 0.9, 0.1, 3.7): Return: 3.48%, Hit Ratio: 80.61%, Max Drawdown: 2.6%
(30, 0.8, -0.2, 3.7): Return: 3.47%, Hit Ratio: 78.02%, Max Drawdown: 2.61%
(20, 0.9, 0.0, 3.7): Return: 3.46%, Hit Ratio: 78.95%, Max Drawdown: 2.61%
(20, 0.9, -0.1, 3.3): Return: 3.45%, Hit Ratio: 78.26%, Max Drawdown: 2.61%
(20, 0.9, -0.1, 3.4): Return: 3.45%, Hit Ratio: 78.26%, Max Drawdown: 2.61%
(20, 0.9, -0.1, 3.5): Return: 3.45%, Hit Ratio: 78.26%, Max Drawdown: 2.61%
(20, 0.9, -0.1, 3.6): Return: 3.45%, Hit Ratio: 78.26%, Max Drawdown: 2.61%
(30, 0.8, 0.0, 3.7): Return: 3.45%, Hit Ratio: 76.29%, Max Drawdown: 2.61%
(20, 0.9, -0.2, 3.5): Return: 3.44%, Hit Ratio: 78.89%, Max Drawdown: 2.61%
(20, 0.9, -0.2, 3.6): Return: 3.44%, Hit Ratio: 78.89%, Max Drawdown: 2.61%
(20, 0.9, -0.2, 3.3): Return: 3.43%, Hit Ratio: 78.89%, Max Drawdown: 2.61%
(20, 0.9, -0.2, 3.4): Return: 3.43%, Hit Ratio: 78.89%, Max Drawdown: 2.61%
(30, 0.8, -0.2, 3.4): Return: 3.41%, Hit Ratio: 77.78%, Max Drawdown: 2.61%
(30, 0.8, -0.2, 3.5): Return: 3.41%, Hit Ratio: 77.78%, Max Drawdown: 2.61%
(30, 0.8, -0.2, 3.6): Return: 3.41%, Hit Ratio: 77.78%, Max Drawdown: 2.61%
(30, 0.8, -0.1, 3.7): Return: 3.41%, Hit Ratio: 75.53%, Max Drawdown: 2.61%
(30, 0.8, 0.0, 3.4): Return: 3.39%, Hit Ratio: 76.04%, Max Drawdown: 2.61%
(30, 0.8, 0.0, 3.5): Return: 3.39%, Hit Ratio: 76.04%, Max Drawdown: 2.61%
(30, 0.8, 0.0, 3.6): Return: 3.39%, Hit Ratio: 76.04%, Max Drawdown: 2.61%
(35, 0.8, 0.0, 3.6): Return: 3.38%, Hit Ratio: 77.17%, Max Drawdown: 2.94%
(35, 0.8, 0.0, 3.7): Return: 3.38%, Hit Ratio: 77.17%, Max Drawdown: 2.94%
(35, 0.8, 0.0, 3.6): Return: 3.38%, Hit Ratio: 77.17%, Max Drawdown: 2.94%
(35, 0.8, 0.0, 3.7): Return: 3.38%, Hit Ratio: 77.17%, Max Drawdown: 2.94%
(20, 0.9, 0.1, 3.5): Return: 3.37%, Hit Ratio: 80.41%, Max Drawdown: 2.61%
(20, 0.9, 0.1, 3.6): Return: 3.37%, Hit Ratio: 80.41%, Max Drawdown: 2.61%
(20, 0.9, 0.1, 3.3): Return: 3.36%, Hit Ratio: 80.41%, Max Drawdown: 2.61%
(20, 0.9, 0.1, 3.4): Return: 3.36%, Hit Ratio: 80.41%, Max Drawdown: 2.61%
(35, 0.8, -0.2, 3.6): Return: 3.35%, Hit Ratio: 77.38%, Max Drawdown: 2.94%
(35, 0.8, -0.2, 3.7): Return: 3.35%, Hit Ratio: 77.38%, Max Drawdown: 2.94%
(35, 0.8, -0.1, 3.6): Return: 3.35%, Hit Ratio: 77.53%, Max Drawdown: 2.94%
(35, 0.8, -0.1, 3.7): Return: 3.35%, Hit Ratio: 77.53%, Max Drawdown: 2.94%
(35, 0.9, -0.2, 3.6): Return: 3.35%, Hit Ratio: 78.48%, Max Drawdown: 2.94%
(35, 0.9, -0.2, 3.7): Return: 3.35%, Hit Ratio: 78.48%, Max Drawdown: 2.94%
(30, 0.8, -0.1, 3.4): Return: 3.35%, Hit Ratio: 75.27%, Max Drawdown: 2.61%
(30, 0.8, -0.1, 3.5): Return: 3.35%, Hit Ratio: 75.27%, Max Drawdown: 2.61%
(30, 0.8, -0.1, 3.6): Return: 3.35%, Hit Ratio: 75.27%, Max Drawdown: 2.61%
(35, 0.8, -0.2, 3.6): Return: 3.35%, Hit Ratio: 77.38%, Max Drawdown: 2.94%
(35, 0.8, -0.2, 3.7): Return: 3.35%, Hit Ratio: 77.38%, Max Drawdown: 2.94%
(35, 0.8, -0.1, 3.6): Return: 3.35%, Hit Ratio: 77.53%, Max Drawdown: 2.94%
(35, 0.8, -0.1, 3.7): Return: 3.35%, Hit Ratio: 77.53%, Max Drawdown: 2.94%
(35, 0.9, -0.2, 3.6): Return: 3.35%, Hit Ratio: 78.48%, Max Drawdown: 2.94%
