(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (60, 2, 1, 0.5, 0.5, 2.5, 3), Return: 9.88%, Hit Ratio: 69.81%, Max Drawdown: 3.04%
(60, 2, 1, 0.5, 0.5, 2.5, 3): Return: 9.88%, Hit Ratio: 69.81%, Max Drawdown: 3.04%
(60, 2, 1, 0.5, 0, 2.5, 3): Return: 9.87%, Hit Ratio: 65.31%, Max Drawdown: 3.04%
(60, 1.5, 1, 0.5, 0.5, 2.5, 3): Return: 9.85%, Hit Ratio: 72.22%, Max Drawdown: 3.11%
(60, 1.5, 1, 0.5, 0, 2.5, 3): Return: 9.84%, Hit Ratio: 69.23%, Max Drawdown: 3.11%
(60, 1, 1, 0.5, -0.5, 2.5, 3): Return: 9.67%, Hit Ratio: 72.6%, Max Drawdown: 3.15%
(60, 2, 1.5, 0.5, 0, 3, 3): Return: 9.59%, Hit Ratio: 65.52%, Max Drawdown: 2.57%
(60, 2, 1.5, 0.5, 0, 3.5, 3): Return: 9.59%, Hit Ratio: 65.52%, Max Drawdown: 2.57%
(60, 2, 1.5, 0.5, 0.5, 3, 3): Return: 9.58%, Hit Ratio: 67.74%, Max Drawdown: 2.57%
(60, 2, 1.5, 0.5, 0.5, 3.5, 3): Return: 9.58%, Hit Ratio: 67.74%, Max Drawdown: 2.57%
(100, 1, 1, 0.5, -0.5, 2.5, 2.5): Return: 9.52%, Hit Ratio: 72.46%, Max Drawdown: 1.3%
(100, 1, 1, 0.5, -0.5, 2.5, 3): Return: 9.45%, Hit Ratio: 72.46%, Max Drawdown: 1.3%
(100, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: 9.45%, Hit Ratio: 72.46%, Max Drawdown: 1.3%
(60, 2, 2, 0.5, 0, 3, 3): Return: 9.43%, Hit Ratio: 76.19%, Max Drawdown: 2.57%
(60, 2, 2, 0.5, 0, 3.5, 3): Return: 9.43%, Hit Ratio: 76.19%, Max Drawdown: 2.57%
(60, 2, 2, 0.5, 0.5, 3, 3): Return: 9.43%, Hit Ratio: 71.43%, Max Drawdown: 2.57%
(60, 2, 2, 0.5, 0.5, 3.5, 3): Return: 9.43%, Hit Ratio: 71.43%, Max Drawdown: 2.57%
(60, 1.5, 1.5, 0.5, 0, 3, 3): Return: 9.3%, Hit Ratio: 68.42%, Max Drawdown: 3.11%
(60, 1.5, 1.5, 0.5, 0, 3.5, 3): Return: 9.3%, Hit Ratio: 68.42%, Max Drawdown: 3.11%
(60, 1.5, 1.5, 0.5, 0.5, 3, 3): Return: 9.3%, Hit Ratio: 69.23%, Max Drawdown: 3.11%
(60, 1.5, 1.5, 0.5, 0.5, 3.5, 3): Return: 9.3%, Hit Ratio: 69.23%, Max Drawdown: 3.11%
(60, 1, 1, 0.5, 0.5, 2.5, 3): Return: 9.15%, Hit Ratio: 76.0%, Max Drawdown: 3.15%
(60, 1.5, 2, 0.5, 0, 3, 3): Return: 9.15%, Hit Ratio: 75.76%, Max Drawdown: 3.11%
(60, 1.5, 2, 0.5, 0, 3.5, 3): Return: 9.15%, Hit Ratio: 75.76%, Max Drawdown: 3.11%
(60, 1.5, 2, 0.5, 0.5, 3, 3): Return: 9.15%, Hit Ratio: 72.73%, Max Drawdown: 3.11%
(60, 1.5, 2, 0.5, 0.5, 3.5, 3): Return: 9.15%, Hit Ratio: 72.73%, Max Drawdown: 3.11%
(60, 1, 1, 0.5, 0, 2.5, 3): Return: 9.14%, Hit Ratio: 74.32%, Max Drawdown: 3.15%
(60, 1, 1.5, 0.5, -0.5, 3, 3): Return: 9.14%, Hit Ratio: 74.19%, Max Drawdown: 3.15%
(60, 1, 1.5, 0.5, -0.5, 3.5, 3): Return: 9.14%, Hit Ratio: 74.19%, Max Drawdown: 3.15%
(60, 1, 2, 0.5, -0.5, 3, 3): Return: 8.99%, Hit Ratio: 74.58%, Max Drawdown: 3.15%
(60, 1, 2, 0.5, -0.5, 3.5, 3): Return: 8.99%, Hit Ratio: 74.58%, Max Drawdown: 3.15%
(30, 2, 1.5, -0.5, 0, 3, 3): Return: 8.95%, Hit Ratio: 83.33%, Max Drawdown: 1.13%
(30, 2, 1.5, -0.5, 0, 3, 3.5): Return: 8.95%, Hit Ratio: 83.33%, Max Drawdown: 1.13%
(30, 2, 1.5, -0.5, 0, 3.5, 3): Return: 8.95%, Hit Ratio: 83.33%, Max Drawdown: 1.13%
(30, 2, 1.5, -0.5, 0, 3.5, 3.5): Return: 8.95%, Hit Ratio: 83.33%, Max Drawdown: 1.13%
