(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 1, 0.5, 3), Return: 17.04%, Hit Ratio: 76.92%, Max Drawdown: 4.46%
(100, 1, 0.5, 3): Return: 17.04%, Hit Ratio: 76.92%, Max Drawdown: 4.46%
(100, 1, 0.5, 3.5): Return: 17.04%, Hit Ratio: 76.92%, Max Drawdown: 4.46%
(100, 1, 0.5, 2.5): Return: 16.76%, Hit Ratio: 77.78%, Max Drawdown: 4.47%
(100, 1.5, 0.5, 3): Return: 15.01%, Hit Ratio: 92.31%, Max Drawdown: 3.95%
(100, 1.5, 0.5, 3.5): Return: 15.01%, Hit Ratio: 92.31%, Max Drawdown: 3.95%
(100, 1.5, 0.5, 2.5): Return: 14.89%, Hit Ratio: 92.31%, Max Drawdown: 3.95%
(100, 1, 0, 3): Return: 12.03%, Hit Ratio: 84.62%, Max Drawdown: 4.07%
(100, 1, 0, 3.5): Return: 12.03%, Hit Ratio: 84.62%, Max Drawdown: 4.07%
(100, 1, 0, 2.5): Return: 11.75%, Hit Ratio: 85.19%, Max Drawdown: 4.08%
(60, 2, 0.5, 3): Return: 11.71%, Hit Ratio: 83.33%, Max Drawdown: 4.05%
(60, 2, 0.5, 3.5): Return: 11.71%, Hit Ratio: 83.33%, Max Drawdown: 4.05%
(60, 1.5, 0.5, 3): Return: 10.87%, Hit Ratio: 75.0%, Max Drawdown: 4.58%
(60, 1.5, 0.5, 3.5): Return: 10.87%, Hit Ratio: 75.0%, Max Drawdown: 4.58%
(100, 1, -0.5, 3): Return: 10.27%, Hit Ratio: 90.48%, Max Drawdown: 4.11%
(100, 1, -0.5, 3.5): Return: 10.27%, Hit Ratio: 90.48%, Max Drawdown: 4.11%
(100, 1, -0.5, 2.5): Return: 9.98%, Hit Ratio: 90.91%, Max Drawdown: 4.12%
(30, 2, 0.5, 2.5): Return: 9.51%, Hit Ratio: 71.43%, Max Drawdown: 4.13%
(30, 2, 0.5, 3): Return: 9.44%, Hit Ratio: 62.5%, Max Drawdown: 4.13%
(30, 2, 0.5, 3.5): Return: 9.44%, Hit Ratio: 62.5%, Max Drawdown: 4.13%
(30, 1.5, 0.5, 2.5): Return: 9.04%, Hit Ratio: 72.22%, Max Drawdown: 6.63%
(30, 1.5, 0.5, 3): Return: 8.97%, Hit Ratio: 68.42%, Max Drawdown: 7.39%
(30, 1.5, 0.5, 3.5): Return: 8.97%, Hit Ratio: 68.42%, Max Drawdown: 7.39%
(100, 1.5, -0.5, 3): Return: 7.66%, Hit Ratio: 100.0%, Max Drawdown: 4.2%
(100, 1.5, -0.5, 3.5): Return: 7.66%, Hit Ratio: 100.0%, Max Drawdown: 4.2%
(100, 1.5, -0.5, 2.5): Return: 7.54%, Hit Ratio: 100.0%, Max Drawdown: 4.2%
(100, 1.5, 0, 3): Return: 6.69%, Hit Ratio: 100.0%, Max Drawdown: 4.24%
(100, 1.5, 0, 3.5): Return: 6.69%, Hit Ratio: 100.0%, Max Drawdown: 4.24%
(100, 1.5, 0, 2.5): Return: 6.57%, Hit Ratio: 100.0%, Max Drawdown: 4.25%
(60, 2, 0, 2.5): Return: 4.25%, Hit Ratio: 100.0%, Max Drawdown: 0.03%
(60, 2, 0.5, 2.5): Return: 4.22%, Hit Ratio: 66.67%, Max Drawdown: 0.03%
(60, 2, -0.5, 2.5): Return: 4.21%, Hit Ratio: 100.0%, Max Drawdown: 0.34%
(60, 1.5, 0, 2.5): Return: 3.75%, Hit Ratio: 72.73%, Max Drawdown: 4.57%
(60, 1.5, 0.5, 2.5): Return: 3.45%, Hit Ratio: 63.64%, Max Drawdown: 4.58%
(60, 1.5, -0.5, 2.5): Return: 2.84%, Hit Ratio: 63.64%, Max Drawdown: 4.57%
(30, 2, 0, 2.5): Return: 2.83%, Hit Ratio: 100.0%, Max Drawdown: 4.39%
(30, 2, 0, 3): Return: 2.76%, Hit Ratio: 87.5%, Max Drawdown: 4.39%
(30, 2, 0, 3.5): Return: 2.76%, Hit Ratio: 87.5%, Max Drawdown: 4.39%
(60, 2, 0, 3): Return: 2.74%, Hit Ratio: 100.0%, Max Drawdown: 4.39%
(60, 2, 0, 3.5): Return: 2.74%, Hit Ratio: 100.0%, Max Drawdown: 4.39%
(60, 2, -0.5, 3): Return: 2.7%, Hit Ratio: 100.0%, Max Drawdown: 4.39%
(60, 2, -0.5, 3.5): Return: 2.7%, Hit Ratio: 100.0%, Max Drawdown: 4.39%
(30, 2, -0.5, 2.5): Return: 2.58%, Hit Ratio: 85.71%, Max Drawdown: 4.39%
(30, 2, -0.5, 3): Return: 2.51%, Hit Ratio: 75.0%, Max Drawdown: 4.4%
(30, 2, -0.5, 3.5): Return: 2.51%, Hit Ratio: 75.0%, Max Drawdown: 4.4%
(60, 1.5, 0, 3): Return: 1.93%, Hit Ratio: 83.33%, Max Drawdown: 4.57%
(60, 1.5, 0, 3.5): Return: 1.93%, Hit Ratio: 83.33%, Max Drawdown: 4.57%
(30, 1.5, 0, 2.5): Return: 1.72%, Hit Ratio: 88.24%, Max Drawdown: 4.86%
(30, 1.5, 0, 3): Return: 1.65%, Hit Ratio: 83.33%, Max Drawdown: 5.14%
(30, 1.5, 0, 3.5): Return: 1.65%, Hit Ratio: 83.33%, Max Drawdown: 5.14%
(30, 1.5, -0.5, 2.5): Return: 1.35%, Hit Ratio: 82.35%, Max Drawdown: 5.08%
(30, 1.5, -0.5, 3): Return: 1.28%, Hit Ratio: 77.78%, Max Drawdown: 5.36%
(30, 1.5, -0.5, 3.5): Return: 1.28%, Hit Ratio: 77.78%, Max Drawdown: 5.36%
(60, 1.5, -0.5, 3): Return: 1.03%, Hit Ratio: 75.0%, Max Drawdown: 4.57%
(60, 1.5, -0.5, 3.5): Return: 1.03%, Hit Ratio: 75.0%, Max Drawdown: 4.57%
(100, 2, 0, 3): Return: 0.65%, Hit Ratio: 100.0%, Max Drawdown: 0.04%
(100, 2, 0, 3.5): Return: 0.65%, Hit Ratio: 100.0%, Max Drawdown: 0.04%
(100, 2, 0.5, 3): Return: 0.61%, Hit Ratio: 80.0%, Max Drawdown: 0.04%
(100, 2, 0.5, 3.5): Return: 0.61%, Hit Ratio: 80.0%, Max Drawdown: 0.04%
(100, 2, -0.5, 3): Return: 0.51%, Hit Ratio: 100.0%, Max Drawdown: 0.34%
(100, 2, -0.5, 3.5): Return: 0.51%, Hit Ratio: 100.0%, Max Drawdown: 0.34%
(100, 2, 0, 2.5): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.03%
(100, 2, 0.5, 2.5): Return: 0.22%, Hit Ratio: 75.0%, Max Drawdown: 0.03%
(100, 2, -0.5, 2.5): Return: 0.11%, Hit Ratio: 100.0%, Max Drawdown: 0.34%
(60, 1, 0.5, 3): Return: -21.85%, Hit Ratio: 84.62%, Max Drawdown: 53.99%
(60, 1, 0.5, 3.5): Return: -21.85%, Hit Ratio: 84.62%, Max Drawdown: 53.99%
(30, 1, 0.5, 3): Return: -25.83%, Hit Ratio: 72.22%, Max Drawdown: 58.12%
(30, 1, 0.5, 3.5): Return: -25.83%, Hit Ratio: 72.22%, Max Drawdown: 58.12%
(30, 1, 0.5, 2.5): Return: -25.87%, Hit Ratio: 70.27%, Max Drawdown: 58.13%
(60, 1, -0.5, 2.5): Return: -27.19%, Hit Ratio: 76.0%, Max Drawdown: 52.75%
(60, 1, 0, 2.5): Return: -28.18%, Hit Ratio: 80.77%, Max Drawdown: 53.44%
(60, 1, -0.5, 3): Return: -28.8%, Hit Ratio: 83.33%, Max Drawdown: 52.61%
(60, 1, -0.5, 3.5): Return: -28.8%, Hit Ratio: 83.33%, Max Drawdown: 52.61%
(60, 1, 0.5, 2.5): Return: -29.54%, Hit Ratio: 77.78%, Max Drawdown: 54.14%
(60, 1, 0, 3): Return: -29.8%, Hit Ratio: 88.0%, Max Drawdown: 53.3%
(60, 1, 0, 3.5): Return: -29.8%, Hit Ratio: 88.0%, Max Drawdown: 53.3%
(30, 1, -0.5, 3): Return: -30.62%, Hit Ratio: 80.65%, Max Drawdown: 54.75%
(30, 1, -0.5, 3.5): Return: -30.62%, Hit Ratio: 80.65%, Max Drawdown: 54.75%
(30, 1, -0.5, 2.5): Return: -30.67%, Hit Ratio: 78.12%, Max Drawdown: 54.77%
(30, 1, 0, 3): Return: -32.96%, Hit Ratio: 75.76%, Max Drawdown: 56.52%
(30, 1, 0, 3.5): Return: -32.96%, Hit Ratio: 75.76%, Max Drawdown: 56.52%
(30, 1, 0, 2.5): Return: -33.01%, Hit Ratio: 73.53%, Max Drawdown: 56.54%
