(Lookback, Entry, Exit, Stop-loss)
Best HPs: (105, 0.8, 0.3, 2.9), Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.3, 2.9): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.3, 3.0): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.3, 3.1): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.3, 3.2): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.4, 2.9): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.4, 3.0): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.4, 3.1): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.4, 3.2): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.5, 2.9): Return: 13.81%, Hit Ratio: 67.21%, Max Drawdown: 4.1%
(105, 0.8, 0.5, 3.0): Return: 13.81%, Hit Ratio: 67.21%, Max Drawdown: 4.1%
(105, 0.8, 0.5, 3.1): Return: 13.81%, Hit Ratio: 67.21%, Max Drawdown: 4.1%
(105, 0.8, 0.5, 3.2): Return: 13.81%, Hit Ratio: 67.21%, Max Drawdown: 4.1%
(105, 0.8, 0.3, 2.9): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.3, 3.0): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.3, 3.1): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.3, 3.2): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.4, 2.9): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.4, 3.0): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.4, 3.1): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.4, 3.2): Return: 13.81%, Hit Ratio: 69.49%, Max Drawdown: 4.1%
(105, 0.8, 0.5, 2.9): Return: 13.81%, Hit Ratio: 67.21%, Max Drawdown: 4.1%
(105, 0.8, 0.5, 3.0): Return: 13.81%, Hit Ratio: 67.21%, Max Drawdown: 4.1%
(105, 0.8, 0.5, 3.1): Return: 13.81%, Hit Ratio: 67.21%, Max Drawdown: 4.1%
(105, 0.8, 0.5, 3.2): Return: 13.81%, Hit Ratio: 67.21%, Max Drawdown: 4.1%
(90, 0.8, 0.3, 2.8): Return: 13.8%, Hit Ratio: 68.75%, Max Drawdown: 4.1%
(90, 0.8, 0.3, 2.9): Return: 13.8%, Hit Ratio: 69.84%, Max Drawdown: 4.1%
(90, 0.8, 0.3, 3.0): Return: 13.8%, Hit Ratio: 69.84%, Max Drawdown: 4.1%
(90, 0.8, 0.3, 3.1): Return: 13.8%, Hit Ratio: 69.84%, Max Drawdown: 4.1%
(90, 0.8, 0.3, 3.2): Return: 13.8%, Hit Ratio: 69.84%, Max Drawdown: 4.1%
(90, 0.8, 0.4, 2.8): Return: 13.8%, Hit Ratio: 67.19%, Max Drawdown: 4.1%
(90, 0.8, 0.4, 2.9): Return: 13.8%, Hit Ratio: 68.25%, Max Drawdown: 4.1%
(90, 0.8, 0.4, 3.0): Return: 13.8%, Hit Ratio: 68.25%, Max Drawdown: 4.1%
(90, 0.8, 0.4, 3.1): Return: 13.8%, Hit Ratio: 68.25%, Max Drawdown: 4.1%
(90, 0.8, 0.4, 3.2): Return: 13.8%, Hit Ratio: 68.25%, Max Drawdown: 4.1%
(90, 0.8, 0.5, 2.9): Return: 13.8%, Hit Ratio: 66.15%, Max Drawdown: 4.1%
(90, 0.8, 0.5, 3.0): Return: 13.8%, Hit Ratio: 66.15%, Max Drawdown: 4.1%
(90, 0.8, 0.5, 3.1): Return: 13.8%, Hit Ratio: 66.15%, Max Drawdown: 4.1%
(90, 0.8, 0.5, 3.2): Return: 13.8%, Hit Ratio: 66.15%, Max Drawdown: 4.1%
(90, 0.8, 0.6, 2.9): Return: 13.8%, Hit Ratio: 67.16%, Max Drawdown: 4.1%
(90, 0.8, 0.6, 3.0): Return: 13.8%, Hit Ratio: 67.16%, Max Drawdown: 4.1%
(90, 0.8, 0.6, 3.1): Return: 13.8%, Hit Ratio: 67.16%, Max Drawdown: 4.1%
(90, 0.8, 0.6, 3.2): Return: 13.8%, Hit Ratio: 67.16%, Max Drawdown: 4.1%
