(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 1.5, 0.3, 2.9), Return: 25.16%, Hit Ratio: 76.47%, Max Drawdown: 3.74%
(60, 1.5, 0.3, 2.9): Return: 25.16%, Hit Ratio: 76.47%, Max Drawdown: 3.74%
(60, 1.5, 0.3, 3.0): Return: 25.16%, Hit Ratio: 76.47%, Max Drawdown: 3.74%
(60, 1.5, 0.4, 2.9): Return: 25.16%, Hit Ratio: 76.47%, Max Drawdown: 3.74%
(60, 1.5, 0.4, 3.0): Return: 25.16%, Hit Ratio: 76.47%, Max Drawdown: 3.74%
(60, 1.5, 0.5, 2.9): Return: 25.16%, Hit Ratio: 77.14%, Max Drawdown: 3.74%
(60, 1.5, 0.5, 3.0): Return: 25.16%, Hit Ratio: 77.14%, Max Drawdown: 3.74%
(60, 1.5, 0.6, 2.9): Return: 25.16%, Hit Ratio: 77.14%, Max Drawdown: 3.74%
(60, 1.5, 0.6, 3.0): Return: 25.16%, Hit Ratio: 77.14%, Max Drawdown: 3.74%
(60, 1.6, 0.3, 2.9): Return: 25.16%, Hit Ratio: 80.0%, Max Drawdown: 3.74%
(60, 1.6, 0.3, 3.0): Return: 25.16%, Hit Ratio: 80.0%, Max Drawdown: 3.74%
(60, 1.6, 0.4, 2.9): Return: 25.16%, Hit Ratio: 80.0%, Max Drawdown: 3.74%
(60, 1.6, 0.4, 3.0): Return: 25.16%, Hit Ratio: 80.0%, Max Drawdown: 3.74%
(60, 1.6, 0.5, 2.9): Return: 25.16%, Hit Ratio: 80.65%, Max Drawdown: 3.74%
(60, 1.6, 0.5, 3.0): Return: 25.16%, Hit Ratio: 80.65%, Max Drawdown: 3.74%
(60, 1.6, 0.6, 2.9): Return: 25.16%, Hit Ratio: 80.65%, Max Drawdown: 3.74%
(60, 1.6, 0.6, 3.0): Return: 25.16%, Hit Ratio: 80.65%, Max Drawdown: 3.74%
(60, 1.6, 0.7, 2.9): Return: 25.16%, Hit Ratio: 77.42%, Max Drawdown: 3.74%
(60, 1.6, 0.7, 3.0): Return: 25.16%, Hit Ratio: 77.42%, Max Drawdown: 3.74%
(60, 1.7, 0.3, 2.9): Return: 25.16%, Hit Ratio: 77.78%, Max Drawdown: 3.74%
(60, 1.7, 0.3, 3.0): Return: 25.16%, Hit Ratio: 77.78%, Max Drawdown: 3.74%
(60, 1.7, 0.4, 2.9): Return: 25.16%, Hit Ratio: 77.78%, Max Drawdown: 3.74%
(60, 1.7, 0.4, 3.0): Return: 25.16%, Hit Ratio: 77.78%, Max Drawdown: 3.74%
(60, 1.5, 0.3, 2.8): Return: 25.15%, Hit Ratio: 75.76%, Max Drawdown: 3.74%
(60, 1.5, 0.4, 2.8): Return: 25.15%, Hit Ratio: 75.76%, Max Drawdown: 3.74%
(60, 1.5, 0.5, 2.8): Return: 25.15%, Hit Ratio: 76.47%, Max Drawdown: 3.74%
(60, 1.5, 0.6, 2.8): Return: 25.15%, Hit Ratio: 76.47%, Max Drawdown: 3.74%
(60, 1.5, 0.7, 2.8): Return: 25.15%, Hit Ratio: 73.53%, Max Drawdown: 3.74%
(60, 1.5, 0.7, 2.9): Return: 25.15%, Hit Ratio: 74.29%, Max Drawdown: 3.74%
(60, 1.5, 0.7, 3.0): Return: 25.15%, Hit Ratio: 74.29%, Max Drawdown: 3.74%
(60, 1.6, 0.3, 2.8): Return: 25.15%, Hit Ratio: 79.31%, Max Drawdown: 3.74%
(60, 1.6, 0.4, 2.8): Return: 25.15%, Hit Ratio: 79.31%, Max Drawdown: 3.74%
(60, 1.6, 0.5, 2.8): Return: 25.15%, Hit Ratio: 80.0%, Max Drawdown: 3.74%
(60, 1.6, 0.6, 2.8): Return: 25.15%, Hit Ratio: 80.0%, Max Drawdown: 3.74%
(60, 1.6, 0.7, 2.8): Return: 25.15%, Hit Ratio: 76.67%, Max Drawdown: 3.74%
(60, 1.7, 0.3, 2.8): Return: 25.15%, Hit Ratio: 76.92%, Max Drawdown: 3.74%
(60, 1.7, 0.4, 2.8): Return: 25.15%, Hit Ratio: 76.92%, Max Drawdown: 3.74%
(60, 1.7, 0.5, 2.8): Return: 25.15%, Hit Ratio: 77.78%, Max Drawdown: 3.74%
(60, 1.7, 0.5, 2.9): Return: 25.15%, Hit Ratio: 78.57%, Max Drawdown: 3.74%
(60, 1.7, 0.5, 3.0): Return: 25.15%, Hit Ratio: 78.57%, Max Drawdown: 3.74%
(60, 1.7, 0.6, 2.8): Return: 25.15%, Hit Ratio: 77.78%, Max Drawdown: 3.74%
(60, 1.7, 0.6, 2.9): Return: 25.15%, Hit Ratio: 78.57%, Max Drawdown: 3.74%
(60, 1.7, 0.6, 3.0): Return: 25.15%, Hit Ratio: 78.57%, Max Drawdown: 3.74%
(60, 1.7, 0.7, 2.9): Return: 25.15%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(60, 1.7, 0.7, 3.0): Return: 25.15%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(60, 1.7, 0.7, 2.8): Return: 25.14%, Hit Ratio: 74.07%, Max Drawdown: 3.74%
(65, 1.3, 0.3, 2.9): Return: 25.13%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.3, 3.0): Return: 25.13%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.3, 3.1): Return: 25.13%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.3, 2.9): Return: 25.13%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.3, 3.0): Return: 25.13%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.3, 3.1): Return: 25.13%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(70, 1.3, 0.3, 3.0): Return: 25.1%, Hit Ratio: 76.74%, Max Drawdown: 3.74%
(70, 1.3, 0.3, 3.1): Return: 25.1%, Hit Ratio: 76.74%, Max Drawdown: 3.74%
(70, 1.3, 0.3, 3.2): Return: 25.1%, Hit Ratio: 76.74%, Max Drawdown: 3.74%
(70, 1.3, 0.4, 3.0): Return: 25.1%, Hit Ratio: 76.74%, Max Drawdown: 3.74%
(70, 1.3, 0.4, 3.1): Return: 25.1%, Hit Ratio: 76.74%, Max Drawdown: 3.74%
(70, 1.3, 0.4, 3.2): Return: 25.1%, Hit Ratio: 76.74%, Max Drawdown: 3.74%
(65, 1.3, 0.4, 2.9): Return: 25.09%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.4, 3.0): Return: 25.09%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.4, 3.1): Return: 25.09%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.5, 2.9): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.5, 3.0): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.5, 3.1): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.6, 2.9): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.6, 3.0): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.6, 3.1): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.4, 2.9): Return: 25.09%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.4, 3.0): Return: 25.09%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.4, 3.1): Return: 25.09%, Hit Ratio: 75.0%, Max Drawdown: 3.74%
(65, 1.3, 0.5, 2.9): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.5, 3.0): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.5, 3.1): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.6, 2.9): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.6, 3.0): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(65, 1.3, 0.6, 3.1): Return: 25.09%, Hit Ratio: 75.56%, Max Drawdown: 3.74%
(70, 1.3, 0.5, 3.0): Return: 25.09%, Hit Ratio: 73.33%, Max Drawdown: 3.74%
(70, 1.3, 0.5, 3.1): Return: 25.09%, Hit Ratio: 73.33%, Max Drawdown: 3.74%
(70, 1.3, 0.5, 3.2): Return: 25.09%, Hit Ratio: 73.33%, Max Drawdown: 3.74%
(70, 1.3, 0.6, 3.0): Return: 25.09%, Hit Ratio: 73.33%, Max Drawdown: 3.74%
(70, 1.3, 0.6, 3.1): Return: 25.09%, Hit Ratio: 73.33%, Max Drawdown: 3.74%
(70, 1.3, 0.6, 3.2): Return: 25.09%, Hit Ratio: 73.33%, Max Drawdown: 3.74%
(65, 1.6, 0.3, 2.9): Return: 24.78%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.6, 0.3, 3.0): Return: 24.78%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.6, 0.3, 3.1): Return: 24.78%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.6, 0.4, 2.9): Return: 24.78%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.6, 0.4, 3.0): Return: 24.78%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.6, 0.4, 3.1): Return: 24.78%, Hit Ratio: 75.0%, Max Drawdown: 3.75%
(65, 1.6, 0.5, 2.9): Return: 24.78%, Hit Ratio: 75.86%, Max Drawdown: 3.75%
