(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 0.8, 0.1, 3.3), Return: 25.98%, Hit Ratio: 71.62%, Max Drawdown: 6.96%
(60, 0.8, 0.1, 3.3): Return: 25.98%, Hit Ratio: 71.62%, Max Drawdown: 6.96%
(60, 0.8, 0.1, 3.4): Return: 25.98%, Hit Ratio: 71.62%, Max Drawdown: 6.96%
(60, 0.8, 0.1, 3.5): Return: 25.98%, Hit Ratio: 71.62%, Max Drawdown: 6.96%
(60, 0.8, 0.1, 3.6): Return: 25.98%, Hit Ratio: 71.23%, Max Drawdown: 6.96%
(60, 0.8, 0.1, 3.7): Return: 25.98%, Hit Ratio: 71.23%, Max Drawdown: 6.96%
(60, 0.8, 0.2, 3.3): Return: 25.98%, Hit Ratio: 71.62%, Max Drawdown: 6.96%
(60, 0.8, 0.2, 3.4): Return: 25.98%, Hit Ratio: 71.62%, Max Drawdown: 6.96%
(60, 0.8, 0.2, 3.5): Return: 25.98%, Hit Ratio: 71.62%, Max Drawdown: 6.96%
(60, 0.8, 0.2, 3.6): Return: 25.98%, Hit Ratio: 71.23%, Max Drawdown: 6.96%
(60, 0.8, 0.2, 3.7): Return: 25.98%, Hit Ratio: 71.23%, Max Drawdown: 6.96%
(70, 0.8, 0.1, 3.3): Return: 25.98%, Hit Ratio: 69.86%, Max Drawdown: 6.96%
(70, 0.8, 0.1, 3.4): Return: 25.98%, Hit Ratio: 69.86%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.3): Return: 25.97%, Hit Ratio: 69.74%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.4): Return: 25.97%, Hit Ratio: 69.74%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.5): Return: 25.97%, Hit Ratio: 69.74%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.6): Return: 25.97%, Hit Ratio: 69.33%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.7): Return: 25.97%, Hit Ratio: 70.67%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.3): Return: 25.97%, Hit Ratio: 69.74%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.4): Return: 25.97%, Hit Ratio: 69.74%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.5): Return: 25.97%, Hit Ratio: 69.74%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.6): Return: 25.97%, Hit Ratio: 69.33%, Max Drawdown: 6.96%
(65, 0.8, 0.1, 3.7): Return: 25.97%, Hit Ratio: 70.67%, Max Drawdown: 6.96%
(70, 0.8, -0.1, 3.3): Return: 25.93%, Hit Ratio: 72.46%, Max Drawdown: 6.96%
(70, 0.8, -0.1, 3.4): Return: 25.93%, Hit Ratio: 72.46%, Max Drawdown: 6.96%
(70, 0.8, 0.1, 3.5): Return: 25.93%, Hit Ratio: 68.92%, Max Drawdown: 6.96%
(70, 0.8, 0.1, 3.6): Return: 25.93%, Hit Ratio: 68.92%, Max Drawdown: 6.96%
(70, 0.8, 0.1, 3.7): Return: 25.93%, Hit Ratio: 68.92%, Max Drawdown: 6.96%
(70, 0.8, 0.0, 3.3): Return: 25.92%, Hit Ratio: 71.83%, Max Drawdown: 6.96%
(70, 0.8, 0.0, 3.4): Return: 25.92%, Hit Ratio: 71.83%, Max Drawdown: 6.96%
(65, 0.8, -0.1, 3.3): Return: 25.91%, Hit Ratio: 72.86%, Max Drawdown: 6.97%
(65, 0.8, -0.1, 3.4): Return: 25.91%, Hit Ratio: 72.86%, Max Drawdown: 6.97%
(65, 0.8, -0.1, 3.5): Return: 25.91%, Hit Ratio: 72.86%, Max Drawdown: 6.97%
(65, 0.8, -0.1, 3.6): Return: 25.91%, Hit Ratio: 72.46%, Max Drawdown: 6.97%
(65, 0.8, -0.1, 3.7): Return: 25.91%, Hit Ratio: 72.46%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.6): Return: 25.91%, Hit Ratio: 70.83%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.7): Return: 25.91%, Hit Ratio: 70.83%, Max Drawdown: 6.97%
(60, 0.8, -0.1, 3.3): Return: 25.91%, Hit Ratio: 74.63%, Max Drawdown: 6.96%
(60, 0.8, -0.1, 3.4): Return: 25.91%, Hit Ratio: 74.63%, Max Drawdown: 6.96%
(60, 0.8, -0.1, 3.5): Return: 25.91%, Hit Ratio: 74.63%, Max Drawdown: 6.96%
(60, 0.8, -0.1, 3.6): Return: 25.91%, Hit Ratio: 74.24%, Max Drawdown: 6.96%
(60, 0.8, -0.1, 3.7): Return: 25.91%, Hit Ratio: 74.24%, Max Drawdown: 6.96%
(60, 0.8, 0.0, 3.3): Return: 25.91%, Hit Ratio: 70.42%, Max Drawdown: 6.97%
(60, 0.8, 0.0, 3.4): Return: 25.91%, Hit Ratio: 70.42%, Max Drawdown: 6.97%
(60, 0.8, 0.0, 3.5): Return: 25.91%, Hit Ratio: 70.42%, Max Drawdown: 6.97%
(60, 0.8, 0.0, 3.6): Return: 25.91%, Hit Ratio: 70.0%, Max Drawdown: 6.96%
(60, 0.8, 0.0, 3.7): Return: 25.91%, Hit Ratio: 70.0%, Max Drawdown: 6.96%
(65, 0.8, -0.1, 3.3): Return: 25.91%, Hit Ratio: 72.86%, Max Drawdown: 6.97%
(65, 0.8, -0.1, 3.4): Return: 25.91%, Hit Ratio: 72.86%, Max Drawdown: 6.97%
(65, 0.8, -0.1, 3.5): Return: 25.91%, Hit Ratio: 72.86%, Max Drawdown: 6.97%
(65, 0.8, -0.1, 3.6): Return: 25.91%, Hit Ratio: 72.46%, Max Drawdown: 6.97%
(65, 0.8, -0.1, 3.7): Return: 25.91%, Hit Ratio: 72.46%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.6): Return: 25.91%, Hit Ratio: 70.83%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.7): Return: 25.91%, Hit Ratio: 70.83%, Max Drawdown: 6.97%
(70, 0.9, -0.1, 3.3): Return: 25.91%, Hit Ratio: 76.27%, Max Drawdown: 6.96%
(70, 0.9, -0.1, 3.4): Return: 25.91%, Hit Ratio: 76.27%, Max Drawdown: 6.96%
(70, 0.9, 0.0, 3.3): Return: 25.91%, Hit Ratio: 74.58%, Max Drawdown: 6.97%
(70, 0.9, 0.0, 3.4): Return: 25.91%, Hit Ratio: 74.58%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.3): Return: 25.9%, Hit Ratio: 71.23%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.4): Return: 25.9%, Hit Ratio: 71.23%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.5): Return: 25.9%, Hit Ratio: 71.23%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.3): Return: 25.9%, Hit Ratio: 71.23%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.4): Return: 25.9%, Hit Ratio: 71.23%, Max Drawdown: 6.97%
(65, 0.8, 0.0, 3.5): Return: 25.9%, Hit Ratio: 71.23%, Max Drawdown: 6.97%
(70, 0.9, 0.1, 3.3): Return: 25.9%, Hit Ratio: 71.67%, Max Drawdown: 6.97%
(70, 0.9, 0.1, 3.4): Return: 25.9%, Hit Ratio: 71.67%, Max Drawdown: 6.97%
(70, 0.9, 0.2, 3.3): Return: 25.9%, Hit Ratio: 69.84%, Max Drawdown: 6.97%
(70, 0.9, 0.2, 3.4): Return: 25.9%, Hit Ratio: 69.84%, Max Drawdown: 6.97%
(70, 0.8, -0.1, 3.5): Return: 25.87%, Hit Ratio: 71.43%, Max Drawdown: 6.97%
(70, 0.8, -0.1, 3.6): Return: 25.87%, Hit Ratio: 71.43%, Max Drawdown: 6.97%
(70, 0.8, -0.1, 3.7): Return: 25.87%, Hit Ratio: 71.43%, Max Drawdown: 6.97%
(70, 0.8, 0.0, 3.5): Return: 25.86%, Hit Ratio: 70.83%, Max Drawdown: 6.97%
(70, 0.8, 0.0, 3.6): Return: 25.86%, Hit Ratio: 70.83%, Max Drawdown: 6.97%
(70, 0.8, 0.0, 3.7): Return: 25.86%, Hit Ratio: 70.83%, Max Drawdown: 6.97%
(70, 0.9, -0.1, 3.5): Return: 25.86%, Hit Ratio: 75.0%, Max Drawdown: 6.97%
(70, 0.9, -0.1, 3.6): Return: 25.86%, Hit Ratio: 75.0%, Max Drawdown: 6.97%
(70, 0.9, -0.1, 3.7): Return: 25.86%, Hit Ratio: 75.0%, Max Drawdown: 6.97%
(70, 0.9, 0.0, 3.5): Return: 25.85%, Hit Ratio: 73.33%, Max Drawdown: 6.97%
(70, 0.9, 0.0, 3.6): Return: 25.85%, Hit Ratio: 73.33%, Max Drawdown: 6.97%
(70, 0.9, 0.0, 3.7): Return: 25.85%, Hit Ratio: 73.33%, Max Drawdown: 6.97%
(70, 0.9, 0.1, 3.5): Return: 25.84%, Hit Ratio: 70.49%, Max Drawdown: 6.97%
(70, 0.9, 0.1, 3.6): Return: 25.84%, Hit Ratio: 70.49%, Max Drawdown: 6.97%
(70, 0.9, 0.1, 3.7): Return: 25.84%, Hit Ratio: 70.49%, Max Drawdown: 6.97%
(70, 0.9, 0.2, 3.5): Return: 25.84%, Hit Ratio: 68.75%, Max Drawdown: 6.97%
(70, 0.9, 0.2, 3.6): Return: 25.84%, Hit Ratio: 68.75%, Max Drawdown: 6.97%
(70, 0.9, 0.2, 3.7): Return: 25.84%, Hit Ratio: 68.75%, Max Drawdown: 6.97%
(70, 0.8, 0.2, 3.3): Return: 25.34%, Hit Ratio: 67.53%, Max Drawdown: 7.0%
(70, 0.8, 0.2, 3.4): Return: 25.34%, Hit Ratio: 67.53%, Max Drawdown: 7.0%
