(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 1.8, 0.3, 2.9), Return: 25.49%, Hit Ratio: 77.78%, Max Drawdown: 3.46%
(60, 1.8, 0.3, 2.9): Return: 25.49%, Hit Ratio: 77.78%, Max Drawdown: 3.46%
(60, 1.8, 0.3, 3.0): Return: 25.49%, Hit Ratio: 77.78%, Max Drawdown: 3.46%
(60, 1.8, 0.4, 2.9): Return: 25.49%, Hit Ratio: 77.78%, Max Drawdown: 3.46%
(60, 1.8, 0.4, 3.0): Return: 25.49%, Hit Ratio: 77.78%, Max Drawdown: 3.46%
(60, 1.8, 0.5, 2.9): Return: 25.49%, Hit Ratio: 78.57%, Max Drawdown: 3.46%
(60, 1.8, 0.5, 3.0): Return: 25.49%, Hit Ratio: 78.57%, Max Drawdown: 3.46%
(60, 1.8, 0.6, 2.9): Return: 25.49%, Hit Ratio: 78.57%, Max Drawdown: 3.46%
(60, 1.8, 0.6, 3.0): Return: 25.49%, Hit Ratio: 78.57%, Max Drawdown: 3.46%
(60, 1.8, 0.7, 2.9): Return: 25.49%, Hit Ratio: 75.0%, Max Drawdown: 3.46%
(60, 1.8, 0.7, 3.0): Return: 25.49%, Hit Ratio: 75.0%, Max Drawdown: 3.46%
(65, 1.8, 0.3, 2.9): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.3, 3.0): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.3, 3.1): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.4, 2.9): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.4, 3.0): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.4, 3.1): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.5, 2.9): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.5, 3.0): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.5, 3.1): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.6, 2.9): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.6, 3.0): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.6, 3.1): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.3, 2.9): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.3, 3.0): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.3, 3.1): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.4, 2.9): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.4, 3.0): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.4, 3.1): Return: 25.17%, Hit Ratio: 76.0%, Max Drawdown: 3.47%
(65, 1.8, 0.5, 2.9): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.5, 3.0): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.5, 3.1): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.6, 2.9): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.6, 3.0): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.6, 3.1): Return: 25.17%, Hit Ratio: 76.92%, Max Drawdown: 3.47%
(65, 1.8, 0.7, 2.9): Return: 25.16%, Hit Ratio: 73.08%, Max Drawdown: 3.47%
(65, 1.8, 0.7, 3.0): Return: 25.16%, Hit Ratio: 73.08%, Max Drawdown: 3.47%
(65, 1.8, 0.7, 3.1): Return: 25.16%, Hit Ratio: 73.08%, Max Drawdown: 3.47%
(60, 1.9, 0.3, 2.9): Return: 25.16%, Hit Ratio: 80.95%, Max Drawdown: 3.47%
(60, 1.9, 0.3, 3.0): Return: 25.16%, Hit Ratio: 80.95%, Max Drawdown: 3.47%
