,date,open,high,low,close,volume,average,barCount
0,2021-01-22 09:30:00,47.3,48.24,47.12,48.24,307,47.333,28
1,2021-01-22 09:31:00,47.88,48.54,47.6,48.2,71,47.993,27
2,2021-01-22 09:32:00,48.2,48.6,48.2,48.41,13,48.398,9
3,2021-01-22 09:33:00,48.69,49.3,48.53,48.98,93,48.934,37
4,2021-01-22 09:34:00,48.9,49.4,48.9,49.02,27,49.206,16
5,2021-01-22 09:35:00,49.02,49.39,48.83,49.09,33,49.103,15
6,2021-01-22 09:36:00,49.2,49.49,49.2,49.48,9,49.362,8
7,2021-01-22 09:37:00,49.34,50.37,49.33,49.91,172,49.834,62
8,2021-01-22 09:38:00,50.09,50.4,49.67,50.13,33,50.071,18
9,2021-01-22 09:39:00,50.25,50.29,49.35,49.78,83,49.971,55
10,2021-01-22 09:40:00,49.61,49.9,49.6,49.75,17,49.77,13
11,2021-01-22 09:41:00,49.68,50.2,49.67,50.2,37,49.898,23
12,2021-01-22 09:42:00,50.01,50.9,49.84,50.9,71,50.434,39
13,2021-01-22 09:43:00,50.76,50.98,50.28,50.93,48,50.716,20
14,2021-01-22 09:44:00,50.75,51.19,50.75,51.19,144,50.997,68
15,2021-01-22 09:45:00,51.19,51.6,51.19,51.25,91,51.489,25
16,2021-01-22 09:46:00,51.25,51.55,50.61,51.37,126,51.145,46
17,2021-01-22 09:47:00,51.27,51.49,51.04,51.04,58,51.281,23
18,2021-01-22 09:48:00,51.25,51.47,51.21,51.37,12,51.355,6
19,2021-01-22 09:49:00,51.28,51.5,50.77,50.77,91,51.157,42
20,2021-01-22 09:50:00,50.75,51.21,50.66,50.69,45,50.951,25
21,2021-01-22 09:51:00,51.31,51.32,51.0,51.28,22,51.25,7
22,2021-01-22 09:52:00,51.25,51.25,50.67,50.91,65,50.788,38
23,2021-01-22 09:53:00,50.81,50.88,50.6,50.66,18,50.752,9
24,2021-01-22 09:54:00,50.51,50.63,50.0,50.06,83,50.118,27
25,2021-01-22 09:55:00,50.17,50.43,49.5,49.55,59,49.846,31
26,2021-01-22 09:56:00,49.66,49.67,49.21,49.35,86,49.414,30
27,2021-01-22 09:57:00,49.21,49.74,49.21,49.64,69,49.563,33
28,2021-01-22 09:58:00,49.57,49.92,49.54,49.91,32,49.754,10
29,2021-01-22 09:59:00,49.76,50.15,49.76,49.85,39,49.988,28
30,2021-01-22 10:00:00,50.15,50.15,49.76,50.07,16,49.985,12
31,2021-01-22 10:01:00,50.09,50.09,49.69,49.69,20,49.843,9
32,2021-01-22 10:02:00,49.9,50.0,49.87,50.0,14,49.951,10
33,2021-01-22 10:03:00,50.0,50.04,50.0,50.04,4,50.01,4
34,2021-01-22 10:04:00,50.14,50.3,50.13,50.3,20,50.242,19
35,2021-01-22 10:05:00,50.23,50.23,50.12,50.12,16,50.163,11
36,2021-01-22 10:06:00,50.0,50.15,49.8,49.81,29,49.974,14
37,2021-01-22 10:07:00,49.98,50.04,49.97,49.98,30,49.982,6
38,2021-01-22 10:08:00,49.81,49.99,49.56,49.67,37,49.727,12
39,2021-01-22 10:09:00,49.64,49.64,49.28,49.49,29,49.524,27
40,2021-01-22 10:10:00,49.46,49.62,49.31,49.35,8,49.419,5
41,2021-01-22 10:11:00,49.48,49.62,49.48,49.62,18,49.528,7
42,2021-01-22 10:12:00,49.55,49.56,49.1,49.25,23,49.308,19
43,2021-01-22 10:13:00,49.13,49.17,49.1,49.17,8,49.112,3
44,2021-01-22 10:14:00,49.2,49.22,49.17,49.22,9,49.204,4
45,2021-01-22 10:15:00,49.22,49.22,49.1,49.1,6,49.185,5
46,2021-01-22 10:16:00,49.26,49.45,49.12,49.33,14,49.289,12
47,2021-01-22 10:17:00,49.45,49.46,49.32,49.32,10,49.376,9
48,2021-01-22 10:18:00,49.35,49.35,49.35,49.35,2,49.35,2
49,2021-01-22 10:19:00,49.13,49.13,49.13,49.13,1,49.13,1
50,2021-01-22 10:20:00,49.15,49.15,49.15,49.15,4,49.15,1
51,2021-01-22 10:21:00,49.22,49.22,48.62,48.63,118,48.965,23
52,2021-01-22 10:22:00,48.67,48.9,48.64,48.68,19,48.694,17
53,2021-01-22 10:23:00,48.73,48.96,48.73,48.78,19,48.839,6
54,2021-01-22 10:24:00,48.8,48.8,48.33,48.64,60,48.607,26
55,2021-01-22 10:25:00,48.5,48.51,48.35,48.51,19,48.475,9
56,2021-01-22 10:26:00,48.33,48.4,47.77,47.77,83,48.083,69
57,2021-01-22 10:27:00,47.77,48.25,47.61,48.08,43,47.949,21
58,2021-01-22 10:28:00,48.19,48.22,48.11,48.15,14,48.183,5
59,2021-01-22 10:29:00,48.22,48.49,48.07,48.49,35,48.23,12
60,2021-01-22 10:30:00,48.4,48.54,48.39,48.54,17,48.482,10
61,2021-01-22 10:31:00,48.63,48.76,48.62,48.72,19,48.658,14
62,2021-01-22 10:32:00,48.53,48.74,48.5,48.63,11,48.633,8
63,2021-01-22 10:33:00,48.62,48.75,48.62,48.74,7,48.725,2
64,2021-01-22 10:34:00,48.75,48.94,48.73,48.91,39,48.79,22
65,2021-01-22 10:35:00,48.74,48.78,48.73,48.78,5,48.745,3
66,2021-01-22 10:36:00,48.82,48.83,48.53,48.53,7,48.626,6
67,2021-01-22 10:37:00,48.79,48.8,48.5,48.59,24,48.602,7
68,2021-01-22 10:38:00,48.57,48.57,48.3,48.31,15,48.411,6
69,2021-01-22 10:39:00,48.15,48.41,48.15,48.27,14,48.265,8
70,2021-01-22 10:40:00,48.56,48.75,48.5,48.6,24,48.571,20
71,2021-01-22 10:41:00,48.48,48.61,48.48,48.61,11,48.581,11
72,2021-01-22 10:42:00,48.53,48.53,48.3,48.3,8,48.444,7
73,2021-01-22 10:43:00,48.3,48.42,48.02,48.35,33,48.139,25
74,2021-01-22 10:44:00,48.32,48.34,48.01,48.34,9,48.155,9
75,2021-01-22 10:45:00,48.18,48.32,47.78,48.03,58,48.006,38
76,2021-01-22 10:46:00,47.9,47.92,47.75,47.75,16,47.873,12
77,2021-01-22 10:47:00,48.0,48.0,47.61,47.61,20,47.763,13
78,2021-01-22 10:48:00,47.67,47.78,47.61,47.63,23,47.68,18
79,2021-01-22 10:49:00,47.78,47.78,47.12,47.12,120,47.487,43
80,2021-01-22 10:50:00,47.2,47.67,47.12,47.44,106,47.319,50
81,2021-01-22 10:51:00,47.64,47.8,47.41,47.73,28,47.697,10
82,2021-01-22 10:52:00,47.58,47.72,47.56,47.56,17,47.662,6
83,2021-01-22 10:53:00,47.53,47.75,47.53,47.75,7,47.712,3
84,2021-01-22 10:54:00,47.73,47.75,47.65,47.75,16,47.728,6
85,2021-01-22 10:55:00,47.84,48.28,47.84,48.06,32,47.971,26
86,2021-01-22 10:56:00,48.31,48.32,48.3,48.32,7,48.311,7
87,2021-01-22 10:57:00,48.28,48.58,48.25,48.58,59,48.377,23
88,2021-01-22 10:58:00,48.47,48.55,48.46,48.5,8,48.479,5
89,2021-01-22 10:59:00,48.46,48.46,48.35,48.35,8,48.389,5
90,2021-01-22 11:00:00,48.46,48.57,48.35,48.42,34,48.445,16
91,2021-01-22 11:01:00,48.21,48.21,48.21,48.21,2,48.21,1
92,2021-01-22 11:02:00,48.01,48.41,48.01,48.41,8,48.062,3
93,2021-01-22 11:03:00,48.09,48.09,48.09,48.09,1,48.09,1
94,2021-01-22 11:04:00,48.24,48.39,48.24,48.39,7,48.291,5
95,2021-01-22 11:05:00,48.38,48.38,48.21,48.22,15,48.304,6
96,2021-01-22 11:06:00,48.21,48.36,48.01,48.01,19,48.221,13
97,2021-01-22 11:07:00,48.25,48.25,48.1,48.24,6,48.203,5
98,2021-01-22 11:08:00,48.25,48.4,48.18,48.4,26,48.245,22
99,2021-01-22 11:09:00,48.29,48.29,48.29,48.29,2,48.29,2
100,2021-01-22 11:10:00,48.4,48.4,48.4,48.4,32,48.4,2
101,2021-01-22 11:11:00,48.36,48.4,48.2,48.4,44,48.279,40
102,2021-01-22 11:12:00,48.32,48.35,48.21,48.27,34,48.341,20
103,2021-01-22 11:13:00,48.15,48.38,48.02,48.09,17,48.105,13
104,2021-01-22 11:14:00,48.04,48.13,48.02,48.13,12,48.075,8
105,2021-01-22 11:15:00,48.07,48.14,48.05,48.12,14,48.115,13
106,2021-01-22 11:16:00,48.12,48.12,48.12,48.12,0,48.12,0
107,2021-01-22 11:17:00,48.01,48.2,48.01,48.2,5,48.098,4
108,2021-01-22 11:18:00,48.16,48.18,48.06,48.18,32,48.096,26
