,date,open,high,low,close,volume,average,barCount
0,2015-04-10,30.55,32.0,30.2,30.58,-1,-1.0,-1
1,2015-04-13,30.14,32.0,30.06,30.19,-1,-1.0,-1
2,2015-04-14,30.24,30.37,30.07,30.27,-1,-1.0,-1
3,2015-04-15,29.98,32.0,29.41,30.01,-1,-1.0,-1
4,2015-04-16,30.5,30.71,30.14,30.53,-1,-1.0,-1
5,2015-04-17,30.02,32.0,29.95,30.06,-1,-1.0,-1
6,2015-04-20,30.12,32.0,29.46,30.17,-1,-1.0,-1
7,2015-04-21,29.97,32.0,29.41,30.01,-1,-1.0,-1
8,2015-04-22,29.83,32.0,29.63,29.86,-1,-1.0,-1
9,2015-04-23,29.87,30.01,29.24,29.9,-1,-1.0,-1
10,2015-04-24,30.22,30.35,30.04,30.25,-1,-1.0,-1
11,2015-04-27,30.63,30.74,30.42,30.66,-1,-1.0,-1
12,2015-04-28,30.67,31.5,30.29,30.69,-1,-1.0,-1
13,2015-04-29,30.29,30.6,29.43,30.32,-1,-1.0,-1
14,2015-04-30,28.75,29.49,28.55,28.78,-1,-1.0,-1
15,2015-05-01,28.93,31.5,28.84,28.97,-1,-1.0,-1
16,2015-05-04,27.9,28.6,27.29,27.94,-1,-1.0,-1
17,2015-05-05,27.79,27.97,27.75,27.82,-1,-1.0,-1
18,2015-05-06,27.01,27.41,26.87,27.05,-1,-1.0,-1
19,2015-05-07,26.8,29.07,26.41,26.83,-1,-1.0,-1
20,2015-05-08,27.16,27.35,27.02,27.19,-1,-1.0,-1
21,2015-05-11,26.74,27.19,26.56,26.76,-1,-1.0,-1
22,2015-05-12,26.37,26.59,25.96,26.39,-1,-1.0,-1
23,2015-05-13,26.8,27.08,26.61,26.82,-1,-1.0,-1
24,2015-05-14,26.74,27.06,26.66,26.77,-1,-1.0,-1
25,2015-05-15,26.58,26.84,26.22,26.61,-1,-1.0,-1
26,2015-05-18,25.88,26.15,25.77,25.9,-1,-1.0,-1
27,2015-05-19,25.38,25.92,25.15,25.4,-1,-1.0,-1
28,2015-05-20,25.45,25.58,25.18,25.48,-1,-1.0,-1
29,2015-05-21,25.68,26.19,25.36,25.7,-1,-1.0,-1
30,2015-05-22,25.52,25.79,25.46,25.55,-1,-1.0,-1
