(Lookback, Entry, Exit, Stop-loss)
Best HPs: (105, 1.8, -0.1, 3.3), Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.3): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.4): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.5): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.6): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.7): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.3): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.4): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.5): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.6): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.7): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.3): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.4): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.5): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.6): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.8, -0.1, 3.7): Return: 0.35%, Hit Ratio: 72.22%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.3): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.4): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.5): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.6): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(105, 1.9, -0.1, 3.7): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
(110, 1.8, -0.1, 3.3): Return: 0.35%, Hit Ratio: 76.47%, Max Drawdown: 0.22%
