,date,open,high,low,close,volume,average,barCount
0,2015-06-03 09:30:00,25.01,25.01,24.94,24.94,252,25.003,27
1,2015-06-03 09:31:00,24.94,24.94,24.94,24.94,0,24.94,0
2,2015-06-03 09:32:00,24.96,24.96,24.87,24.87,23,24.905,19
3,2015-06-03 09:33:00,24.87,24.87,24.87,24.87,0,24.87,0
4,2015-06-03 09:34:00,24.89,24.89,24.89,24.89,2,24.89,1
5,2015-06-03 09:35:00,24.89,24.89,24.89,24.89,0,24.89,0
6,2015-06-03 09:36:00,24.89,24.89,24.89,24.89,0,24.89,0
7,2015-06-03 09:37:00,24.89,24.89,24.89,24.89,0,24.89,0
8,2015-06-03 09:38:00,24.9,24.95,24.9,24.92,22,24.917,21
9,2015-06-03 09:39:00,24.92,24.93,24.92,24.93,5,24.926,3
10,2015-06-03 09:40:00,24.93,24.93,24.93,24.93,0,24.93,0
11,2015-06-03 09:41:00,24.93,24.93,24.93,24.93,0,24.93,0
12,2015-06-03 09:42:00,24.93,24.93,24.93,24.93,10,24.93,3
13,2015-06-03 09:43:00,24.94,24.94,24.93,24.94,4,24.938,2
14,2015-06-03 09:44:00,24.92,24.93,24.92,24.93,3,24.924,2
15,2015-06-03 09:45:00,24.93,24.94,24.93,24.93,3,24.934,1
16,2015-06-03 09:46:00,24.94,24.95,24.94,24.95,8,24.942,4
17,2015-06-03 09:47:00,24.97,24.97,24.96,24.96,26,24.962,14
18,2015-06-03 09:48:00,24.98,24.98,24.98,24.98,1,24.98,1
19,2015-06-03 09:49:00,24.96,24.96,24.96,24.96,20,24.96,5
20,2015-06-03 09:50:00,24.96,24.97,24.96,24.96,2,24.965,1
21,2015-06-03 09:51:00,24.96,24.96,24.96,24.96,0,24.96,0
22,2015-06-03 09:52:00,24.96,24.96,24.95,24.96,1,24.957,1
23,2015-06-03 09:53:00,24.96,24.96,24.96,24.96,3,24.96,3
24,2015-06-03 09:54:00,24.96,24.96,24.96,24.96,0,24.96,0
25,2015-06-03 09:55:00,24.97,24.97,24.97,24.97,1,24.97,1
26,2015-06-03 09:56:00,24.95,24.96,24.95,24.95,5,24.952,1
27,2015-06-03 09:57:00,24.96,24.97,24.95,24.97,13,24.965,7
28,2015-06-03 09:58:00,24.97,24.97,24.97,24.97,1,24.97,1
29,2015-06-03 09:59:00,24.96,24.97,24.96,24.96,1,24.965,1
30,2015-06-03 10:00:00,24.97,25.03,24.96,25.03,45,24.982,20
31,2015-06-03 10:01:00,25.01,25.01,25.0,25.0,29,25.004,10
32,2015-06-03 10:02:00,25.01,25.01,25.01,25.01,2,25.01,2
33,2015-06-03 10:03:00,25.01,25.01,25.0,25.0,3,25.007,3
34,2015-06-03 10:04:00,25.01,25.01,25.01,25.01,4,25.01,4
35,2015-06-03 10:05:00,25.01,25.02,25.01,25.01,1,25.015,1
36,2015-06-03 10:06:00,25.03,25.03,25.03,25.03,1,25.03,1
37,2015-06-03 10:07:00,25.02,25.03,25.01,25.03,35,25.03,12
38,2015-06-03 10:08:00,25.03,25.03,25.03,25.03,8,25.03,6
39,2015-06-03 10:09:00,25.03,25.03,25.03,25.03,0,25.03,0
