,date,open,high,low,close,volume,average,barCount
0,2015-04-13,16.06,16.59,15.88,15.88,3998,16.126,2546
1,2015-04-14,15.7,15.79,15.49,15.56,3780,15.618,2256
2,2015-04-15,15.51,15.57,15.24,15.39,4278,15.4065,2523
3,2015-04-16,16.05,16.28,15.95,16.17,2861,16.065,1624
4,2015-04-17,16.06,16.17,15.91,15.95,3884,16.004,2265
5,2015-04-20,15.8,15.89,15.49,15.67,3004,15.7345,1936
6,2015-04-21,15.63,15.71,15.6,15.68,1189,15.6665,707
7,2015-04-22,16.08,16.11,16.03,16.05,2475,16.078,1372
8,2015-04-23,16.49,16.76,16.44,16.69,4006,16.5595,2272
9,2015-04-24,16.49,16.78,16.48,16.78,2262,16.671,1044
10,2015-04-27,17.22,17.44,17.09,17.09,3464,17.2525,2176
11,2015-04-28,17.42,17.44,17.12,17.39,2526,17.2535,1726
12,2015-04-29,16.7,16.7,16.53,16.66,1722,16.625,1094
13,2015-04-30,16.06,16.11,16.02,16.09,1653,16.0705,1034
14,2015-05-01,16.06,16.23,16.06,16.23,787,16.1625,522
15,2015-05-04,17.05,17.22,17.03,17.17,2953,17.1005,1850
16,2015-05-05,16.62,16.63,16.38,16.4,849,16.4795,444
17,2015-05-06,16.38,16.39,16.04,16.12,1543,16.166,978
18,2015-05-07,15.28,15.47,15.03,15.15,3366,15.1745,2161
19,2015-05-08,15.33,15.45,15.26,15.43,1952,15.3645,827
20,2015-05-11,15.43,15.45,15.27,15.33,1229,15.3545,642
21,2015-05-12,15.04,15.21,15.03,15.16,905,15.132,612
22,2015-05-13,15.12,15.16,15.02,15.03,701,15.069,445
23,2015-05-14,16.57,16.63,16.46,16.54,3376,16.548,1683
24,2015-05-15,16.57,16.67,16.15,16.33,1667,16.4305,1044
25,2015-05-18,15.72,15.98,15.51,15.85,2154,15.7985,1461
26,2015-05-19,15.98,15.99,15.8,15.84,1381,15.874,918
27,2015-05-20,15.69,15.75,15.66,15.7,490,15.706,344
28,2015-05-21,15.54,15.63,15.5,15.51,697,15.5505,432
29,2015-05-22,15.98,16.1,15.89,16.07,1528,15.9795,1026
30,2015-05-26,16.04,16.06,15.89,16.01,688,15.964,405
31,2015-05-27,15.77,15.83,15.61,15.81,946,15.7555,609
32,2015-05-28,15.03,15.03,14.88,14.94,1073,14.9405,582
33,2015-05-29,15.06,15.14,14.81,14.93,1167,14.924,612
34,2015-06-01,15.12,15.12,15.01,15.01,1046,15.049,531
35,2015-06-02,14.68,14.82,14.64,14.74,1318,14.7435,681
36,2015-06-03,14.73,14.8,14.7,14.8,1329,14.751,717
37,2015-06-04,14.69,14.72,14.61,14.66,579,14.673,319
38,2015-06-05,14.51,14.57,14.43,14.54,1101,14.499,514
39,2015-06-08,14.84,14.86,14.74,14.74,582,14.8,347
40,2015-06-09,13.9,13.96,13.84,13.87,1329,13.871,662
41,2015-06-10,13.94,14.06,13.91,14.01,626,13.993,342
42,2015-06-11,13.92,14.01,13.9,14.01,1276,13.9565,832
43,2015-06-12,14.13,14.15,14.03,14.03,1016,14.071,581
44,2015-06-15,13.91,14.03,13.79,13.83,1386,13.8865,876
45,2015-06-16,13.31,13.6,13.22,13.57,2251,13.4405,1112
46,2015-06-17,13.56,13.65,13.44,13.6,528,13.572,290
47,2015-06-18,13.31,13.41,13.25,13.38,1358,13.38,668
48,2015-06-19,13.11,13.21,13.05,13.21,1667,13.1495,1107
49,2015-06-22,12.94,13.0,12.87,12.98,1153,12.957,543
50,2015-06-23,13.12,13.2,13.12,13.16,510,13.1545,297
51,2015-06-24,13.17,13.27,13.16,13.17,927,13.218,406
52,2015-06-25,13.11,13.11,12.95,13.0,1272,12.9935,764
53,2015-06-26,12.7,12.77,12.58,12.63,904,12.6575,413
54,2015-06-29,12.47,12.5,12.32,12.33,1036,12.394,694
55,2015-06-30,12.63,12.63,12.42,12.45,831,12.465,455
56,2015-07-01,12.43,12.46,12.31,12.34,708,12.3665,431
57,2015-07-02,12.34,12.37,12.13,12.16,813,12.239,376
58,2015-07-06,10.79,11.05,10.62,10.88,3638,10.8595,1774
59,2015-07-07,9.28,10.02,9.06,9.86,7966,9.493,3505
60,2015-07-08,8.71,8.97,8.66,8.66,7313,8.8335,3218
61,2015-07-09,9.51,9.63,9.39,9.57,3455,9.523,1596
62,2015-07-10,10.32,10.38,10.2,10.36,2808,10.291,1410
63,2015-07-13,10.54,10.69,10.43,10.47,1648,10.482,790
64,2015-07-14,10.15,10.2,9.99,10.15,1820,10.1035,813
65,2015-07-15,9.69,9.75,9.6,9.61,1587,9.6505,679
66,2015-07-16,9.75,9.8,9.69,9.8,735,9.743,387
67,2015-07-17,9.97,10.03,9.86,9.98,1936,9.9155,946
68,2015-07-20,9.89,9.89,9.62,9.62,1261,9.7365,700
69,2015-07-21,9.83,9.87,9.69,9.7,747,9.787,404
70,2015-07-22,9.56,9.57,9.47,9.5,735,9.5275,291
71,2015-07-23,9.85,9.85,9.65,9.65,796,9.7245,317
72,2015-07-24,9.61,9.64,9.38,9.45,617,9.471,304
73,2015-07-27,8.79,8.95,8.77,8.86,1075,8.8335,571
74,2015-07-28,8.87,9.0,8.79,8.99,2005,8.9385,860
75,2015-07-29,9.34,9.35,8.95,9.15,1645,9.1155,767
76,2015-07-30,8.9,8.9,8.75,8.78,1476,8.792,572
77,2015-07-31,8.77,8.77,8.61,8.62,613,8.674,272
78,2015-08-03,8.47,8.52,8.36,8.5,2155,8.422,1002
79,2015-08-04,8.52,8.59,8.42,8.46,633,8.494,340
80,2015-08-05,8.67,8.73,8.64,8.71,1234,8.698,737
81,2015-08-06,8.52,8.55,8.44,8.5,822,8.497,510
82,2015-08-07,8.76,8.8,8.7,8.7,708,8.75,334
83,2015-08-10,9.81,9.97,9.79,9.96,3200,9.889,1340
84,2015-08-11,9.74,9.78,9.63,9.75,1325,9.6925,669
85,2015-08-12,9.56,9.62,9.49,9.6,774,9.544,383
86,2015-08-13,9.64,9.69,9.55,9.56,378,9.6265,240
87,2015-08-14,9.46,9.55,9.46,9.49,369,9.496,175
88,2015-08-17,9.57,9.66,9.55,9.66,378,9.613,195
89,2015-08-18,9.09,9.15,9.07,9.1,421,9.1105,237
90,2015-08-19,9.02,9.03,8.78,8.81,983,8.8625,580
91,2015-08-20,8.6,8.6,8.47,8.47,976,8.517,438
92,2015-08-21,8.39,8.45,8.32,8.32,2432,8.382,1109
93,2015-08-24,7.56,7.92,7.54,7.72,2403,7.7245,964
94,2015-08-25,7.91,7.96,7.78,7.81,2367,7.8655,1067
95,2015-08-26,7.56,7.57,7.2,7.57,1747,7.3655,752
96,2015-08-27,8.29,8.66,8.12,8.66,916,8.4215,468
97,2015-08-28,8.43,8.79,8.43,8.64,2117,8.6615,1004
98,2015-08-31,8.35,8.47,8.24,8.27,2133,8.348,1009
99,2015-09-01,8.21,8.21,8.01,8.03,859,8.1065,442
100,2015-09-02,7.96,8.05,7.74,7.95,1324,7.8575,845
101,2015-09-03,8.0,8.13,7.95,7.99,732,8.0385,345
102,2015-09-04,7.84,7.94,7.77,7.81,413,7.8195,261
103,2015-09-08,8.64,8.67,8.53,8.65,1317,8.6025,686
104,2015-09-09,8.68,8.7,8.44,8.44,654,8.564,420
105,2015-09-10,8.54,8.58,8.46,8.57,359,8.5295,168
106,2015-09-11,8.41,8.48,8.33,8.46,186,8.407,117
107,2015-09-14,8.42,8.44,8.38,8.42,267,8.401,183
108,2015-09-15,8.34,8.49,8.33,8.46,502,8.439,242
109,2015-09-16,8.63,8.79,8.63,8.75,739,8.735,379
110,2015-09-17,8.44,8.67,8.43,8.53,478,8.531,281
111,2015-09-18,8.57,8.57,8.39,8.44,720,8.4805,424
112,2015-09-21,8.52,8.57,8.47,8.53,412,8.534,202
113,2015-09-22,8.28,8.31,8.2,8.31,346,8.25,247
114,2015-09-23,8.12,8.12,8.0,8.01,403,8.0435,245
115,2015-09-24,7.92,8.0,7.85,7.99,446,7.921,225
116,2015-09-25,7.95,7.95,7.75,7.76,1201,7.8275,737
117,2015-09-28,7.74,7.74,7.58,7.68,695,7.6345,343
118,2015-09-29,7.56,7.63,7.53,7.58,494,7.603,209
119,2015-09-30,7.8,7.8,7.67,7.76,316,7.7535,203
120,2015-10-01,7.8,7.86,7.73,7.85,473,7.7925,187
121,2015-10-02,8.16,8.43,8.08,8.43,694,8.2745,372
122,2015-10-05,8.58,8.74,8.56,8.72,692,8.6815,457
123,2015-10-06,8.56,8.65,8.56,8.6,632,8.601,428
124,2015-10-07,9.03,9.09,8.91,9.0,420,8.999,253
125,2015-10-08,8.79,8.99,8.71,8.98,1723,8.832,539
126,2015-10-09,9.09,9.11,9.01,9.07,554,9.064,262
127,2015-10-12,9.13,9.16,9.06,9.08,269,9.101,165
128,2015-10-13,9.16,9.24,9.11,9.13,447,9.1805,309
129,2015-10-14,9.04,9.09,9.01,9.01,649,9.0485,479
130,2015-10-15,9.24,9.32,9.17,9.32,344,9.242,205
131,2015-10-16,9.17,9.25,9.14,9.2,205,9.185,104
132,2015-10-19,8.82,8.83,8.73,8.79,392,8.7715,189
133,2015-10-20,8.62,8.66,8.57,8.58,442,8.5955,246
134,2015-10-21,8.51,8.56,8.39,8.4,683,8.47,267
135,2015-10-22,8.65,8.77,8.63,8.73,790,8.7175,286
136,2015-10-23,8.58,8.63,8.51,8.63,595,8.5965,285
137,2015-10-26,8.5,8.5,8.41,8.44,533,8.4545,262
138,2015-10-27,8.38,8.68,8.37,8.47,2993,8.468,939
139,2015-10-28,8.31,8.56,8.22,8.31,764,8.385,416
140,2015-10-29,8.13,8.29,8.11,8.13,416,8.1665,279
141,2015-10-30,8.11,8.11,8.01,8.03,450,8.0445,226
142,2015-11-02,7.83,7.92,7.79,7.92,778,7.8705,309
143,2015-11-03,7.78,7.97,7.77,7.93,660,7.8755,295
144,2015-11-04,8.36,8.41,8.28,8.28,503,8.333,214
145,2015-11-05,8.05,8.07,7.99,8.05,633,8.0205,245
146,2015-11-06,8.0,8.11,7.96,8.11,225,8.023,102
147,2015-11-09,8.11,8.15,8.06,8.07,642,8.109,320
148,2015-11-10,8.03,8.13,7.99,8.1,682,8.0565,355
149,2015-11-11,8.15,8.21,8.15,8.2,435,8.1885,266
150,2015-11-12,8.14,8.2,8.11,8.11,310,8.1585,191
151,2015-11-13,7.86,7.87,7.73,7.74,328,7.7865,184
152,2015-11-16,8.05,8.12,7.95,8.12,506,8.029,243
153,2015-11-17,8.17,8.18,8.1,8.12,316,8.152,129
154,2015-11-18,8.04,8.12,8.04,8.12,226,8.0695,146
155,2015-11-19,8.16,8.21,8.13,8.13,316,8.175,189
156,2015-11-20,8.22,8.25,8.11,8.13,647,8.1685,353
157,2015-11-23,8.06,8.06,7.96,7.98,391,8.007,217
158,2015-11-24,7.84,7.94,7.82,7.91,741,7.873,378
159,2015-11-25,7.83,7.92,7.83,7.91,284,7.8865,141
160,2015-11-27,7.9,7.98,7.9,7.97,140,7.933,90
161,2015-11-30,7.98,8.08,7.97,8.06,328,8.0355,197
162,2015-12-01,8.01,8.02,7.94,7.99,321,7.969,176
163,2015-12-02,8.06,8.1,7.92,7.97,454,7.994,244
164,2015-12-03,7.99,7.99,7.84,7.86,229,7.8775,166
165,2015-12-04,7.84,7.95,7.83,7.94,198,7.91,91
166,2015-12-07,7.79,7.79,7.6,7.71,2233,7.6965,1109
167,2015-12-08,7.4,7.64,7.34,7.54,2287,7.4995,805
168,2015-12-09,7.42,7.58,7.38,7.53,1404,7.5225,750
169,2015-12-10,7.16,7.34,7.09,7.28,3326,7.1985,1302
170,2015-12-11,7.01,7.15,7.01,7.07,2052,7.0735,617
171,2015-12-14,7.18,7.27,7.08,7.26,1645,7.183,726
172,2015-12-15,7.17,7.24,7.12,7.2,2615,7.1905,932
173,2015-12-16,7.82,7.87,7.7,7.85,1396,7.8015,435
174,2015-12-17,7.85,7.85,7.72,7.77,504,7.78,212
175,2015-12-18,7.71,7.95,7.66,7.81,2135,7.784,1081
176,2015-12-21,7.98,8.09,7.91,8.05,912,7.9975,514
177,2015-12-22,8.01,8.19,7.93,8.13,1453,8.0645,557
178,2015-12-23,8.34,8.39,8.23,8.31,1617,8.3065,1085
179,2015-12-24,8.32,8.49,8.32,8.43,288,8.4405,185
180,2015-12-28,8.32,8.4,8.28,8.34,397,8.3335,255
181,2015-12-29,8.39,8.5,8.34,8.39,480,8.367,260
182,2015-12-30,8.35,8.38,8.31,8.34,355,8.3465,207
183,2015-12-31,8.29,8.33,8.22,8.24,502,8.285,320
184,2016-01-04,7.87,7.91,7.82,7.87,558,7.8695,301
185,2016-01-05,7.94,7.95,7.87,7.92,303,7.9135,169
186,2016-01-06,7.82,7.88,7.78,7.81,323,7.818,204
187,2016-01-07,7.4,7.52,7.34,7.34,815,7.388,385
188,2016-01-08,7.62,7.64,7.43,7.43,1093,7.496,629
189,2016-01-11,7.37,7.39,7.23,7.33,575,7.3025,382
190,2016-01-12,7.44,7.48,7.31,7.39,703,7.383,410
191,2016-01-13,7.44,7.45,7.23,7.23,430,7.311,241
192,2016-01-14,7.16,7.28,7.08,7.27,338,7.1795,174
193,2016-01-15,6.97,7.02,6.87,6.95,822,6.9625,423
194,2016-01-19,7.14,7.39,7.14,7.26,596,7.276,336
195,2016-01-20,7.25,7.36,7.13,7.33,1008,7.234,497
196,2016-01-21,7.17,7.36,7.17,7.26,488,7.2735,227
197,2016-01-22,7.5,7.52,7.43,7.49,343,7.473,200
198,2016-01-25,7.49,7.52,7.38,7.38,612,7.464,353
199,2016-01-26,7.28,7.41,7.25,7.4,788,7.3715,427
200,2016-01-27,7.27,7.34,7.15,7.15,354,7.2385,257
201,2016-01-28,7.24,7.39,7.13,7.26,475,7.2355,247
202,2016-01-29,7.41,7.56,7.39,7.53,758,7.4735,386
203,2016-02-01,7.37,7.47,7.32,7.4,623,7.3925,352
204,2016-02-02,7.66,7.71,7.52,7.56,508,7.562,352
205,2016-02-03,8.02,8.16,7.89,8.15,1199,8.032,888
206,2016-02-04,8.03,8.12,8.02,8.04,1064,8.078,591
207,2016-02-05,8.04,8.08,8.01,8.01,294,8.0305,222
208,2016-02-08,7.93,7.95,7.88,7.89,582,7.915,274
209,2016-02-09,7.81,7.9,7.75,7.81,368,7.7935,258
210,2016-02-10,7.82,7.91,7.8,7.81,386,7.8595,237
211,2016-02-11,7.47,7.54,7.4,7.51,552,7.4535,305
212,2016-02-12,7.54,7.65,7.47,7.64,336,7.53,246
213,2016-02-16,7.92,7.97,7.84,7.97,320,7.9265,158
214,2016-02-17,7.95,8.11,7.95,8.11,940,8.043,477
215,2016-02-18,8.16,8.2,8.05,8.09,123,8.108,90
216,2016-02-19,8.04,8.09,7.99,8.04,201,8.0525,95
217,2016-02-22,8.34,8.45,8.3,8.43,626,8.409,346
218,2016-02-23,8.7,8.75,8.59,8.66,697,8.6625,233
219,2016-02-24,9.07,9.29,9.01,9.2,1000,9.1385,460
220,2016-02-25,8.9,9.03,8.85,8.98,509,8.96,192
221,2016-02-26,9.33,9.4,9.25,9.32,297,9.32,174
222,2016-02-29,8.68,8.71,8.61,8.68,706,8.6645,366
223,2016-03-01,8.75,8.94,8.74,8.94,497,8.852,262
224,2016-03-02,9.0,9.15,8.97,9.12,422,9.0885,261
225,2016-03-03,9.18,9.3,9.14,9.26,592,9.227,346
226,2016-03-04,9.34,9.5,9.29,9.41,579,9.414,315
227,2016-03-07,9.09,9.19,8.76,9.18,988,9.054,426
228,2016-03-08,9.19,9.19,9.08,9.09,368,9.1375,239
229,2016-03-09,8.73,8.74,8.64,8.7,276,8.698,166
230,2016-03-10,8.6,8.6,8.38,8.46,356,8.4805,206
231,2016-03-11,8.76,8.82,8.72,8.78,243,8.774,145
232,2016-03-14,8.69,8.74,8.67,8.71,145,8.711,115
233,2016-03-15,8.5,8.57,8.46,8.57,116,8.5025,57
234,2016-03-16,8.49,8.71,8.47,8.7,184,8.547,109
235,2016-03-17,8.69,9.01,8.67,8.93,206,8.7925,140
236,2016-03-18,8.83,8.87,8.78,8.82,580,8.843,250
237,2016-03-21,8.68,8.71,8.63,8.66,213,8.6875,119
238,2016-03-22,8.65,8.65,8.4,8.46,129,8.4315,61
239,2016-03-23,8.27,8.3,8.16,8.2,217,8.2085,129
240,2016-03-24,8.08,8.13,8.01,8.09,119,8.043,77
241,2016-03-28,8.13,8.13,8.01,8.12,269,8.0785,150
242,2016-03-29,7.98,8.1,7.93,8.04,129,8.019,56
243,2016-03-30,8.15,8.2,8.1,8.12,173,8.1515,113
244,2016-03-31,8.01,8.01,7.93,7.98,256,7.964,107
245,2016-04-01,8.1,8.31,8.1,8.29,259,8.2265,131
246,2016-04-04,8.34,8.34,8.16,8.18,134,8.2275,83
247,2016-04-05,8.26,8.29,8.21,8.23,289,8.2315,125
248,2016-04-06,8.26,8.35,8.2,8.35,942,8.245,345
249,2016-04-07,8.24,8.26,8.16,8.18,179,8.187,94
250,2016-04-08,8.3,8.3,8.21,8.21,110,8.2505,71
251,2016-04-11,8.65,8.69,8.59,8.6,422,8.626,178
252,2016-04-12,8.6,8.71,8.55,8.66,465,8.644,256
253,2016-04-13,8.84,8.93,8.81,8.93,586,8.882,336
254,2016-04-14,8.74,8.82,8.74,8.75,473,8.7835,215
255,2016-04-15,8.68,8.73,8.65,8.65,103,8.6945,91
256,2016-04-18,8.88,8.88,8.41,8.55,360,8.53,198
257,2016-04-19,8.68,8.8,8.67,8.75,242,8.7415,144
258,2016-04-20,8.7,8.84,8.7,8.78,314,8.767,128
259,2016-04-21,8.82,8.87,8.75,8.75,422,8.8035,190
260,2016-04-22,8.58,8.62,8.51,8.53,680,8.5765,228
261,2016-04-25,8.45,8.49,8.41,8.43,148,8.439,103
262,2016-04-26,8.5,8.53,8.42,8.5,200,8.488,98
263,2016-04-27,8.65,8.82,8.64,8.81,408,8.732,239
264,2016-04-28,8.59,8.84,8.58,8.83,244,8.7065,142
265,2016-04-29,8.46,8.5,8.33,8.44,408,8.4065,219
266,2016-05-02,8.39,8.42,8.33,8.42,299,8.3695,147
267,2016-05-03,8.28,8.28,8.15,8.19,534,8.1965,319
268,2016-05-04,8.1,8.1,8.0,8.05,295,8.049,157
269,2016-05-05,8.13,8.13,7.97,7.99,327,8.023,170
270,2016-05-06,7.99,8.05,7.97,8.0,318,8.027,137
271,2016-05-09,7.94,7.94,7.67,7.67,459,7.7175,268
272,2016-05-10,7.76,7.89,7.74,7.82,220,7.8135,110
273,2016-05-11,7.8,7.87,7.77,7.77,95,7.813,63
274,2016-05-12,7.8,7.85,7.71,7.73,163,7.748,129
275,2016-05-13,7.6,7.62,7.5,7.53,215,7.5785,109
276,2016-05-16,7.93,7.95,7.85,7.9,206,7.905,97
277,2016-05-17,7.78,7.8,7.69,7.71,224,7.759,110
278,2016-05-18,7.59,7.65,7.49,7.54,212,7.548,166
279,2016-05-19,7.46,7.5,7.42,7.49,210,7.4505,131
280,2016-05-20,7.53,7.53,7.45,7.47,222,7.483,140
281,2016-05-23,7.36,7.42,7.28,7.3,836,7.321,605
282,2016-05-24,7.38,7.46,7.34,7.41,293,7.4085,144
283,2016-05-25,7.39,7.49,7.39,7.41,431,7.419,223
284,2016-05-26,7.53,7.55,7.46,7.49,720,7.491,212
285,2016-05-27,7.54,7.54,7.49,7.5,416,7.501,114
286,2016-05-31,7.56,7.66,7.53,7.58,483,7.5945,267
287,2016-06-01,7.59,7.62,7.53,7.55,527,7.568,355
288,2016-06-02,7.65,7.71,7.65,7.66,170,7.6775,85
289,2016-06-03,7.67,7.69,7.62,7.64,205,7.6615,93
290,2016-06-06,7.66,7.73,7.65,7.72,361,7.686,209
291,2016-06-07,7.92,7.96,7.88,7.9,266,7.921,150
292,2016-06-08,7.88,7.94,7.56,7.56,466,7.8445,133
293,2016-06-09,7.78,7.81,7.73,7.73,512,7.7605,229
294,2016-06-10,7.62,7.67,7.56,7.6,273,7.603,164
295,2016-06-13,7.49,7.51,7.41,7.45,513,7.4545,256
296,2016-06-14,7.49,7.55,7.44,7.49,979,7.49,483
297,2016-06-15,7.57,7.61,7.51,7.51,364,7.568,183
298,2016-06-16,7.46,7.59,7.41,7.53,693,7.513,422
299,2016-06-17,7.59,7.6,7.22,7.22,1959,7.404,1008
300,2016-06-20,7.73,7.75,7.63,7.68,792,7.6805,436
301,2016-06-21,7.75,7.79,7.67,7.72,471,7.729,226
302,2016-06-22,7.83,7.85,7.75,7.75,392,7.816,157
303,2016-06-23,7.87,7.92,7.85,7.87,518,7.8785,318
304,2016-06-24,7.5,7.67,7.4,7.49,440,7.4895,205
305,2016-06-27,7.63,7.64,7.41,7.52,873,7.5605,382
306,2016-06-28,7.75,7.83,7.74,7.82,466,7.7805,332
307,2016-06-29,7.88,7.98,7.6,7.6,281,7.926,133
308,2016-06-30,7.81,7.9,7.8,7.81,246,7.8555,125
309,2016-07-01,7.95,7.96,7.9,7.9,419,7.9385,251
310,2016-07-05,8.19,8.24,8.16,8.22,459,8.1905,129
311,2016-07-06,8.24,8.37,8.22,8.37,235,8.31,134
312,2016-07-07,8.44,8.44,8.34,8.34,153,8.376,92
313,2016-07-08,8.5,8.6,8.47,8.57,317,8.5305,147
314,2016-07-11,8.66,8.76,8.63,8.71,525,8.703,168
315,2016-07-12,8.87,8.95,8.81,8.93,526,8.8755,223
316,2016-07-13,8.84,8.93,8.82,8.91,429,8.878,204
317,2016-07-14,8.85,8.87,8.78,8.85,244,8.8415,153
318,2016-07-15,8.61,8.64,8.56,8.62,494,8.596,264
319,2016-07-18,8.41,8.54,8.33,8.51,340,8.458,185
320,2016-07-19,8.37,8.38,8.27,8.32,295,8.3265,116
321,2016-07-20,8.29,8.3,8.22,8.27,217,8.2795,113
322,2016-07-21,8.3,8.37,8.29,8.3,243,8.308,123
323,2016-07-22,8.22,8.27,8.17,8.21,302,8.2095,114
324,2016-07-25,8.33,8.34,8.27,8.29,188,8.291,116
325,2016-07-26,8.35,8.42,8.33,8.4,260,8.3785,134
326,2016-07-27,8.28,8.32,8.16,8.27,243,8.2335,122
327,2016-07-28,8.14,8.18,8.08,8.11,186,8.102,156
328,2016-07-29,8.03,8.08,8.01,8.06,119,8.034,104
329,2016-08-01,8.35,8.35,8.23,8.23,321,8.2805,141
330,2016-08-02,8.2,8.25,8.13,8.24,232,8.178,110
331,2016-08-03,8.77,8.85,8.7,8.84,950,8.771,473
332,2016-08-04,8.85,8.88,8.79,8.84,197,8.8435,91
333,2016-08-05,8.91,8.92,8.88,8.89,274,8.898,112
334,2016-08-08,9.01,9.01,8.96,8.99,192,8.985,70
335,2016-08-09,9.0,9.0,8.94,8.97,195,8.9765,82
336,2016-08-10,8.97,8.98,8.88,8.95,331,8.9435,172
337,2016-08-11,8.99,9.08,8.97,8.98,266,9.036,152
338,2016-08-12,8.97,9.01,8.91,8.94,229,8.929,137
339,2016-08-15,8.99,9.06,8.99,9.05,229,9.0225,96
340,2016-08-16,9.12,9.15,9.07,9.14,238,9.097,150
341,2016-08-17,9.15,9.19,9.09,9.19,286,9.137,101
342,2016-08-18,9.13,9.16,9.1,9.13,283,9.1355,85
343,2016-08-19,9.02,9.11,9.02,9.11,315,9.0655,106
344,2016-08-22,9.02,9.09,9.0,9.08,388,9.0465,182
345,2016-08-23,9.07,9.1,9.05,9.05,372,9.0805,181
346,2016-08-24,9.13,9.15,9.07,9.08,274,9.112,119
347,2016-08-25,9.09,9.21,9.07,9.2,413,9.1265,124
348,2016-08-26,9.19,9.29,9.05,9.15,543,9.182,208
349,2016-08-29,9.08,9.23,9.08,9.22,666,9.175,413
350,2016-08-30,9.22,9.24,9.2,9.23,99,9.2195,54
351,2016-08-31,9.24,9.28,9.19,9.23,290,9.232,138
352,2016-09-01,9.22,9.27,9.21,9.26,120,9.2435,66
353,2016-09-02,9.34,9.39,9.32,9.32,106,9.3545,74
354,2016-09-06,9.45,9.45,9.34,9.37,93,9.392,55
355,2016-09-07,9.34,9.36,9.3,9.31,148,9.3215,86
356,2016-09-08,9.43,9.48,9.4,9.41,76,9.4395,35
357,2016-09-09,9.38,9.38,9.22,9.28,221,9.2855,145
358,2016-09-12,8.91,9.08,8.86,9.08,347,8.9805,153
359,2016-09-13,8.85,8.91,8.77,8.83,224,8.831,119
360,2016-09-14,8.98,8.98,8.9,8.9,200,8.9325,129
361,2016-09-15,8.9,8.99,8.86,8.93,161,8.9465,112
362,2016-09-16,8.9,9.03,8.85,9.02,666,8.9935,503
363,2016-09-19,9.08,9.08,8.97,8.97,182,9.0005,89
364,2016-09-20,9.13,9.13,9.04,9.06,76,9.082,57
365,2016-09-21,9.13,9.22,9.05,9.19,209,9.142,112
366,2016-09-22,9.26,9.34,9.26,9.3,112,9.2915,61
