(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 1, -0.5, 2.5), Return: 0.04%, Hit Ratio: 52.11%, Max Drawdown: 0.03%
(30, 1, -0.5, 2.5): Return: 0.04%, Hit Ratio: 52.11%, Max Drawdown: 0.03%
(30, 1.5, -0.5, 2.5): Return: 0.04%, Hit Ratio: 64.71%, Max Drawdown: 0.02%
(30, 1.5, 0, 2.5): Return: 0.03%, Hit Ratio: 59.46%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 2.5): Return: 0.03%, Hit Ratio: 62.86%, Max Drawdown: 0.02%
(100, 1.5, 0, 2.5): Return: 0.03%, Hit Ratio: 61.76%, Max Drawdown: 0.02%
(30, 1.5, 0.5, 2.5): Return: 0.02%, Hit Ratio: 48.72%, Max Drawdown: 0.03%
(60, 1, 0.5, 2.5): Return: 0.02%, Hit Ratio: 48.28%, Max Drawdown: 0.06%
(60, 1.5, 0, 2.5): Return: 0.02%, Hit Ratio: 56.41%, Max Drawdown: 0.02%
(100, 1.5, -0.5, 2.5): Return: 0.02%, Hit Ratio: 53.33%, Max Drawdown: 0.03%
(60, 1, 0, 2.5): Return: 0.01%, Hit Ratio: 52.7%, Max Drawdown: 0.05%
(60, 1.5, -0.5, 3): Return: 0.01%, Hit Ratio: 56.41%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 3.5): Return: 0.01%, Hit Ratio: 56.41%, Max Drawdown: 0.03%
(60, 1.5, 0.5, 2.5): Return: 0.01%, Hit Ratio: 52.27%, Max Drawdown: 0.04%
(100, 1.5, 0, 3): Return: 0.01%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(100, 1.5, 0, 3.5): Return: 0.01%, Hit Ratio: 54.05%, Max Drawdown: 0.03%
(100, 1.5, 0.5, 2.5): Return: 0.01%, Hit Ratio: 51.35%, Max Drawdown: 0.03%
(30, 1, -0.5, 3): Return: 0.0%, Hit Ratio: 53.52%, Max Drawdown: 0.03%
(30, 1, -0.5, 3.5): Return: -0.0%, Hit Ratio: 52.86%, Max Drawdown: 0.03%
(30, 1, 0, 2.5): Return: 0.0%, Hit Ratio: 49.43%, Max Drawdown: 0.06%
(30, 1.5, -0.5, 3): Return: 0.0%, Hit Ratio: 56.1%, Max Drawdown: 0.03%
(30, 1.5, -0.5, 3.5): Return: -0.0%, Hit Ratio: 55.0%, Max Drawdown: 0.03%
(60, 2, 0.5, 2.5): Return: 0.0%, Hit Ratio: 33.33%, Max Drawdown: 0.02%
(100, 1, 0, 2.5): Return: -0.0%, Hit Ratio: 51.43%, Max Drawdown: 0.04%
(100, 1.5, -0.5, 3): Return: -0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(100, 1.5, -0.5, 3.5): Return: -0.0%, Hit Ratio: 51.52%, Max Drawdown: 0.04%
(100, 2, 0, 2.5): Return: -0.0%, Hit Ratio: 46.15%, Max Drawdown: 0.03%
(30, 1, 0.5, 2.5): Return: -0.01%, Hit Ratio: 47.47%, Max Drawdown: 0.05%
(30, 1.5, 0, 3): Return: -0.01%, Hit Ratio: 52.27%, Max Drawdown: 0.04%
(30, 1.5, 0, 3.5): Return: -0.01%, Hit Ratio: 52.27%, Max Drawdown: 0.04%
(30, 2, -0.5, 2.5): Return: -0.01%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(30, 2, 0, 2.5): Return: -0.01%, Hit Ratio: 40.0%, Max Drawdown: 0.03%
(60, 1, -0.5, 2.5): Return: -0.01%, Hit Ratio: 52.54%, Max Drawdown: 0.04%
(60, 1.5, 0, 3): Return: -0.01%, Hit Ratio: 48.89%, Max Drawdown: 0.04%
(60, 1.5, 0, 3.5): Return: -0.01%, Hit Ratio: 48.89%, Max Drawdown: 0.04%
(100, 1, -0.5, 2.5): Return: -0.01%, Hit Ratio: 47.27%, Max Drawdown: 0.06%
(100, 2, -0.5, 2.5): Return: -0.01%, Hit Ratio: 41.67%, Max Drawdown: 0.03%
(100, 2, -0.5, 3): Return: -0.01%, Hit Ratio: 41.18%, Max Drawdown: 0.04%
(100, 2, -0.5, 3.5): Return: -0.01%, Hit Ratio: 41.18%, Max Drawdown: 0.04%
(100, 2, 0, 3): Return: -0.01%, Hit Ratio: 38.89%, Max Drawdown: 0.04%
(100, 2, 0, 3.5): Return: -0.01%, Hit Ratio: 38.89%, Max Drawdown: 0.04%
(100, 2, 0.5, 2.5): Return: -0.01%, Hit Ratio: 38.46%, Max Drawdown: 0.03%
(60, 1, -0.5, 3): Return: -0.02%, Hit Ratio: 50.85%, Max Drawdown: 0.06%
(60, 1, -0.5, 3.5): Return: -0.02%, Hit Ratio: 50.85%, Max Drawdown: 0.06%
(60, 1, 0.5, 3): Return: -0.02%, Hit Ratio: 45.65%, Max Drawdown: 0.07%
(60, 1, 0.5, 3.5): Return: -0.02%, Hit Ratio: 45.65%, Max Drawdown: 0.07%
(60, 2, -0.5, 2.5): Return: -0.02%, Hit Ratio: 33.33%, Max Drawdown: 0.03%
(60, 2, 0, 2.5): Return: -0.02%, Hit Ratio: 33.33%, Max Drawdown: 0.03%
(100, 1, 0, 3): Return: -0.02%, Hit Ratio: 48.65%, Max Drawdown: 0.05%
(100, 1, 0, 3.5): Return: -0.02%, Hit Ratio: 48.61%, Max Drawdown: 0.05%
(100, 1.5, 0.5, 3): Return: -0.02%, Hit Ratio: 46.34%, Max Drawdown: 0.05%
(100, 1.5, 0.5, 3.5): Return: -0.02%, Hit Ratio: 47.62%, Max Drawdown: 0.05%
(100, 2, 0.5, 3): Return: -0.02%, Hit Ratio: 33.33%, Max Drawdown: 0.05%
(100, 2, 0.5, 3.5): Return: -0.02%, Hit Ratio: 36.84%, Max Drawdown: 0.05%
(30, 2, 0.5, 2.5): Return: -0.03%, Hit Ratio: 40.0%, Max Drawdown: 0.04%
(60, 1, 0, 3): Return: -0.03%, Hit Ratio: 48.72%, Max Drawdown: 0.07%
(60, 1, 0, 3.5): Return: -0.03%, Hit Ratio: 48.72%, Max Drawdown: 0.07%
(60, 1.5, 0.5, 3): Return: -0.03%, Hit Ratio: 46.0%, Max Drawdown: 0.06%
(60, 1.5, 0.5, 3.5): Return: -0.03%, Hit Ratio: 46.0%, Max Drawdown: 0.06%
(100, 1, -0.5, 3): Return: -0.03%, Hit Ratio: 46.55%, Max Drawdown: 0.06%
(100, 1, -0.5, 3.5): Return: -0.03%, Hit Ratio: 47.37%, Max Drawdown: 0.06%
(100, 1, 0.5, 2.5): Return: -0.03%, Hit Ratio: 46.43%, Max Drawdown: 0.06%
(30, 1, 0, 3): Return: -0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(30, 1, 0, 3.5): Return: -0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(30, 1.5, 0.5, 3): Return: -0.04%, Hit Ratio: 41.67%, Max Drawdown: 0.06%
(30, 1.5, 0.5, 3.5): Return: -0.04%, Hit Ratio: 41.67%, Max Drawdown: 0.06%
(60, 2, -0.5, 3): Return: -0.04%, Hit Ratio: 22.22%, Max Drawdown: 0.05%
(60, 2, -0.5, 3.5): Return: -0.04%, Hit Ratio: 22.22%, Max Drawdown: 0.05%
(60, 2, 0, 3): Return: -0.04%, Hit Ratio: 26.32%, Max Drawdown: 0.05%
(60, 2, 0, 3.5): Return: -0.04%, Hit Ratio: 26.32%, Max Drawdown: 0.05%
(60, 2, 0.5, 3): Return: -0.04%, Hit Ratio: 25.0%, Max Drawdown: 0.06%
(60, 2, 0.5, 3.5): Return: -0.04%, Hit Ratio: 25.0%, Max Drawdown: 0.06%
(30, 2, 0, 3): Return: -0.05%, Hit Ratio: 36.0%, Max Drawdown: 0.06%
(30, 2, 0, 3.5): Return: -0.05%, Hit Ratio: 34.62%, Max Drawdown: 0.06%
(100, 1, 0.5, 3.5): Return: -0.05%, Hit Ratio: 43.68%, Max Drawdown: 0.08%
(30, 2, -0.5, 3): Return: -0.06%, Hit Ratio: 37.5%, Max Drawdown: 0.08%
(30, 2, -0.5, 3.5): Return: -0.06%, Hit Ratio: 37.5%, Max Drawdown: 0.07%
(100, 1, 0.5, 3): Return: -0.06%, Hit Ratio: 44.32%, Max Drawdown: 0.08%
(30, 1, 0.5, 3): Return: -0.07%, Hit Ratio: 46.15%, Max Drawdown: 0.08%
(30, 1, 0.5, 3.5): Return: -0.07%, Hit Ratio: 46.15%, Max Drawdown: 0.08%
(30, 2, 0.5, 3): Return: -0.1%, Hit Ratio: 28.0%, Max Drawdown: 0.1%
(30, 2, 0.5, 3.5): Return: -0.1%, Hit Ratio: 26.92%, Max Drawdown: 0.1%
