(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (100, 1, 2, -0.5, 0.5, 3.5, 2.5), Return: 0.09%, Hit Ratio: 56.83%, Max Drawdown: 0.04%
(100, 1, 2, -0.5, 0.5, 3.5, 2.5): Return: 0.09%, Hit Ratio: 56.83%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0.5, 3.5, 2.5): Return: 0.09%, Hit Ratio: 52.41%, Max Drawdown: 0.04%
(100, 1, 2, -0.5, 0.5, 3, 2.5): Return: 0.08%, Hit Ratio: 55.97%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0.5, 3, 2.5): Return: 0.08%, Hit Ratio: 51.8%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, 0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 56.34%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 52.03%, Max Drawdown: 0.04%
(100, 1, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 54.4%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 51.75%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0.5, 3.5, 3): Return: 0.07%, Hit Ratio: 52.38%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0.5, 3.5, 3.5): Return: 0.07%, Hit Ratio: 52.38%, Max Drawdown: 0.04%
(60, 1.5, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 54.67%, Max Drawdown: 0.03%
(60, 1.5, 2, -0.5, -0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 54.67%, Max Drawdown: 0.03%
(60, 1.5, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 54.67%, Max Drawdown: 0.03%
(100, 1, 1, -0.5, 0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 53.59%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 53.54%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, 0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 55.47%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 51.41%, Max Drawdown: 0.04%
(100, 1, 2, -0.5, -0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 53.28%, Max Drawdown: 0.03%
(100, 1, 2, -0.5, -0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 54.76%, Max Drawdown: 0.03%
(100, 1, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 54.76%, Max Drawdown: 0.03%
(100, 1, 2, -0.5, 0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 56.74%, Max Drawdown: 0.04%
(100, 1, 2, -0.5, 0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 56.74%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0.5, 3, 3): Return: 0.06%, Hit Ratio: 51.77%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 51.77%, Max Drawdown: 0.04%
(100, 2, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 62.22%, Max Drawdown: 0.02%
(100, 2, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 69.23%, Max Drawdown: 0.01%
(100, 2, 2, -0.5, -0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 69.05%, Max Drawdown: 0.01%
(100, 2, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 69.05%, Max Drawdown: 0.01%
(100, 2, 2, 0, -0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 62.5%, Max Drawdown: 0.01%
(100, 2, 2, 0.5, -0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 62.5%, Max Drawdown: 0.01%
(30, 1.5, 2, 0.5, -0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
