(Lookback, Entry, Exit, Stop-loss)
Best HPs: (40, 1.4, -0.4, 2.3), Return: 0.06%, Hit Ratio: 70.27%, Max Drawdown: 0.01%
(40, 1.4, -0.4, 2.3): Return: 0.06%, Hit Ratio: 70.27%, Max Drawdown: 0.01%
(40, 1.4, -0.4, 2.4): Return: 0.06%, Hit Ratio: 71.05%, Max Drawdown: 0.01%
(40, 1.3, -0.4, 2.3): Return: 0.05%, Hit Ratio: 62.79%, Max Drawdown: 0.02%
(40, 1.3, -0.4, 2.4): Return: 0.05%, Hit Ratio: 63.64%, Max Drawdown: 0.02%
(40, 1.4, -0.4, 2.5): Return: 0.05%, Hit Ratio: 67.5%, Max Drawdown: 0.01%
(40, 1.4, -0.3, 2.3): Return: 0.05%, Hit Ratio: 69.23%, Max Drawdown: 0.01%
(40, 1.4, -0.3, 2.4): Return: 0.05%, Hit Ratio: 70.0%, Max Drawdown: 0.01%
(40, 1.4, -0.3, 2.5): Return: 0.05%, Hit Ratio: 66.67%, Max Drawdown: 0.01%
(30, 1.3, -0.4, 2.3): Return: 0.04%, Hit Ratio: 55.1%, Max Drawdown: 0.01%
(30, 1.3, -0.3, 2.3): Return: 0.04%, Hit Ratio: 57.69%, Max Drawdown: 0.02%
(30, 1.3, -0.3, 2.4): Return: 0.04%, Hit Ratio: 55.77%, Max Drawdown: 0.02%
(40, 1.3, -0.4, 2.5): Return: 0.04%, Hit Ratio: 62.22%, Max Drawdown: 0.02%
(40, 1.3, -0.4, 2.7): Return: 0.04%, Hit Ratio: 60.0%, Max Drawdown: 0.03%
(40, 1.3, -0.3, 2.3): Return: 0.04%, Hit Ratio: 62.22%, Max Drawdown: 0.02%
(40, 1.3, -0.3, 2.4): Return: 0.04%, Hit Ratio: 63.04%, Max Drawdown: 0.02%
(40, 1.3, -0.3, 2.5): Return: 0.04%, Hit Ratio: 61.7%, Max Drawdown: 0.02%
(40, 1.4, -0.4, 2.6): Return: 0.04%, Hit Ratio: 65.0%, Max Drawdown: 0.02%
(40, 1.4, -0.4, 2.7): Return: 0.04%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(40, 1.4, -0.3, 2.6): Return: 0.04%, Hit Ratio: 64.29%, Max Drawdown: 0.02%
(40, 1.4, -0.3, 2.7): Return: 0.04%, Hit Ratio: 61.9%, Max Drawdown: 0.02%
(35, 1.3, -0.4, 2.3): Return: 0.03%, Hit Ratio: 55.81%, Max Drawdown: 0.02%
(35, 1.3, -0.4, 2.4): Return: 0.03%, Hit Ratio: 54.55%, Max Drawdown: 0.02%
(35, 1.3, -0.4, 2.7): Return: 0.03%, Hit Ratio: 53.33%, Max Drawdown: 0.03%
(35, 1.3, -0.3, 2.3): Return: 0.03%, Hit Ratio: 53.19%, Max Drawdown: 0.02%
(35, 1.3, -0.3, 2.4): Return: 0.03%, Hit Ratio: 52.08%, Max Drawdown: 0.02%
(35, 1.4, -0.4, 2.3): Return: 0.03%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(35, 1.4, -0.4, 2.4): Return: 0.03%, Hit Ratio: 58.54%, Max Drawdown: 0.02%
(35, 1.4, -0.4, 2.7): Return: 0.03%, Hit Ratio: 57.14%, Max Drawdown: 0.03%
(35, 1.4, -0.3, 2.3): Return: 0.03%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(35, 1.4, -0.3, 2.4): Return: 0.03%, Hit Ratio: 55.81%, Max Drawdown: 0.02%
(30, 1.3, -0.4, 2.4): Return: 0.03%, Hit Ratio: 54.17%, Max Drawdown: 0.02%
(30, 1.3, -0.3, 2.7): Return: 0.03%, Hit Ratio: 55.56%, Max Drawdown: 0.03%
(30, 1.4, -0.5, 2.3): Return: 0.03%, Hit Ratio: 61.9%, Max Drawdown: 0.01%
(30, 1.5, -0.5, 2.3): Return: 0.03%, Hit Ratio: 60.0%, Max Drawdown: 0.01%
(30, 1.5, -0.5, 2.4): Return: 0.03%, Hit Ratio: 58.82%, Max Drawdown: 0.01%
(30, 1.5, -0.3, 2.3): Return: 0.03%, Hit Ratio: 63.89%, Max Drawdown: 0.02%
(30, 1.5, -0.3, 2.4): Return: 0.03%, Hit Ratio: 61.11%, Max Drawdown: 0.02%
(35, 1.3, -0.4, 2.3): Return: 0.03%, Hit Ratio: 55.81%, Max Drawdown: 0.02%
(35, 1.3, -0.4, 2.4): Return: 0.03%, Hit Ratio: 54.55%, Max Drawdown: 0.02%
(35, 1.3, -0.4, 2.7): Return: 0.03%, Hit Ratio: 53.33%, Max Drawdown: 0.03%
(35, 1.3, -0.3, 2.3): Return: 0.03%, Hit Ratio: 53.19%, Max Drawdown: 0.02%
(35, 1.3, -0.3, 2.4): Return: 0.03%, Hit Ratio: 52.08%, Max Drawdown: 0.02%
(35, 1.4, -0.4, 2.3): Return: 0.03%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(35, 1.4, -0.4, 2.4): Return: 0.03%, Hit Ratio: 58.54%, Max Drawdown: 0.02%
(35, 1.4, -0.4, 2.7): Return: 0.03%, Hit Ratio: 57.14%, Max Drawdown: 0.03%
(35, 1.4, -0.3, 2.3): Return: 0.03%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(35, 1.4, -0.3, 2.4): Return: 0.03%, Hit Ratio: 55.81%, Max Drawdown: 0.02%
(40, 1.3, -0.4, 2.6): Return: 0.03%, Hit Ratio: 60.0%, Max Drawdown: 0.03%
(40, 1.3, -0.3, 2.6): Return: 0.03%, Hit Ratio: 59.57%, Max Drawdown: 0.03%
(40, 1.3, -0.3, 2.7): Return: 0.03%, Hit Ratio: 59.57%, Max Drawdown: 0.03%
(40, 1.4, -0.5, 2.3): Return: 0.03%, Hit Ratio: 67.57%, Max Drawdown: 0.01%
(40, 1.4, -0.5, 2.4): Return: 0.03%, Hit Ratio: 68.42%, Max Drawdown: 0.01%
(40, 1.4, -0.5, 2.5): Return: 0.03%, Hit Ratio: 65.0%, Max Drawdown: 0.01%
(35, 1.3, -0.4, 2.5): Return: 0.02%, Hit Ratio: 53.33%, Max Drawdown: 0.03%
