(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 1.3, -0.5, 2.8), Return: 0.21%, Hit Ratio: 57.45%, Max Drawdown: 0.05%
(20, 1.3, -0.5, 2.8): Return: 0.21%, Hit Ratio: 57.45%, Max Drawdown: 0.05%
(20, 1.3, -0.5, 2.9): Return: 0.21%, Hit Ratio: 57.45%, Max Drawdown: 0.05%
(20, 1.3, -0.5, 3.0): Return: 0.21%, Hit Ratio: 57.45%, Max Drawdown: 0.05%
(20, 1.3, -0.5, 3.1): Return: 0.21%, Hit Ratio: 57.89%, Max Drawdown: 0.05%
(20, 1.3, -0.5, 3.2): Return: 0.21%, Hit Ratio: 57.89%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 2.9): Return: 0.21%, Hit Ratio: 63.01%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 2.8): Return: 0.2%, Hit Ratio: 63.01%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 3.0): Return: 0.2%, Hit Ratio: 63.89%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 3.1): Return: 0.2%, Hit Ratio: 63.01%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 3.2): Return: 0.2%, Hit Ratio: 63.01%, Max Drawdown: 0.05%
(20, 1.3, -0.4, 2.8): Return: 0.19%, Hit Ratio: 57.73%, Max Drawdown: 0.05%
(20, 1.3, -0.4, 2.9): Return: 0.19%, Hit Ratio: 57.73%, Max Drawdown: 0.05%
(20, 1.3, -0.4, 3.0): Return: 0.19%, Hit Ratio: 57.73%, Max Drawdown: 0.05%
(20, 1.3, -0.4, 3.1): Return: 0.19%, Hit Ratio: 58.16%, Max Drawdown: 0.05%
(20, 1.3, -0.4, 3.2): Return: 0.19%, Hit Ratio: 58.16%, Max Drawdown: 0.05%
(20, 1.4, -0.5, 2.8): Return: 0.19%, Hit Ratio: 60.98%, Max Drawdown: 0.05%
(20, 1.4, -0.5, 2.9): Return: 0.19%, Hit Ratio: 60.98%, Max Drawdown: 0.05%
(20, 1.4, -0.5, 3.0): Return: 0.19%, Hit Ratio: 60.98%, Max Drawdown: 0.05%
(20, 1.4, -0.5, 3.1): Return: 0.19%, Hit Ratio: 60.24%, Max Drawdown: 0.05%
(20, 1.4, -0.5, 3.2): Return: 0.19%, Hit Ratio: 60.24%, Max Drawdown: 0.05%
(35, 1.3, -0.4, 2.8): Return: 0.18%, Hit Ratio: 61.36%, Max Drawdown: 0.07%
(30, 1.5, -0.4, 2.9): Return: 0.18%, Hit Ratio: 63.51%, Max Drawdown: 0.09%
(30, 1.5, -0.3, 2.8): Return: 0.18%, Hit Ratio: 65.33%, Max Drawdown: 0.09%
(30, 1.5, -0.3, 2.9): Return: 0.18%, Hit Ratio: 65.33%, Max Drawdown: 0.09%
(30, 1.5, -0.3, 3.0): Return: 0.18%, Hit Ratio: 64.86%, Max Drawdown: 0.09%
(30, 1.5, -0.3, 3.1): Return: 0.18%, Hit Ratio: 64.0%, Max Drawdown: 0.09%
(30, 1.5, -0.3, 3.2): Return: 0.18%, Hit Ratio: 64.0%, Max Drawdown: 0.09%
(35, 1.3, -0.4, 2.8): Return: 0.18%, Hit Ratio: 61.36%, Max Drawdown: 0.07%
(40, 1.4, -0.3, 2.9): Return: 0.18%, Hit Ratio: 68.35%, Max Drawdown: 0.05%
(20, 1.4, -0.4, 2.8): Return: 0.17%, Hit Ratio: 60.71%, Max Drawdown: 0.05%
(20, 1.4, -0.4, 2.9): Return: 0.17%, Hit Ratio: 60.71%, Max Drawdown: 0.05%
(20, 1.4, -0.4, 3.0): Return: 0.17%, Hit Ratio: 60.71%, Max Drawdown: 0.05%
(20, 1.4, -0.4, 3.1): Return: 0.17%, Hit Ratio: 60.0%, Max Drawdown: 0.05%
(20, 1.4, -0.4, 3.2): Return: 0.17%, Hit Ratio: 60.0%, Max Drawdown: 0.05%
(35, 1.3, -0.4, 2.9): Return: 0.17%, Hit Ratio: 61.36%, Max Drawdown: 0.07%
(35, 1.5, -0.4, 2.8): Return: 0.17%, Hit Ratio: 67.12%, Max Drawdown: 0.06%
(35, 1.5, -0.4, 2.9): Return: 0.17%, Hit Ratio: 67.12%, Max Drawdown: 0.06%
(30, 1.3, -0.3, 2.9): Return: 0.17%, Hit Ratio: 58.7%, Max Drawdown: 0.07%
(30, 1.5, -0.4, 2.8): Return: 0.17%, Hit Ratio: 63.51%, Max Drawdown: 0.09%
(30, 1.5, -0.4, 3.0): Return: 0.17%, Hit Ratio: 64.38%, Max Drawdown: 0.09%
(30, 1.5, -0.4, 3.1): Return: 0.17%, Hit Ratio: 63.51%, Max Drawdown: 0.09%
(30, 1.5, -0.4, 3.2): Return: 0.17%, Hit Ratio: 63.51%, Max Drawdown: 0.09%
(35, 1.3, -0.4, 2.9): Return: 0.17%, Hit Ratio: 61.36%, Max Drawdown: 0.07%
(35, 1.5, -0.4, 2.8): Return: 0.17%, Hit Ratio: 67.12%, Max Drawdown: 0.06%
(35, 1.5, -0.4, 2.9): Return: 0.17%, Hit Ratio: 67.12%, Max Drawdown: 0.06%
(40, 1.3, -0.3, 2.8): Return: 0.17%, Hit Ratio: 67.42%, Max Drawdown: 0.09%
(40, 1.3, -0.3, 2.9): Return: 0.17%, Hit Ratio: 68.54%, Max Drawdown: 0.09%
(40, 1.3, -0.3, 3.0): Return: 0.17%, Hit Ratio: 68.54%, Max Drawdown: 0.09%
(40, 1.4, -0.4, 2.8): Return: 0.17%, Hit Ratio: 64.1%, Max Drawdown: 0.05%
(40, 1.4, -0.4, 2.9): Return: 0.17%, Hit Ratio: 65.38%, Max Drawdown: 0.05%
(40, 1.4, -0.4, 3.0): Return: 0.17%, Hit Ratio: 65.38%, Max Drawdown: 0.05%
(40, 1.4, -0.3, 2.8): Return: 0.17%, Hit Ratio: 67.09%, Max Drawdown: 0.05%
(40, 1.4, -0.3, 3.0): Return: 0.17%, Hit Ratio: 68.35%, Max Drawdown: 0.05%
(40, 1.4, -0.3, 3.1): Return: 0.17%, Hit Ratio: 68.35%, Max Drawdown: 0.05%
(35, 1.3, -0.4, 3.0): Return: 0.16%, Hit Ratio: 60.92%, Max Drawdown: 0.07%
(35, 1.3, -0.4, 3.1): Return: 0.16%, Hit Ratio: 60.23%, Max Drawdown: 0.07%
(35, 1.3, -0.4, 3.2): Return: 0.16%, Hit Ratio: 60.23%, Max Drawdown: 0.07%
(35, 1.3, -0.3, 2.8): Return: 0.16%, Hit Ratio: 60.87%, Max Drawdown: 0.07%
(35, 1.5, -0.4, 3.0): Return: 0.16%, Hit Ratio: 66.67%, Max Drawdown: 0.06%
(35, 1.5, -0.4, 3.1): Return: 0.16%, Hit Ratio: 65.75%, Max Drawdown: 0.06%
(35, 1.5, -0.4, 3.2): Return: 0.16%, Hit Ratio: 65.75%, Max Drawdown: 0.06%
(35, 1.5, -0.3, 2.8): Return: 0.16%, Hit Ratio: 67.57%, Max Drawdown: 0.05%
(35, 1.5, -0.3, 2.9): Return: 0.16%, Hit Ratio: 67.57%, Max Drawdown: 0.05%
(30, 1.3, -0.3, 2.8): Return: 0.16%, Hit Ratio: 58.7%, Max Drawdown: 0.07%
(30, 1.3, -0.3, 3.0): Return: 0.16%, Hit Ratio: 58.24%, Max Drawdown: 0.07%
(30, 1.3, -0.3, 3.1): Return: 0.16%, Hit Ratio: 57.61%, Max Drawdown: 0.07%
(30, 1.3, -0.3, 3.2): Return: 0.16%, Hit Ratio: 57.61%, Max Drawdown: 0.07%
(30, 1.4, -0.5, 2.9): Return: 0.16%, Hit Ratio: 62.5%, Max Drawdown: 0.05%
(30, 1.4, -0.3, 2.8): Return: 0.16%, Hit Ratio: 65.06%, Max Drawdown: 0.09%
(30, 1.4, -0.3, 2.9): Return: 0.16%, Hit Ratio: 65.06%, Max Drawdown: 0.09%
(30, 1.4, -0.3, 3.0): Return: 0.16%, Hit Ratio: 64.63%, Max Drawdown: 0.09%
(30, 1.4, -0.3, 3.1): Return: 0.16%, Hit Ratio: 63.86%, Max Drawdown: 0.09%
(30, 1.4, -0.3, 3.2): Return: 0.16%, Hit Ratio: 63.86%, Max Drawdown: 0.09%
(35, 1.3, -0.4, 3.0): Return: 0.16%, Hit Ratio: 60.92%, Max Drawdown: 0.07%
(35, 1.3, -0.4, 3.1): Return: 0.16%, Hit Ratio: 60.23%, Max Drawdown: 0.07%
(35, 1.3, -0.4, 3.2): Return: 0.16%, Hit Ratio: 60.23%, Max Drawdown: 0.07%
(35, 1.3, -0.3, 2.8): Return: 0.16%, Hit Ratio: 60.87%, Max Drawdown: 0.07%
(35, 1.5, -0.4, 3.0): Return: 0.16%, Hit Ratio: 66.67%, Max Drawdown: 0.06%
(35, 1.5, -0.4, 3.1): Return: 0.16%, Hit Ratio: 65.75%, Max Drawdown: 0.06%
(35, 1.5, -0.4, 3.2): Return: 0.16%, Hit Ratio: 65.75%, Max Drawdown: 0.06%
(35, 1.5, -0.3, 2.8): Return: 0.16%, Hit Ratio: 67.57%, Max Drawdown: 0.05%
(35, 1.5, -0.3, 2.9): Return: 0.16%, Hit Ratio: 67.57%, Max Drawdown: 0.05%
(40, 1.3, -0.4, 2.8): Return: 0.16%, Hit Ratio: 64.77%, Max Drawdown: 0.1%
