(Lookback, Entry, Exit, Stop-loss)
Best HPs: (105, 1.1, 0.5, 3.6), Return: 0.21%, Hit Ratio: 57.38%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.6): Return: 0.21%, Hit Ratio: 57.38%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.7): Return: 0.21%, Hit Ratio: 56.91%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.6): Return: 0.21%, Hit Ratio: 57.38%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.7): Return: 0.21%, Hit Ratio: 56.91%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.3): Return: 0.2%, Hit Ratio: 57.14%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.4): Return: 0.2%, Hit Ratio: 56.67%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.5): Return: 0.2%, Hit Ratio: 57.02%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.3): Return: 0.2%, Hit Ratio: 57.14%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.4): Return: 0.2%, Hit Ratio: 56.67%, Max Drawdown: 0.12%
(105, 1.1, 0.5, 3.5): Return: 0.2%, Hit Ratio: 57.02%, Max Drawdown: 0.12%
(110, 1.0, 0.5, 3.5): Return: 0.2%, Hit Ratio: 57.14%, Max Drawdown: 0.14%
(110, 1.0, 0.5, 3.6): Return: 0.2%, Hit Ratio: 57.14%, Max Drawdown: 0.14%
(110, 1.0, 0.5, 3.7): Return: 0.2%, Hit Ratio: 56.72%, Max Drawdown: 0.14%
(110, 1.1, 0.5, 3.5): Return: 0.2%, Hit Ratio: 58.12%, Max Drawdown: 0.12%
(110, 1.1, 0.5, 3.6): Return: 0.2%, Hit Ratio: 58.12%, Max Drawdown: 0.12%
(105, 0.9, 0.5, 3.5): Return: 0.19%, Hit Ratio: 55.84%, Max Drawdown: 0.09%
(100, 0.9, 0.5, 3.7): Return: 0.19%, Hit Ratio: 57.05%, Max Drawdown: 0.09%
(100, 1.1, 0.5, 3.3): Return: 0.19%, Hit Ratio: 56.67%, Max Drawdown: 0.12%
(100, 1.1, 0.5, 3.5): Return: 0.19%, Hit Ratio: 56.56%, Max Drawdown: 0.12%
(100, 1.1, 0.5, 3.6): Return: 0.19%, Hit Ratio: 56.56%, Max Drawdown: 0.12%
(100, 1.1, 0.5, 3.7): Return: 0.19%, Hit Ratio: 56.8%, Max Drawdown: 0.12%
(105, 0.9, 0.5, 3.5): Return: 0.19%, Hit Ratio: 55.84%, Max Drawdown: 0.09%
(110, 0.9, 0.5, 3.3): Return: 0.19%, Hit Ratio: 57.89%, Max Drawdown: 0.11%
(110, 0.9, 0.5, 3.4): Return: 0.19%, Hit Ratio: 57.52%, Max Drawdown: 0.11%
(110, 1.0, 0.4, 3.5): Return: 0.19%, Hit Ratio: 57.58%, Max Drawdown: 0.13%
(110, 1.0, 0.4, 3.6): Return: 0.19%, Hit Ratio: 57.58%, Max Drawdown: 0.13%
(110, 1.0, 0.4, 3.7): Return: 0.19%, Hit Ratio: 57.14%, Max Drawdown: 0.13%
(110, 1.0, 0.5, 3.3): Return: 0.19%, Hit Ratio: 56.92%, Max Drawdown: 0.14%
(110, 1.0, 0.5, 3.4): Return: 0.19%, Hit Ratio: 56.49%, Max Drawdown: 0.14%
(110, 1.1, 0.5, 3.3): Return: 0.19%, Hit Ratio: 57.89%, Max Drawdown: 0.12%
(110, 1.1, 0.5, 3.4): Return: 0.19%, Hit Ratio: 57.39%, Max Drawdown: 0.12%
(110, 1.1, 0.5, 3.7): Return: 0.19%, Hit Ratio: 57.63%, Max Drawdown: 0.12%
(90, 0.9, 0.4, 3.7): Return: 0.18%, Hit Ratio: 55.77%, Max Drawdown: 0.1%
(90, 1.2, 0.4, 3.6): Return: 0.18%, Hit Ratio: 57.66%, Max Drawdown: 0.12%
(90, 1.2, 0.4, 3.7): Return: 0.18%, Hit Ratio: 58.56%, Max Drawdown: 0.12%
(90, 1.2, 0.5, 3.7): Return: 0.18%, Hit Ratio: 59.82%, Max Drawdown: 0.11%
(105, 0.9, 0.5, 3.3): Return: 0.18%, Hit Ratio: 55.92%, Max Drawdown: 0.1%
(105, 0.9, 0.5, 3.4): Return: 0.18%, Hit Ratio: 55.56%, Max Drawdown: 0.1%
(105, 0.9, 0.5, 3.6): Return: 0.18%, Hit Ratio: 55.84%, Max Drawdown: 0.09%
(105, 0.9, 0.5, 3.7): Return: 0.18%, Hit Ratio: 55.48%, Max Drawdown: 0.09%
(105, 1.1, 0.4, 3.6): Return: 0.18%, Hit Ratio: 56.2%, Max Drawdown: 0.12%
(105, 1.1, 0.4, 3.7): Return: 0.18%, Hit Ratio: 55.74%, Max Drawdown: 0.12%
(100, 0.9, 0.5, 3.3): Return: 0.18%, Hit Ratio: 56.95%, Max Drawdown: 0.09%
(100, 0.9, 0.5, 3.4): Return: 0.18%, Hit Ratio: 56.58%, Max Drawdown: 0.1%
(100, 0.9, 0.5, 3.5): Return: 0.18%, Hit Ratio: 56.86%, Max Drawdown: 0.09%
(100, 0.9, 0.5, 3.6): Return: 0.18%, Hit Ratio: 56.86%, Max Drawdown: 0.09%
(100, 1.1, 0.5, 3.4): Return: 0.18%, Hit Ratio: 56.2%, Max Drawdown: 0.13%
(100, 1.2, 0.5, 3.5): Return: 0.18%, Hit Ratio: 56.6%, Max Drawdown: 0.11%
(100, 1.2, 0.5, 3.6): Return: 0.18%, Hit Ratio: 56.6%, Max Drawdown: 0.11%
(100, 1.2, 0.5, 3.7): Return: 0.18%, Hit Ratio: 57.8%, Max Drawdown: 0.11%
(105, 0.9, 0.5, 3.3): Return: 0.18%, Hit Ratio: 55.92%, Max Drawdown: 0.1%
(105, 0.9, 0.5, 3.4): Return: 0.18%, Hit Ratio: 55.56%, Max Drawdown: 0.1%
(105, 0.9, 0.5, 3.6): Return: 0.18%, Hit Ratio: 55.84%, Max Drawdown: 0.09%
(105, 0.9, 0.5, 3.7): Return: 0.18%, Hit Ratio: 55.48%, Max Drawdown: 0.09%
(105, 1.1, 0.4, 3.6): Return: 0.18%, Hit Ratio: 56.2%, Max Drawdown: 0.12%
(105, 1.1, 0.4, 3.7): Return: 0.18%, Hit Ratio: 55.74%, Max Drawdown: 0.12%
(110, 0.9, 0.4, 3.3): Return: 0.18%, Hit Ratio: 57.72%, Max Drawdown: 0.11%
(110, 0.9, 0.4, 3.4): Return: 0.18%, Hit Ratio: 57.33%, Max Drawdown: 0.11%
(110, 0.9, 0.5, 3.5): Return: 0.18%, Hit Ratio: 57.79%, Max Drawdown: 0.11%
(110, 0.9, 0.5, 3.6): Return: 0.18%, Hit Ratio: 57.79%, Max Drawdown: 0.11%
(110, 0.9, 0.5, 3.7): Return: 0.18%, Hit Ratio: 57.42%, Max Drawdown: 0.11%
(110, 1.0, 0.4, 3.3): Return: 0.18%, Hit Ratio: 57.36%, Max Drawdown: 0.14%
(110, 1.0, 0.4, 3.4): Return: 0.18%, Hit Ratio: 56.92%, Max Drawdown: 0.14%
(110, 1.1, 0.4, 3.5): Return: 0.18%, Hit Ratio: 58.62%, Max Drawdown: 0.12%
(110, 1.1, 0.4, 3.6): Return: 0.18%, Hit Ratio: 58.62%, Max Drawdown: 0.12%
(110, 1.1, 0.4, 3.7): Return: 0.18%, Hit Ratio: 58.12%, Max Drawdown: 0.12%
(90, 0.9, 0.4, 3.3): Return: 0.17%, Hit Ratio: 55.26%, Max Drawdown: 0.1%
(90, 0.9, 0.4, 3.4): Return: 0.17%, Hit Ratio: 55.26%, Max Drawdown: 0.1%
(90, 0.9, 0.4, 3.5): Return: 0.17%, Hit Ratio: 55.84%, Max Drawdown: 0.1%
(90, 0.9, 0.4, 3.6): Return: 0.17%, Hit Ratio: 55.77%, Max Drawdown: 0.1%
(90, 0.9, 0.5, 3.5): Return: 0.17%, Hit Ratio: 56.96%, Max Drawdown: 0.09%
(90, 0.9, 0.5, 3.6): Return: 0.17%, Hit Ratio: 56.88%, Max Drawdown: 0.09%
(90, 0.9, 0.5, 3.7): Return: 0.17%, Hit Ratio: 56.88%, Max Drawdown: 0.09%
(90, 1.0, 0.5, 3.7): Return: 0.17%, Hit Ratio: 57.25%, Max Drawdown: 0.16%
(90, 1.2, 0.4, 3.3): Return: 0.17%, Hit Ratio: 57.01%, Max Drawdown: 0.12%
(90, 1.2, 0.4, 3.4): Return: 0.17%, Hit Ratio: 57.01%, Max Drawdown: 0.12%
(90, 1.2, 0.4, 3.5): Return: 0.17%, Hit Ratio: 57.8%, Max Drawdown: 0.12%
(90, 1.2, 0.5, 3.3): Return: 0.17%, Hit Ratio: 58.33%, Max Drawdown: 0.11%
(90, 1.2, 0.5, 3.4): Return: 0.17%, Hit Ratio: 58.33%, Max Drawdown: 0.11%
(90, 1.2, 0.5, 3.5): Return: 0.17%, Hit Ratio: 59.09%, Max Drawdown: 0.11%
(90, 1.2, 0.5, 3.6): Return: 0.17%, Hit Ratio: 58.93%, Max Drawdown: 0.11%
(105, 1.0, 0.5, 3.6): Return: 0.17%, Hit Ratio: 55.22%, Max Drawdown: 0.18%
(105, 1.0, 0.5, 3.7): Return: 0.17%, Hit Ratio: 54.81%, Max Drawdown: 0.18%
(105, 1.1, 0.3, 3.6): Return: 0.17%, Hit Ratio: 55.37%, Max Drawdown: 0.12%
(105, 1.1, 0.3, 3.7): Return: 0.17%, Hit Ratio: 54.92%, Max Drawdown: 0.12%
(105, 1.1, 0.4, 3.3): Return: 0.17%, Hit Ratio: 55.93%, Max Drawdown: 0.12%
(105, 1.1, 0.4, 3.4): Return: 0.17%, Hit Ratio: 55.46%, Max Drawdown: 0.12%
(105, 1.1, 0.4, 3.5): Return: 0.17%, Hit Ratio: 55.83%, Max Drawdown: 0.12%
(105, 1.1, 0.6, 3.6): Return: 0.17%, Hit Ratio: 58.06%, Max Drawdown: 0.11%
(105, 1.1, 0.6, 3.7): Return: 0.17%, Hit Ratio: 57.6%, Max Drawdown: 0.11%
(105, 1.1, 0.7, 3.5): Return: 0.17%, Hit Ratio: 57.6%, Max Drawdown: 0.11%
(105, 1.1, 0.7, 3.6): Return: 0.17%, Hit Ratio: 57.94%, Max Drawdown: 0.11%
