(Lookback, Entry, Exit, Stop-loss)
Best HPs: (105, 1.0, 0.5, 3.4), Return: 0.14%, Hit Ratio: 51.24%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.4): Return: 0.14%, Hit Ratio: 51.24%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.5): Return: 0.14%, Hit Ratio: 51.64%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.6): Return: 0.14%, Hit Ratio: 52.03%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.7): Return: 0.14%, Hit Ratio: 51.61%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.4): Return: 0.14%, Hit Ratio: 51.24%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.5): Return: 0.14%, Hit Ratio: 51.64%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.6): Return: 0.14%, Hit Ratio: 52.03%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.7): Return: 0.14%, Hit Ratio: 51.61%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.3): Return: 0.13%, Hit Ratio: 50.83%, Max Drawdown: 0.15%
(105, 1.0, 0.5, 3.3): Return: 0.13%, Hit Ratio: 50.83%, Max Drawdown: 0.15%
(90, 1.1, 0.4, 3.4): Return: 0.12%, Hit Ratio: 51.4%, Max Drawdown: 0.14%
(90, 1.1, 0.4, 3.5): Return: 0.12%, Hit Ratio: 51.38%, Max Drawdown: 0.15%
(90, 1.1, 0.4, 3.6): Return: 0.12%, Hit Ratio: 52.29%, Max Drawdown: 0.15%
(90, 1.1, 0.4, 3.7): Return: 0.12%, Hit Ratio: 52.29%, Max Drawdown: 0.15%
(100, 1.0, 0.5, 3.5): Return: 0.12%, Hit Ratio: 51.2%, Max Drawdown: 0.15%
(100, 1.0, 0.5, 3.6): Return: 0.12%, Hit Ratio: 50.79%, Max Drawdown: 0.14%
(100, 1.0, 0.5, 3.7): Return: 0.12%, Hit Ratio: 50.79%, Max Drawdown: 0.14%
(100, 1.1, 0.5, 3.5): Return: 0.12%, Hit Ratio: 51.89%, Max Drawdown: 0.14%
(100, 1.1, 0.5, 3.6): Return: 0.12%, Hit Ratio: 52.34%, Max Drawdown: 0.14%
(100, 1.1, 0.5, 3.7): Return: 0.12%, Hit Ratio: 52.34%, Max Drawdown: 0.14%
(110, 1.0, 0.5, 3.4): Return: 0.12%, Hit Ratio: 51.69%, Max Drawdown: 0.15%
