(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (30, 2, 1, 0.5, -0.5, 2.5, 3.5), Return: 13.05%, Hit Ratio: 74.6%, Max Drawdown: 1.08%
(30, 2, 1, 0.5, -0.5, 2.5, 3.5): Return: 13.05%, Hit Ratio: 74.6%, Max Drawdown: 1.08%
(30, 2, 1, 0.5, -0.5, 2.5, 3): Return: 12.67%, Hit Ratio: 74.19%, Max Drawdown: 1.08%
(30, 2, 1, 0.5, -0.5, 3, 3.5): Return: 12.67%, Hit Ratio: 73.85%, Max Drawdown: 1.08%
(30, 2, 1, 0.5, -0.5, 3.5, 3.5): Return: 12.67%, Hit Ratio: 73.85%, Max Drawdown: 1.08%
(60, 2, 1, 0.5, 0, 2.5, 3.5): Return: 12.48%, Hit Ratio: 72.58%, Max Drawdown: 1.1%
(60, 2, 1, 0.5, 0, 3, 3.5): Return: 12.44%, Hit Ratio: 72.58%, Max Drawdown: 1.1%
(60, 2, 1, 0.5, 0, 3.5, 3.5): Return: 12.44%, Hit Ratio: 72.58%, Max Drawdown: 1.1%
(100, 2, 1, -0.5, -0.5, 2.5, 3.5): Return: 12.33%, Hit Ratio: 78.26%, Max Drawdown: 0.88%
(100, 2, 1, -0.5, -0.5, 3, 3.5): Return: 12.33%, Hit Ratio: 78.26%, Max Drawdown: 0.88%
(100, 2, 1, -0.5, -0.5, 3.5, 3.5): Return: 12.33%, Hit Ratio: 78.26%, Max Drawdown: 0.88%
(30, 2, 1, 0.5, -0.5, 3, 3): Return: 12.29%, Hit Ratio: 73.44%, Max Drawdown: 1.09%
(30, 2, 1, 0.5, -0.5, 3.5, 3): Return: 12.29%, Hit Ratio: 73.44%, Max Drawdown: 1.09%
(60, 2, 1, 0.5, 0, 2.5, 3): Return: 12.21%, Hit Ratio: 72.13%, Max Drawdown: 1.1%
(60, 2, 1, 0.5, 0, 3, 3): Return: 12.17%, Hit Ratio: 72.13%, Max Drawdown: 1.1%
(60, 2, 1, 0.5, 0, 3.5, 3): Return: 12.17%, Hit Ratio: 72.13%, Max Drawdown: 1.1%
(60, 2, 1, 0.5, -0.5, 2.5, 3.5): Return: 12.03%, Hit Ratio: 72.41%, Max Drawdown: 1.21%
(30, 2, 1, 0.5, 0, 2.5, 3.5): Return: 11.99%, Hit Ratio: 74.63%, Max Drawdown: 1.09%
(60, 2, 1, 0.5, -0.5, 3, 3.5): Return: 11.99%, Hit Ratio: 72.41%, Max Drawdown: 1.24%
(60, 2, 1, 0.5, -0.5, 3.5, 3.5): Return: 11.99%, Hit Ratio: 72.41%, Max Drawdown: 1.24%
(60, 2, 1, 0.5, -0.5, 2.5, 3): Return: 11.77%, Hit Ratio: 71.93%, Max Drawdown: 1.21%
(60, 1.5, 1, 0.5, -0.5, 2.5, 3.5): Return: 11.76%, Hit Ratio: 69.35%, Max Drawdown: 1.21%
(60, 2, 1, 0.5, -0.5, 3, 3): Return: 11.73%, Hit Ratio: 71.93%, Max Drawdown: 1.24%
(60, 2, 1, 0.5, -0.5, 3.5, 3): Return: 11.73%, Hit Ratio: 71.93%, Max Drawdown: 1.24%
(60, 1.5, 1, 0.5, -0.5, 3, 3.5): Return: 11.72%, Hit Ratio: 69.35%, Max Drawdown: 1.24%
(60, 1.5, 1, 0.5, -0.5, 3.5, 3.5): Return: 11.72%, Hit Ratio: 69.35%, Max Drawdown: 1.24%
