(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 0.8, -0.2, 3.4), Return: 63.71%, Hit Ratio: 81.67%, Max Drawdown: 3.75%
(50, 0.8, -0.2, 3.4): Return: 63.71%, Hit Ratio: 81.67%, Max Drawdown: 3.75%
(50, 0.8, -0.2, 3.5): Return: 63.71%, Hit Ratio: 81.67%, Max Drawdown: 3.75%
(50, 0.8, -0.2, 3.6): Return: 63.71%, Hit Ratio: 81.67%, Max Drawdown: 3.75%
(50, 0.8, -0.2, 3.7): Return: 63.71%, Hit Ratio: 81.67%, Max Drawdown: 3.75%
(50, 0.8, -0.2, 3.3): Return: 63.07%, Hit Ratio: 81.67%, Max Drawdown: 3.75%
(50, 0.8, -0.1, 3.4): Return: 62.86%, Hit Ratio: 80.33%, Max Drawdown: 3.75%
(50, 0.8, -0.1, 3.5): Return: 62.86%, Hit Ratio: 80.33%, Max Drawdown: 3.75%
(50, 0.8, -0.1, 3.6): Return: 62.86%, Hit Ratio: 80.33%, Max Drawdown: 3.75%
(50, 0.8, -0.1, 3.7): Return: 62.86%, Hit Ratio: 80.33%, Max Drawdown: 3.75%
(50, 0.8, -0.1, 3.3): Return: 62.22%, Hit Ratio: 80.33%, Max Drawdown: 3.75%
(50, 0.8, 0.0, 3.4): Return: 60.68%, Hit Ratio: 81.82%, Max Drawdown: 3.11%
(50, 0.8, 0.0, 3.5): Return: 60.68%, Hit Ratio: 81.82%, Max Drawdown: 3.11%
(50, 0.8, 0.0, 3.6): Return: 60.68%, Hit Ratio: 81.82%, Max Drawdown: 3.11%
(50, 0.8, 0.0, 3.7): Return: 60.68%, Hit Ratio: 81.82%, Max Drawdown: 3.11%
(50, 0.8, 0.0, 3.3): Return: 59.98%, Hit Ratio: 80.3%, Max Drawdown: 3.11%
(70, 0.8, -0.2, 3.5): Return: 59.38%, Hit Ratio: 81.67%, Max Drawdown: 4.5%
(70, 0.8, -0.2, 3.6): Return: 59.38%, Hit Ratio: 81.67%, Max Drawdown: 4.5%
(70, 0.8, -0.2, 3.7): Return: 59.38%, Hit Ratio: 81.67%, Max Drawdown: 4.5%
(50, 0.8, 0.1, 3.4): Return: 58.58%, Hit Ratio: 77.61%, Max Drawdown: 3.14%
(50, 0.8, 0.1, 3.5): Return: 58.58%, Hit Ratio: 77.61%, Max Drawdown: 3.14%
(50, 0.8, 0.1, 3.6): Return: 58.58%, Hit Ratio: 77.61%, Max Drawdown: 3.14%
(50, 0.8, 0.1, 3.7): Return: 58.58%, Hit Ratio: 77.61%, Max Drawdown: 3.14%
(70, 0.8, 0.0, 3.5): Return: 58.12%, Hit Ratio: 78.69%, Max Drawdown: 4.55%
(70, 0.8, 0.0, 3.6): Return: 58.12%, Hit Ratio: 78.69%, Max Drawdown: 4.55%
(70, 0.8, 0.0, 3.7): Return: 58.12%, Hit Ratio: 78.69%, Max Drawdown: 4.55%
(70, 0.8, -0.1, 3.5): Return: 58.08%, Hit Ratio: 81.97%, Max Drawdown: 4.57%
(70, 0.8, -0.1, 3.6): Return: 58.08%, Hit Ratio: 81.97%, Max Drawdown: 4.57%
(70, 0.8, -0.1, 3.7): Return: 58.08%, Hit Ratio: 81.97%, Max Drawdown: 4.57%
(50, 0.8, 0.1, 3.3): Return: 57.89%, Hit Ratio: 76.12%, Max Drawdown: 3.14%
(60, 0.8, 0.0, 3.4): Return: 55.75%, Hit Ratio: 79.37%, Max Drawdown: 3.07%
(60, 0.8, 0.0, 3.5): Return: 55.75%, Hit Ratio: 79.37%, Max Drawdown: 3.07%
(60, 0.8, 0.0, 3.6): Return: 55.75%, Hit Ratio: 79.37%, Max Drawdown: 3.07%
(60, 0.8, 0.0, 3.7): Return: 55.75%, Hit Ratio: 79.37%, Max Drawdown: 3.07%
(60, 0.8, -0.1, 3.4): Return: 55.2%, Hit Ratio: 81.36%, Max Drawdown: 3.34%
(60, 0.8, -0.1, 3.5): Return: 55.2%, Hit Ratio: 81.36%, Max Drawdown: 3.34%
(60, 0.8, -0.1, 3.6): Return: 55.2%, Hit Ratio: 81.36%, Max Drawdown: 3.34%
(60, 0.8, -0.1, 3.7): Return: 55.2%, Hit Ratio: 81.36%, Max Drawdown: 3.34%
(70, 0.8, 0.0, 3.3): Return: 54.99%, Hit Ratio: 78.33%, Max Drawdown: 4.55%
(70, 0.8, 0.0, 3.4): Return: 54.99%, Hit Ratio: 78.33%, Max Drawdown: 4.55%
(70, 0.8, -0.1, 3.3): Return: 54.95%, Hit Ratio: 81.67%, Max Drawdown: 4.57%
(70, 0.8, -0.1, 3.4): Return: 54.95%, Hit Ratio: 81.67%, Max Drawdown: 4.57%
(50, 0.9, -0.2, 3.4): Return: 54.8%, Hit Ratio: 80.7%, Max Drawdown: 3.77%
(50, 0.9, -0.2, 3.5): Return: 54.8%, Hit Ratio: 80.7%, Max Drawdown: 3.77%
(50, 0.9, -0.2, 3.6): Return: 54.8%, Hit Ratio: 80.7%, Max Drawdown: 3.77%
(50, 0.9, -0.2, 3.7): Return: 54.8%, Hit Ratio: 80.7%, Max Drawdown: 3.77%
(70, 0.8, -0.2, 3.3): Return: 54.76%, Hit Ratio: 81.36%, Max Drawdown: 4.5%
(70, 0.8, -0.2, 3.4): Return: 54.76%, Hit Ratio: 81.36%, Max Drawdown: 4.5%
(70, 0.8, 0.1, 3.5): Return: 54.18%, Hit Ratio: 78.46%, Max Drawdown: 4.7%
(70, 0.8, 0.1, 3.6): Return: 54.18%, Hit Ratio: 78.46%, Max Drawdown: 4.7%
(70, 0.8, 0.1, 3.7): Return: 54.18%, Hit Ratio: 78.46%, Max Drawdown: 4.7%
(50, 0.9, -0.2, 3.3): Return: 54.16%, Hit Ratio: 80.7%, Max Drawdown: 3.77%
(50, 0.9, -0.1, 3.4): Return: 53.96%, Hit Ratio: 79.31%, Max Drawdown: 3.78%
(50, 0.9, -0.1, 3.5): Return: 53.96%, Hit Ratio: 79.31%, Max Drawdown: 3.78%
(50, 0.9, -0.1, 3.6): Return: 53.96%, Hit Ratio: 79.31%, Max Drawdown: 3.78%
(50, 0.9, -0.1, 3.7): Return: 53.96%, Hit Ratio: 79.31%, Max Drawdown: 3.78%
(60, 0.9, 0.0, 3.4): Return: 53.95%, Hit Ratio: 81.36%, Max Drawdown: 3.07%
(60, 0.9, 0.0, 3.5): Return: 53.95%, Hit Ratio: 81.36%, Max Drawdown: 3.07%
(60, 0.9, 0.0, 3.6): Return: 53.95%, Hit Ratio: 81.36%, Max Drawdown: 3.07%
(60, 0.9, 0.0, 3.7): Return: 53.95%, Hit Ratio: 81.36%, Max Drawdown: 3.07%
(65, 0.8, 0.0, 3.4): Return: 53.83%, Hit Ratio: 79.03%, Max Drawdown: 4.47%
(65, 0.8, 0.0, 3.5): Return: 53.83%, Hit Ratio: 79.03%, Max Drawdown: 4.47%
(65, 0.8, 0.0, 3.6): Return: 53.83%, Hit Ratio: 79.03%, Max Drawdown: 4.47%
(65, 0.8, 0.0, 3.7): Return: 53.83%, Hit Ratio: 79.03%, Max Drawdown: 4.47%
(65, 0.8, 0.0, 3.4): Return: 53.83%, Hit Ratio: 79.03%, Max Drawdown: 4.47%
(65, 0.8, 0.0, 3.5): Return: 53.83%, Hit Ratio: 79.03%, Max Drawdown: 4.47%
(65, 0.8, 0.0, 3.6): Return: 53.83%, Hit Ratio: 79.03%, Max Drawdown: 4.47%
(65, 0.8, 0.0, 3.7): Return: 53.83%, Hit Ratio: 79.03%, Max Drawdown: 4.47%
(70, 0.9, -0.2, 3.5): Return: 53.47%, Hit Ratio: 81.82%, Max Drawdown: 3.32%
(70, 0.9, -0.2, 3.6): Return: 53.47%, Hit Ratio: 81.82%, Max Drawdown: 3.32%
(70, 0.9, -0.2, 3.7): Return: 53.47%, Hit Ratio: 81.82%, Max Drawdown: 3.32%
(65, 0.9, 0.0, 3.4): Return: 53.42%, Hit Ratio: 82.14%, Max Drawdown: 3.08%
(65, 0.9, 0.0, 3.5): Return: 53.42%, Hit Ratio: 82.14%, Max Drawdown: 3.08%
(65, 0.9, 0.0, 3.6): Return: 53.42%, Hit Ratio: 82.14%, Max Drawdown: 3.08%
(65, 0.9, 0.0, 3.7): Return: 53.42%, Hit Ratio: 82.14%, Max Drawdown: 3.08%
(65, 0.9, 0.0, 3.4): Return: 53.42%, Hit Ratio: 82.14%, Max Drawdown: 3.08%
(65, 0.9, 0.0, 3.5): Return: 53.42%, Hit Ratio: 82.14%, Max Drawdown: 3.08%
(65, 0.9, 0.0, 3.6): Return: 53.42%, Hit Ratio: 82.14%, Max Drawdown: 3.08%
(65, 0.9, 0.0, 3.7): Return: 53.42%, Hit Ratio: 82.14%, Max Drawdown: 3.08%
(50, 0.9, -0.1, 3.3): Return: 53.31%, Hit Ratio: 79.31%, Max Drawdown: 3.78%
(65, 0.8, -0.1, 3.4): Return: 53.27%, Hit Ratio: 81.67%, Max Drawdown: 4.51%
(65, 0.8, -0.1, 3.5): Return: 53.27%, Hit Ratio: 81.67%, Max Drawdown: 4.51%
(65, 0.8, -0.1, 3.6): Return: 53.27%, Hit Ratio: 81.67%, Max Drawdown: 4.51%
(65, 0.8, -0.1, 3.7): Return: 53.27%, Hit Ratio: 81.67%, Max Drawdown: 4.51%
(65, 0.8, -0.1, 3.4): Return: 53.27%, Hit Ratio: 81.67%, Max Drawdown: 4.51%
(65, 0.8, -0.1, 3.5): Return: 53.27%, Hit Ratio: 81.67%, Max Drawdown: 4.51%
(65, 0.8, -0.1, 3.6): Return: 53.27%, Hit Ratio: 81.67%, Max Drawdown: 4.51%
(65, 0.8, -0.1, 3.7): Return: 53.27%, Hit Ratio: 81.67%, Max Drawdown: 4.51%
(60, 0.8, 0.0, 3.3): Return: 53.26%, Hit Ratio: 79.03%, Max Drawdown: 3.07%
(50, 0.8, 0.2, 3.4): Return: 53.25%, Hit Ratio: 76.81%, Max Drawdown: 3.18%
(50, 0.8, 0.2, 3.5): Return: 53.25%, Hit Ratio: 76.81%, Max Drawdown: 3.18%
(50, 0.8, 0.2, 3.6): Return: 53.25%, Hit Ratio: 76.81%, Max Drawdown: 3.18%
(50, 0.8, 0.2, 3.7): Return: 53.25%, Hit Ratio: 76.81%, Max Drawdown: 3.18%
(60, 0.8, -0.1, 3.3): Return: 52.71%, Hit Ratio: 81.03%, Max Drawdown: 3.34%
(50, 0.8, 0.2, 3.3): Return: 52.55%, Hit Ratio: 75.36%, Max Drawdown: 3.18%
(60, 0.8, -0.2, 3.4): Return: 52.49%, Hit Ratio: 82.14%, Max Drawdown: 3.83%
(60, 0.8, -0.2, 3.5): Return: 52.49%, Hit Ratio: 82.14%, Max Drawdown: 3.83%
(60, 0.8, -0.2, 3.6): Return: 52.49%, Hit Ratio: 82.14%, Max Drawdown: 3.83%
(60, 0.8, -0.2, 3.7): Return: 52.49%, Hit Ratio: 82.14%, Max Drawdown: 3.83%
(60, 0.9, -0.1, 3.4): Return: 52.19%, Hit Ratio: 81.82%, Max Drawdown: 3.37%
(60, 0.9, -0.1, 3.5): Return: 52.19%, Hit Ratio: 81.82%, Max Drawdown: 3.37%
(60, 0.9, -0.1, 3.6): Return: 52.19%, Hit Ratio: 81.82%, Max Drawdown: 3.37%
(60, 0.9, -0.1, 3.7): Return: 52.19%, Hit Ratio: 81.82%, Max Drawdown: 3.37%
(70, 0.9, -0.1, 3.5): Return: 52.17%, Hit Ratio: 82.14%, Max Drawdown: 3.12%
(70, 0.9, -0.1, 3.6): Return: 52.17%, Hit Ratio: 82.14%, Max Drawdown: 3.12%
(70, 0.9, -0.1, 3.7): Return: 52.17%, Hit Ratio: 82.14%, Max Drawdown: 3.12%
(65, 0.9, -0.1, 3.4): Return: 52.15%, Hit Ratio: 83.64%, Max Drawdown: 3.12%
(65, 0.9, -0.1, 3.5): Return: 52.15%, Hit Ratio: 83.64%, Max Drawdown: 3.12%
(65, 0.9, -0.1, 3.6): Return: 52.15%, Hit Ratio: 83.64%, Max Drawdown: 3.12%
(65, 0.9, -0.1, 3.7): Return: 52.15%, Hit Ratio: 83.64%, Max Drawdown: 3.12%
(65, 0.9, -0.1, 3.4): Return: 52.15%, Hit Ratio: 83.64%, Max Drawdown: 3.12%
(65, 0.9, -0.1, 3.5): Return: 52.15%, Hit Ratio: 83.64%, Max Drawdown: 3.12%
(65, 0.9, -0.1, 3.6): Return: 52.15%, Hit Ratio: 83.64%, Max Drawdown: 3.12%
(65, 0.9, -0.1, 3.7): Return: 52.15%, Hit Ratio: 83.64%, Max Drawdown: 3.12%
(70, 0.9, 0.0, 3.5): Return: 51.61%, Hit Ratio: 80.36%, Max Drawdown: 3.12%
(70, 0.9, 0.0, 3.6): Return: 51.61%, Hit Ratio: 80.36%, Max Drawdown: 3.12%
(70, 0.9, 0.0, 3.7): Return: 51.61%, Hit Ratio: 80.36%, Max Drawdown: 3.12%
(60, 0.9, 0.0, 3.3): Return: 51.46%, Hit Ratio: 81.03%, Max Drawdown: 3.07%
(50, 0.9, 0.0, 3.4): Return: 51.26%, Hit Ratio: 80.65%, Max Drawdown: 3.15%
(50, 0.9, 0.0, 3.5): Return: 51.26%, Hit Ratio: 80.65%, Max Drawdown: 3.15%
(50, 0.9, 0.0, 3.6): Return: 51.26%, Hit Ratio: 80.65%, Max Drawdown: 3.15%
(50, 0.9, 0.0, 3.7): Return: 51.26%, Hit Ratio: 80.65%, Max Drawdown: 3.15%
(60, 0.8, 0.1, 3.4): Return: 51.09%, Hit Ratio: 78.12%, Max Drawdown: 3.19%
(60, 0.8, 0.1, 3.5): Return: 51.09%, Hit Ratio: 78.12%, Max Drawdown: 3.19%
(60, 0.8, 0.1, 3.6): Return: 51.09%, Hit Ratio: 78.12%, Max Drawdown: 3.19%
(60, 0.8, 0.1, 3.7): Return: 51.09%, Hit Ratio: 78.12%, Max Drawdown: 3.19%
(70, 0.8, 0.1, 3.3): Return: 51.0%, Hit Ratio: 76.56%, Max Drawdown: 4.7%
(70, 0.8, 0.1, 3.4): Return: 51.0%, Hit Ratio: 76.56%, Max Drawdown: 4.7%
(65, 0.9, -0.2, 3.4): Return: 50.98%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(65, 0.9, -0.2, 3.5): Return: 50.98%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(65, 0.9, -0.2, 3.6): Return: 50.98%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(65, 0.9, -0.2, 3.7): Return: 50.98%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(65, 0.9, -0.2, 3.4): Return: 50.98%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(65, 0.9, -0.2, 3.5): Return: 50.98%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(65, 0.9, -0.2, 3.6): Return: 50.98%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(65, 0.9, -0.2, 3.7): Return: 50.98%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(65, 0.8, 0.0, 3.3): Return: 50.7%, Hit Ratio: 78.69%, Max Drawdown: 4.47%
(65, 0.8, 0.0, 3.3): Return: 50.7%, Hit Ratio: 78.69%, Max Drawdown: 4.47%
(50, 0.9, 0.0, 3.3): Return: 50.56%, Hit Ratio: 79.03%, Max Drawdown: 3.15%
(50, 1.0, 0.0, 3.4): Return: 50.4%, Hit Ratio: 84.48%, Max Drawdown: 3.11%
(50, 1.0, 0.0, 3.5): Return: 50.4%, Hit Ratio: 84.48%, Max Drawdown: 3.11%
(50, 1.0, 0.0, 3.6): Return: 50.4%, Hit Ratio: 84.48%, Max Drawdown: 3.11%
(50, 1.0, 0.0, 3.7): Return: 50.4%, Hit Ratio: 84.48%, Max Drawdown: 3.11%
(50, 0.9, 0.1, 3.4): Return: 50.38%, Hit Ratio: 77.78%, Max Drawdown: 3.15%
(50, 0.9, 0.1, 3.5): Return: 50.38%, Hit Ratio: 77.78%, Max Drawdown: 3.15%
(50, 0.9, 0.1, 3.6): Return: 50.38%, Hit Ratio: 77.78%, Max Drawdown: 3.15%
(50, 0.9, 0.1, 3.7): Return: 50.38%, Hit Ratio: 77.78%, Max Drawdown: 3.15%
(65, 0.8, -0.2, 3.4): Return: 50.29%, Hit Ratio: 80.7%, Max Drawdown: 4.6%
(65, 0.8, -0.2, 3.5): Return: 50.29%, Hit Ratio: 80.7%, Max Drawdown: 4.6%
(65, 0.8, -0.2, 3.6): Return: 50.29%, Hit Ratio: 80.7%, Max Drawdown: 4.6%
(65, 0.8, -0.2, 3.7): Return: 50.29%, Hit Ratio: 80.7%, Max Drawdown: 4.6%
(65, 0.9, 0.0, 3.3): Return: 50.29%, Hit Ratio: 81.82%, Max Drawdown: 3.08%
(65, 0.8, -0.2, 3.4): Return: 50.29%, Hit Ratio: 80.7%, Max Drawdown: 4.6%
(65, 0.8, -0.2, 3.5): Return: 50.29%, Hit Ratio: 80.7%, Max Drawdown: 4.6%
(65, 0.8, -0.2, 3.6): Return: 50.29%, Hit Ratio: 80.7%, Max Drawdown: 4.6%
(65, 0.8, -0.2, 3.7): Return: 50.29%, Hit Ratio: 80.7%, Max Drawdown: 4.6%
(65, 0.9, 0.0, 3.3): Return: 50.29%, Hit Ratio: 81.82%, Max Drawdown: 3.08%
(65, 0.8, -0.1, 3.3): Return: 50.13%, Hit Ratio: 81.36%, Max Drawdown: 4.51%
(65, 0.8, -0.1, 3.3): Return: 50.13%, Hit Ratio: 81.36%, Max Drawdown: 4.51%
(60, 0.8, -0.2, 3.3): Return: 50.0%, Hit Ratio: 81.82%, Max Drawdown: 3.83%
(50, 1.0, 0.0, 3.3): Return: 49.71%, Hit Ratio: 82.76%, Max Drawdown: 3.11%
(60, 0.9, -0.1, 3.3): Return: 49.7%, Hit Ratio: 81.48%, Max Drawdown: 3.37%
(50, 0.9, 0.1, 3.3): Return: 49.68%, Hit Ratio: 76.19%, Max Drawdown: 3.15%
(60, 0.9, -0.2, 3.4): Return: 49.48%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(60, 0.9, -0.2, 3.5): Return: 49.48%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(60, 0.9, -0.2, 3.6): Return: 49.48%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(60, 0.9, -0.2, 3.7): Return: 49.48%, Hit Ratio: 82.69%, Max Drawdown: 3.86%
(65, 0.8, 0.1, 3.4): Return: 49.41%, Hit Ratio: 77.27%, Max Drawdown: 4.64%
(65, 0.8, 0.1, 3.5): Return: 49.41%, Hit Ratio: 77.27%, Max Drawdown: 4.64%
(65, 0.8, 0.1, 3.6): Return: 49.41%, Hit Ratio: 77.27%, Max Drawdown: 4.64%
(65, 0.8, 0.1, 3.7): Return: 49.41%, Hit Ratio: 77.27%, Max Drawdown: 4.64%
(65, 0.8, 0.1, 3.4): Return: 49.41%, Hit Ratio: 77.27%, Max Drawdown: 4.64%
(65, 0.8, 0.1, 3.5): Return: 49.41%, Hit Ratio: 77.27%, Max Drawdown: 4.64%
(65, 0.8, 0.1, 3.6): Return: 49.41%, Hit Ratio: 77.27%, Max Drawdown: 4.64%
(65, 0.8, 0.1, 3.7): Return: 49.41%, Hit Ratio: 77.27%, Max Drawdown: 4.64%
(50, 1.0, 0.1, 3.4): Return: 49.39%, Hit Ratio: 81.36%, Max Drawdown: 3.11%
(50, 1.0, 0.1, 3.5): Return: 49.39%, Hit Ratio: 81.36%, Max Drawdown: 3.11%
(50, 1.0, 0.1, 3.6): Return: 49.39%, Hit Ratio: 81.36%, Max Drawdown: 3.11%
(50, 1.0, 0.1, 3.7): Return: 49.39%, Hit Ratio: 81.36%, Max Drawdown: 3.11%
(60, 0.9, 0.1, 3.4): Return: 49.29%, Hit Ratio: 80.0%, Max Drawdown: 3.18%
(60, 0.9, 0.1, 3.5): Return: 49.29%, Hit Ratio: 80.0%, Max Drawdown: 3.18%
(60, 0.9, 0.1, 3.6): Return: 49.29%, Hit Ratio: 80.0%, Max Drawdown: 3.18%
(60, 0.9, 0.1, 3.7): Return: 49.29%, Hit Ratio: 80.0%, Max Drawdown: 3.18%
(65, 1.0, 0.0, 3.4): Return: 49.23%, Hit Ratio: 83.64%, Max Drawdown: 3.03%
