(Lookback, Entry, Exit, Stop-loss)
Best HPs: (35, 0.8, 0.1, 3.3), Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.3): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.4): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.5): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.6): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.7): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.3): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.4): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.5): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.6): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(35, 0.8, 0.1, 3.7): Return: 55.8%, Hit Ratio: 70.21%, Max Drawdown: 3.46%
(30, 0.8, 0.1, 3.7): Return: 55.53%, Hit Ratio: 68.0%, Max Drawdown: 3.58%
(20, 0.9, 0.0, 3.7): Return: 55.11%, Hit Ratio: 73.26%, Max Drawdown: 3.96%
(30, 0.8, 0.1, 3.4): Return: 54.98%, Hit Ratio: 67.68%, Max Drawdown: 3.58%
(30, 0.8, 0.1, 3.5): Return: 54.98%, Hit Ratio: 67.68%, Max Drawdown: 3.58%
(30, 0.8, 0.1, 3.6): Return: 54.98%, Hit Ratio: 67.68%, Max Drawdown: 3.58%
(20, 0.9, 0.2, 3.7): Return: 54.97%, Hit Ratio: 70.65%, Max Drawdown: 3.88%
(20, 0.9, 0.0, 3.3): Return: 54.38%, Hit Ratio: 72.41%, Max Drawdown: 3.98%
(20, 0.9, 0.0, 3.4): Return: 54.38%, Hit Ratio: 72.41%, Max Drawdown: 3.98%
(20, 0.9, 0.0, 3.5): Return: 54.38%, Hit Ratio: 72.41%, Max Drawdown: 3.98%
(20, 0.9, 0.0, 3.6): Return: 54.38%, Hit Ratio: 72.41%, Max Drawdown: 3.98%
(20, 0.9, 0.2, 3.3): Return: 54.24%, Hit Ratio: 69.89%, Max Drawdown: 3.91%
(20, 0.9, 0.2, 3.4): Return: 54.24%, Hit Ratio: 69.89%, Max Drawdown: 3.91%
(20, 0.9, 0.2, 3.5): Return: 54.24%, Hit Ratio: 69.89%, Max Drawdown: 3.91%
(20, 0.9, 0.2, 3.6): Return: 54.24%, Hit Ratio: 69.89%, Max Drawdown: 3.91%
(30, 0.8, 0.1, 3.3): Return: 53.34%, Hit Ratio: 67.68%, Max Drawdown: 3.64%
(30, 0.8, 0.0, 3.7): Return: 52.71%, Hit Ratio: 68.04%, Max Drawdown: 3.52%
(30, 0.9, 0.1, 3.7): Return: 52.69%, Hit Ratio: 71.74%, Max Drawdown: 3.8%
(20, 0.8, 0.2, 3.7): Return: 52.17%, Hit Ratio: 69.52%, Max Drawdown: 3.66%
(30, 0.8, 0.0, 3.4): Return: 52.15%, Hit Ratio: 67.71%, Max Drawdown: 3.52%
(30, 0.8, 0.0, 3.5): Return: 52.15%, Hit Ratio: 67.71%, Max Drawdown: 3.52%
(30, 0.8, 0.0, 3.6): Return: 52.15%, Hit Ratio: 67.71%, Max Drawdown: 3.52%
(30, 0.9, 0.1, 3.4): Return: 52.14%, Hit Ratio: 71.43%, Max Drawdown: 3.8%
(30, 0.9, 0.1, 3.5): Return: 52.14%, Hit Ratio: 71.43%, Max Drawdown: 3.8%
(30, 0.9, 0.1, 3.6): Return: 52.14%, Hit Ratio: 71.43%, Max Drawdown: 3.8%
(20, 0.9, 0.1, 3.7): Return: 51.57%, Hit Ratio: 71.43%, Max Drawdown: 3.9%
(20, 0.8, 0.2, 3.3): Return: 51.45%, Hit Ratio: 68.87%, Max Drawdown: 3.68%
(20, 0.8, 0.2, 3.4): Return: 51.45%, Hit Ratio: 68.87%, Max Drawdown: 3.68%
(20, 0.8, 0.2, 3.5): Return: 51.45%, Hit Ratio: 68.87%, Max Drawdown: 3.68%
(20, 0.8, 0.2, 3.6): Return: 51.45%, Hit Ratio: 68.87%, Max Drawdown: 3.68%
(40, 0.9, 0.1, 3.3): Return: 51.44%, Hit Ratio: 74.7%, Max Drawdown: 4.03%
(40, 0.9, 0.1, 3.4): Return: 51.44%, Hit Ratio: 74.7%, Max Drawdown: 4.03%
(40, 0.9, 0.1, 3.5): Return: 51.44%, Hit Ratio: 74.7%, Max Drawdown: 4.03%
(40, 0.9, 0.1, 3.6): Return: 51.44%, Hit Ratio: 74.7%, Max Drawdown: 4.03%
(40, 0.9, 0.1, 3.7): Return: 51.44%, Hit Ratio: 74.7%, Max Drawdown: 4.03%
(20, 0.8, 0.0, 3.7): Return: 51.4%, Hit Ratio: 72.92%, Max Drawdown: 3.75%
(20, 0.9, 0.1, 3.3): Return: 50.84%, Hit Ratio: 70.65%, Max Drawdown: 3.93%
(20, 0.9, 0.1, 3.4): Return: 50.84%, Hit Ratio: 70.65%, Max Drawdown: 3.93%
(20, 0.9, 0.1, 3.5): Return: 50.84%, Hit Ratio: 70.65%, Max Drawdown: 3.93%
(20, 0.9, 0.1, 3.6): Return: 50.84%, Hit Ratio: 70.65%, Max Drawdown: 3.93%
(35, 0.8, 0.0, 3.3): Return: 50.73%, Hit Ratio: 71.11%, Max Drawdown: 3.57%
(35, 0.8, 0.0, 3.4): Return: 50.73%, Hit Ratio: 71.11%, Max Drawdown: 3.57%
