,date,open,high,low,close,volume,average,barCount
0,2018-08-08,108.0,108.2,103.0,106.3,6536200,106.21525,13137
1,2018-08-09,105.3,105.3,103.0,104.1,1282300,104.1947,2786
2,2018-08-10,104.9,104.9,103.0,104.0,1270400,104.04915,2685
3,2018-08-13,100.0,100.4,95.35,99.95,1923300,97.9845,5316
4,2018-08-14,98.2,98.2,96.0,97.9,1316000,97.29735,3138
5,2018-08-15,102.0,103.0,98.9,100.0,705400,99.7055,2605
6,2018-08-16,97.0,97.2,95.85,97.05,491500,96.72485,1950
7,2018-08-17,96.35,96.6,92.4,93.2,825600,94.1076,3118
8,2018-08-20,95.0,95.3,93.8,94.45,253600,94.4174,1562
9,2018-08-21,96.8,97.5,95.5,96.7,529700,96.1848,2901
10,2018-08-22,98.5,98.5,97.05,97.45,278500,97.59955,1247
11,2018-08-23,100.0,102.0,100.0,101.0,456900,100.88015,2388
12,2018-08-24,101.0,101.6,100.5,101.6,55400,101.2509,453
13,2018-08-27,103.2,104.5,102.5,104.4,149100,103.5173,681
14,2018-08-28,107.5,108.2,106.1,107.4,376700,107.244,1941
15,2018-08-29,107.9,107.9,106.1,107.4,100300,106.7384,692
16,2018-08-30,107.5,107.8,106.4,106.8,75100,106.91425,522
17,2018-08-31,106.8,107.0,105.4,106.3,111100,106.2018,577
18,2018-09-03,106.1,107.2,104.8,105.2,47900,106.0311,311
19,2018-09-04,105.8,106.8,105.6,106.5,86000,106.11165,589
20,2018-09-05,106.0,106.0,103.9,104.5,62600,104.8361,322
21,2018-09-06,101.3,102.3,100.8,101.0,111600,101.1903,746
22,2018-09-07,100.0,100.0,97.1,98.1,96700,98.22745,379
23,2018-09-10,99.0,99.0,97.8,98.5,21700,98.253,119
24,2018-09-11,99.7,100.3,97.8,98.45,107500,98.90635,660
25,2018-09-12,98.8,100.5,93.0,93.3,433600,96.1488,1226
26,2018-09-13,99.15,100.3,98.0,98.6,175700,98.73775,969
27,2018-09-14,100.0,100.7,96.05,98.65,132800,98.78925,799
28,2018-09-17,98.85,98.85,96.3,96.8,17600,96.7844,146
29,2018-09-18,96.05,98.4,94.65,95.8,309800,95.64435,1257
30,2018-09-19,98.15,98.15,96.55,97.0,4500,97.1978,26
31,2018-09-20,98.15,98.15,97.2,97.35,84200,97.4912,500
32,2018-09-21,98.5,98.5,96.05,97.1,62200,96.99815,435
33,2018-09-24,97.0,98.0,97.0,97.5,21300,97.3075,171
34,2018-09-26,100.0,101.7,98.8,101.5,105700,100.74285,826
35,2018-09-27,103.5,104.6,103.0,104.0,128400,104.1651,961
36,2018-09-28,103.2,105.3,102.6,104.7,80000,103.8695,591
37,2018-10-02,104.3,105.3,104.1,104.5,50800,104.4512,355
38,2018-10-03,102.5,103.0,101.8,102.2,41800,102.2993,319
39,2018-10-04,102.0,102.0,100.6,100.9,46400,100.96205,414
40,2018-10-05,94.1,97.7,94.1,97.3,160500,96.90185,854
41,2018-10-08,95.8,95.8,89.55,90.0,119800,90.2972,786
42,2018-10-09,85.15,89.1,85.15,88.7,101700,88.5086,764
43,2018-10-10,85.1,86.15,85.1,85.45,133700,85.59905,892
44,2018-10-11,82.0,82.0,74.75,76.8,317400,76.1524,1024
45,2018-10-12,75.8,77.75,75.7,76.6,172900,76.96385,589
46,2018-10-15,78.8,78.8,75.15,75.4,72800,76.034,332
47,2018-10-16,75.6,76.2,74.2,75.0,466400,75.06535,1716
48,2018-10-18,74.95,78.2,74.95,78.15,261700,77.06505,2054
49,2018-10-19,77.85,77.85,74.4,75.0,206600,75.2036,1410
50,2018-10-22,74.8,76.3,74.4,75.95,239000,75.4417,1382
51,2018-10-23,73.0,73.0,69.35,70.1,234200,70.01675,1192
52,2018-10-24,70.3,70.7,69.5,69.8,33600,69.97785,267
53,2018-10-25,68.0,68.0,65.25,65.35,206700,66.24155,1528
54,2018-10-26,66.05,69.05,61.05,63.9,208100,64.3727,1549
55,2018-10-29,63.95,69.4,63.95,67.4,277900,66.81465,1609
56,2018-10-30,64.6,66.0,63.75,65.0,139900,64.7934,363
57,2018-10-31,62.0,68.7,62.0,68.0,102400,67.15895,504
